SA4_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
302,4823,804,5665,39801,10319,1026,51145,125024,8284,184450
303,5893,599,6553,66436,15956,1481,83875,205300,13626,302801
304,3569,360,3973,36194,8876,820,45887,102061,4932,152886
305,3084,400,3515,40804,10481,951,52238,186709,14844,253794
306,3728,726,4493,36722,11866,1693,50277,135430,21059,206767
307,2490,476,2990,18261,6315,889,25463,67861,10299,103622
308,3020,608,3660,36644,12287,1860,50795,112234,17891,180921
309,10649,2317,13071,105458,29284,3161,137897,353752,36456,528109
310,3991,693,4732,63439,17579,2511,83530,180236,22498,286265
311,3809,634,4487,61499,18068,2576,82147,176856,20542,279545
312,2190,373,2586,28332,8949,1237,38517,88638,18171,145327
313,5240,802,6077,39785,13844,1728,55353,146551,14888,216792
314,2183,321,2531,43600,11364,1448,56410,106855,6950,170216
315,613,111,739,11261,4167,725,16154,36784,9210,62149
316,9091,1515,10669,63512,19032,2029,84571,226470,19958,330997
317,3448,407,3892,25410,8653,1257,35326,87354,7541,130221
318,3305,512,3857,34922,12713,1773,49413,122745,17780,189937
319,7197,1019,8257,38527,13953,1933,54412,183324,20514,258256
397,0,0,0,0,0,0,0,45,135,183
399,33,13,44,1219,501,70,1785,8009,3440,13234
401,8404,716,9235,49641,18595,1745,69978,182346,10561,262885
402,8035,999,9116,75057,24895,2786,102736,246352,18267,367357
403,9440,845,10381,60983,25541,2718,89237,210710,12046,311995
404,7038,429,7525,35550,13348,1223,50121,148806,8590,207522
405,2913,375,3306,15408,6880,712,23000,66010,6464,95480
406,1519,229,1759,11680,5148,800,17624,42971,6679,67276
407,5302,654,5989,25563,11546,1257,38365,112168,12353,162889
497,0,0,0,0,0,0,0,0,5,12
499,15,0,11,315,124,17,459,1761,756,2975
501,3390,556,3986,30052,10759,1703,42507,99160,11390,153058
502,2585,489,3095,15273,6624,814,22705,59960,6141,88811
503,3821,521,4406,27608,10166,1086,38866,106821,9174,154860
504,3856,582,4488,47225,15524,1920,64667,144149,14245,223065
505,9660,1129,10928,101854,35414,4195,141457,301420,22859,465735
506,7612,1438,9154,90448,29413,3499,123352,276381,26558,426298
507,7384,1252,8752,77939,27312,3629,108880,226638,21133,356647
509,2781,506,3308,18785,7291,1018,27093,74511,11666,113275
510,140,47,204,14436,4353,1336,20128,35783,13176,69087
511,1440,285,1749,17158,5791,1037,23984,58557,13072,95614
597,0,0,0,40,5,3,45,248,221,516
599,12,23,30,613,205,45,861,3063,3361,7285
601,5033,541,5631,38012,15776,1965,55760,139285,10464,205506
602,3247,480,3742,21627,8413,1034,31078,87689,7409,126171
603,609,125,733,5588,2339,275,8199,24319,2776,35295
604,2558,311,2887,16217,6852,897,23964,66578,6149,96692
697,0,0,0,0,0,0,0,11,3,19
699,3,0,3,144,39,7,192,726,324,1248
701,682,132,833,22586,6537,1044,30165,69618,11824,111611
702,254,43,326,12681,9530,2715,24924,35545,8477,68943
797,0,0,0,3,4,0,11,60,26,94
799,4,0,7,288,57,11,354,1487,1208,3052
801,6337,734,7180,77709,24259,3045,105013,248885,17093,370996
897,0,0,0,0,0,0,0,0,0,0
899,0,0,4,63,32,0,97,335,130,560
901,58,4,62,589,237,40,872,2275,810,3953
997,0,0,0,0,0,0,0,0,0,0
999,0,0,0,4,0,0,4,6,3,11
