SA4_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
216,455,489,941,181,205,390,167,573,741,243,1246,1494,833,3213,4045,860,1911,2772,3001,1260,4256,2493,1482,3978,2697,1459,4162,3169,977,4154,2181,751,2935,2340,486,2826,4597,695,5299,3200,112,3305,2130,160,2288,1234,29,1264,2544,284,2834,2314,157,2470,724,905,1631,35380,16394,51776
217,345,499,851,161,249,414,154,609,760,200,1215,1415,683,3245,3928,738,1988,2730,2520,1322,3835,2329,1660,3986,2569,1541,4107,3061,1020,4079,2122,724,2847,2300,559,2856,4487,738,5227,3134,111,3243,2135,178,2310,1213,25,1236,2744,281,3022,2225,168,2395,610,818,1425,33727,16938,50664
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,542,691,1238,216,243,466,230,677,909,247,1461,1710,917,4053,4969,996,2430,3433,3572,1505,5073,3157,1754,4910,3901,1850,5753,4337,1375,5711,3299,1164,4468,3705,857,4561,8570,1387,9959,7025,206,7228,6031,328,6358,4150,60,4209,11045,403,11444,3990,308,4301,639,709,1348,66587,21460,88042
302,389,712,1100,179,282,459,209,693,907,207,1486,1692,674,3653,4329,825,2634,3456,2305,1780,4088,2541,2144,4689,3199,2363,5561,3713,2239,5954,3014,1844,4856,3311,1498,4810,7797,2542,10342,6613,405,7017,5881,630,6510,4113,142,4256,11212,700,11914,3293,529,3820,448,764,1210,59934,27040,86969
303,1071,1191,2261,390,444,827,407,1052,1461,450,1975,2433,1216,4225,5438,1382,2991,4376,3621,2207,5833,3751,2958,6713,4897,3357,8255,6013,2977,8985,4895,2645,7542,5225,2175,7400,12225,3904,16125,9800,835,10631,8600,1052,9648,6335,334,6666,18524,1317,19843,5215,1174,6388,626,814,1446,94642,37623,132271
304,433,566,993,191,211,403,194,483,681,161,727,891,460,1768,2229,613,1380,1990,1412,1066,2480,1593,1259,2855,2302,1474,3782,2612,1222,3834,2156,1146,3293,2337,991,3324,5519,1719,7241,4663,275,4939,4729,429,5164,3576,83,3652,14303,637,14943,2883,487,3373,285,279,569,50427,16211,66633
305,650,1716,2368,241,493,734,226,1075,1299,204,2088,2295,561,3064,3624,689,3053,3741,1485,2749,4232,1723,3711,5432,2676,4821,7495,3407,4660,8067,2755,4237,6991,3107,3720,6830,8004,7425,15433,6053,1357,7416,5892,2113,8005,4609,583,5190,23032,3612,26649,3765,1860,5626,372,755,1123,69460,53086,122548
306,661,847,1512,309,370,682,335,941,1269,374,2032,2412,1153,4476,5630,1444,3178,4629,4018,2182,6202,3767,2910,6676,4493,2739,7236,5290,2071,7365,3904,1577,5478,4151,1178,5337,8278,1695,9974,5762,274,6033,4373,376,4748,2680,104,2790,5511,541,6051,5551,655,6210,952,1129,2079,63025,29276,92302
307,469,463,934,188,197,386,188,490,680,197,1027,1227,777,2914,3694,772,1655,2431,2954,1015,3971,2281,1340,3623,2500,1299,3797,2859,813,3676,2009,655,2668,2091,472,2561,4006,613,4612,2643,92,2732,1830,146,1973,1025,37,1062,2076,259,2327,3171,177,3346,668,673,1346,32710,14338,47044
308,587,799,1383,254,268,520,267,812,1077,305,1606,1908,1054,3910,4957,1241,2301,3542,3621,1537,5165,2977,1930,4909,3425,2028,5456,3883,1523,5401,2853,1368,4221,3118,1108,4230,7272,1831,9098,5379,219,5600,4580,485,5063,2901,63,2965,6815,586,7405,6326,408,6730,881,925,1801,57738,23695,81435
309,1945,2472,4420,687,822,1505,711,1672,2381,791,3679,4473,2433,9119,11558,2996,7134,10127,9004,4652,13656,8643,6029,14669,10913,6397,17311,13042,5053,18096,9844,3860,13699,10601,3081,13685,22868,4702,27569,16762,1044,17810,13131,1300,14431,8194,372,8561,21735,1843,23576,10987,1810,12794,1954,2064,4025,167242,67102,234344
310,844,986,1831,294,296,594,406,845,1252,579,1833,2403,1518,5048,6568,2058,3284,5346,5570,2138,7703,5514,2962,8474,6412,3243,9649,7656,2481,10134,6155,2010,8165,6230,1477,7705,13546,1862,15404,9498,311,9807,7137,377,7517,4308,85,4396,8101,412,8509,6232,555,6783,1049,1085,2137,93123,31274,124395
311,882,956,1835,285,311,603,393,759,1148,491,1726,2215,1463,4191,5651,2037,3338,5380,5672,1972,7641,5360,2809,8171,6286,3035,9320,7658,2199,9858,6026,1617,7640,6071,1100,7167,12789,1480,14271,9206,279,9480,6462,289,6753,4077,78,4159,7752,333,8083,5985,510,6493,1129,1062,2190,90008,28048,118053
