SA4_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
404,25700,51554,321,1856,2286,10360,441,1984,14258,53647,17310,67849,1552,6545,2444,8502,5255,17170,9247,32217,26562,100063,127,587,665,2165,296,1024,3540,9004,4624,12776,485,1557,1182,2639,4989,10915,6658,15111,11282,27885,1545,3226,65084,182729
405,15706,31067,222,1235,1168,5338,350,1600,5643,22513,7384,30682,455,1867,745,2332,2277,7037,3481,11232,10864,41913,59,271,325,1150,192,675,1758,4760,2335,6855,140,433,360,750,1582,3320,2082,4503,4425,11357,340,718,31339,85056
406,9198,18054,141,755,786,3549,270,1257,4433,17389,5634,22956,225,891,457,1337,1281,3929,1964,6158,7595,29114,54,248,246,887,169,642,1690,4733,2155,6512,73,243,250,533,1171,2515,1502,3290,3653,9803,332,747,20780,57718
407,26615,52755,360,1983,1853,8480,568,2599,9278,36690,12063,49750,755,3022,1212,3816,3588,11199,5550,18043,17617,67800,97,470,501,1715,314,1081,3105,8300,4027,11560,260,811,597,1294,2755,5853,3604,7958,7631,19522,647,1356,52505,141433
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,22712,44441,347,1877,2070,9137,763,3324,11424,44079,14599,58425,813,3194,1314,4030,3308,10028,5433,17248,20035,75676,104,449,602,1972,345,1191,3296,8760,4352,12374,235,703,592,1232,2419,5033,3245,6964,7592,19337,519,1083,50858,140538
502,13868,27050,188,1011,1028,4628,417,1825,5617,21382,7248,28844,481,1918,847,2717,2077,6246,3405,10880,10656,39722,83,366,346,1244,238,874,2185,5985,2852,8467,165,499,387,861,1660,3495,2207,4854,5062,13325,349,724,29933,80820
503,20459,40178,145,757,2152,9609,141,586,11088,42018,13520,52963,954,3928,2590,9054,2230,6937,5770,19921,19293,72885,30,116,394,1218,64,201,1763,4140,2249,5683,201,625,893,2017,1567,3258,2662,5891,4905,11574,793,1647,45456,126283
504,27357,54006,649,3729,3096,14209,900,4118,19289,73245,23934,95299,1728,7270,2580,8711,5995,18970,10306,34954,34242,130249,193,906,814,2810,466,1714,4653,12285,6128,17720,521,1685,1078,2441,4410,9571,6011,13690,12137,31414,1247,2618,74985,218295
505,57730,113886,1243,6999,7140,32480,1763,7841,41291,157191,51434,204506,4163,17306,6673,23158,13033,41208,23872,81674,75306,286178,381,1785,1723,5807,745,2592,9093,23366,11938,33551,1158,3639,2553,5771,8466,18356,12181,27771,24122,61318,2259,4771,159412,466155
506,50463,99991,1164,6899,6495,30081,1672,7708,37518,144009,46854,188692,3213,13601,5212,17891,10398,33009,18822,64506,65678,253194,293,1403,1432,5008,746,2746,7884,21123,10359,30280,941,3033,1944,4429,7538,16410,10424,23870,20778,54150,2856,6026,139783,413360
507,44251,86993,874,4809,5366,24189,1518,6755,30949,117511,38708,153259,2847,11754,4670,15880,9321,29348,16834,56980,55548,210240,239,1090,1410,4774,720,2544,7626,19917,9995,28324,852,2653,1792,4016,6444,13873,9092,20541,19086,48869,1671,3496,120558,349598
509,17399,34116,282,1512,1285,5487,450,1991,7174,28285,9190,37271,467,1766,828,2374,2387,7264,3683,11398,12872,48671,73,329,355,1232,218,776,1905,5300,2546,7644,126,404,341,711,1694,3593,2159,4714,4707,12353,400,827,35380,95969
510,6087,11887,147,828,712,3264,385,1923,6200,24448,7448,30470,152,606,330,945,848,2732,1335,4281,8781,34748,56,291,203,726,257,1105,1593,4590,2103,6711,52,158,167,348,802,1927,1017,2428,3120,9144,384,913,18373,56691
511,12164,23779,196,1047,1028,4556,434,2019,6793,26419,8461,34047,360,1430,616,1804,1833,5599,2807,8836,11267,42880,58,302,312,1091,261,1002,2004,5631,2642,8031,127,383,293,606,1462,3108,1882,4101,4518,12135,452,952,28400,79732
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,27505,55031,401,2228,2441,11153,683,3104,14341,54121,17868,70600,1154,4740,2070,6797,4593,14554,7816,26091,25680,96690,161,692,907,3015,429,1525,4784,12269,6279,17506,432,1333,1169,2515,4067,8792,5668,12643,11945,30143,1052,2206,66185,184072
