SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,555,462,763,794,661,469,210,54,14,3982,1260,1357,2187,1859,1678,1648,1055,277,49,11370
201,2913,1814,1679,1646,2024,1780,1592,934,462,14844,31077,19625,20702,20511,22505,22951,21034,11207,4317,173929
202,2746,1682,1824,1761,1937,1950,1553,1063,672,15188,30064,18181,19470,19900,21340,22501,20611,11184,4517,167768
203,4619,3202,3408,3293,3118,2819,2539,1490,742,25230,59198,37910,43726,42274,40725,39586,36603,19915,7951,327888
204,3085,1970,1787,1913,2152,2342,1963,1218,550,16980,31652,19268,19590,20571,23472,26908,24963,13515,4995,184934
205,5379,3015,3362,3451,3468,3802,3563,2160,1147,29347,51030,29655,32721,32526,36176,44190,43532,23088,7929,300847
206,4690,6111,12275,7535,5664,4497,2978,1845,1044,46639,66953,80744,165518,101098,72005,57113,40849,22859,9883,617022
207,2792,2811,2798,2347,2656,2266,1784,1364,927,19745,58821,50778,48770,47868,50484,44690,35247,24535,12274,373467
208,4062,2839,3139,3166,3478,2821,2302,1600,1029,24436,73150,49514,52356,58144,62017,50866,40065,24201,12330,422643
209,7066,4587,5236,5058,4775,3861,2813,1876,1192,36464,103492,63637,79907,82221,70726,59510,45359,25301,10509,540662
210,7001,4203,5178,4767,4051,3153,2030,1344,684,32411,88099,51930,66484,63605,52242,44310,31338,18511,7813,424332
211,5598,3894,3768,3924,4180,3801,2758,1862,1113,30898,92299,60902,63632,71380,71072,65046,52068,30085,11817,518301
212,12473,8174,10063,8493,7274,5809,4087,2673,1476,60522,171128,112253,135372,128149,105254,87733,65298,38777,16090,860054
213,15137,8813,12827,11386,8206,5935,3917,2145,1141,69507,184300,100641,143011,145115,103717,80576,57764,27656,10261,853041
214,4508,2767,2700,2957,3434,2957,2607,1796,980,24706,53347,32838,33635,37531,41592,40137,37037,23071,9042,308230
215,3012,1802,2022,1980,1992,2136,1806,1183,740,16673,27029,16235,19014,17096,18791,22053,19161,11254,4936,155569
216,2665,1590,1616,1583,1667,1720,1467,1026,481,13815,24877,14995,15849,15095,17103,18610,16928,10196,3977,137630
217,2083,1313,1152,1289,1450,1478,1391,865,446,11467,21799,13297,13911,13918,16268,18691,17082,9292,3801,128059
297,0,0,0,11,3,9,0,0,0,23,0,0,6,16,3,14,4,0,0,43
299,501,403,707,880,652,410,198,23,9,3783,1143,1131,1819,1736,1393,1074,613,152,29,9090
301,2931,1874,1630,1843,2187,1881,1398,826,473,15043,44465,27424,25213,31512,33944,31466,26149,14286,5357,239816
302,2508,1710,2254,2051,1840,1401,1034,742,739,14279,40142,26322,34804,34255,29413,24008,18455,11532,5665,224596
303,3859,3190,3812,3291,2741,2144,1462,914,703,22116,68221,49863,62651,58565,46177,36808,27025,15159,6553,371022
304,1690,1524,1172,1313,1320,1068,744,471,347,9649,36334,28277,21274,26964,26684,19864,16295,9557,3973,189222
305,2203,3381,5213,3302,2733,2038,1297,753,422,21342,38449,46545,65488,45413,37922,27803,18169,8943,3515,292247
306,5511,3626,4377,3884,4059,3630,2759,1403,590,29839,46982,27879,31475,32189,35054,34431,27588,13655,4493,253746
307,2935,1789,1838,1670,1918,1885,1492,979,462,14968,25000,13972,14203,13919,16348,17837,15512,8831,2990,128612
308,5001,3221,3660,3809,3639,3312,1954,1050,475,26121,47327,27162,29341,29745,29532,29700,21026,10759,3660,228252
309,9857,7172,8517,7686,7593,6243,4777,3027,1552,56424,112670,77239,87681,86865,86348,75612,64273,37005,13071,640764
310,7568,4960,6089,5382,4183,3039,1878,1172,551,34822,80856,47914,54131,51386,45864,39407,28192,14646,4732,367128
311,8651,4946,5132,4771,4109,2982,2049,1209,640,34489,80232,47545,51304,48793,44589,38061,29951,14808,4487,359770
312,4000,3073,4259,3808,3827,3238,1707,890,309,25111,35571,20946,25239,24629,24580,23611,15993,7740,2586,180895
313,4624,3115,3292,3156,3035,2413,2044,1281,642,23602,47955,30248,30033,31179,34059,33568,32966,18666,6077,264751
314,3087,1886,1959,1946,1870,1225,891,481,288,13633,47481,27638,29186,32269,30394,22820,16960,8423,2531,217702
315,2464,1550,2148,1726,1648,1499,825,414,114,12388,17679,10269,12397,10209,10021,9773,5970,2775,739,79832
316,5738,3819,3753,4219,4649,4164,3301,2107,1302,33052,67845,42362,41927,48364,54134,54274,50066,29199,10669,398840
317,2436,1844,1670,1522,1534,1391,1106,717,346,12566,31836,21303,21719,19577,19294,18465,16065,9907,3892,162058
318,4678,4206,4149,3661,3461,2684,1750,995,399,25983,44346,32464,32165,29457,30071,28512,22014,11404,3857,234290
319,5433,3347,3173,3182,3870,4074,3806,2357,889,30131,49487,30381,28800,30385,37716,46806,48658,27252,8257,307742
397,0,14,37,47,34,8,0,0,0,140,0,16,49,64,45,5,3,0,0,182
399,255,435,800,739,648,553,354,67,9,3860,1437,1495,2649,2077,1929,2468,2124,444,44,14667
401,2526,2384,2395,2264,2408,2169,1727,1203,743,17819,49496,40250,41193,40315,40385,38099,33358,20042,9235,312373
402,6568,4202,4625,4349,3967,3178,2250,1459,881,31479,88348,57005,67498,62792,55385,51867,40363,23332,9116,455706
403,3877,2670,2671,2788,2900,2789,2154,1355,714,21918,62861,43524,46809,48951,48143,47464,42973,23747,10381,374853
404,2309,1868,2175,2029,2062,1935,1245,813,387,14823,36832,28569,38206,32592,31160,30976,24047,14441,7525,244348
405,1693,988,887,988,1212,1411,1213,775,342,9509,19009,10949,10690,11731,14294,18061,17043,9401,3306,114484
406,1689,1029,1417,1204,1271,1179,810,491,222,9312,15369,8747,10875,9685,10764,11494,8955,4997,1759,82645
407,2739,1798,1958,2093,2343,2439,2233,1379,629,17611,30821,18888,19380,20059,24037,28670,29238,16630,5989,193712
497,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,8
499,84,79,166,178,144,138,77,11,0,877,409,394,627,534,478,513,359,64,11,3389
501,3233,1864,2105,2372,2608,2308,1832,1029,454,17805,35689,18914,19963,24032,25548,25879,23091,11650,3986,188752
502,1684,1107,1054,1211,1343,1194,1024,779,480,9876,18829,11296,10886,11904,13147,14327,14903,9248,3095,107635
503,1446,1712,2709,1863,1670,1454,1182,711,460,13207,27405,23439,31226,26204,23348,20445,16415,9364,4406,182252
504,3826,2732,3848,3642,3260,2515,1524,878,489,22714,53519,32391,41245,40744,36289,32139,23530,12238,4488,276583
505,7256,4840,5995,5984,5660,4390,2950,1762,913,39750,111561,68940,79404,84122,77506,65784,51388,27668,10928,577301
506,7250,5161,6922,6337,5339,4202,2684,1815,1279,40989,103171,66450,80825,80385,65525,56276,44457,23222,9154,529465
507,6085,4379,5357,5223,4795,3670,2461,1603,1062,34635,86762,53437,60317,63557,58745,51211,39261,21356,8752,443398
509,2747,1612,1923,2020,2305,2422,1931,1086,392,16438,23900,13030,13823,15284,18137,21212,18757,9724,3308,137175
510,3659,2013,3573,3227,2584,1880,652,179,57,17824,21036,10097,17080,15963,12321,9031,3443,949,204,90124
511,3424,2226,2772,2648,2585,2259,1444,757,247,18362,23139,13225,15956,15584,16262,15931,11367,5542,1749,118755
597,0,22,46,76,51,27,3,0,0,225,0,42,116,170,109,62,18,0,0,517
599,190,352,661,811,748,503,245,69,15,3594,772,820,1512,1543,1313,1144,758,155,30,8047
601,3238,2245,2724,2282,2191,1972,1596,1027,445,17720,41578,28141,39761,31656,29653,29934,26145,14594,5631,247093
602,2098,1532,1397,1336,1413,1551,1323,808,364,11822,25022,16722,19292,16981,18961,20938,18944,10599,3742,151201
603,617,389,405,418,493,653,550,268,125,3918,6440,3817,4013,4662,5484,7233,6486,2862,733,41730
604,1833,1069,1058,1066,1283,1286,1180,739,297,9811,19464,12198,13363,12453,14892,17082,15263,8560,2887,116162
697,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,15
699,18,41,49,54,42,68,75,6,0,353,129,215,228,198,203,199,163,31,3,1369
701,2947,2046,3166,2653,2232,1607,942,359,125,16077,28294,16701,25950,22108,18400,14637,9374,3608,833,139905
702,2320,1497,2195,1716,1433,1237,643,202,35,11278,20154,12980,16263,13120,10954,8995,4809,1499,326,89100
797,0,0,6,4,5,3,0,0,0,18,0,15,23,22,19,17,0,0,0,96
799,74,97,193,168,213,186,79,12,0,1022,446,276,661,573,591,579,318,49,7,3500
801,4786,4587,4839,3787,3175,2471,1914,1080,530,27169,82892,60460,77634,69285,56126,45328,35639,19340,7180,453884
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,7,21,17,35,22,22,11,0,0,135,50,148,108,104,77,78,34,10,4,613
901,128,92,218,157,139,113,84,53,6,990,825,407,577,638,665,765,587,257,62,4783
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,0,0,7
