SA4_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
111,43407,4752,2114,265,37,50577,46221,3079,1654,40,26,51020,16180,5760,5356,183,70,27548,2470,1939,1737,3,9,6153,406,466,459,6,6,1343,5332,1081,937,49,34,7430,633,180,124,64,27,1015,122,39,46,0,0,212,25142,9456,8661,307,139,43711,1312,1056,340,19,19,2743,1177,330,240,25,32,1804,117250,18679,13011,653,257,149852
112,31839,4690,2096,1119,121,39865,25011,2779,1031,84,35,28943,7049,3726,2620,81,42,13520,897,829,361,0,4,2095,301,404,180,6,4,887,5122,1285,806,156,54,7418,610,229,123,382,50,1393,100,61,28,9,3,203,14078,6538,4118,627,152,25519,1455,500,335,75,22,2391,1191,291,178,82,30,1768,73590,14791,7760,1986,356,98479
113,20262,472,429,106,60,21330,17863,201,199,53,33,18348,6339,1084,2314,93,23,9849,1483,97,234,0,3,1822,156,122,128,0,0,407,3153,218,281,33,20,3714,929,56,98,58,22,1164,81,24,32,0,3,140,12143,1604,3080,186,73,17088,1332,203,92,15,28,1678,903,72,92,26,25,1121,52498,2562,3892,394,225,59571
114,25552,1412,266,686,113,28035,17448,435,134,47,22,18091,6478,1395,533,37,12,8453,692,255,69,0,0,1019,595,329,111,0,0,1044,2476,223,89,36,8,2830,575,52,18,115,26,783,52,28,10,4,4,90,10861,2278,829,182,58,14211,826,505,65,25,33,1454,734,119,33,46,75,1000,55428,4749,1330,992,293,62790
115,24313,1635,1323,80,38,27390,33532,2478,1438,19,54,37513,7691,1837,2612,14,36,12185,52,88,25,0,7,165,35,56,147,0,6,245,1668,223,280,8,17,2201,279,49,36,54,4,416,30,11,27,0,3,72,9759,2268,3120,67,65,15280,815,510,537,10,5,1880,588,91,97,4,9,791,69009,6977,6517,181,173,82862
116,22819,1501,405,10,11,24743,44781,5564,2162,29,91,52622,19765,4369,4455,52,62,28696,4466,1758,881,0,5,7113,356,256,181,0,0,791,3582,471,417,6,22,4502,658,108,72,0,5,843,152,52,37,0,3,242,28976,7012,6047,55,90,42182,831,364,105,0,8,1307,1400,266,197,0,18,1874,98799,14701,8917,100,213,122728
117,5832,6370,11281,103,39,23614,5045,8382,18465,104,41,32032,2231,8244,53634,747,259,65120,204,2084,5176,6,16,7489,89,202,1554,21,20,1893,614,1904,6236,207,76,9035,57,160,1111,37,35,1403,11,43,229,0,0,287,3207,12642,67934,1024,418,85223,181,325,1272,22,15,1818,186,282,1382,30,51,1929,14445,27999,100334,1282,556,144616
118,11528,6461,10576,192,15,28767,8004,6633,9779,131,18,24566,2121,3874,29073,586,55,35711,97,510,2564,0,8,3181,45,81,494,4,5,626,705,869,4482,126,22,6200,116,149,322,17,23,628,21,16,129,5,0,171,3099,5496,37067,735,114,46515,314,239,1301,25,10,1895,262,202,777,13,19,1274,23204,19029,59501,1097,185,103014
119,43395,7380,8731,158,24,59693,34679,9887,15775,144,54,60541,12786,5914,32451,540,173,51862,2414,2279,4065,3,13,8772,348,675,1131,11,9,2171,4075,1198,3644,150,55,9123,844,285,638,50,28,1851,117,61,203,8,5,391,20584,10416,42137,756,278,74172,1465,505,1113,33,16,3122,1577,464,1212,28,42,3326,101700,28653,68968,1112,424,200853
120,18581,5429,7921,123,16,32072,13668,6475,12649,150,24,32961,4760,4392,28896,628,134,38813,175,538,1698,0,4,2411,105,98,699,3,6,908,1280,846,3149,136,30,5445,158,142,608,25,22,957,28,16,136,3,0,180,6504,6024,35183,798,195,48709,488,245,982,23,8,1751,421,144,690,12,29,1293,39660,18317,57425,1105,276,116784
121,32808,4370,14582,52,26,51836,30562,3684,15683,71,24,50025,6761,2629,34548,210,88,44229,105,191,909,0,9,1215,88,150,777,3,7,1024,1829,554,4178,55,24,6646,170,45,412,14,13,655,31,14,139,5,0,185,8982,3590,40954,285,142,53949,800,275,1680,12,11,2781,464,96,655,10,23,1251,73621,12023,73552,428,228,159847
122,22679,2942,7100,83,35,32841,23438,2091,7357,56,26,32976,4627,1248,12434,155,50,18512,176,339,394,0,0,911,113,256,292,0,0,659,1888,389,2326,40,29,4675,149,111,160,17,10,452,53,28,75,0,0,154,6996,2367,15682,223,96,25365,500,758,990,11,4,2262,424,136,352,9,15,938,54040,8299,31478,388,177,94377
123,21111,1746,505,64,25,23453,38734,2708,776,6,30,42256,13157,2758,1805,45,37,17809,2892,1836,254,0,3,4987,271,305,112,0,6,694,2462,368,186,5,15,3033,356,55,38,42,4,495,80,32,9,0,0,125,19211,5356,2409,97,61,27138,814,655,322,3,10,1806,926,211,94,3,18,1263,80800,10684,4107,179,145,95914
124,31167,2035,736,121,38,34092,41074,3310,1326,13,26,45743,15919,4362,4214,64,56,24621,1480,1119,538,0,3,3141,421,520,462,10,3,1423,3392,496,372,18,27,4294,449,60,51,11,10,585,94,34,31,0,4,165,21761,6592,5662,100,106,34228,1057,280,231,4,12,1588,1035,182,143,0,30,1393,96097,12396,8104,241,207,117044
125,27260,3642,5031,40,21,35990,26352,7775,13782,73,63,48042,12067,6150,32962,201,221,51601,2330,2536,3253,0,19,8136,246,539,1298,0,6,2088,3609,1011,3030,68,61,7781,1014,396,664,23,37,2124,154,62,213,4,5,442,19423,10686,41419,294,349,72169,1085,374,1226,17,16,2723,1294,424,1074,14,39,2845,75417,22904,62524,443,487,161771
126,15586,2549,3200,9,9,21351,13225,2809,6554,17,16,22619,3709,2646,15602,78,41,22079,208,504,554,0,0,1270,135,238,482,0,14,868,1206,412,1549,16,25,3210,145,75,197,6,19,446,33,24,65,0,0,124,5438,3898,18448,104,100,27994,418,223,690,3,9,1334,308,103,313,13,13,743,34975,9579,29197,141,147,74041
127,31879,2027,1998,102,31,36043,42346,4383,3041,10,103,49881,18264,4282,9378,52,144,32129,3025,2393,1850,0,19,7280,436,523,690,0,8,1659,4173,621,1002,16,40,5852,1779,225,342,44,26,2416,196,52,104,0,3,357,27875,8099,13364,113,244,49695,1345,366,359,11,18,2095,1701,267,470,10,19,2470,105155,15142,19230,255,412,140189
128,21913,4072,4194,64,26,30269,22921,3856,5386,21,20,32207,3368,2035,8164,95,27,13696,212,639,670,0,0,1518,91,158,223,0,0,471,1050,336,978,40,11,2411,114,141,54,39,8,356,22,10,36,4,0,70,4852,3317,10121,184,53,18524,383,173,737,5,5,1297,419,143,213,8,14,800,50484,11559,20649,285,115,83097
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,23453,1376,228,177,37,25275,22326,846,105,45,33,23358,8553,2229,628,27,19,11452,1006,569,110,0,3,1686,167,195,50,4,3,424,2765,385,97,36,13,3290,250,42,13,43,12,356,75,28,0,0,0,107,12818,3447,902,111,47,17320,926,193,29,12,4,1173,865,148,32,11,5,1070,60389,6016,1301,363,130,68196
202,23581,873,58,157,51,24713,22340,445,59,59,31,22934,7492,1592,172,32,10,9298,1024,543,83,0,0,1653,287,158,17,0,0,462,3004,290,40,27,17,3377,288,26,8,30,6,353,63,13,3,0,0,82,12150,2622,323,95,42,15230,890,58,8,19,4,981,811,94,15,12,5,935,59771,4094,465,341,128,64792
203,39726,2766,496,244,35,43272,41744,1889,360,28,31,44058,16802,4124,1317,49,35,22322,1622,903,114,0,0,2639,346,360,87,4,9,802,4288,782,181,28,23,5303,447,116,23,179,8,779,118,52,11,4,0,187,23619,6328,1739,267,75,32025,1590,570,36,62,9,2262,1391,246,50,15,10,1714,108078,11798,2681,609,162,123332
204,27457,960,79,275,41,28818,23182,410,55,56,35,23742,7081,1836,205,30,15,9169,1398,585,65,0,0,2046,159,120,6,0,0,288,3058,355,58,20,15,3497,809,65,18,64,18,973,82,37,0,0,0,115,12572,2993,354,112,54,16086,1266,167,12,19,19,1481,1252,302,18,76,15,1658,65727,4830,522,544,158,71790
205,47068,1754,780,745,75,50432,37523,647,263,40,48,38528,11254,1752,1385,33,22,14452,1559,689,408,4,5,2666,360,189,141,0,4,693,4925,336,198,30,26,5517,708,69,57,155,11,996,136,40,24,3,0,209,18942,3074,2208,232,73,24532,1733,272,139,57,7,2202,2018,194,108,64,19,2397,107293,5944,3495,1132,226,118088
206,24752,15881,18953,201,67,59852,19048,16418,29966,280,67,65786,8709,19650,86070,756,194,115387,277,2109,8246,3,6,10639,120,347,1693,5,11,2182,2412,4155,9862,224,59,16707,144,181,800,26,30,1185,38,60,304,0,6,418,11705,26506,106978,1026,302,146512,729,941,2484,28,11,4194,577,547,1803,25,47,2994,56817,60286,160187,1557,492,279332
207,39232,9712,4621,40,36,53641,28010,8025,5621,22,26,41710,10489,7957,12335,127,42,30942,368,423,385,0,4,1180,94,174,248,0,8,521,2536,1461,1588,44,11,5634,277,156,234,9,4,678,55,38,56,0,6,155,13817,10213,14846,174,68,39110,1227,952,880,3,8,3067,811,301,349,9,8,1467,83097,29207,26312,248,145,139003
208,37832,12353,6324,221,37,56772,34381,12632,8918,153,32,56121,9811,10472,15863,368,45,36559,421,759,826,0,0,2019,85,184,433,4,0,707,2352,2019,1940,102,18,6431,175,105,157,77,9,517,57,50,65,0,0,177,12904,13599,19287,555,75,46413,948,609,890,56,6,2511,871,448,518,25,3,1866,86938,39639,35941,1012,153,163682
209,53733,4959,1528,43,22,60282,65903,8286,2290,49,29,76562,21096,9896,4883,111,37,36014,1802,1557,428,0,3,3793,257,263,243,0,3,770,4725,1303,564,49,14,6651,865,190,86,17,5,1163,126,77,31,0,0,230,28866,13282,6228,178,68,48620,1641,711,245,15,11,2621,2062,447,139,10,17,2670,152210,27683,10439,291,141,190761
210,37159,4016,628,59,18,41877,51986,7292,828,22,25,60154,15496,8092,1594,48,37,25263,1420,621,312,0,5,2359,169,117,90,0,0,379,4140,1056,255,32,9,5499,916,204,47,107,8,1285,152,51,9,5,3,221,22298,10142,2304,184,71,34992,1346,442,69,3,5,1864,1844,376,63,5,11,2299,114632,22259,3902,269,128,141191
211,59852,5109,781,126,33,65898,72045,5962,1283,25,44,79356,19632,5409,1440,36,25,26549,1415,923,247,0,4,2588,291,300,155,0,6,750,4934,832,230,20,21,6037,411,111,23,66,5,614,106,55,16,3,3,181,26781,7617,2111,126,67,36705,1846,1408,150,8,6,3420,1595,453,68,3,10,2123,162108,20554,4387,287,164,187508
212,68680,6918,2860,143,36,78630,103545,10250,3592,18,56,117469,37773,11354,7062,48,91,56322,2539,1212,812,0,3,4568,336,257,324,0,3,918,8472,1736,884,22,29,11140,1570,380,181,266,16,2407,273,91,53,9,4,428,50959,15031,9314,342,140,75778,2603,1539,883,14,5,5047,3330,729,320,13,15,4409,229110,34469,16976,534,252,281345
213,61537,7241,1907,135,44,70866,102179,12768,3615,60,71,118690,42272,12215,7745,131,76,62445,2257,1651,806,0,4,4717,489,396,367,0,5,1258,8675,2002,926,68,19,11688,1498,358,165,152,23,2193,345,100,57,3,4,505,55534,16718,10065,361,127,82806,2490,863,351,17,6,3717,3757,696,283,21,14,4770,225490,38287,16213,603,259,280854
214,36069,4448,852,356,29,41752,40047,3839,489,19,14,44407,13203,4554,1132,42,22,18958,1239,582,190,0,3,2009,171,165,42,3,3,384,3463,789,190,24,11,4478,506,114,29,262,3,921,101,42,10,4,0,162,18677,6252,1594,344,49,26919,1380,1247,155,17,5,2800,1325,363,73,26,7,1794,97497,16148,3167,761,101,117669
215,23547,739,276,274,50,24884,17123,249,90,33,16,17516,5379,1194,928,24,18,7547,1003,436,284,0,3,1728,162,80,152,0,0,392,3324,287,166,36,20,3836,793,61,60,171,26,1110,99,26,32,18,3,181,10764,2089,1618,253,70,14798,1453,110,87,26,17,1692,1107,105,77,55,15,1363,53993,3297,2152,649,166,60251
216,18665,914,22,436,28,20060,16221,319,4,42,19,16610,5032,1737,49,21,9,6849,1053,522,15,4,0,1594,174,134,28,15,0,357,2612,300,9,47,13,2974,514,79,4,171,11,782,87,39,0,6,0,140,9475,2811,110,252,33,12683,962,135,0,106,4,1209,953,172,3,64,10,1205,46286,4356,131,910,88,51776
217,20631,794,111,139,33,21710,15193,337,81,44,20,15669,3934,1164,329,42,4,5472,875,374,102,3,0,1356,127,97,54,0,0,278,2575,277,79,18,12,2960,516,80,31,72,13,710,57,34,7,0,0,101,8088,2024,603,134,28,10875,1283,118,54,13,10,1484,789,104,18,13,5,929,45986,3380,864,343,93,50664
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,24585,2337,1061,197,25,28215,32615,2344,631,13,12,35620,9999,2788,1205,5,16,14019,838,856,585,0,4,2281,116,181,112,0,0,410,2673,663,323,26,20,3703,191,590,108,38,6,928,43,44,28,6,0,121,13864,5121,2360,72,47,21464,636,904,151,4,10,1702,759,195,70,8,6,1045,72460,10908,4278,298,102,88042
302,19341,2047,1477,22,7,22893,25835,2798,2268,4,7,30917,9895,3959,7349,23,35,21263,1167,767,1056,0,9,3000,97,152,222,0,7,479,2399,686,1018,6,10,4112,286,572,268,149,11,1283,42,46,56,3,0,151,13884,6187,9968,182,62,30287,579,630,492,3,11,1711,550,222,249,122,10,1159,60195,11880,14461,334,94,86969
303,29885,2628,2096,167,12,34791,37555,5467,3498,19,27,46563,15361,7012,9908,40,80,32399,1744,804,1573,0,5,4135,197,158,307,0,8,672,4473,1290,1629,13,32,7438,519,1001,373,346,18,2256,108,70,57,8,0,240,22405,10332,13844,402,150,47135,1043,453,582,0,7,2086,1016,264,370,18,27,1691,91895,19150,20393,609,221,132271
304,18474,1108,1904,6,12,21494,22461,1139,1839,0,12,25449,6420,1262,4981,5,25,12694,518,147,541,0,3,1206,43,31,129,0,0,206,1690,259,955,4,12,2911,587,182,222,3,21,1006,32,10,24,0,0,58,9284,1894,6848,12,53,18092,445,270,365,0,4,1092,338,56,104,0,3,504,51009,4465,11062,22,86,66633
305,13831,1394,8901,35,43,24196,17819,2288,11586,11,45,31755,7679,3389,37766,55,206,49093,173,367,1994,0,8,2545,43,29,805,0,7,885,2267,633,6496,18,79,9495,149,89,1434,9,28,1704,34,14,176,0,9,231,10348,4521,48673,78,328,63945,431,85,842,0,19,1380,357,96,779,0,43,1278,42779,8382,70777,129,482,122548
306,25086,1172,1706,539,172,28680,27115,1055,1581,83,63,29899,8858,2983,4906,59,123,16933,1495,603,723,11,10,2845,614,204,280,8,13,1114,4990,949,1176,62,63,7241,862,243,413,250,67,1845,133,42,59,14,9,255,16961,5020,7561,407,286,30229,1115,258,84,50,39,1546,1256,213,271,127,81,1947,71542,7720,11200,1209,636,92302
307,17251,352,13,226,59,17909,12935,132,12,60,32,13174,5272,1317,222,21,11,6844,501,231,26,8,4,765,144,152,24,3,0,324,3374,187,42,26,32,3663,1101,97,25,90,33,1347,72,38,9,7,0,120,10464,2018,344,160,73,13061,1715,133,7,18,37,1908,839,84,18,30,27,994,43204,2715,398,496,229,47044
308,22461,536,546,349,99,23998,27196,472,362,62,43,28126,10820,2236,2159,20,21,15256,1623,468,477,0,6,2580,314,224,133,0,5,670,4525,320,337,27,19,5226,1390,167,221,142,50,1964,95,42,26,6,0,170,18774,3444,3364,192,100,25868,1600,117,112,61,55,1944,1152,141,76,94,28,1491,71182,4712,4454,756,325,81435
309,41567,10984,12451,738,183,65914,61421,13354,8442,76,127,83418,21573,13629,18294,66,201,53767,1182,1265,1145,0,5,3594,146,279,508,0,4,942,5384,3669,4721,53,74,13904,754,2320,2008,378,64,5521,143,125,193,15,4,477,29179,21291,26870,509,354,78201,1251,946,1046,25,20,3287,1693,761,940,58,65,3518,135112,47337,49750,1398,749,234344
310,27361,1095,195,170,44,28863,45516,1175,137,39,18,46888,23912,6514,663,13,57,31163,2952,714,316,0,10,3995,233,255,114,0,6,607,5358,648,149,11,19,6186,1588,760,85,251,26,2713,187,79,19,9,0,283,34227,8981,1343,285,113,44949,1040,448,95,14,21,1621,1596,313,84,22,60,2073,109745,12005,1856,522,264,124395
311,24864,1761,383,178,35,27215,44431,1805,376,25,34,46660,20678,7117,1355,10,44,29202,2724,778,327,0,8,3835,139,186,105,5,5,439,4383,796,195,6,20,5404,621,794,104,161,9,1678,142,86,15,0,0,244,28684,9757,2098,190,86,40816,853,325,89,3,14,1281,1511,336,148,69,24,2084,100337,13983,3086,459,190,118053
312,15976,741,382,473,122,17700,20341,581,319,69,36,21348,7006,2509,1302,35,56,10906,843,607,241,0,0,1697,175,223,71,0,0,462,3223,517,289,39,39,4112,1871,472,110,172,75,2700,72,50,9,0,0,137,13192,4375,2032,247,176,20021,1263,183,37,36,34,1553,878,215,49,76,45,1262,51649,6108,2813,900,415,61880
313,25800,2331,1933,588,43,30688,30913,1070,777,42,31,32833,14805,4677,2069,28,30,21616,1348,843,777,7,0,2977,123,227,157,0,0,511,3450,662,442,24,23,4593,391,425,100,238,16,1171,81,63,49,5,0,201,20200,6903,3593,307,68,31076,801,659,315,35,10,1819,1018,276,165,50,15,1522,78738,11237,6784,1012,169,97938
314,16384,1391,133,150,12,18069,30799,1765,100,5,22,32687,10628,5386,550,5,14,16576,653,292,95,0,0,1042,57,154,4,0,0,214,1900,754,127,11,7,2792,718,986,48,94,5,1854,50,59,6,0,0,112,13993,7632,825,111,32,22597,358,611,119,3,4,1093,535,169,26,8,7,746,62070,11561,1197,276,76,75186
315,5584,108,24,420,150,6292,4601,118,19,69,60,4872,1681,673,182,26,11,2566,3059,494,220,10,20,3799,904,98,68,8,9,1087,1481,184,50,38,14,1775,1437,442,158,121,79,2236,91,20,19,0,0,132,8653,1915,689,199,140,11596,1239,153,65,80,109,1653,581,64,42,229,53,965,20660,2359,843,1000,515,25379
316,41284,6002,4919,634,139,52984,44822,3266,2739,77,75,50973,15115,5021,6238,46,90,26504,883,682,1004,0,10,2579,117,132,194,0,0,447,5172,1322,1621,42,67,8229,520,318,353,257,26,1478,113,45,56,5,4,228,21918,7523,9467,355,196,39462,1517,2078,611,40,20,4262,1322,377,336,31,32,2101,110864,19248,18073,1131,457,149772
317,16773,1579,312,80,15,18755,18810,807,208,25,26,19876,8398,4060,1434,14,21,13928,636,540,164,0,0,1341,76,158,48,0,0,281,2705,534,206,9,5,3467,461,143,28,38,10,676,67,33,7,0,0,111,12344,5472,1886,62,40,19807,479,466,45,5,9,1013,547,170,41,7,7,781,48953,8495,2496,183,104,60232
