SA4_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
121,429,2120,2437,2314,2192,2331,2738,1871,732,17162,193,2167,3488,3101,2839,2822,2738,1821,640,19822,105,2372,5653,4401,3894,3495,2979,1711,548,25163,31,1740,5880,4312,3485,3015,2192,1129,365,22155,21,838,5906,4835,3807,3137,2090,1038,318,21992,7,378,4648,4581,3624,2832,1531,786,236,18611,9,349,9450,13508,9729,6341,2721,1178,352,43646,16,75,2020,4902,3980,2320,924,359,125,14724,14,76,2825,11977,14877,8411,2743,1056,349,42319,720,828,2251,2397,1978,1596,1586,1607,1826,14788,24286,22306,52341,66457,60609,48514,38403,24095,10839,347853
122,508,1808,1773,1507,1715,1968,2041,1458,472,13257,228,1806,2507,1969,2303,2345,1953,1175,400,14686,94,1735,3854,2749,3028,2994,2107,1117,279,17950,33,942,3427,2643,2847,2540,1480,623,182,14719,13,430,3190,2956,3099,2469,1211,529,166,14061,11,151,2445,2550,2692,2109,898,373,98,11322,10,159,4134,6316,6174,3900,1411,492,140,22741,5,28,925,2369,2404,1326,411,154,41,7670,10,35,1211,6088,8361,4131,1140,416,115,21513,558,563,1416,1432,1463,1250,1168,1250,1483,10587,16263,13740,28875,35504,40004,32479,24219,16501,7243,214822
123,732,2354,3129,2890,2397,2222,1729,754,146,16364,437,2687,4474,4142,3614,2970,1451,442,92,20315,180,2215,5918,5082,4324,3622,1390,272,61,23066,48,1181,4831,4369,3591,2604,904,153,28,17702,18,555,3824,3922,3181,2109,650,123,31,14409,15,232,2495,3049,2551,1601,404,53,10,10415,8,204,3083,5341,4354,2581,506,74,14,16167,3,17,397,985,863,481,109,16,4,2874,5,17,353,1075,1127,677,224,48,26,3550,1232,1148,2582,2545,1948,1589,1457,1309,923,14728,19300,18548,41205,43295,36693,32242,24464,11516,3676,230946
124,822,2686,3366,2846,2497,2509,2414,1236,311,18686,487,3130,4896,3983,3713,3263,2103,737,180,22488,218,2607,6517,5395,4878,4324,2083,514,94,26624,82,1512,5429,4668,4039,3250,1286,270,58,20595,39,729,4499,4347,3957,2853,952,199,52,17630,18,271,3029,3631,3341,2246,568,90,23,13216,9,227,3732,6397,5715,3754,801,137,25,20792,3,30,473,1124,1115,656,177,43,17,3631,0,23,416,1224,1475,996,300,107,22,4558,1223,1441,3397,2987,2482,1876,1771,1621,1292,18093,20422,20581,45804,45750,42308,38760,31058,15357,5235,265262
125,534,4077,7001,4912,3722,3224,2121,1143,313,27050,326,4123,9743,6322,4821,3892,1803,685,205,31921,190,3403,11433,8074,5439,4460,1680,504,108,35288,55,2027,8977,6413,4241,3050,1069,246,53,26132,23,917,7346,5926,3950,2660,788,172,42,21825,7,368,4808,5093,3189,1869,520,84,26,15961,3,271,7400,11013,5738,3205,717,118,38,28503,3,28,1040,2524,1294,695,139,36,11,5767,4,49,945,2746,1965,931,263,77,27,6995,1866,3211,8441,6583,4118,3264,2375,1793,1487,33128,25171,36044,92360,79837,55620,48592,34513,19004,7867,399020
126,201,1217,1986,1430,1207,1286,1170,720,274,9496,112,1190,2526,1809,1553,1551,1138,559,211,10648,50,1260,3976,2621,1915,1920,1249,516,193,13696,21,913,3813,2539,1735,1515,852,283,96,11766,10,433,3588,2698,1807,1460,651,219,74,10945,10,169,2546,2339,1609,1265,495,157,59,8637,8,157,4242,6230,4042,2679,868,223,56,18513,3,27,719,1783,1405,811,225,68,23,5061,3,19,767,3163,3500,1884,565,157,58,10114,334,586,1663,1380,978,908,770,756,939,8312,10329,12954,32358,31980,24919,22731,17441,9771,5131,167614
127,814,3413,4906,4665,4593,3942,1999,869,230,25430,547,3728,6927,5936,5850,4761,1654,509,136,30062,259,3515,8701,6978,6407,4915,1500,276,47,32599,73,1959,7106,5502,4568,3288,905,129,21,23555,29,916,5704,4871,3797,2668,696,123,31,18827,17,377,3728,3748,2847,1763,390,45,9,12926,11,252,4583,6232,4397,2407,467,70,12,18434,5,33,586,1195,840,478,112,25,7,3275,3,29,512,1274,1087,587,180,73,17,3758,2211,2261,4955,4600,3679,3437,2582,2063,1567,27360,32117,32683,68011,65464,59513,54724,37252,18477,7189,375436
128,545,1566,1425,1458,1629,1775,2042,1183,401,12023,229,1859,2123,1978,2079,2236,1778,892,293,13476,77,1792,3299,2677,2905,2928,1930,753,169,16543,23,1135,3428,2591,2671,2336,1325,420,119,14043,19,510,3329,2842,2924,2283,1011,273,77,13259,4,243,2496,2585,2708,1888,649,165,51,10794,6,215,3874,6052,5672,3595,959,205,72,20650,3,20,650,1688,1680,910,280,76,25,5327,3,20,767,3039,3278,1852,520,164,49,9702,461,458,1160,1159,1170,937,968,1133,1440,8889,14006,12920,26347,30496,31812,28471,22879,13841,6432,187196
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
