SA4_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
309,13,436,3,436,..,1539,244,1788,11,1801,..,592,98,683,7,692,..,1267,279,1547,16,1559,..,10302,1183,11492,230,11718,..,75282,10075,85359,835,86196,..,2430,280,2715,35855,38568,516017,77714,10361,88076,36690,640778
310,90,962,8,972,..,452,100,557,4,556,..,115,26,138,0,138,..,8652,4896,13555,109,13668,..,11256,2258,13512,281,13803,..,52938,11035,63975,768,64740,..,1668,301,1970,23279,25253,277133,54609,11341,65945,24042,367126
311,35,475,7,483,..,429,133,563,6,572,..,394,83,474,10,488,..,1224,504,1733,9,1738,..,15590,4567,20160,296,20457,..,51621,10586,62208,762,62973,..,1764,389,2158,22382,24540,272260,53390,10977,64368,23147,359767
312,9,97,0,97,..,292,65,359,0,356,..,27,4,33,0,33,..,151,68,216,6,222,..,2072,211,2286,51,2336,..,9732,934,10670,141,10817,..,601,59,666,19218,19876,150204,10338,997,11329,19364,180894
313,0,47,0,47,..,344,156,496,5,506,..,53,10,59,0,59,..,304,94,399,0,406,..,2949,414,3365,80,3443,..,14203,2226,16432,187,16616,..,845,80,929,15076,16006,232127,15054,2307,17359,15263,264752
314,11,263,9,265,..,364,49,408,4,410,..,54,3,55,0,59,..,226,47,272,0,278,..,3695,506,4205,88,4292,..,22271,2231,24501,291,24789,..,713,70,786,6785,7568,185345,22980,2304,25284,7077,217700
315,4,39,0,39,..,67,12,72,0,80,..,4,3,3,0,3,..,86,85,165,0,165,..,9630,1470,11099,360,11458,..,12125,1780,13911,402,14313,..,520,106,625,9527,10149,55367,12651,1884,14531,9927,79827
316,0,104,0,104,..,621,107,723,0,729,..,56,5,61,0,67,..,428,89,512,7,524,..,3818,381,4198,89,4287,..,22123,1792,23913,326,24241,..,1080,104,1185,19494,20683,353923,23203,1893,25099,19826,398840
317,16,186,3,190,..,143,28,171,0,167,..,29,9,39,0,39,..,190,35,227,3,227,..,3758,1596,5344,107,5451,..,13577,3029,16610,223,16828,..,504,127,625,7470,8099,137132,14080,3153,17231,7691,162059
318,9,231,0,231,..,268,56,329,6,334,..,18,0,21,0,21,..,363,130,493,3,501,..,5050,793,5845,95,5941,..,15889,1935,17828,224,18047,..,981,97,1087,18677,19762,196473,16873,2038,18906,18898,234283
319,6,98,4,99,..,348,164,515,0,513,..,78,21,97,0,97,..,278,120,395,3,401,..,2417,376,2799,64,2857,..,10705,1582,12290,180,12470,..,774,86,856,20502,21355,273917,11476,1666,13146,20685,307745
397,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,21,0,22,..,0,0,0,128,128,32,19,0,21,130,183
399,0,0,0,0,..,13,3,18,0,18,..,5,0,5,0,5,..,21,5,23,0,23,..,272,31,300,7,316,..,1031,135,1163,19,1184,..,56,4,62,3455,3517,9972,1085,140,1226,3475,14670
401,32,955,4,958,..,427,75,497,5,505,..,134,0,136,0,141,..,2246,304,2549,16,2562,..,4636,495,5127,132,5258,..,62597,8020,70614,591,71204,..,843,101,943,10109,11057,230115,63440,8117,71562,10705,312377
402,65,1021,9,1033,..,556,143,701,6,710,..,305,50,356,0,356,..,6047,2900,8950,53,8996,..,19907,6545,26458,428,26880,..,88880,19909,108794,1197,109987,..,2250,594,2849,17785,20630,325085,91129,20511,111642,18979,455707
403,18,559,0,560,..,389,55,444,4,449,..,85,14,98,0,98,..,761,135,891,8,903,..,5202,775,5979,161,6137,..,40924,5090,46016,525,46545,..,1070,112,1183,11447,12632,315685,41997,5200,47201,11976,374859
404,40,612,10,621,..,319,84,402,5,400,..,114,11,125,0,127,..,5895,2951,8838,52,8894,..,6130,1163,7294,174,7478,..,56827,10875,67699,633,68330,..,1011,174,1185,7842,9029,166987,57831,11056,68884,8476,244347
405,0,15,0,10,..,79,14,91,0,91,..,0,0,0,0,0,..,64,15,71,0,71,..,600,106,705,31,732,..,2806,310,3115,72,3185,..,282,11,293,6662,6957,104345,3090,319,3408,6732,114487
406,0,74,7,77,..,55,10,70,0,67,..,12,0,12,0,10,..,70,10,81,0,81,..,2969,348,3317,190,3502,..,6004,586,6591,246,6834,..,395,31,429,6731,7159,68658,6400,613,7016,6979,82646
407,3,71,0,73,..,164,40,205,5,209,..,96,34,136,0,136,..,225,98,330,0,332,..,2000,712,2711,55,2763,..,8814,1918,10732,148,10878,..,475,58,529,12482,13004,169818,9293,1969,11265,12624,193709
497,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,5,5,0,8,0,8,5,12
499,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,0,8,..,85,10,92,11,105,..,270,33,302,11,314,..,32,6,32,770,806,2261,300,34,334,777,3377
501,6,75,0,74,..,252,47,298,5,298,..,14,0,14,0,14,..,189,93,284,0,285,..,1958,332,2292,59,2348,..,11141,1275,12413,171,12588,..,545,44,586,11654,12237,163920,11681,1325,13008,11824,188747
502,4,47,0,47,..,273,50,320,3,328,..,9,0,9,0,9,..,119,40,159,0,162,..,1220,117,1335,31,1363,..,6110,536,6643,68,6715,..,463,31,492,6114,6606,94318,6576,566,7140,6183,107641
503,14,489,7,496,..,460,78,540,0,539,..,96,7,104,0,104,..,1194,270,1466,8,1473,..,4512,309,4819,94,4911,..,32941,3498,36441,352,36791,..,749,63,814,8602,9422,136054,33694,3561,37252,8955,182267
504,53,857,16,866,..,731,120,851,3,857,..,126,39,159,0,159,..,3919,1784,5705,38,5738,..,9878,1628,11502,205,11709,..,49859,8132,57984,623,58614,..,1306,194,1495,14029,15525,202437,51162,8325,59486,14653,276573
505,40,776,15,793,..,1369,212,1582,11,1588,..,313,76,391,3,390,..,6990,3389,10379,70,10452,..,18470,3361,21826,369,22199,..,101074,15716,116795,1149,117941,..,2725,427,3152,21825,24970,434382,103800,16147,119940,22974,577297
506,417,5122,54,5176,..,1583,288,1872,17,1888,..,874,229,1107,8,1107,..,2096,606,2700,30,2729,..,20998,3704,24702,489,25196,..,129450,18766,148219,1718,149942,..,2864,480,3347,25811,29159,350367,132319,19251,151568,27529,529466
507,35,1055,7,1060,..,1083,174,1259,9,1269,..,149,16,167,0,170,..,889,231,1121,18,1140,..,8210,890,9103,214,9310,..,63928,7492,71420,785,72198,..,1770,185,1957,20785,22739,348470,65698,7682,73374,21564,443407
509,0,49,0,49,..,138,36,169,4,173,..,6,0,10,0,10,..,117,55,172,4,173,..,1629,420,2047,55,2100,..,6647,946,7589,126,7717,..,338,50,382,12491,12874,116589,6983,992,7972,12615,137175
510,7,79,0,82,..,380,54,436,4,447,..,22,4,31,0,32,..,135,25,163,0,163,..,7615,579,8198,227,8417,..,13678,1017,14696,313,15016,..,783,219,1005,14816,15814,59297,14465,1233,15695,15128,90128
511,0,84,4,90,..,314,62,381,0,381,..,11,0,11,0,11,..,279,149,428,6,431,..,3422,263,3685,79,3768,..,9871,931,10808,167,10968,..,589,59,646,14510,15162,92630,10458,989,11455,14676,118758
597,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
599,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
601,15,298,3,301,..,293,37,334,5,340,..,49,5,59,0,60,..,922,126,1051,18,1071,..,2774,552,3325,126,3453,..,28316,2988,31303,389,31693,..,726,98,824,10542,11363,204029,29043,3091,32132,10928,247086
602,3,119,0,119,..,135,22,150,0,150,..,21,0,25,0,25,..,227,33,257,6,263,..,1535,399,1933,61,1991,..,9209,1419,10634,141,10773,..,423,60,487,7230,7714,132706,9637,1480,11111,7377,151195
