SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,167,88,65,152,99,65,162,111,70,185,87,96,179,480,359,844,112,78,185,85,61,151,102,78,178,78,50,127,91,74,161,470,339,808,81,48,133,74,71,137,94,36,138,78,41,119,75,36,115,403,236,637,70,46,113,55,30,85,42,39,82,32,25,58,50,26,75,250,163,415,43,17,59,29,11,45,18,13,32,18,17,32,17,7,22,120,66,191,48,39,86,8,17,26,11,7,17,0,4,3,0,0,0,6375,4997,11371
201,2166,1108,1121,2221,1105,1154,2262,1130,1247,2385,1200,1245,2444,5557,5915,11473,1104,1274,2377,1055,1154,2210,1098,1253,2344,1133,1172,2307,1095,1144,2236,5483,5995,11479,1055,1178,2232,1116,1149,2256,1050,1130,2183,1060,1155,2213,1012,1154,2163,5291,5766,11057,1006,1085,2087,991,1020,2011,948,994,1946,965,1000,1970,971,1003,1973,4876,5103,9977,799,807,1602,686,749,1434,664,748,1412,582,653,1228,566,585,1155,3289,3538,6831,2054,2321,4379,1081,1535,2618,420,857,1278,113,277,392,5,28,33,85041,88886,173937
202,2066,1024,1099,2119,1042,1195,2232,1128,1215,2346,1013,1261,2276,5172,5868,11042,1169,1217,2388,1110,1138,2249,1114,1210,2325,1083,1212,2295,1060,1138,2197,5532,5920,11460,1024,1094,2114,1052,1115,2165,1050,1182,2230,1078,1139,2217,1046,1067,2118,5247,5590,10840,1001,1061,2061,991,1035,2026,906,948,1859,909,933,1842,967,1023,1982,4771,4995,9765,745,726,1471,720,779,1495,640,692,1332,577,612,1189,539,613,1154,3221,3415,6639,2122,2422,4543,1147,1549,2696,502,886,1388,130,279,404,9,25,28,81803,85960,167764
203,3653,1865,2081,3944,1894,2074,3963,1891,2156,4055,1931,2170,4097,9338,10373,19706,1856,2115,3977,1827,2138,3959,1912,2118,4030,1840,2138,3977,1888,2047,3934,9322,10549,19874,1934,2107,4042,1842,2015,3861,1826,2047,3878,1714,2024,3736,1771,1898,3676,9096,10088,19186,1738,1866,3604,1694,1809,3500,1588,1845,3435,1601,1759,3359,1688,1839,3526,8305,9116,17425,1319,1489,2807,1173,1320,2493,1161,1266,2422,971,1162,2138,971,1091,2062,5595,6324,11922,3574,4423,7993,1960,2782,4739,881,1585,2462,198,485,682,13,58,69,160063,167815,327878
204,2476,1188,1284,2474,1183,1310,2497,1410,1336,2748,1375,1463,2836,6374,6650,13026,1355,1502,2856,1383,1475,2855,1328,1408,2738,1365,1388,2752,1263,1412,2680,6693,7184,13878,1343,1338,2682,1329,1398,2726,1342,1268,2605,1365,1316,2683,1189,1182,2371,6573,6505,13079,1225,1211,2432,1255,1236,2485,1186,1174,2356,1147,1106,2260,1161,1189,2347,5976,5909,11887,998,901,1899,859,955,1805,762,811,1572,717,735,1453,677,776,1456,4012,4175,8186,2547,2785,5328,1242,1764,3003,580,979,1556,113,261,381,8,50,55,91165,93770,184935
205,3767,1901,2123,4029,2011,2161,4171,2106,2351,4459,2214,2353,4558,10061,10929,20989,2244,2405,4652,2261,2437,4699,2282,2442,4729,2166,2416,4584,2156,2381,4537,11112,12088,23202,2271,2320,4595,2159,2322,4485,2246,2283,4523,2205,2386,4599,2250,2265,4514,11130,11569,22707,2236,2095,4332,2142,2190,4330,2041,2046,4088,2018,1967,3979,2100,1993,4089,10531,10297,20829,1673,1677,3350,1523,1528,3050,1383,1426,2807,1213,1277,2498,1143,1197,2343,6942,7101,14052,4351,4683,9043,2138,2759,4895,904,1470,2368,161,422,591,12,66,77,147833,153015,300848
206,6227,2953,3086,6040,3020,3190,6214,3063,3005,6070,2920,2828,5751,15048,15252,30299,2880,2981,5863,2618,2850,5471,2714,2721,5443,2389,2607,5002,2353,2685,5037,12965,13849,26809,2270,2520,4792,2181,2405,4585,2032,2294,4324,1954,2201,4151,1962,2069,4033,10403,11489,21898,1919,2131,4048,1760,2046,3804,1680,1870,3551,1718,2033,3748,1771,2027,3802,8844,10111,18950,1505,1570,3070,1307,1582,2892,1279,1379,2655,1080,1196,2273,1086,1273,2363,6254,6996,13252,4162,5445,9603,2405,3576,5980,1092,1840,2926,289,601,892,22,64,83,299941,317072,617018
207,4743,2234,2443,4687,2249,2495,4743,2262,2468,4733,2206,2451,4655,11168,12388,23553,2096,2352,4449,2048,2279,4327,1999,2179,4176,1945,2139,4086,1929,2166,4097,10025,11116,21137,1790,2082,3867,1754,2027,3780,1747,1977,3728,1557,1933,3492,1659,1826,3487,8509,9850,18359,1519,1842,3361,1560,1875,3433,1447,1771,3218,1521,1869,3384,1567,1929,3495,7602,9287,16894,1378,1638,3018,1217,1542,2765,1253,1561,2817,1110,1402,2513,1148,1350,2495,6105,7503,13607,4746,6188,10934,2977,4164,7140,1418,2463,3882,327,765,1099,30,116,149,179806,193669,373472
208,5333,2575,2759,5332,2569,2787,5353,2646,2788,5433,2520,2819,5341,12875,13922,26797,2438,2676,5112,2365,2553,4916,2293,2526,4822,2255,2382,4641,2130,2437,4572,11488,12581,24063,2114,2250,4360,2023,2272,4305,1896,2201,4098,1890,2182,4069,1787,2258,4046,9713,11160,20873,1780,2101,3876,1731,2063,3789,1680,2029,3711,1684,2019,3706,1925,2196,4115,8790,10405,19192,1507,1774,3282,1351,1692,3041,1250,1510,2759,1084,1366,2452,1089,1356,2451,6287,7700,13987,4398,5816,10215,2626,4170,6796,1379,2657,4034,388,933,1319,25,150,180,203350,219288,422639
209,6269,2945,3144,6091,2991,3253,6238,3014,3267,6286,2821,3120,5940,14779,16040,30823,3025,3193,6214,2760,2994,5758,2713,3043,5750,2625,2928,5548,2608,2806,5413,13731,14959,28687,2500,2846,5344,2401,2653,5053,2217,2526,4737,2223,2481,4704,2092,2344,4433,11435,12837,24277,2010,2297,4308,2024,2293,4325,1979,2195,4178,1973,2124,4094,1974,2203,4178,9961,11124,21083,1588,1806,3395,1536,1651,3183,1409,1620,3025,1291,1458,2744,1215,1364,2574,7032,7893,14928,4647,5732,10372,2711,3780,6495,1106,2021,3125,230,575,808,19,61,79,266882,273777,540664
210,4919,2433,2468,4897,2337,2494,4832,2374,2333,4709,2248,2363,4613,11808,12154,23962,2210,2278,4487,2047,2143,4191,1941,2102,4050,1845,1997,3838,1860,1918,3777,9905,10445,20343,1773,1897,3673,1640,1774,3419,1543,1746,3286,1517,1724,3238,1453,1559,3024,7935,8700,16636,1376,1640,3014,1325,1601,2923,1366,1578,2941,1341,1586,2924,1342,1557,2896,6740,7961,14705,1225,1239,2464,1060,1146,2211,966,1214,2177,827,1058,1887,898,1037,1932,4969,5691,10661,3470,4383,7851,2021,2923,4939,894,1407,2294,175,342,514,14,50,61,210949,213385,424328
