SA3_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
11902,5854,19287,12997,4040,2370,44541,1002,45549
11903,6027,18243,13843,4417,2302,44827,709,45536
11904,7309,24455,14399,4006,2105,52271,899,53171
12001,3279,15245,10906,2598,1237,33267,373,33640
12002,2981,12021,6202,1057,334,22596,195,22794
12003,10929,28852,14206,3606,1797,59390,971,60357
12101,5701,21321,12862,2841,1156,43878,393,44276
12102,2621,13309,10505,2844,1423,30697,262,30954
12103,1814,14888,17545,5033,2374,41659,301,41956
12104,6965,22842,9939,1785,727,42257,399,42656
12201,1629,7317,5420,1310,604,16283,141,16422
12202,780,6554,9525,3192,1978,22019,206,22227
12203,3712,20528,20975,6289,3658,55157,567,55729
12301,601,5739,10215,3997,2716,23273,205,23480
12302,4397,21379,20575,6719,3661,56728,898,57624
12303,386,3269,5574,2699,2700,14632,175,14805
12401,1786,11295,11372,3663,2038,30157,301,30458
12402,0,4,0,0,0,4,0,4
12403,3543,18232,20392,7215,4767,54141,670,54809
12404,759,4334,4563,1822,1479,12961,148,13112
12405,1238,6458,6684,2456,1510,18343,314,18663
12501,4579,16109,8887,2371,1177,33134,797,33926
12502,1791,8999,9577,2774,1288,24425,337,24765
12503,5567,17876,15545,5453,3287,47726,1203,48924
12504,7708,25989,14343,3500,1703,53243,908,54151
12601,1450,7911,6660,1765,774,18562,174,18738
12602,6653,25354,16385,4220,2067,54673,631,55301
12701,1714,10376,16881,6654,4516,40133,618,40758
12702,5672,19068,18054,7933,5177,55907,1065,56981
12703,3883,14969,14904,5130,2791,41684,773,42456
12801,2846,16004,16916,5044,3058,43855,429,44287
12802,1868,12029,15991,5222,3392,38505,308,38809
19797,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0
20101,2667,16760,16869,5443,3074,44806,580,45382
20102,314,3429,4555,2097,1416,11811,176,11983
20103,440,3383,3872,1669,1232,10597,231,10828
20201,2201,14438,15071,5035,2762,39505,514,40027
20202,633,6115,7806,3113,2184,19854,297,20145
20203,119,1152,1619,918,702,4515,112,4624
20301,82,1273,3137,1524,1327,7344,111,7459
20302,4920,29434,31254,9172,5121,79898,1066,80964
20303,743,11146,15770,4549,2315,34523,388,34913
20401,870,7179,8585,3660,2486,22783,413,23190
20402,955,6273,7235,2770,1788,19018,515,19530
20403,1123,9070,11559,4146,2547,28451,613,29065
20501,684,6511,8450,3302,2231,21179,298,21479
20502,840,6670,7492,2781,1597,19374,439,19815
20503,1074,10022,10958,3884,2280,28209,524,28734
20504,2130,10893,10701,3932,2296,29951,602,30560
20505,764,5570,6600,2567,1679,17185,304,17492
20601,6104,18851,9346,2276,1005,37576,397,37979
20602,2962,10618,6196,1362,599,21729,192,21919
20603,3604,12974,8221,2028,1030,27850,356,28208
20604,32070,29407,6840,912,374,69605,1143,70753
20605,8706,26676,10488,1608,611,48088,652,48743
20606,6427,15664,6377,1281,623,30374,351,30727
20607,8196,21678,8544,1583,501,40503,504,41005
20701,4559,25120,23270,6207,3003,62161,553,62715
20702,1749,12848,14750,4091,2148,35586,353,35944
20703,3924,16456,14277,3520,1692,39862,479,40344
20801,1895,13841,15730,4121,1984,37582,358,37936
20802,5274,26152,21848,4804,2205,60276,628,60906
20803,2969,18834,19142,4684,2222,47850,482,48335
20804,1365,6980,5787,1459,700,16295,212,16501
20901,2773,17713,19078,5104,2524,47190,473,47666
20902,4330,16759,11374,2982,1524,36966,600,37564
20903,365,4689,9798,4111,3189,22155,178,22333
20904,3303,25953,34886,11523,6354,82032,1162,83197
21001,1187,7583,9409,2766,1526,22475,277,22754
21002,162,2347,4837,2183,1586,11110,119,11227
21003,2634,12766,9811,2561,1331,29104,437,29537
21004,576,4861,6771,2426,1519,16152,174,16329
21005,2816,18825,24889,8710,5011,60257,1084,61344
21101,2161,17613,24412,8094,4574,56855,575,57431
21102,179,1844,3615,1619,1327,8582,65,8641
21103,2029,15235,17442,4890,2829,42421,433,42858
21104,1242,8514,9440,2388,1155,22742,280,23020
21105,1577,15129,23049,8908,6373,55036,524,55559
21201,1011,11378,16692,6030,4067,39168,502,39673
21202,1652,12716,18668,6838,4203,44088,612,44695
21203,1685,18041,31339,10841,5834,67741,922,68665
21204,4970,23093,22772,7994,4241,63072,1203,64274
21205,4455,22889,25263,7242,3386,63246,793,64036
21301,4325,20717,21655,8413,4539,59644,1167,60809
21302,2318,13090,12476,3152,1505,32542,387,32922
21303,4176,16189,9797,2212,848,33231,468,33695
21304,2026,17965,26197,9284,5479,60957,905,61861
21305,3447,32272,38327,10788,5253,90076,1479,91560
21401,3036,18780,20716,6399,3382,52314,705,53019
21402,2329,21510,26620,8399,4945,63801,848,64650
21501,1342,7887,8561,3579,2495,23860,472,24334
21502,1275,7014,7772,2958,1770,20780,499,21283
21503,791,4501,5272,2192,1495,14250,385,14635
21601,719,4694,5506,2327,1556,14805,329,15130
21602,544,3898,4281,1734,1209,11658,259,11917
21603,1214,8049,9119,3618,2201,24197,532,24727
21701,706,4788,5344,2381,1568,14794,267,15056
21703,714,4818,5464,2292,1570,14862,322,15185
21704,921,6708,7955,2804,1717,20102,323,20425
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
30101,972,7757,10679,4102,2625,26131,234,26373
30102,1721,11080,13584,5059,2897,34349,434,34786
30103,1384,9077,11093,3408,1653,26607,284,26887
30201,624,5191,7334,2171,1147,16461,151,16610
30202,2517,11737,10754,2881,1343,29229,331,29556
30203,1475,7375,6121,1606,728,17299,196,17496
30204,1538,9035,8552,2435,1252,22821,483,23305
30301,1042,7159,8264,2323,1158,19947,247,20194
30302,3333,14330,10483,2700,1293,32146,416,32556
30303,1633,9230,10970,3334,1719,26896,342,27243
30304,991,5441,5561,1585,780,14358,162,14522
30305,721,6630,9591,3060,1444,21443,264,21711
30306,816,5429,6231,2194,1120,15800,245,16042
30401,282,3403,5285,1651,744,11363,83,11444
30402,350,4064,7348,2461,1383,15613,95,15706
30403,1832,8913,6767,1710,736,19951,170,20114
30404,1087,6791,8077,2235,1020,19216,153,19370
30501,8374,20771,7436,1376,603,38560,624,39182
30502,1049,7015,6493,1690,846,17101,166,17266
30503,4572,20428,12912,3012,1392,42310,498,42816
30504,1899,9859,8001,2235,1092,23085,205,23286
30601,611,7315,8975,2753,1274,20926,242,21166
30602,3140,14567,13125,4113,2039,36984,800,37788
30603,811,4567,4679,1587,803,12443,374,12813
30604,222,1800,1644,509,238,4415,113,4533
30605,771,5415,5918,2234,1237,15577,428,16007
30701,688,4973,5673,2473,1593,15392,349,15743
30702,578,4613,5638,2551,1675,15055,292,15344
30703,724,5296,5761,2319,1523,15620,330,15952
30801,443,2946,3494,1538,933,9342,210,9557
30803,2422,14773,16276,6051,3402,42928,764,43693
30804,224,1331,1854,837,621,4862,135,4995
30805,966,7545,9092,3424,1762,22794,387,23181
30901,1533,10439,9901,2727,1418,26033,430,26463
30902,1156,8158,8656,2654,1392,22012,314,22328
30903,1712,12863,10050,2681,1223,28524,472,28995
30904,87,1754,2787,1296,947,6865,89,6954
30905,167,2562,5018,2089,1403,11234,112,11348
30906,798,6949,9814,3858,2455,23877,323,24204
30907,899,13638,22711,8360,4701,50308,626,50934
30908,754,7345,8120,2352,1044,19609,256,19866
30909,2244,10524,7832,2476,1293,24370,424,24799
30910,1718,8611,5625,1397,744,18097,364,18462
31001,1719,9190,9456,3073,1404,24845,421,25266
31002,585,6165,8806,4189,3176,22915,501,23419
31003,2585,14468,15664,5734,3195,41653,588,42244
31004,1187,10830,14333,4523,2113,32980,489,33469
31101,250,1849,1883,804,523,5310,97,5404
31102,1080,6192,5979,2092,1109,16445,340,16783
31103,1050,8949,11378,4539,2889,28805,493,29298
31104,199,3520,7260,3776,3370,18124,252,18371
31105,1110,6940,8216,3153,1963,21387,378,21762
31106,1914,9309,9476,3372,1815,25892,546,26435
31201,430,3542,4334,1647,983,10924,269,11187
31202,1748,13183,16834,6667,3660,42101,867,42964
31203,435,2726,2871,1002,544,7568,152,7722
31301,820,7007,5461,1667,949,15908,261,16169
31302,1495,9225,9631,3855,2531,26734,412,27147
31303,93,1210,1761,855,680,4601,87,4689
31304,875,7222,8751,3698,2740,23288,320,23604
31305,2199,10794,8761,2789,1389,25924,396,26329
31401,485,6793,13585,5447,3629,29944,196,30140
31402,1043,10737,12940,3843,1609,30176,311,30492
31403,782,5240,5563,1823,977,14380,176,14556
31501,1753,2972,2394,919,591,8622,386,9013
31502,921,3281,3341,1140,732,9407,401,9817
31503,432,2378,2039,845,673,6372,179,6550
31601,829,7155,8652,2878,1550,21067,259,21324
31602,1632,13924,14232,4327,2225,36346,465,36809
31603,1303,10670,9473,2724,1303,25474,380,25860
31605,686,6802,7358,2085,941,17865,233,18097
31606,431,5792,8462,3492,2472,20652,278,20930
31607,698,5471,7147,2743,1767,17832,269,18098
31608,149,2203,3486,1554,1140,8535,127,8662
31701,3358,21317,22515,7806,4482,59485,748,60232
31801,1015,5062,5554,2144,1198,14969,404,15376
31802,3692,24068,27508,9075,4508,68864,1048,69911
31901,2123,13462,12865,4648,2585,35680,695,36381
31902,945,6485,6653,2750,1665,18496,490,18991
31903,837,6798,7607,2988,1827,20051,376,20430
31904,1449,10304,8724,2826,1466,24774,414,25195
31905,1098,6782,6627,2393,1464,18361,399,18758
39797,0,0,0,0,0,3,0,3
39999,0,0,0,0,0,0,0,0
40101,3421,5409,1717,268,137,10956,155,11116
40102,757,7677,12129,4812,3281,28656,276,28930
40103,997,6489,6956,2085,1059,17589,111,17704
40104,1585,8117,7882,2321,1331,21238,214,21450
40105,1671,7030,5083,1332,682,15801,164,15965
40106,912,4366,4424,1333,677,11708,115,11821
40107,1244,6463,5505,1446,734,15401,125,15526
40201,753,4383,5126,2200,1608,14069,192,14263
40202,3330,12904,12221,4171,2344,34970,670,35644
40203,2388,10850,10503,3028,1421,28188,384,28566
40204,3558,18595,18798,6609,3528,51082,719,51810
40205,1767,12495,14668,4971,2784,36674,323,37003
40301,1269,6503,5324,1392,700,15198,177,15377
40302,3196,14779,14347,4196,1968,38482,420,38904
40303,1219,8019,10104,3296,1806,24444,196,24643
40304,3585,23914,26474,8935,4962,67866,725,68596
40401,3985,18457,16964,5169,2631,47202,559,47759
40402,2444,9469,8351,2566,1298,24124,320,24448
40403,2524,10718,9055,2653,1315,26265,281,26544
40501,390,4043,5457,2468,1843,14186,176,14362
40502,346,2885,3389,1444,1005,9065,118,9180
40503,872,3901,3650,1558,1013,11000,246,11249
40504,476,3979,4263,1423,883,11023,204,11231
40601,1835,7691,7938,3019,1724,22202,511,22710
40602,885,3151,2942,1086,626,8694,259,8952
40701,918,8753,8450,3035,1821,22973,313,23282
40702,1312,8187,9540,3913,2511,25462,432,25897
40703,1573,9283,9941,4222,2853,27874,531,28403
49797,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0
50101,608,6872,8609,2898,1512,20504,341,20841
50102,1563,12711,15682,6034,3356,39355,626,39978
50103,301,2742,3446,1532,977,9001,145,9142
50201,1947,15863,15176,5248,2852,41079,662,41734
50301,1260,8281,10497,3407,1794,25243,211,25459
50302,5601,23341,13748,2902,1217,46812,496,47305
50401,2213,13421,12784,3486,1770,33664,418,34084
50402,497,3925,5951,2766,2010,15157,165,15316
50403,1781,15309,20840,7673,4629,50224,645,50874
50501,1458,16010,25856,8998,4918,57236,520,57751
50502,4726,32216,31749,8610,4249,81559,1051,82612
50503,2300,22125,29576,10398,5796,70195,828,71023
50601,1315,9875,13661,4638,2644,32131,419,32549
50602,2411,13331,10730,2801,1207,30481,459,30940
50603,1836,11491,13877,4633,2436,34273,440,34710
50604,1775,13766,16665,6264,3624,42095,582,42675
50605,597,5847,8596,3526,2434,21006,247,21248
50606,124,2193,4279,1923,1571,10092,134,10232
50607,988,7374,6620,1789,748,17516,172,17690
50701,1684,13936,17897,5742,3024,42285,462,42742
50702,1281,6488,5898,1528,729,15926,196,16121
50703,773,5400,6265,1979,1013,15422,236,15666
50704,1676,12934,16654,5078,2732,39076,378,39453
50705,1909,16574,19282,6638,3369,47776,647,48428
50901,932,7381,8639,3540,2368,22863,395,23262
50902,644,5694,7365,3554,2686,19940,454,20393
50903,272,2062,2556,1176,995,7060,151,7212
51001,1758,3273,2840,1105,625,9599,441,10043
51002,427,1994,2571,929,429,6358,152,6508
51003,272,2175,3332,1301,654,7732,155,7888
51101,252,1816,2183,831,598,5676,96,5777
51102,202,1158,1149,396,305,3206,83,3291
51103,836,3834,4493,1783,1007,11950,332,12275
51104,888,6449,7311,2787,1652,19089,413,19497
59797,0,0,0,0,0,3,0,3
59999,0,0,0,0,0,0,0,0
60101,447,2188,2372,1127,841,6981,117,7098
60102,1257,7664,8545,3072,1888,22428,256,22688
60103,2097,8604,7189,2792,1704,22382,390,22775
60104,505,4555,5349,1945,1228,13590,130,13721
60105,2060,8951,7069,2123,1073,21278,218,21501
60106,179,2201,2749,1194,788,7112,95,7205
60201,2476,12957,11951,4280,2367,34030,635,34665
60202,250,2622,3489,1766,1264,9384,182,9563
60203,643,5035,5777,2617,1753,15832,299,16128
60301,97,1052,1661,954,784,4555,87,4643
60302,231,2468,3320,1336,858,8203,131,8335
60303,87,1085,1240,463,284,3166,61,3226
60401,1332,7462,7039,2744,1654,20235,340,20568
60402,1030,6506,7010,2774,1708,19035,292,19327
60403,316,2342,2531,1054,608,6849,134,6984
69797,0,0,0,0,0,0,0,0
69999,0,0,0,0,0,0,0,0
70101,813,4523,3686,931,423,10371,194,10567
70102,1129,6060,7079,2430,1198,17900,374,18273
70103,98,1302,2227,1246,1125,5998,148,6143
70104,543,3854,5288,1710,657,12053,252,12311
70201,1629,4150,3267,1207,634,10883,321,11208
70202,421,547,271,67,54,1366,59,1428
70203,1377,1206,678,213,115,3590,124,3713
70204,764,858,598,145,53,2420,81,2506
70205,859,1467,1250,458,272,4310,205,4513
79797,0,0,0,0,0,0,0,3
79999,0,0,0,0,0,0,0,0
80101,2036,15081,15315,4451,2278,39161,351,39514
80103,52,233,139,34,43,504,10,515
80104,986,10177,13045,3449,1756,29410,276,29684
80105,2687,11650,6778,1679,685,23468,203,23677
80106,811,6366,4543,992,456,13172,94,13258
80107,1221,10588,13475,4755,2579,32623,295,32919
80108,427,3270,3791,1037,561,9079,72,9154
80109,967,6420,5533,1482,772,15178,148,15322
80110,84,1638,1928,377,115,4147,31,4178
80111,0,28,83,33,36,185,4,185
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
90101,31,167,129,62,24,414,6,422
90102,0,32,38,20,24,118,4,122
90103,7,21,32,7,4,71,20,89
90104,23,334,334,117,61,871,26,898
99797,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0
