SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
12203,32029,102578,923,1578,2868,6279,3794,7856,3302,6131,9707,19650,5586,10892,696,1390,377,920,19662,38987,18,40,31,40,0,0,101,246,154,329,92,207,55729,149953,3453,..,59186,149953
12301,21740,68009,620,1023,754,1602,1378,2631,176,259,0,0,35,48,0,0,54,145,265,447,20,27,32,45,0,0,9,9,60,90,35,63,23480,71232,721,..,24201,71232
12302,45158,140050,3921,8749,4787,11774,8705,20525,1023,1817,500,822,1570,3066,182,337,405,929,3674,6965,0,0,0,0,0,7,13,21,15,24,71,136,57624,167699,2893,..,60521,167699
12303,13894,41917,543,870,67,153,603,1027,99,144,4,9,0,0,0,0,59,149,164,303,0,0,66,73,9,4,35,65,106,147,35,69,14805,43466,791,..,15595,43466
12401,28054,70557,783,1256,554,972,1339,2229,584,817,195,287,31,46,0,0,131,284,943,1431,0,0,5,6,0,4,38,66,47,77,64,102,30458,74401,3469,..,33922,74401
12402,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,..,7,7
12403,42383,126772,2086,4332,4406,10154,6493,14488,1437,2154,1205,2000,2067,3650,831,1480,174,390,5717,9675,27,42,93,120,3,13,15,46,142,226,77,160,54809,151320,3070,..,57879,151320
12404,10421,29276,1627,3071,519,1097,2151,4164,308,464,100,174,21,32,0,0,38,99,464,765,0,0,0,0,4,3,31,84,35,90,41,90,13112,34371,720,..,13833,34371
12405,15231,44794,636,1368,1776,4975,2412,6346,296,532,323,589,241,447,0,0,109,279,974,1845,0,0,0,0,0,5,22,39,19,40,23,53,18663,53072,902,..,19569,53072
12501,11307,39603,423,1049,2835,9042,3255,10092,2325,5679,2037,5679,6930,16300,7481,17579,352,1061,19120,46300,0,0,0,0,0,0,97,301,99,302,141,319,33926,96612,4095,..,38018,96612
12502,14170,43748,837,1848,4629,13305,5465,15152,611,956,977,1987,2511,6348,865,2256,106,264,5071,11810,0,0,0,0,0,0,24,39,24,39,34,78,24765,70831,2097,..,26862,70831
12503,30292,103056,1968,4472,5014,16233,6976,20700,2245,4245,4387,10039,3663,9132,502,1160,532,1683,11330,26261,7,12,0,0,8,15,141,385,153,408,170,409,48924,150830,4232,..,53164,150830
12504,19645,59752,2360,5777,4841,13678,7203,19453,4748,10327,7426,17163,8095,19607,6545,15513,186,480,27000,63093,5,24,0,0,0,0,164,435,165,462,144,292,54151,143052,6094,..,60245,143052
