SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
10304,30057,31205,61266,2177,1892,4059,4660,4340,9001,1972,1824,3796,1613,1595,3212,3547,3976,7524,3555,3898,7452,3684,3869,7551,3535,3783,7318,3082,3261,6343,1692,1919,3612,557,856,1414,28632,30096,58733,1428,1106,2536,2034,2051,4088,32,28,63,45,32,79,2113,2116,4228,25447,26368,51817,2748,2944,5691,26624,27671,54301,1682,1773,3453,27220,28267,55494,615,572,1185,4345,4024,8370,1383,1354,2742,364,536,899,806,1421,2221,9687,12159,21842,1661,1678,3339,6993,6625,13616,1924,1742,3664,1169,999,2165,127,89,218,27581,28882,56464,2630,2516,5148
10401,26823,26846,53665,1271,1276,2544,3146,2877,6018,1457,1256,2715,1236,1123,2356,2621,2542,5158,2681,2665,5351,3118,3340,6459,4112,4209,8325,4194,4093,8287,2291,2399,4693,681,1070,1754,25442,25750,51190,1378,1098,2475,2194,1988,4178,36,41,82,58,55,109,2287,2083,4369,22721,22562,45286,2073,2345,4421,23463,24196,47651,643,843,1480,23557,24369,47928,382,379,759,2867,2635,5502,900,847,1748,171,243,417,416,970,1382,6943,8266,15213,1685,1633,3317,7366,7563,14927,2215,2137,4348,1301,1014,2316,72,68,142,23589,24560,48148,3615,2720,6336
10402,44679,47787,92462,2330,2300,4629,5921,5714,11638,2637,2598,5235,2053,1955,4012,4791,5075,9868,5048,5577,10621,5521,6134,11650,6080,6847,12929,6049,6315,12358,3164,3642,6806,1075,1641,2720,42572,45900,88473,2103,1892,3993,2352,2560,4912,59,51,112,67,57,118,2482,2662,5144,35292,37365,72657,6509,7454,13968,38180,40773,78955,3638,4087,7721,39283,41956,81242,724,722,1451,5470,5265,10736,1785,1848,3634,489,646,1140,1172,2197,3362,15281,18290,33578,2927,2893,5818,10497,10746,21248,2940,3044,5985,1727,1559,3281,251,304,558,41209,44257,85463,3897,4145,8040
10501,10850,10754,21607,781,715,1491,1441,1399,2844,621,588,1209,572,547,1114,1287,1481,2771,1096,1169,2273,1275,1349,2620,1630,1483,3117,1294,1056,2353,681,686,1362,169,280,451,10136,10147,20275,714,611,1330,2479,2684,5166,11,12,21,27,25,49,2510,2723,5233,8368,8153,16519,619,678,1299,8666,8535,17195,417,423,841,8776,8576,17353,186,150,336,1142,1117,2258,301,335,639,70,98,168,104,360,465,2390,3150,5544,594,630,1227,2489,2074,4562,815,727,1540,685,410,1091,68,43,109,8879,8744,17624,2846,2417,5260
10502,9753,10128,19876,560,533,1094,1165,1160,2321,581,521,1105,532,481,1011,1173,1282,2451,1043,1099,2139,1171,1154,2321,1410,1484,2889,1286,1224,2510,614,793,1405,218,398,618,9169,9592,18766,585,534,1116,1134,1224,2355,8,0,9,27,15,45,1172,1239,2410,8312,8580,16897,456,544,999,8504,8825,17328,277,354,634,8594,8926,17517,150,145,288,1010,988,2007,287,298,578,66,70,136,192,440,637,2055,2591,4650,716,652,1365,2702,2605,5311,888,995,1882,723,647,1375,39,20,65,8640,9025,17660,1454,1398,2853
10503,36712,37368,74084,2545,2461,5009,5238,4901,10132,2198,2025,4228,1929,1920,3849,5121,5149,10267,4198,4368,8568,4168,4349,8515,4523,4699,9219,3836,3926,7765,2234,2498,4733,719,1076,1794,34546,35864,70413,2170,1505,3669,5875,5764,11639,36,47,86,102,118,224,6009,5940,11947,29776,30550,60325,3102,3083,6185,30023,31410,61432,2242,2291,4535,30606,32012,62618,732,715,1450,4562,4339,8895,1331,1338,2669,309,460,766,669,1460,2130,10149,13049,23199,1917,2092,4011,8683,8061,16744,2427,2095,4525,1661,1313,2966,123,84,202,31733,33240,64973,4830,4343,9174
10601,49527,48403,97927,3234,3077,6309,6856,6529,13383,3213,2826,6037,3067,2727,5789,6673,6514,13192,6088,5967,12058,6188,6182,12364,6155,6114,12270,5042,4965,10008,2380,2432,4808,630,1083,1710,47700,46859,94555,1825,1546,3369,4518,4247,8766,100,76,181,138,119,258,4765,4442,9212,43251,42310,85562,3565,3630,7195,44204,44630,88837,1233,1444,2680,44236,44775,89012,947,929,1880,6414,6119,12533,1947,1909,3855,564,743,1305,858,1939,2803,12123,14803,26920,3392,3172,6562,14108,12865,26973,3740,3858,7601,1940,1691,3630,144,111,258,44615,45743,90351,5010,2721,7737
10602,42401,44621,87019,3091,2922,6010,6469,6112,12581,2699,2632,5332,2630,2664,5291,6042,6471,12511,5708,5998,11711,5092,5498,10592,4497,5021,9515,3747,4114,7868,1904,2259,4163,516,934,1452,40821,43342,84168,1574,1281,2855,2884,3109,5996,60,66,128,80,76,152,3017,3256,6272,36900,38773,75672,3815,4223,8045,38418,40372,78794,2257,2596,4852,39334,41417,80752,958,948,1904,6132,5803,11940,1901,1948,3853,739,962,1698,1155,2142,3288,13476,16082,29559,2923,2634,5558,10705,10741,21454,2712,3082,5802,1292,1322,2614,132,107,235,40333,42756,83086,1640,1779,3422
10603,37701,38712,76414,1744,1731,3476,4644,4391,9032,2310,2035,4341,1839,1719,3549,3399,3458,6854,3682,3951,7634,4539,4826,9372,5492,5811,11303,5701,5983,11681,3497,3566,7066,862,1241,2101,35865,37096,72960,1837,1614,3448,2359,2383,4746,50,41,94,49,50,98,2460,2480,4930,31101,31866,62964,4521,4887,9410,34224,35132,69354,1435,1621,3053,34416,35365,69786,555,553,1104,4308,4096,8410,1543,1455,3002,458,533,991,653,1382,2037,11520,13014,24535,2680,2397,5079,10572,10694,21268,2905,3039,5946,1407,1234,2641,101,93,194,34976,36198,71175,2264,2272,4540
10604,15516,15073,30584,940,851,1785,2277,2045,4323,975,893,1876,795,749,1547,1981,1991,3964,1945,1877,3823,1959,1944,3900,1991,1924,3914,1583,1520,3104,814,876,1690,248,409,659,14909,14586,29497,608,480,1087,1440,1362,2805,22,18,38,23,25,52,1485,1407,2893,13064,12751,25815,1363,1331,2695,13628,13507,27126,614,631,1247,13638,13550,27183,263,258,527,2092,1890,3983,660,639,1296,137,188,330,243,584,830,3642,4784,8425,1039,979,2019,4359,3808,8169,1242,1053,2295,712,592,1303,65,33,98,14037,13996,28034,1752,1168,2916
10701,39249,40573,79819,2549,2406,4954,5233,4994,10225,2514,2329,4840,2427,2337,4757,4915,5044,9956,4822,5080,9897,4838,5005,9843,4871,4965,9835,3855,4148,8003,2380,2873,5256,842,1408,2249,38190,39616,77808,1058,950,2010,1708,1754,3466,28,25,57,24,31,60,1764,1816,3580,29836,30318,60150,7663,8514,16180,31428,32031,63454,6063,6739,12803,35567,36657,72228,795,778,1571,4930,4699,9624,1791,1792,3579,706,811,1524,882,1568,2447,12756,14283,27037,2548,2189,4734,9702,9570,19273,2579,2817,5399,1826,2117,3941,317,431,752,37319,38441,75763,1706,1937,3648
10702,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,4,0,4,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0
10703,48441,50814,99254,3002,2745,5743,6575,6085,12662,3061,3027,6090,2835,2708,5548,5586,5994,11578,5707,6107,11815,5944,6483,12433,6198,6886,13081,5475,5929,11401,3032,3397,6432,1015,1455,2471,46725,49270,95990,1712,1550,3265,2085,2113,4200,44,41,85,26,32,58,2157,2186,4341,38961,40290,79251,7310,8313,15620,42153,43920,86070,3915,4586,8501,44366,46363,90728,1036,920,1960,6202,5715,11921,2213,2314,4525,780,970,1749,1041,2003,3046,16103,18817,34919,3173,2900,6075,12505,12658,25167,2978,3364,6347,1716,1798,3515,204,222,429,45791,48198,93986,2314,2385,4704
10704,66376,68383,134762,3672,3456,7132,7914,7484,15398,4123,4072,8196,5571,5449,11024,9405,9059,18467,8266,8588,16854,8332,8668,16993,7914,8314,16232,6138,6767,12909,3716,4342,8052,1330,2176,3503,64100,66121,130220,2279,2260,4548,1593,1648,3239,36,41,72,27,29,60,1656,1712,3367,49737,50771,100511,13952,14954,28904,53267,54472,107740,10212,10846,21055,58049,60215,118265,1234,1196,2430,7549,7099,14648,3295,3428,6721,2726,3006,5731,2787,3861,6648,31070,33569,64641,3489,2920,6411,12196,11835,24034,3065,3331,6397,1800,2193,3999,301,437,732,62188,64091,126279,3765,4033,7794
10801,16139,17170,33311,590,608,1202,1627,1616,3243,778,729,1509,566,514,1078,1112,1276,2385,1351,1501,2854,1857,1910,3760,2538,2805,5343,3143,3225,6366,1951,2017,3967,633,971,1599,15244,16381,31625,893,792,1686,975,958,1933,16,18,31,21,21,35,1007,996,2004,13145,13952,27095,1749,1913,3660,14523,15400,29921,501,553,1060,14594,15473,30068,174,196,373,1497,1454,2950,486,485,973,88,136,220,200,490,684,4470,5030,9505,969,943,1913,4842,5165,10004,1581,1730,3307,800,696,1493,48,39,87,14744,15715,30457,1614,1783,3400
10802,25394,25762,51154,1296,1237,2533,2882,2879,5766,1451,1326,2780,1161,994,2153,2410,2324,4738,2377,2476,4852,2845,3046,5892,3978,4275,8243,4206,4023,8231,2165,2237,4399,626,948,1579,24205,24694,48895,1194,1070,2257,2714,2685,5397,38,29,69,67,75,141,2818,2782,5599,21024,21131,42159,2085,2352,4437,22017,22911,44929,704,854,1558,22194,23117,45306,360,361,718,2539,2549,5087,874,867,1740,167,237,405,359,893,1247,6352,7663,14015,1554,1491,3044,6886,6999,13885,2359,2218,4581,1325,1164,2485,86,56,137,22455,23451,45908,3378,2813,6189
10803,220,232,445,11,8,24,19,27,52,4,4,4,8,4,6,29,35,64,38,29,69,17,25,43,39,44,82,29,23,56,17,22,38,11,3,15,192,194,388,27,36,62,3,0,5,0,0,0,0,0,0,3,0,5,165,165,333,35,44,77,186,197,382,20,14,32,182,192,376,4,0,4,17,27,46,0,0,0,0,0,0,4,5,10,95,110,207,10,12,25,52,45,94,7,3,14,0,0,6,0,0,0,176,180,356,53,52,102
10804,41583,45192,86780,2006,1837,3849,5106,4908,10013,2504,2437,4938,1899,1967,3865,3643,3999,7637,4108,4544,8655,4908,5537,10452,5551,6528,12081,6386,6805,13190,4104,4585,8692,1377,2042,3414,39678,43397,83073,1907,1794,3702,2245,2339,4587,25,32,58,36,41,78,2312,2414,4730,34373,37369,71742,5032,5638,10674,37980,41282,79264,1577,1888,3464,38118,41536,79655,664,585,1251,4804,4608,9410,1775,1855,3629,548,773,1324,938,1921,2854,14105,16933,31039,2733,2754,5486,10532,11644,22182,3237,3289,6532,1664,1509,3167,86,87,168,38960,42309,81267,2904,3158,6065
10805,27996,29349,57345,1278,1312,2587,3407,3172,6577,1532,1445,2978,1206,1046,2254,2365,2586,4950,2445,2754,5203,3168,3493,6659,4301,4746,9040,4867,4822,9693,2683,2792,5477,749,1177,1926,26547,28144,54691,1446,1207,2655,2221,2357,4576,46,41,93,39,32,70,2308,2427,4731,23358,24420,47780,2457,2721,5178,25234,26365,51600,774,1019,1791,25385,26658,52041,393,382,776,3066,2857,5925,944,990,1939,188,279,468,388,994,1386,7333,8750,16082,1660,1710,3366,8151,8419,16575,2579,2516,5091,1470,1248,2715,51,66,119,25673,27145,52815,2364,2384,4744
10901,32640,34406,67044,2154,2051,4207,4402,4158,8565,2092,2047,4132,1925,1971,3896,4045,4191,8236,3885,4213,8100,3887,4185,8069,4086,4386,8468,3622,3862,7487,1950,2320,4274,596,1017,1611,31137,33098,64233,1506,1303,2807,1130,1244,2377,25,23,48,42,36,77,1201,1300,2501,26708,28423,55134,3755,3903,7657,28093,29880,57977,2491,2557,5053,28950,30766,59712,613,589,1204,4080,3862,7941,1416,1519,2931,488,702,1189,853,1593,2453,10781,13341,24122,2953,2982,5936,6901,6676,13576,2125,1886,4009,1245,1131,2381,202,216,421,29898,31633,61534,2487,2633,5121
10902,6720,6336,13056,399,422,819,862,742,1601,369,338,706,359,292,659,738,730,1475,701,674,1369,852,815,1667,1039,971,2010,860,753,1606,425,434,860,127,166,288,6296,6063,12357,430,272,701,510,463,971,7,9,8,14,15,27,536,482,1016,5305,5051,10360,469,467,938,5503,5235,10742,366,332,696,5593,5319,10911,120,111,236,736,644,1374,206,217,425,47,70,122,83,190,280,1567,1998,3569,703,666,1367,1348,1092,2443,561,403,964,442,290,733,33,20,46,5631,5443,11069,1319,980,2300
10903,21550,21897,43453,1105,1013,2112,2557,2435,4988,1152,1104,2253,867,807,1672,1953,2023,3976,1941,2159,4106,2485,2588,5078,3162,3378,6542,3656,3400,7063,2016,2136,4148,661,855,1514,20213,20716,40930,1336,1179,2514,687,739,1427,17,13,22,13,19,31,713,772,1490,18114,18316,36432,1411,1645,3057,19173,19537,38706,561,644,1205,19164,19539,38704,305,297,602,2279,2212,4491,742,811,1553,124,226,351,230,636,868,5221,7063,12277,2555,2505,5063,4976,4383,9361,1973,1616,3585,1263,1007,2269,66,57,121,18983,19452,38427,2130,2068,4203
11001,18111,19424,37537,1045,959,2002,2324,2376,4705,1300,1504,2800,1314,1357,2672,2178,2339,4518,1949,2041,3993,2033,2265,4301,2399,2508,4900,2030,2110,4141,1207,1396,2610,333,566,897,17174,18414,35590,936,1005,1950,1361,1481,2842,12,24,34,28,26,57,1402,1527,2929,14084,14928,29017,2320,2594,4914,14933,15893,30825,1538,1656,3191,15219,16242,31461,335,297,631,2072,2132,4198,858,999,1854,479,647,1132,725,1121,1843,7033,8462,15499,947,940,1888,3429,3278,6707,1029,972,2000,717,595,1307,108,123,230,15822,16744,32568,2213,2549,4759
11002,19092,19633,38731,983,921,1902,2371,2335,4705,1048,1115,2158,897,798,1698,1814,1879,3694,1817,1929,3746,2273,2449,4723,2849,2919,5768,2924,2809,5731,1676,1764,3436,442,732,1176,18112,18750,36865,982,885,1866,1637,1745,3385,36,38,72,39,41,82,1713,1826,3537,15739,16226,31968,1327,1407,2737,16599,17240,33837,539,596,1130,16681,17348,34032,251,259,500,2068,2028,4096,619,713,1336,96,173,267,242,643,886,4719,5994,10716,1059,1156,2216,5089,5069,10160,1619,1458,3079,1240,930,2161,87,63,150,16795,17406,34198,2474,2284,4761
11003,12412,12304,24713,831,715,1550,1779,1734,3519,645,677,1327,744,701,1443,1541,1634,3175,1398,1437,2839,1559,1514,3066,1763,1708,3474,1279,1203,2482,680,706,1386,183,278,457,11796,11789,23574,621,522,1140,1984,2183,4163,21,16,43,37,39,76,2046,2238,4285,9716,9644,19363,613,641,1250,10029,9999,20033,377,392,775,10118,10072,20184,211,215,423,1443,1418,2866,339,389,727,105,146,253,175,392,563,3059,3882,6936,660,675,1331,2791,2482,5274,879,705,1584,605,387,989,56,39,92,10309,10249,20554,2658,2321,4976
