SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
50902,13,18,59,60,100,198,428,541,281,1697,5,3,17,14,14,24,19,19,17,130,273,295,782,794,998,1052,905,645,232,5985,1369,2282,5553,6122,7533,9139,8072,3947,1196,45211
50903,11,3,11,15,28,46,136,192,119,557,0,4,0,10,3,10,9,9,9,58,91,108,214,259,291,324,289,191,80,1852,450,836,1943,2226,2589,2989,2561,1351,471,15416
51001,85,46,112,118,169,191,200,115,24,1059,12,9,21,26,47,44,63,60,21,307,311,375,1014,791,815,641,351,131,47,4464,1393,2224,6047,5263,4657,3766,1958,607,139,26057
51002,18,9,31,49,66,84,72,34,11,372,4,4,15,19,33,27,13,14,10,129,180,312,1161,1007,778,580,139,35,14,4203,706,1486,5384,4845,3497,2645,714,157,39,19479
51003,11,12,18,32,60,65,72,30,5,311,5,0,16,22,19,14,6,13,3,103,226,307,1060,1045,732,510,157,38,5,4071,723,1542,5628,5840,4159,2610,770,186,19,21480
51101,6,0,10,15,27,55,97,146,73,419,0,4,0,3,0,7,10,3,5,28,84,98,191,216,268,233,202,166,43,1497,437,749,1850,1905,2188,2219,1702,1039,315,12407
51102,6,3,10,17,41,47,84,81,12,295,0,3,9,3,16,3,12,0,4,60,79,108,235,197,209,178,136,76,23,1232,270,533,1430,1269,1335,1322,953,410,90,7624
51103,22,23,50,90,112,174,202,137,56,868,6,3,14,37,33,30,21,18,6,171,232,434,1027,874,775,700,379,168,73,4670,1194,2640,6379,5731,5257,4656,2399,862,236,29361
51104,25,21,45,53,94,222,433,534,251,1662,0,12,20,16,26,34,39,55,29,228,355,358,872,939,908,879,699,456,212,5673,1625,2738,6289,6659,7469,7725,6296,3224,1108,43136
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
