SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
10304,0,0,0,0,1968,1972,51,4,4,0,1552,1613,1277,70,63,4,2125,3547,2142,116,197,9,1089,3555,2247,173,403,29,836,3684,2166,178,568,65,561,3535,2061,117,449,152,295,3082,1158,50,182,209,89,1692,277,6,39,210,27,557,11388,714,1911,673,8541,23224,3,0,0,0,1820,1824,96,4,4,0,1492,1595,1613,108,74,3,2180,3976,2335,205,271,16,1074,3898,2303,206,599,56,703,3869,2261,184,730,183,429,3783,1889,111,592,467,199,3261,847,41,230,713,81,1919,137,7,55,637,25,856,11480,867,2543,2080,8009,24976,4,0,0,5,3791,3796,144,7,8,0,3049,3212,2887,175,140,9,4308,7524,4476,319,466,27,2164,7452,4555,374,999,86,1540,7551,4422,365,1299,248,987,7318,3950,226,1041,621,502,6343,2010,96,411,924,173,3612,416,12,89,846,48,1414,22867,1583,4451,2753,16545,48201
10401,0,0,0,0,1454,1457,42,4,3,0,1185,1236,672,45,49,5,1845,2621,1226,118,145,9,1185,2681,1552,168,423,23,956,3118,2157,227,770,65,884,4112,2590,235,780,211,375,4194,1539,65,302,242,141,2291,359,11,48,228,34,681,10141,878,2528,795,8068,22403,0,0,0,0,1250,1256,56,6,0,0,1065,1123,816,91,46,6,1574,2542,1329,173,251,18,894,2665,1661,194,573,75,836,3340,2320,259,833,242,560,4209,2399,159,774,538,225,4093,1153,38,276,853,81,2399,209,4,53,773,34,1070,9938,932,2807,2507,6513,22697,0,3,0,0,2707,2715,94,9,3,0,2249,2356,1490,143,98,11,3424,5158,2555,290,394,31,2082,5351,3218,366,996,95,1792,6459,4482,492,1599,310,1444,8325,4991,392,1553,752,597,8287,2695,102,582,1095,219,4693,564,19,110,1002,67,1754,20077,1804,5331,3298,14580,45096
10402,5,0,0,0,2628,2637,51,6,0,3,2005,2053,1330,92,62,5,3300,4791,2638,209,270,12,1916,5048,3033,314,697,37,1433,5521,3407,321,1106,106,1143,6080,3805,293,1117,240,590,6049,2159,95,420,342,151,3164,611,22,76,329,29,1075,17038,1352,3759,1076,13197,36422,0,0,3,0,2589,2598,102,12,3,0,1831,1955,1761,157,127,13,3020,5075,2943,326,440,36,1835,5577,3205,432,1006,162,1321,6134,3599,422,1513,358,961,6847,3492,257,1347,788,431,6315,1659,63,565,1264,92,3642,309,12,115,1174,30,1641,17062,1679,5122,3798,12118,39775,11,3,3,0,5223,5235,152,20,3,5,3841,4012,3091,253,189,20,6319,9868,5581,534,708,45,3748,10621,6236,744,1713,201,2758,11650,7004,738,2611,467,2107,12929,7293,548,2469,1028,1021,12358,3819,156,983,1607,245,6806,919,34,198,1505,66,2720,34101,3032,8882,4871,25314,76197
10501,8,0,0,0,616,621,18,0,0,0,552,572,373,13,19,3,876,1287,525,41,62,4,467,1096,604,77,126,15,458,1275,778,96,238,38,473,1630,649,121,218,97,212,1294,351,30,100,113,83,681,71,4,11,64,17,169,3386,393,769,327,3762,8629,0,0,0,0,587,588,18,0,0,0,523,547,469,38,28,7,941,1481,581,52,61,6,471,1169,652,87,145,30,436,1349,770,80,218,99,313,1483,561,55,156,185,99,1056,250,22,59,325,32,686,45,0,11,212,8,280,3346,339,678,858,3416,8639,5,0,0,0,1202,1209,34,3,0,0,1080,1114,845,56,41,10,1820,2771,1109,94,118,14,937,2273,1255,162,272,40,895,2620,1554,183,461,133,791,3117,1211,175,378,276,312,2353,598,52,159,440,118,1362,120,7,25,268,26,451,6729,730,1445,1189,7178,17273
10502,0,0,0,0,582,581,6,0,0,0,525,532,234,22,19,0,886,1173,422,50,58,0,514,1043,504,86,156,15,408,1171,713,70,235,33,367,1410,733,80,238,81,162,1286,376,20,95,80,37,614,112,8,15,76,10,218,3100,332,818,285,3492,8029,3,0,0,0,520,521,11,0,0,0,467,481,322,36,33,0,893,1282,471,78,80,7,462,1099,529,75,175,22,358,1154,747,88,309,87,246,1484,649,46,201,247,81,1224,326,21,100,318,21,793,58,5,23,307,10,398,3111,346,922,1001,3057,8435,0,0,0,0,1102,1105,19,0,0,0,992,1011,560,63,55,4,1778,2451,885,129,139,7,980,2139,1028,159,331,37,771,2321,1454,158,548,119,617,2889,1382,130,436,324,241,2510,709,44,194,408,61,1405,171,9,41,382,19,618,6213,678,1741,1283,6545,16461
10503,4,0,0,0,2195,2198,52,4,0,6,1871,1929,1731,93,56,6,3237,5121,2388,181,197,12,1423,4198,2353,181,506,39,1097,4168,2675,277,684,97,798,4523,2390,202,613,236,403,3836,1471,82,258,313,114,2234,381,8,38,266,30,719,13435,1030,2345,967,11159,28930,0,0,0,0,2021,2025,108,13,0,5,1801,1920,2028,151,103,7,2859,5149,2456,222,322,19,1354,4368,2358,276,630,95,982,4349,2716,288,797,268,624,4699,2251,170,633,631,238,3926,1119,47,246,989,98,2498,172,7,53,826,23,1076,13210,1178,2789,2833,9993,30004,7,0,0,0,4216,4228,157,11,0,7,3671,3849,3753,249,162,11,6094,10267,4842,404,515,27,2771,8568,4708,456,1137,133,2080,8515,5395,562,1481,363,1419,9219,4644,377,1244,866,643,7765,2596,127,505,1297,210,4733,548,15,87,1092,50,1794,26654,2207,5132,3798,21147,58936
10601,3,6,0,0,3207,3213,73,3,3,0,2984,3067,1994,139,129,12,4410,6673,3190,328,401,9,2163,6088,3384,370,801,36,1596,6188,3675,328,1031,132,983,6155,3344,248,805,268,381,5042,1567,63,293,318,137,2380,319,14,44,229,31,630,17543,1493,3504,1002,15888,39432,6,0,0,0,2814,2826,129,12,0,3,2577,2727,2409,212,160,18,3720,6514,3325,385,552,48,1657,5967,3522,420,945,109,1186,6182,3668,326,1164,358,607,6114,2894,157,914,742,256,4965,1087,41,282,939,89,2432,186,11,60,783,45,1083,17230,1564,4063,2988,12949,38796,9,3,0,0,6022,6037,207,14,4,6,5558,5789,4403,350,285,23,8129,13192,6511,714,956,61,3815,12058,6907,791,1740,146,2784,12364,7340,649,2188,495,1590,12270,6240,406,1714,1007,639,10008,2655,100,567,1255,225,4808,504,23,101,1009,72,1710,34773,3061,7565,3993,28838,78236
10602,4,0,0,0,2697,2699,68,4,5,0,2552,2630,1991,127,124,0,3801,6042,3386,268,383,11,1658,5708,3072,310,622,34,1057,5092,2931,220,653,89,606,4497,2674,131,508,187,252,3747,1387,41,180,228,68,1904,296,4,25,173,16,516,15813,1103,2497,721,12701,32838,0,0,0,0,2634,2632,109,12,4,0,2542,2664,2637,212,176,19,3429,6471,3525,401,532,39,1503,5998,3188,371,928,96,914,5498,2952,286,1051,276,456,5021,2422,149,721,613,203,4114,1052,36,268,833,68,2259,157,0,45,704,27,934,16032,1468,3725,2586,11773,35586,5,0,0,0,5326,5332,172,14,8,0,5096,5291,4629,337,297,17,7226,12511,6915,672,916,46,3158,11711,6264,675,1545,132,1975,10592,5885,507,1704,359,1055,9515,5089,278,1231,802,454,7868,2439,77,451,1065,135,4163,452,8,72,879,42,1452,31848,2569,6227,3310,24473,68430
10603,0,0,0,0,2304,2310,36,0,0,0,1792,1839,913,66,61,4,2349,3399,1966,177,227,10,1306,3682,2470,254,602,47,1170,4539,3371,274,932,101,813,5492,3959,238,915,251,338,5701,2514,99,402,395,96,3497,534,4,44,268,15,862,15764,1112,3180,1076,10186,31322,0,0,0,0,2031,2035,72,5,0,0,1631,1719,1224,100,87,9,2025,3458,2221,251,350,24,1107,3951,2725,324,803,94,883,4826,3616,286,1105,281,519,5811,3843,185,991,736,228,5983,1875,58,418,1132,93,3566,266,8,94,854,20,1241,15845,1212,3853,3135,8538,32588,6,0,0,0,4333,4341,115,8,0,5,3420,3549,2143,172,154,16,4378,6854,4183,428,576,37,2415,7634,5197,575,1407,146,2047,9372,6990,561,2042,385,1333,11303,7801,420,1907,986,568,11681,4385,152,815,1522,185,7066,802,10,138,1115,38,2101,31612,2331,7030,4211,18719,63908
10604,0,0,0,0,975,975,19,0,0,0,773,795,554,36,35,0,1347,1981,1000,112,128,6,692,1945,1066,123,265,16,498,1959,1150,103,321,35,386,1991,1020,79,253,87,153,1583,526,27,106,110,46,814,130,5,17,73,20,248,5466,490,1129,323,4893,12299,0,0,0,0,893,893,28,7,0,0,719,749,687,64,49,3,1183,1991,1076,112,140,18,537,1877,1108,113,289,47,378,1944,1148,109,337,112,213,1924,880,52,268,242,73,1520,402,21,82,348,18,876,60,5,19,314,10,409,5387,480,1186,1091,4036,12179,0,0,0,0,1876,1876,46,7,0,0,1492,1547,1242,99,89,5,2539,3964,2078,224,271,20,1232,3823,2172,239,552,64,876,3900,2293,220,664,144,592,3914,1900,130,515,326,222,3104,924,49,192,457,62,1690,195,13,39,388,29,659,10850,970,2317,1414,8929,24478
10701,0,0,0,0,2511,2514,40,0,0,0,2383,2427,1502,81,65,9,3257,4915,2773,217,282,12,1540,4822,2740,236,606,43,1217,4838,2915,217,768,92,877,4871,2603,176,565,205,300,3855,1615,66,255,342,102,2380,462,17,39,306,22,842,14652,1012,2585,1013,12206,31467,4,0,0,0,2322,2329,93,6,0,0,2235,2337,1976,134,111,8,2799,5044,2985,296,447,33,1327,5080,2860,309,819,84,932,5005,2880,267,939,298,569,4965,2436,150,717,662,182,4148,1270,52,335,1168,48,2873,249,9,62,1066,28,1408,14756,1222,3438,3328,10431,33173,3,0,0,0,4828,4840,131,4,8,4,4613,4757,3483,217,177,12,6056,9956,5757,506,725,46,2862,9897,5600,540,1425,129,2147,9843,5796,483,1712,394,1446,9835,5045,330,1278,869,478,8003,2884,120,588,1510,149,5256,708,24,99,1370,45,2249,29411,2232,6021,4339,22638,64634
