SA3_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
10903,147,179,324,67,62,134,68,200,266,61,417,479,256,1236,1488,267,770,1035,1106,426,1530,818,499,1315,925,497,1422,1046,310,1352,670,224,892,741,138,877,1440,163,1602,904,20,923,679,38,709,362,11,372,736,70,803,841,49,888,283,341,625,11408,5650,17052
11001,104,114,215,49,68,119,48,201,243,49,323,371,190,829,1022,191,550,738,689,403,1087,580,456,1035,655,415,1072,796,319,1111,579,249,833,638,169,802,1204,280,1483,799,42,841,580,61,643,387,8,403,895,89,978,567,77,638,105,156,263,9093,4814,13908
11002,164,183,343,68,84,152,87,244,323,75,502,578,331,1318,1649,310,620,932,1164,337,1506,853,475,1328,847,362,1206,950,243,1193,596,163,757,652,127,781,1103,144,1244,602,17,619,406,26,433,262,4,267,439,66,506,732,34,770,222,304,525,9863,5263,15127
11003,77,87,166,21,34,59,21,103,121,34,170,201,120,413,538,144,229,376,340,164,507,301,239,536,379,252,630,393,154,548,304,141,444,338,100,432,733,177,916,549,24,567,423,49,466,254,12,266,593,70,663,490,34,522,174,187,360,5685,2633,8315
11004,222,282,510,104,119,218,98,360,465,123,722,846,439,1855,2293,470,1081,1559,1598,724,2327,1313,940,2253,1622,918,2534,1830,594,2426,1245,443,1692,1427,366,1793,2898,534,3429,1986,82,2069,1578,118,1695,856,23,884,1972,192,2167,1414,116,1535,344,500,846,21559,9985,31543
11101,327,410,741,134,174,306,137,447,583,158,925,1091,541,2874,3417,555,1685,2240,2098,903,3001,1917,1156,3077,2313,1108,3418,2529,805,3336,1877,651,2531,1864,506,2371,4413,805,5219,3541,105,3650,3130,180,3313,2033,46,2077,4957,231,5183,1971,152,2121,327,505,836,34837,13679,48510
11102,188,285,477,86,111,196,92,257,352,98,578,678,384,1600,1989,447,1091,1534,1622,621,2240,1396,680,2080,1670,683,2353,1837,455,2292,1292,384,1677,1416,260,1678,3121,443,3570,2438,45,2479,1878,92,1965,1139,19,1155,2399,102,2500,1429,90,1520,280,338,622,23201,8151,31352
11103,350,654,1007,138,284,421,152,728,878,178,1564,1744,558,3799,4358,727,2325,3054,2329,1489,3823,2226,2005,4232,2628,2084,4707,3044,1783,4828,2367,1477,3845,2485,1256,3749,5734,2110,7844,4599,509,5106,4123,595,4716,2741,206,2951,7454,784,8231,2633,822,3453,388,654,1045,44850,25140,69987
11201,185,305,494,104,151,256,79,301,379,116,650,764,357,1844,2198,432,1476,1912,1429,869,2297,1321,1031,2355,1649,907,2556,1889,682,2571,1327,508,1829,1464,361,1820,2858,614,3466,2007,179,2179,1506,180,1690,934,57,995,2674,338,3014,1554,298,1855,269,411,679,22157,11161,33315
11202,151,206,360,89,116,206,89,337,423,134,784,911,402,2082,2486,522,1252,1770,1481,743,2227,1371,878,2248,1583,853,2436,1735,495,2231,1229,375,1600,1228,247,1478,2372,338,2709,1555,72,1623,1004,54,1054,587,19,606,1156,106,1272,1170,137,1310,268,343,611,18126,9433,27563
11203,252,399,654,134,156,290,112,387,504,131,826,956,501,2379,2880,528,1928,2457,2124,981,3104,1790,1091,2882,2073,992,3062,2400,603,3004,1532,462,1998,1547,334,1877,3153,474,3625,2180,74,2251,1674,106,1783,951,25,975,2220,166,2394,1724,196,1918,400,580,987,25436,12164,37602
11301,128,167,296,54,57,117,38,186,218,82,334,414,227,911,1136,248,440,687,707,364,1069,667,492,1157,808,515,1328,1019,349,1370,751,267,1020,864,215,1081,1754,294,2046,1196,43,1240,861,60,918,564,20,579,1090,106,1198,896,52,949,214,228,445,12171,5102,17272
11302,36,55,91,24,23,43,27,54,80,17,129,144,104,377,487,106,197,298,334,131,464,259,173,431,293,148,441,344,101,442,225,84,307,245,53,294,473,101,567,359,12,368,229,18,251,136,5,141,297,25,323,337,18,350,71,81,146,3913,1775,5687
11303,212,297,512,103,138,242,118,390,505,121,774,898,466,2074,2541,549,1209,1758,1592,868,2463,1364,1117,2487,1764,1082,2842,2045,746,2795,1452,614,2067,1723,472,2194,3334,659,3990,2459,123,2582,1932,150,2080,1138,34,1169,2453,198,2656,1795,151,1944,383,522,903,25012,11603,36613
11401,365,435,808,178,205,377,151,438,589,160,941,1101,657,2874,3536,740,1869,2609,2833,1026,3863,2162,1162,3320,2610,1032,3644,2890,708,3602,1825,542,2365,1888,400,2284,3495,525,4023,2359,63,2426,1658,93,1752,982,17,995,2187,203,2389,1737,131,1870,409,646,1048,29300,13305,42603
11402,154,212,370,88,92,183,66,172,243,62,336,393,227,971,1204,191,614,806,769,495,1262,728,556,1278,942,546,1487,1172,314,1484,724,301,1026,920,191,1110,1749,335,2085,1380,36,1420,1135,87,1220,681,8,693,2413,172,2585,926,53,977,151,226,376,14478,5718,20186
11501,451,317,771,201,130,331,128,211,339,124,317,443,437,976,1410,453,765,1218,1190,538,1727,1214,572,1788,1558,588,2146,1975,469,2441,1532,496,2024,1742,351,2090,4202,717,4915,3595,70,3665,3726,182,3910,2948,32,2977,14175,322,14493,2044,86,2131,293,194,491,41984,7326,49311
11502,98,73,174,36,31,67,25,58,81,26,59,84,76,200,277,60,141,207,219,92,317,243,140,380,299,136,437,351,98,444,260,75,343,316,64,380,656,107,761,580,17,598,556,24,586,437,11,449,2360,62,2420,425,16,445,81,45,128,7115,1454,8570
11503,60,64,127,28,24,55,20,39,61,34,87,116,76,211,295,75,115,189,268,97,365,217,125,348,287,150,441,382,121,505,313,74,392,371,67,441,907,117,1023,703,19,723,631,28,663,434,3,433,1386,48,1431,398,25,419,81,41,121,6685,1464,8146
11504,124,81,212,35,30,66,40,40,85,36,65,98,116,214,321,92,117,210,301,100,406,288,134,429,447,195,639,605,168,770,498,154,651,617,122,745,1603,241,1846,1554,25,1575,1663,54,1721,1264,14,1280,4749,76,4829,770,22,793,124,54,168,14930,1899,16834
11601,479,521,999,124,140,265,177,399,578,195,887,1082,587,1726,2314,654,769,1423,1751,618,2367,1577,853,2428,2002,922,2919,2528,731,3256,2138,573,2709,2191,469,2661,5154,763,5918,3937,167,4106,3231,175,3405,2182,78,2262,4684,240,4925,1874,183,2058,413,361,775,35876,10577,46456
11602,250,201,443,59,53,112,62,109,166,99,225,316,245,543,782,294,368,660,809,262,1071,792,366,1155,1202,488,1688,1621,442,2062,1515,413,1927,1667,383,2050,4942,619,5562,4351,92,4440,4478,166,4642,3333,41,3377,9300,213,9512,1567,101,1663,310,132,440,36874,5214,42087
11603,320,344,660,78,99,181,143,273,417,226,634,866,569,1312,1885,708,602,1309,1686,390,2078,1512,609,2122,1772,733,2506,2246,462,2707,1754,360,2116,1746,220,1964,3929,342,4270,2746,51,2803,2056,67,2128,1261,19,1282,2403,78,2486,1637,76,1717,403,295,700,27207,6974,34185
11701,233,401,632,49,108,159,54,214,273,62,436,501,207,799,1003,214,367,580,568,342,907,558,466,1015,676,571,1250,807,570,1377,707,492,1199,783,413,1203,1917,764,2679,1565,178,1746,1447,274,1722,1057,103,1159,3117,371,3485,726,221,948,145,187,329,14894,7283,22177
11702,127,222,351,41,61,103,26,173,198,47,398,445,153,722,877,115,478,587,414,412,830,367,534,905,504,700,1205,590,702,1286,502,655,1156,530,565,1092,1374,1184,2551,1201,247,1449,1220,395,1620,1031,152,1183,4380,685,5067,571,339,914,83,141,227,13284,8762,22044
11703,768,2414,3173,180,454,633,188,1191,1383,201,2248,2448,484,3057,3546,507,2153,2657,1080,2006,3088,1163,2703,3863,1455,3632,5087,1947,3541,5489,1609,3517,5131,1905,3420,5326,5148,8122,13272,4291,1213,5501,4301,2978,7282,3455,794,4246,16833,6494,23326,1948,1773,3724,337,884,1228,47795,52599,100396
11801,338,648,985,85,175,257,82,345,422,78,549,619,194,1123,1324,213,973,1185,493,872,1364,528,1107,1634,807,1322,2126,957,1280,2236,793,1286,2085,1028,1278,2310,2472,2816,5286,1995,399,2391,2239,1188,3426,1770,324,2095,15086,3469,18557,1819,695,2513,338,438,773,31317,20273,51592
11802,337,738,1080,119,240,365,130,526,661,146,1069,1211,377,1803,2176,369,1082,1444,1011,868,1877,938,1084,2023,1225,1360,2591,1488,1161,2651,1106,1139,2239,1345,1075,2422,3287,2304,5589,2840,412,3252,2844,750,3596,2153,227,2385,11294,1468,12758,1717,621,2337,316,457,775,33047,18381,51429
11901,840,697,1542,206,164,368,285,618,906,362,1421,1779,1003,2466,3473,1088,1059,2152,2802,785,3588,2481,897,3370,3031,962,3996,3400,705,4105,2478,564,3039,2539,422,2959,5276,632,5913,3972,114,4081,3204,139,3340,2172,54,2224,5850,203,6053,2431,146,2578,636,501,1134,44060,12547,56605
11902,718,712,1431,157,151,309,224,439,665,276,995,1269,729,1825,2558,853,947,1796,2339,767,3105,1988,907,2894,2426,1001,3423,2816,830,3644,2011,667,2680,2053,530,2585,3952,810,4762,2944,230,3172,2214,245,2457,1515,68,1581,4037,321,4364,1723,285,2008,458,403,858,33417,12127,45549
11903,514,586,1105,168,178,349,199,407,605,193,937,1133,555,1798,2352,625,925,1552,1633,664,2296,1434,831,2262,1904,973,2880,2198,850,3050,1686,648,2336,1917,548,2470,4137,911,5052,3152,192,3348,2766,259,3026,2001,88,2086,6703,315,7023,1733,192,1936,324,368,692,33859,11675,45536
11904,587,757,1347,149,221,371,189,386,578,174,881,1057,590,1910,2495,607,1143,1753,1832,858,2687,1545,1174,2718,1924,1404,3328,2403,1175,3576,1969,1192,3162,2053,954,3003,4977,1788,6770,3716,330,4043,3286,493,3777,2266,134,2398,6660,596,7262,1724,334,2056,391,390,782,37038,16128,53171
12001,314,451,762,108,129,238,93,231,322,90,470,562,260,933,1193,296,542,831,772,493,1266,699,630,1332,919,757,1680,1183,645,1822,917,626,1545,976,595,1572,2490,1286,3776,2112,144,2259,2109,450,2560,1569,79,1656,7805,830,8634,1047,163,1214,197,220,417,23958,9679,33640
12002,97,229,318,48,79,130,41,177,217,36,358,392,116,697,813,125,432,552,265,408,679,287,482,766,414,559,969,447,531,985,385,547,928,479,472,950,1219,1005,2221,1025,101,1121,1128,372,1502,930,73,1004,7277,913,8189,670,166,826,79,134,216,15045,7747,22794
12003,632,886,1513,174,221,390,190,461,651,232,1001,1230,514,1810,2324,562,1341,1902,1489,1105,2596,1383,1425,2806,1912,1739,3656,2359,1750,4111,1902,1463,3369,2024,1290,3315,4873,2543,7424,3707,548,4259,3434,756,4197,2548,304,2857,9522,995,10515,1927,605,2535,352,370,720,39741,20614,60357
12101,435,494,927,142,149,296,133,283,418,119,477,601,311,918,1229,314,705,1026,620,637,1258,691,753,1440,960,1012,1974,1254,903,2159,1087,964,2050,1240,844,2083,2934,1970,4904,2311,194,2504,2398,627,3030,1842,140,1977,13046,1241,14286,1495,222,1726,203,189,392,31552,12726,44276
12102,217,255,480,94,98,189,96,222,320,94,366,460,278,792,1074,289,627,912,721,483,1203,757,554,1311,1092,595,1691,1295,553,1849,1091,499,1591,1116,430,1546,2882,731,3613,2227,73,2300,2355,209,2560,1716,32,1744,6476,207,6680,1086,65,1153,156,133,287,24038,6918,30954
12103,527,296,819,161,130,290,136,208,342,114,290,412,305,636,936,333,578,914,742,530,1275,749,599,1346,1132,684,1823,1399,533,1931,1065,575,1635,1291,436,1726,2915,868,3775,2265,65,2334,2488,296,2781,1800,32,1833,14738,621,15363,1894,71,1966,251,211,459,34310,7649,41956
12104,258,499,761,76,158,237,66,276,347,54,491,540,166,873,1042,182,883,1069,366,808,1175,436,960,1400,651,1313,1959,827,1296,2117,735,1340,2072,793,1264,2058,2172,2959,5129,1787,230,2019,1952,1015,2966,1569,146,1714,11772,2381,14156,1172,236,1415,182,301,481,25223,17436,42656
12201,96,134,229,27,65,96,18,99,124,19,149,176,67,309,371,90,277,366,169,265,429,207,301,506,295,320,614,334,314,646,283,284,563,395,284,674,857,631,1486,740,78,817,818,292,1112,599,60,655,5788,763,6552,696,124,817,81,113,191,11565,4858,16422
12202,137,214,353,59,80,137,57,140,191,39,216,254,138,633,772,146,446,591,488,392,881,414,410,820,677,479,1157,851,311,1166,658,311,969,747,238,989,1708,384,2094,1425,36,1459,1466,128,1593,1099,25,1119,5940,326,6267,1049,54,1096,146,170,316,17231,4999,22227
12203,292,461,759,125,216,337,109,356,467,117,657,781,366,1615,1979,362,1275,1635,1105,921,2026,1070,1102,2171,1544,1214,2759,1943,988,2932,1616,928,2542,1750,795,2548,4247,1497,5747,3650,218,3866,3522,460,3982,2704,106,2814,14595,769,15370,2096,204,2295,320,413,730,41535,14191,55729
12301,126,161,283,56,42,97,53,101,157,61,214,274,139,599,745,237,339,575,677,252,929,657,348,1004,865,387,1254,1010,284,1301,962,274,1236,1024,218,1240,2660,368,3021,2461,36,2499,2146,72,2213,1452,12,1467,3843,89,3934,918,39,955,196,104,297,19545,3935,23480
12302,504,515,1025,144,124,272,223,476,700,308,1011,1323,772,2204,2975,1055,1153,2202,2485,813,3301,2396,1190,3589,2951,1212,4156,3501,983,4489,2960,743,3704,2945,544,3489,6484,746,7234,4677,122,4796,3507,118,3625,2281,32,2313,4720,157,4881,2413,143,2558,516,485,1002,44856,12773,57624
12303,112,117,228,35,49,76,25,70,96,51,167,222,152,504,658,148,282,428,573,172,745,493,234,722,619,275,890,748,208,956,591,147,736,643,138,788,1540,200,1738,1285,12,1303,1205,37,1241,745,7,750,2100,69,2166,753,23,781,162,108,266,11992,2818,14805
12401,143,285,430,78,124,204,86,286,363,82,513,590,290,1556,1844,316,1064,1382,1005,722,1731,1031,779,1808,1416,803,2213,1665,558,2222,1190,426,1619,1251,378,1629,2722,650,3367,2167,53,2224,1939,131,2071,1289,15,1307,3703,191,3897,1075,76,1153,140,245,386,21584,8870,30458
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
12403,354,471,827,102,135,240,134,354,484,155,844,1002,495,1856,2352,651,1202,1856,1793,858,2648,1741,1188,2927,2096,1374,3469,2674,1196,3868,2316,968,3283,2501,767,3269,5908,1132,7044,4837,132,4975,4045,190,4229,2725,41,2768,6267,221,6485,2111,148,2254,412,419,827,41313,13497,54809
12404,102,131,231,40,41,84,42,117,159,45,209,261,135,647,790,175,380,556,487,268,757,426,320,740,523,322,849,643,298,945,521,209,732,620,191,812,1296,252,1545,1114,37,1149,812,58,870,572,8,585,1187,51,1236,546,41,587,109,132,239,9399,3718,13112
12405,183,181,361,45,49,94,71,133,206,87,296,383,224,637,858,276,358,629,753,275,1030,685,435,1119,918,523,1440,1099,382,1481,951,293,1245,949,198,1143,2145,275,2423,1545,44,1590,1187,44,1228,765,7,777,1393,51,1445,806,47,852,167,178,350,14261,4398,18663
12501,504,540,1040,95,100,193,150,229,380,206,549,753,468,822,1287,491,501,992,1197,481,1679,1182,637,1822,1579,897,2476,1879,758,2639,1457,759,2212,1494,604,2094,3270,1153,4419,2265,292,2567,1798,345,2143,1241,143,1376,3189,512,3695,1308,349,1656,269,217,490,24037,9889,33926
12502,306,257,561,97,77,176,102,237,340,122,501,616,326,814,1146,337,375,704,835,303,1141,782,374,1155,1079,437,1522,1284,397,1678,1013,337,1343,1066,235,1300,2460,444,2903,1834,64,1895,1622,114,1736,1210,23,1233,3749,145,3895,1001,88,1089,178,161,335,19401,5366,24765
