SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10304,791,700,1491,2078,1902,3980,550,550,1095,370,355,727,3001,2807,5808,1108,1047,2159,565,565,1125,596,558,1157,2272,2173,4444,46,77,129,55,113,170,317,220,535,313,498,804,4,0,4,740,907,1646,173,348,520,112,187,302,48,101,153,274,501,767,0,0,0,609,1132,1745,1353,2036,3393,36,51,89,64,140,204,0,3,3,101,195,298,1828,1848,3680,9347,9770,19114
10401,478,452,933,1503,1372,2881,277,275,555,188,148,338,1975,1803,3779,1074,1050,2118,239,262,502,207,148,354,1516,1460,2979,54,60,117,45,114,157,171,131,305,172,356,530,9,0,3,456,657,1115,52,108,165,28,113,141,33,54,83,112,286,393,3,0,5,225,563,790,683,1221,1905,27,32,64,54,105,155,0,5,0,84,138,225,2830,1951,4782,7572,7034,14607
10402,943,896,1843,2485,2348,4826,777,802,1582,555,494,1049,3827,3645,7470,1822,1876,3701,500,502,1002,545,533,1080,2862,2914,5780,127,162,285,131,225,362,381,266,645,496,774,1277,3,9,9,1144,1432,2579,207,427,631,139,295,433,51,117,176,280,646,930,0,5,7,681,1496,2174,1829,2934,4761,71,79,148,111,216,332,9,5,13,188,307,497,2935,3089,6026,12592,13785,26376
10501,244,181,427,487,475,963,315,334,651,14,15,30,817,823,1644,431,415,845,41,50,89,40,81,118,507,543,1051,10,19,31,15,29,37,68,44,119,50,147,194,0,0,0,141,241,386,32,68,95,7,26,31,0,20,25,26,120,152,0,0,3,69,226,299,213,474,682,13,10,25,6,38,48,0,0,0,21,46,65,1786,1844,3628,3594,3909,7503
10502,190,170,361,627,602,1227,81,81,162,7,7,16,717,685,1402,466,490,951,5,4,4,15,16,29,480,509,995,25,15,38,22,34,51,75,62,129,79,160,239,0,0,5,194,272,465,11,30,45,18,54,70,4,16,22,57,133,190,0,0,3,92,233,331,293,509,796,14,18,29,19,47,67,0,3,3,35,59,98,991,1025,2021,2706,2968,5679
10503,883,868,1758,1942,1802,3747,842,914,1749,384,350,735,3167,3069,6239,1428,1355,2789,500,481,977,342,368,715,2276,2210,4483,69,101,169,67,129,194,298,220,523,267,539,809,5,6,12,712,990,1707,104,243,349,84,170,257,26,83,115,158,471,627,0,4,6,381,975,1349,1091,1963,3061,77,63,143,106,139,247,5,4,4,189,206,392,4444,3695,8137,12052,12009,24065
10601,1229,1138,2363,3055,2926,5981,912,859,1775,463,424,891,4440,4215,8651,2026,1996,4026,589,559,1148,462,474,942,3082,3039,6117,118,144,264,80,180,258,518,373,896,383,755,1141,10,3,15,1108,1462,2566,262,474,735,94,242,331,77,159,237,208,572,789,0,7,10,643,1459,2097,1747,2923,4671,105,90,193,144,246,390,3,4,4,253,332,583,4163,2404,6564,14913,14047,28961
10602,1161,1145,2305,2670,2530,5200,1159,1069,2233,432,417,846,4264,4024,8285,1724,1633,3355,820,949,1766,422,397,821,2970,2978,5945,164,207,374,104,164,272,475,314,792,391,721,1106,6,9,16,1144,1420,2562,425,683,1111,190,334,521,103,173,281,380,710,1086,0,0,0,1103,1903,3004,2247,3321,5566,99,96,197,152,248,392,6,3,10,255,344,601,1735,1711,3445,12633,13516,26148
10603,736,660,1394,2197,2050,4247,357,358,713,342,349,690,2894,2761,5656,1636,1573,3210,359,395,753,396,362,763,2391,2334,4730,103,110,215,63,111,174,346,187,536,260,521,778,10,0,12,775,933,1713,280,409,687,97,195,294,44,113,158,176,427,600,5,8,8,604,1153,1754,1378,2090,3465,50,50,105,61,129,193,5,10,15,126,190,313,2141,2131,4280,9667,10167,19835
10604,352,345,693,958,872,1825,322,257,577,159,179,345,1443,1308,2759,616,546,1160,313,315,631,146,149,294,1072,1015,2087,32,31,65,29,43,76,186,136,319,106,254,349,5,7,6,353,467,820,31,90,119,23,46,70,21,41,60,56,160,212,0,0,0,124,337,464,478,810,1286,18,10,35,35,85,114,0,4,4,54,97,155,1315,951,2269,4721,4520,9243
10701,980,926,1913,2465,2336,4800,626,623,1252,294,320,610,3388,3282,6667,1817,1783,3595,571,542,1111,276,260,537,2669,2581,5250,114,142,251,97,180,276,415,278,697,338,551,891,4,3,10,972,1157,2130,469,660,1131,137,226,365,108,150,258,213,408,621,3,5,10,926,1457,2380,1903,2619,4521,63,63,131,97,181,275,3,0,7,167,246,414,1785,1829,3613,10899,11485,22375
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,1306,1118,2424,3270,3003,6278,686,675,1360,300,278,575,4253,3967,8220,2196,2081,4279,691,780,1466,363,358,721,3253,3224,6472,138,165,301,87,180,268,648,359,1006,400,727,1129,9,4,14,1285,1439,2723,435,823,1257,145,273,421,93,188,276,284,597,885,0,0,7,964,1884,2848,2257,3331,5582,73,86,160,139,217,351,4,7,13,211,308,519,2361,2367,4725,13640,14311,27949
10704,1570,1460,3025,3899,3519,7418,974,998,1975,330,342,678,5209,4875,10082,2471,2463,4932,1251,1234,2480,423,417,836,4145,4111,8259,210,254,465,222,325,549,740,403,1138,615,957,1568,3,11,18,1789,1947,3736,2463,3127,5595,1031,992,2025,348,392,740,667,1221,1893,7,7,13,4514,5744,10262,6314,7695,14016,155,154,307,211,319,525,0,6,5,366,476,844,2956,3142,6092,20562,21753,42315
10801,224,246,473,853,821,1668,123,130,252,39,46,85,1015,995,2008,688,660,1343,80,64,146,46,62,107,813,787,1600,31,42,73,22,54,78,112,78,185,82,215,294,7,0,3,249,392,636,34,79,116,17,58,72,7,22,33,46,106,155,0,0,0,106,274,381,355,662,1015,17,20,34,15,49,68,3,0,3,37,69,100,1250,1432,2676,3694,4185,7878
10802,455,440,899,1212,1212,2426,306,299,604,221,260,486,1746,1772,3518,917,908,1829,269,294,563,231,216,447,1421,1421,2840,37,71,111,39,81,111,188,127,315,158,358,518,7,7,12,430,637,1066,60,119,174,41,124,163,16,34,54,84,232,314,3,0,5,195,509,706,626,1150,1777,17,27,52,32,87,118,4,0,4,59,120,176,2808,2175,4991,7110,7087,14198
10803,3,3,7,13,21,33,0,0,0,0,0,0,13,21,33,0,0,0,0,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,3,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,4,5,4,5,5,9,0,0,0,0,0,3,0,0,0,0,0,3,17,15,36,44,49,97
10804,842,729,1566,1952,1858,3810,894,865,1753,449,407,854,3303,3136,6436,1114,1097,2218,1169,1173,2341,432,412,840,2722,2691,5413,135,123,258,91,180,268,323,229,555,333,654,980,7,6,12,881,1190,2076,350,732,1084,148,304,454,56,134,184,260,559,822,0,6,5,818,1727,2541,1701,2915,4621,60,65,124,107,225,331,5,0,9,170,290,461,2146,2176,4325,10886,11940,22830
10805,501,466,966,1600,1555,3154,234,183,412,263,255,521,2103,1995,4098,1134,1079,2210,239,224,466,221,253,478,1594,1556,3148,54,87,139,41,115,150,213,186,398,159,378,542,0,6,0,464,770,1235,83,138,210,46,113,160,19,54,73,93,294,390,0,0,5,245,594,839,708,1367,2080,26,34,57,45,87,133,0,7,7,73,126,201,2125,2139,4264,7106,7645,14756
10901,768,710,1476,1652,1559,3207,641,654,1297,538,496,1042,2837,2708,5543,1199,1234,2426,450,391,840,498,558,1061,2145,2187,4337,113,136,246,119,186,307,339,221,557,305,555,865,9,7,10,890,1101,1983,201,489,695,117,215,327,60,110,168,220,454,673,0,0,0,600,1273,1866,1486,2375,3862,90,79,167,122,207,335,0,7,9,219,292,513,2085,2015,4094,9539,10290,19828
10902,137,133,269,431,328,766,86,90,173,24,25,50,544,438,983,233,254,486,94,85,174,29,31,63,354,374,722,12,23,35,4,14,18,43,26,69,43,79,127,0,0,0,102,137,237,13,41,55,3,10,17,4,11,17,24,54,74,0,0,0,40,117,156,142,249,397,0,6,11,18,35,45,0,0,0,19,40,54,881,760,1635,2080,1995,4073
10903,413,371,787,1071,1019,2084,395,404,789,108,114,225,1570,1537,3106,783,796,1581,243,283,527,145,172,323,1173,1259,2437,31,50,81,28,51,78,148,102,254,113,276,389,0,0,4,331,476,808,58,151,209,15,60,76,15,39,54,43,190,229,0,4,4,138,442,575,469,917,1386,23,18,44,35,78,118,0,0,0,61,106,164,1873,1787,3663,5565,5972,11536
11001,399,344,744,1016,941,1959,244,233,478,183,230,416,1441,1409,2850,709,712,1422,234,271,510,269,386,651,1209,1369,2579,62,46,112,45,92,141,138,98,234,187,296,486,3,3,7,434,545,976,381,647,1023,233,285,516,84,120,201,206,361,570,0,0,0,906,1414,2318,1344,1958,3302,49,43,87,27,69,103,0,0,0,74,112,187,1671,1860,3523,6138,7050,13188
11002,319,319,643,1091,1057,2147,305,349,659,34,31,63,1432,1438,2877,908,952,1866,106,89,192,55,62,115,1069,1108,2174,33,30,66,23,57,77,107,107,212,117,303,420,6,0,8,282,494,780,35,84,118,24,47,66,16,46,59,49,169,222,0,0,0,128,344,468,414,838,1249,20,31,52,22,78,106,0,0,0,45,112,154,2077,1907,3991,5358,5719,11078
11003,269,270,544,663,664,1325,337,282,617,73,67,140,1074,1014,2087,451,477,927,80,91,167,68,87,158,596,652,1248,18,18,31,17,21,41,74,57,128,73,174,251,4,0,3,185,269,453,47,94,137,9,36,49,12,44,55,49,113,165,0,3,0,121,288,411,313,561,869,6,23,27,22,36,66,0,0,0,30,58,95,2028,1952,3976,4312,4511,8821
11004,1017,865,1880,2505,2372,4876,918,863,1785,416,372,797,3850,3610,7461,2004,1480,3484,496,667,1161,431,579,1011,2930,2734,5660,84,101,188,60,161,222,350,272,626,314,679,989,0,3,3,808,1223,2029,135,270,403,84,175,259,54,120,169,192,538,730,0,3,0,467,1101,1570,1276,2320,3596,53,63,118,95,164,258,3,4,10,154,231,384,3408,3290,6695,12635,13046,25676
11101,1576,1447,3022,4262,3884,8148,832,806,1640,408,400,811,5507,5102,10611,2942,2753,5695,710,735,1444,492,518,1013,4139,4017,8158,156,205,363,117,186,301,716,318,1039,539,772,1314,8,0,8,1543,1483,3024,855,1131,1990,286,450,736,157,238,394,463,902,1367,0,0,0,1768,2717,4490,3321,4202,7524,94,84,177,205,335,538,5,3,11,308,420,724,2393,2466,4861,17239,17665,34902
11102,982,940,1917,2420,2293,4708,460,476,939,612,625,1239,3492,3404,6893,1649,1613,3260,349,392,739,521,504,1026,2521,2509,5030,109,142,248,64,158,220,480,270,751,340,610,949,3,10,11,993,1182,2177,410,643,1055,196,276,471,84,151,236,278,581,862,0,0,0,976,1645,2621,1969,2834,4805,66,70,136,120,199,323,0,0,5,188,268,459,1859,1863,3721,11016,11816,22830
11103,1940,1752,3697,4934,4467,9402,1342,1297,2643,684,610,1291,6972,6378,13354,3348,3277,6626,918,965,1885,822,779,1609,5098,5028,10124,327,310,633,302,389,693,700,509,1205,883,1212,2091,7,5,9,2205,2426,4624,2989,3850,6837,1224,1454,2671,408,530,938,1192,1879,3075,8,7,17,5821,7718,13538,8038,10149,18189,184,195,376,323,516,837,5,4,8,506,714,1220,4289,4254,8541,26841,28285,55125
11201,801,739,1538,1993,1842,3838,692,651,1339,523,561,1082,3212,3063,6272,1370,1224,2588,685,703,1391,512,517,1028,2568,2453,5018,96,100,195,122,247,371,294,195,490,417,657,1075,6,4,14,934,1212,2142,185,343,532,175,373,552,81,150,233,295,683,978,8,4,10,743,1556,2295,1680,2771,4449,64,66,126,168,325,496,4,3,7,233,393,635,3334,3442,6775,11835,12852,24686
11202,699,623,1321,1694,1622,3321,736,748,1485,367,336,702,2808,2710,5513,1219,1153,2374,777,768,1548,219,208,425,2225,2129,4350,86,132,219,81,194,275,301,210,513,282,547,831,4,9,5,756,1088,1845,196,303,498,155,235,390,73,120,195,243,527,773,0,5,10,676,1188,1864,1433,2279,3715,53,55,109,93,152,246,3,9,10,152,212,369,3085,3062,6155,10400,11017,21417
11203,890,824,1713,2370,2119,4487,879,866,1749,473,472,947,3731,3466,7198,1582,1516,3098,687,746,1432,592,567,1159,2871,2832,5702,119,151,272,116,218,333,326,226,554,339,613,952,13,4,19,920,1211,2129,323,574,899,170,385,554,83,151,232,257,656,912,7,10,15,838,1777,2612,1757,2994,4752,55,107,162,150,286,431,10,9,15,212,397,609,3419,3578,6996,12886,14090,26976
11301,514,509,1027,1562,1458,3017,504,534,1038,46,52,97,2124,2043,4168,977,979,1957,656,700,1349,45,49,90,1678,1722,3398,34,45,82,33,85,114,251,157,406,163,364,524,3,0,5,491,646,1133,109,142,248,41,90,137,46,70,113,99,228,324,0,0,5,298,534,828,786,1181,1965,53,41,91,60,119,173,8,4,11,120,158,276,2245,2109,4357,7463,7729,15190
11302,140,165,310,434,440,878,165,150,317,8,9,14,606,597,1206,357,362,716,84,77,164,5,13,24,451,454,903,19,8,32,3,22,26,72,56,128,42,95,139,0,0,3,146,174,324,11,35,50,0,24,23,4,17,19,22,88,113,0,0,0,40,162,204,187,339,524,6,5,16,12,55,70,0,0,0,25,64,86,716,563,1278,2130,2185,4316
11303,1210,1110,2320,2726,2432,5158,1189,1224,2415,442,411,858,4361,4071,8431,1665,1697,3364,947,994,1945,535,551,1085,3150,3245,6400,194,164,358,129,195,324,552,339,890,455,739,1195,4,0,12,1337,1437,2776,483,1125,1610,195,355,548,91,204,291,348,758,1107,3,3,6,1119,2448,3564,2460,3888,6347,136,111,255,143,217,366,0,5,3,284,336,622,3893,2994,6888,15363,15649,31016
11401,1145,978,2122,3098,2966,6060,339,353,697,350,370,720,3798,3693,7497,2038,1953,3992,475,482,956,408,428,830,2924,2862,5787,123,136,259,79,162,240,466,260,726,389,750,1132,5,11,17,1054,1320,2379,230,405,639,158,312,468,45,105,145,247,538,790,0,4,4,685,1361,2052,1744,2688,4433,90,72,162,103,250,357,3,5,7,204,324,530,4228,3413,7643,14044,13957,28003
11402,508,511,1020,1310,1121,2429,340,318,654,447,469,918,2089,1912,4001,724,638,1357,418,458,876,468,693,1162,1612,1786,3402,42,81,127,45,73,121,272,148,420,193,392,589,4,5,8,564,702,1265,209,329,535,75,146,219,50,74,120,150,310,461,0,3,7,487,856,1342,1052,1555,2613,44,52,104,55,131,187,4,6,7,106,194,296,1308,1431,2742,6680,7390,14069
11501,1760,1564,3318,5960,5413,11376,1128,1106,2237,780,797,1577,7883,7325,15209,3806,3407,7214,1445,1577,3020,1444,1306,2752,6697,6297,12999,203,278,480,182,321,503,532,219,744,515,980,1493,4,0,7,1436,1796,3235,2795,2921,5718,540,593,1135,365,364,732,688,956,1643,9,9,22,4398,4850,9248,5836,6654,12490,183,178,364,319,421,746,0,10,10,507,614,1115,1857,2137,3987,24542,24580,49117
11502,256,263,514,802,688,1490,205,165,363,299,249,547,1305,1100,2404,443,400,837,350,311,652,425,433,860,1211,1135,2355,29,48,79,23,27,52,224,70,292,71,136,206,3,0,3,344,293,638,374,439,815,48,85,130,72,83,154,97,162,258,0,0,0,593,769,1359,937,1064,2002,35,29,63,46,52,95,0,4,4,80,86,164,547,503,1047,4333,4156,8491
11503,294,269,562,871,787,1657,94,100,194,166,137,307,1138,1029,2171,497,491,991,159,155,314,213,210,420,873,860,1735,34,48,82,22,35,58,249,107,356,99,166,263,0,0,3,403,357,759,119,240,360,28,64,97,40,50,90,48,136,181,0,0,0,232,486,727,641,850,1487,21,19,38,19,56,78,0,0,0,44,75,123,507,409,911,3491,3496,6983
11504,857,868,1724,2215,2086,4303,601,607,1207,583,531,1113,3404,3225,6627,956,889,1843,740,710,1454,702,676,1375,2394,2281,4675,81,85,168,44,102,147,324,132,459,214,395,612,4,0,5,663,729,1389,667,903,1570,140,201,344,136,132,270,262,371,635,3,6,5,1208,1613,2825,1882,2343,4219,63,58,117,98,146,246,0,4,0,161,205,366,859,755,1610,9549,9674,19223
11601,1559,1376,2932,4282,3944,8228,1372,1389,2760,473,469,946,6146,5805,11954,2783,2596,5381,1360,1242,2601,505,470,976,4655,4319,8974,386,320,704,390,575,962,481,269,754,689,1049,1732,7,7,11,1950,2217,4167,1773,2031,3806,674,934,1615,226,286,510,471,724,1188,4,10,16,3146,3983,7133,5108,6219,11329,635,455,1089,425,551,977,10,11,26,1071,1022,2090,4128,3969,8096,22658,22714,45370
11602,2119,1981,4104,5978,5511,11484,1727,1787,3512,786,777,1562,8499,8078,16578,3324,3139,6462,1463,1486,2944,732,675,1406,5534,5302,10832,241,222,462,224,348,572,462,262,722,523,1000,1525,4,4,10,1458,1835,3289,1780,2099,3881,498,676,1169,263,300,566,602,888,1492,10,9,12,3147,3972,7116,4610,5808,10420,306,229,541,375,445,820,6,7,14,690,684,1375,3791,2384,6175,25247,24233,49482
11603,1190,1085,2268,4064,3927,7985,979,972,1950,818,860,1673,5867,5774,11646,2509,2601,5108,1148,1044,2188,668,653,1317,4336,4301,8640,214,241,453,243,465,706,329,255,586,447,747,1194,11,8,18,1239,1715,2956,1121,1484,2607,287,428,719,186,206,388,303,454,754,10,8,19,1910,2572,4488,3167,4310,7473,210,209,423,252,347,596,8,8,14,473,564,1034,4417,4567,8988,19452,20603,40056
11701,537,510,1050,1057,1003,2063,623,615,1240,155,134,290,1842,1760,3603,639,617,1260,647,597,1247,175,164,339,1464,1387,2849,135,162,294,238,308,549,196,134,336,426,536,962,0,0,3,1000,1145,2142,1076,1141,2222,523,501,1016,105,139,241,281,404,686,5,3,12,1989,2189,4177,2996,3338,6331,242,252,496,373,401,776,4,0,4,625,655,1273,1755,1655,3409,9217,9307,18519
