SA3_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
21104,285,33,75,10,400,78,7,16,6,109,64,23,41,3,122,36,14,45,0,94,188,32,65,6,290,108,60,103,5,277,569,103,120,8,805,450,171,209,31,859,497,253,247,26,1020,602,363,221,45,1219,274,328,177,30,808,346,395,185,19,938,667,1045,262,36,2005,526,983,141,25,1673,375,1095,95,14,1573,268,746,37,5,1062,600,2505,116,12,3236,188,453,149,6,796,73,38,18,3,141,6192,8645,2331,277,17442
21105,281,62,90,4,437,147,23,26,3,197,89,22,72,3,186,69,16,104,7,199,361,38,236,8,649,295,66,375,16,750,1503,166,533,35,2242,1226,268,663,49,2210,1389,555,674,36,2652,1476,998,667,49,3186,865,1117,492,34,2509,977,1259,368,26,2631,2173,3267,735,70,6248,1583,3018,357,37,5000,1211,2506,203,18,3936,721,1660,80,9,2478,1241,3856,163,8,5275,521,1399,505,27,2450,269,174,77,4,530,16405,20469,6442,447,43759
21201,271,64,88,0,418,84,13,22,3,130,60,16,55,0,137,58,14,93,4,167,189,41,210,4,444,169,75,344,5,591,1008,181,406,17,1617,671,332,509,39,1551,787,636,595,48,2066,891,1052,516,51,2510,536,1071,367,25,2000,740,1278,306,34,2360,1647,2818,521,58,5045,1211,2374,255,36,3881,698,1763,138,23,2622,398,1038,72,3,1518,615,2158,94,9,2874,381,1004,327,16,1723,217,152,80,3,461,10631,16091,5001,386,32116
21202,391,113,127,8,643,112,19,29,0,167,79,46,89,5,214,81,47,109,4,244,321,97,217,12,643,242,154,344,13,751,1344,318,402,23,2082,862,526,539,41,1963,864,886,596,45,2399,1044,1280,599,54,2987,542,1185,431,31,2194,713,1266,350,53,2380,1462,2941,593,82,5078,1042,2464,294,42,3834,656,2042,179,26,2907,399,1353,93,12,1849,707,3263,160,15,4143,347,1250,372,19,1991,204,175,86,10,476,11407,19437,5613,480,36943
21203,698,182,216,15,1104,80,39,64,0,188,93,78,112,0,285,69,75,168,0,313,333,200,336,14,886,226,288,572,22,1113,1461,612,701,29,2799,1008,1075,948,66,3093,1085,1780,1010,60,3936,1251,2711,932,97,4992,962,2593,682,69,4306,1119,2732,566,66,4482,2535,6377,928,135,9974,1687,4854,426,92,7061,991,3539,286,53,4871,527,2055,90,16,2691,705,3591,154,39,4489,505,2027,523,42,3085,274,293,139,13,720,15621,35110,8841,826,60392
21204,750,247,320,38,1364,184,50,79,3,321,127,101,180,7,413,131,100,286,10,532,637,226,423,33,1317,393,348,486,25,1253,2299,722,717,67,3800,1315,1041,1013,120,3489,1196,1644,941,136,3918,1469,1966,945,146,4530,850,1855,630,105,3441,921,1775,502,107,3304,1763,3636,895,171,6462,1016,2641,457,89,4198,704,2005,248,54,3008,406,1280,120,15,1817,578,2587,182,34,3377,516,1361,515,43,2436,315,222,153,22,709,15571,23791,9090,1229,49677
21205,834,148,313,48,1335,254,46,96,12,409,180,77,139,23,410,103,60,157,11,330,610,111,215,17,955,379,177,339,22,917,1679,332,402,54,2464,1195,508,590,76,2367,1356,821,661,102,2934,1460,1094,625,129,3308,836,1026,455,83,2405,933,1164,443,68,2600,1876,2783,741,149,5556,1289,2513,376,72,4246,1051,2594,245,43,3931,635,1848,111,30,2626,1671,6726,304,48,8759,552,1407,415,31,2407,232,168,78,15,495,17130,23599,6693,1031,48458
21301,736,229,388,33,1382,165,44,88,5,301,139,114,230,20,502,115,110,376,12,612,646,239,462,36,1376,347,349,661,26,1383,2367,665,757,72,3857,1243,1015,1011,123,3394,1068,1494,984,106,3652,1302,1822,1032,129,4283,703,1601,709,80,3091,725,1616,575,87,3003,1514,3241,902,149,5800,981,2615,469,77,4138,654,2001,305,55,3011,403,1272,150,25,1858,635,2705,221,34,3596,478,1427,544,59,2511,328,209,219,27,779,14546,22758,10091,1147,48534
21302,201,49,79,3,338,82,12,20,3,110,61,22,52,8,138,43,22,55,0,122,222,41,126,6,396,154,62,184,8,399,785,133,242,25,1185,486,160,334,43,1021,494,282,381,46,1197,611,432,352,50,1449,338,417,301,23,1082,359,486,273,30,1147,912,1214,445,45,2615,771,1173,212,34,2192,705,1232,153,20,2106,520,933,62,14,1529,1373,3830,159,29,5392,261,614,259,16,1156,134,71,51,12,259,8514,11191,3721,415,23840
21303,166,36,71,10,279,55,12,33,3,99,45,17,51,17,131,29,18,88,6,139,163,41,134,10,351,113,82,170,20,381,523,137,220,36,918,347,194,324,65,922,344,319,318,62,1043,519,464,320,67,1367,397,372,242,35,1043,399,409,231,47,1080,1098,928,393,99,2531,972,921,156,58,2104,818,990,129,30,1979,658,735,43,18,1461,1600,2894,160,37,4685,256,423,209,21,913,95,56,41,11,193,8587,9039,3329,661,21616
21304,522,159,201,16,896,121,36,56,3,212,87,63,141,3,292,82,51,191,7,334,356,151,385,17,904,245,230,704,9,1187,1520,495,783,32,2831,897,801,913,52,2667,937,1293,983,59,3268,1102,1959,895,79,4029,720,1902,628,57,3306,798,2109,534,51,3488,1994,4741,845,99,7676,1426,3706,390,54,5580,934,2899,254,33,4117,535,1963,108,20,2628,842,4121,188,32,5185,478,1640,462,24,2605,269,320,135,23,740,13865,28629,8782,662,51937
21305,986,241,331,24,1579,156,49,86,10,298,137,83,175,6,403,114,98,263,18,489,404,252,445,31,1131,356,412,774,30,1574,1499,822,967,57,3340,1099,1309,1125,90,3628,1332,2156,1205,104,4798,1562,3103,1099,180,5946,1161,2970,853,121,5102,1221,3077,677,95,5073,2982,7588,1117,200,11879,2124,5428,469,110,8139,1464,4677,315,65,6516,946,2853,127,36,3961,1571,6824,264,49,8706,709,2383,638,36,3762,334,378,211,29,951,20151,44713,11145,1277,77283
21401,245,51,118,5,422,81,10,31,4,126,81,23,83,3,184,56,20,120,3,199,276,49,305,15,644,231,67,480,11,785,1258,151,622,39,2068,948,234,801,59,2033,1015,504,904,65,2493,1110,837,806,71,2823,718,937,595,37,2294,832,1046,481,42,2399,1852,2649,831,89,5426,1445,2446,331,41,4268,1001,1958,180,33,3170,533,1307,79,9,1934,894,2754,159,14,3823,386,1067,520,20,1990,226,149,133,5,512,13185,16241,7587,570,37590
