SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED51304,43,2383,985,450,2905,0.7,2421,2.7
SED51401,47,1200,701,209,1701,0.7,1290,2.3
SED51504,39,2600,1059,350,3215,0.8,2373,2.6
SED51605,36,1950,949,385,2420,0.8,2134,2.7
SED51706,42,1628,733,310,1990,0.7,1591,2.5
SED51804,44,3100,1199,450,3816,0.8,2556,2.4
SED51902,36,1993,889,370,2277,0.8,2103,2.9
SED52006,48,1733,644,340,1716,0.7,1360,2.4
SED52102,37,1733,823,350,2087,0.7,1756,2.6
SED52205,41,2000,895,350,2301,0.8,1697,2.2
SED52301,40,1525,778,260,2003,0.7,1541,2.4
SED52404,40,2012,928,400,2478,0.7,2123,2.6
SED52505,34,2000,1007,430,2516,0.8,2398,3.1
SED52604,41,2000,883,380,2458,0.7,2097,2.6
SED52702,46,2100,832,370,2405,0.7,2036,2.7
SED52803,35,1517,1195,300,2727,0.8,2229,2.5
SED52903,33,2167,853,200,1928,1,1757,2.8
SED53004,42,2000,858,400,2396,0.7,2020,2.6
SED53105,34,1733,856,330,2137,0.8,1842,2.7
SED53204,35,2000,882,410,2354,0.8,2199,3
SED53306,42,1647,619,300,1594,0.7,1198,2.3
SED53402,38,2000,991,315,2547,0.8,1844,2.2
SED53502,39,1777,804,300,2068,0.7,1591,2.4
SED53602,36,1512,619,300,1551,0.8,1345,2.7
SED53701,48,1600,726,250,1817,0.7,1401,2.4
SED53802,38,1733,772,350,1978,0.7,1608,2.5
SED53902,40,2000,938,340,2467,0.8,1768,2.2
SED54006,43,1733,679,300,1867,0.7,1500,2.6
SED54104,38,2658,1106,420,3337,0.9,2268,2.3
SED54203,37,1677,997,130,2136,0.9,1805,2.5
SED54304,35,2167,1177,400,2873,0.9,2108,2
SED54403,33,1800,1587,231,3327,0.9,3002,2.8
SED54505,41,2167,781,410,2426,0.8,2109,2.9
SED54605,45,1517,682,300,1709,0.7,1273,2.2
SED54701,42,1291,800,225,1909,0.7,1445,2.4
SED54804,37,2167,1134,400,2831,0.8,2127,2.3
SED54905,39,2200,1010,360,2756,0.8,2006,2.2
SED55005,35,1820,792,375,2163,0.8,1985,3
SED55102,35,1959,890,360,2220,0.8,2030,2.9
SED55202,37,1555,659,300,1701,0.8,1414,2.6
SED55306,44,1779,757,365,1882,0.7,1478,2.5
SED55405,34,1950,889,340,2316,0.8,1751,2.3
SED55504,35,1941,857,380,2236,0.8,1975,2.8
SED55605,35,1743,810,350,2203,0.7,1990,2.9
SED55706,47,1500,683,280,1639,0.8,1266,2.3
SED55802,33,1879,868,360,2140,0.8,1970,2.9
SED55905,40,1800,781,340,2153,0.7,1668,2.4
SED59494,0,0,0,0,0,0,0,0
SED59797,40,1733,2123,0,1375,0.7,2250,1.7
SED60105,40,1343,780,310,1939,0.8,1444,2.3
SED60106,50,1083,595,200,1377,0.7,1041,2.2
SED60113,44,1301,727,300,1800,0.8,1402,2.4
SED60115,38,1127,594,250,1421,0.8,1146,2.4
SED60207,45,1274,634,250,1505,0.8,1194,2.3
SED60208,45,1220,640,250,1564,0.8,1218,2.3
SED60209,44,1083,636,220,1566,0.8,1174,2.3
SED60301,38,1330,703,320,1682,0.8,1333,2.4
SED60302,36,1373,694,330,1650,0.9,1349,2.4
SED60303,37,1764,906,390,2341,0.9,1846,2.3
SED60304,44,1517,916,250,2218,0.9,2087,2.7
SED60310,40,1911,850,400,2327,0.8,1871,2.5
SED60404,44,1495,701,330,1772,0.8,1439,2.5
SED60410,38,1625,776,380,1915,0.8,1526,2.4
SED60411,43,1600,820,375,2008,0.8,1579,2.3
SED60414,38,1517,826,340,1984,0.8,1638,2.6
SED60501,38,1148,581,255,1374,0.8,1124,2.5
SED60505,45,1498,766,300,1944,0.8,1487,2.4
SED60506,48,1211,600,250,1431,0.8,1104,2.3
SED60508,49,1300,617,220,1503,0.8,1239,2.4
SED60512,45,1300,672,300,1579,0.8,1268,2.3
SED60514,41,1517,821,380,1964,0.8,1653,2.5
SED69494,0,0,0,0,0,0,0,0
SED69797,43,0,2249,0,0,0,0,0
SED70001,29,640,272,80,730,1.5,1272,3.9
SED70002,34,1733,1205,400,2611,1,2302,2.7
SED70003,29,1192,316,85,865,1.5,1612,4.1
SED70004,30,1083,446,99,993,1.2,1403,3.2
SED70005,31,2000,1094,390,2428,0.9,2149,2.8
SED70006,34,1755,1144,380,2477,0.9,2090,2.5
SED70007,31,1950,1167,420,2502,0.8,2282,2.8
SED70008,34,2167,1025,350,2594,0.9,2358,2.9
SED70009,36,1733,451,90,1201,1.2,1245,2.9
SED70010,33,1733,934,300,2035,0.9,1670,2.5
SED70011,37,2167,1225,390,2619,0.9,2191,2.4
SED70012,34,2080,1294,400,2828,0.9,2378,2.4
SED70013,41,2200,1047,400,2595,1,2253,2.8
SED70014,28,498,308,90,729,1.4,1226,3.5
SED70015,36,1872,961,330,2180,0.9,1936,2.6
SED70016,35,1950,829,300,2032,1,1746,2.8
SED70017,33,1636,1021,310,2251,1,2026,2.7
SED70018,29,1741,366,100,1241,1.4,2069,4
SED70019,34,1950,736,180,1758,1.1,1670,2.8
SED70020,37,2386,1185,370,2781,1,2484,2.9
SED70021,35,1898,1151,350,2426,1,2049,2.3
SED70022,33,1794,1255,435,2478,1,2221,2.1
SED70023,37,2000,1015,400,2375,0.9,2192,2.8
SED70024,30,2275,1288,470,2770,0.9,2551,2.9
SED70025,34,2167,1165,380,2721,0.9,2539,3
SED79494,0,0,0,0,0,0,0,0
SED79797,40,0,1478,0,0,0.7,208150,2.3
SED80001,38,2000,1146,425,2716,0.8,2315,2.6
SED80002,35,1999,1105,430,2615,0.8,2215,2.5
SED80003,33,2138,1341,480,3293,0.9,2391,2.2
SED80004,38,2167,1282,446,3101,0.8,2437,2.5
SED80005,33,2141,1184,462,2818,0.9,2515,2.9
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,43,1300,831,200,1890,0.9,1497,2.4
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
