SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED10041,1051,1592,2647,5605,6797,12407,5,0,8,515,708,1224,5,3,4,6899,7963,14867,39,43,76,383,408,793,33,47,82,26,26,52,78,118,192,115,99,221,190,222,405,285,357,641,992,1121,2111,17,20,40,197,256,447,1399,1917,3313,877,1064,1939,27,39,70,17687,21197,38886,2199,2201,4401,640,670,1306,336,367,699,0,0,0,252,233,484,167,189,360,423,416,836,17314,16262,33571,128,125,258,41,75,115,17482,16462,33947,1983,2118,4096,41803,45021,86822
SED10042,235,372,604,5631,6809,12444,0,0,0,674,772,1450,12,8,20,6318,7411,13735,3,19,26,207,178,381,188,246,434,60,56,121,68,99,166,8,16,25,171,220,384,415,486,900,733,822,1559,133,169,300,1326,1558,2883,1358,1871,3225,1079,1244,2322,163,179,342,18558,22158,40715,155,138,298,113,76,193,16,20,38,10,13,21,21,28,51,84,129,217,120,165,287,17089,15213,32307,141,120,259,73,125,193,17308,15455,32767,2471,2334,4811,38981,40725,79707
SED10043,1660,2205,3866,901,1057,1955,7,8,11,331,361,692,0,0,0,8254,8952,17203,35,33,64,2914,2942,5859,87,105,188,63,63,124,21,29,52,301,289,586,187,195,389,261,324,587,318,396,714,14,17,38,50,71,124,320,358,682,849,927,1778,14,18,31,14931,16148,31074,814,753,1561,21516,18400,39913,17,14,33,0,0,4,76,58,131,113,137,254,194,197,384,5685,5011,10693,63,27,97,34,40,74,5779,5087,10867,4330,3978,8307,49236,46773,96008
SED10044,944,1470,2416,3932,4580,8521,9,15,22,316,387,701,4,3,5,11767,12921,24685,21,32,53,1292,1396,2690,35,57,98,14,11,32,85,104,189,283,309,593,155,166,322,260,354,619,693,862,1559,13,11,23,41,57,98,604,799,1404,721,902,1620,23,39,60,20273,23018,43289,1446,1366,2809,816,792,1608,294,310,603,0,3,3,118,133,254,197,227,414,314,364,678,16661,15603,32266,152,143,296,53,97,158,16876,15848,32722,2429,2636,5071,43397,45799,89194
SED10045,364,523,886,4410,5106,9518,0,0,0,247,298,545,5,8,9,6229,7069,13295,19,32,50,77,77,157,150,188,343,37,48,82,54,70,129,3,9,10,84,85,168,319,384,702,1246,1365,2611,67,81,149,326,350,679,1194,1451,2643,902,1068,1968,100,103,204,15475,17782,33256,311,290,600,89,84,172,41,39,79,22,18,40,125,133,261,213,371,586,359,519,878,16537,15480,32022,169,146,311,123,183,301,16827,15805,32633,4203,4045,8248,37661,39095,76751
SED10046,3558,4203,7759,1861,2121,3982,570,654,1225,589,662,1248,6,3,6,11155,11981,23134,12,9,23,2638,2721,5358,118,156,281,259,285,548,30,42,72,383,377,761,226,258,485,564,609,1173,300,363,663,24,23,49,132,173,304,251,292,549,2007,2116,4123,44,44,86,21170,22886,44058,2303,2286,4595,7928,7767,15690,14,9,15,3,4,8,252,217,463,2038,2051,4095,2293,2272,4567,6653,5585,12240,57,37,92,48,48,89,6758,5667,12423,4006,3874,7876,48025,48960,96982
SED10047,724,863,1590,5453,6536,11993,33,27,54,546,594,1142,20,16,37,14828,15819,30650,65,62,124,794,831,1630,191,233,424,359,397,753,68,79,145,355,319,668,445,515,961,863,935,1803,867,1063,1931,40,85,121,212,246,459,677,815,1496,2085,2286,4370,50,62,113,27950,30920,58870,4755,4723,9478,3093,2977,6067,19,12,30,11,13,28,1403,1254,2661,203,228,429,1616,1496,3115,15877,14393,30272,108,81,189,67,89,161,16053,14562,30616,5649,5132,10783,59862,60690,120554
SED10048,1504,1933,3437,4078,4799,8874,124,129,255,645,749,1393,15,11,30,11569,12897,24464,30,41,73,1381,1411,2792,404,464,874,380,403,785,63,72,136,575,562,1137,282,295,577,752,914,1662,634,714,1346,35,46,77,274,297,573,547,615,1165,1900,2050,3948,55,58,119,23727,26550,50281,6168,6064,12229,8664,8417,17080,14,12,32,0,0,0,670,644,1313,389,450,837,1050,1100,2151,10468,9051,19519,103,61,164,57,78,132,10625,9194,19816,3665,3723,7386,55415,56994,112411
SED10049,201,299,496,7571,8932,16505,0,0,0,638,679,1318,98,92,196,9659,11026,20682,28,39,68,148,149,293,82,136,210,72,99,171,39,64,102,13,18,38,227,305,531,326,419,747,917,1067,1985,141,173,311,93,105,200,1277,1784,3063,898,1039,1934,29,24,47,22251,26153,48402,340,307,647,289,247,537,14,29,44,3,10,19,161,133,295,86,181,266,255,326,575,17863,16508,34371,125,107,229,49,75,122,18027,16692,34721,2529,2267,4804,43917,46310,90226
SED10050,383,571,950,5145,5897,11040,0,7,11,259,278,531,0,4,4,8783,9932,18714,15,9,27,539,638,1173,95,88,178,40,48,85,107,121,228,42,45,83,136,138,274,149,196,347,555,639,1196,4,29,31,23,36,56,525,721,1243,539,663,1202,20,19,37,16977,19494,36463,327,255,582,203,175,379,139,162,300,0,3,3,59,68,126,90,130,221,157,199,352,20086,19353,39438,150,126,273,91,142,227,20318,19617,39937,2218,2026,4239,40714,42487,83208
