SED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED30030,421,517,933,2048,2349,4396,0,0,0,303,359,664,14,7,20,5835,6966,12800,16,15,23,692,683,1373,75,93,170,43,52,101,118,161,275,7,12,24,53,64,116,185,257,440,406,439,844,25,33,52,42,57,95,563,790,1354,476,597,1079,23,20,45,10911,12956,23865,733,696,1433,436,430,863,37,44,83,0,0,3,176,149,324,103,129,231,279,274,556,11536,11016,22558,164,132,301,44,75,117,11745,11227,22977,1491,1447,2934,26052,27598,53645
SED30031,91,127,219,2845,2979,5820,0,0,0,225,225,451,8,9,20,4061,4357,8428,9,14,20,35,26,61,62,78,142,35,41,78,133,165,297,0,0,0,143,167,304,193,200,398,427,409,833,34,53,91,24,34,61,931,1111,2047,681,650,1330,17,23,39,9875,10536,20416,91,73,162,55,40,94,0,0,0,6,4,11,33,30,64,30,54,85,64,95,167,7153,6112,13261,39,34,79,32,34,62,7223,6177,13398,2905,2134,5035,20307,19186,39495
SED30032,128,224,354,3343,3706,7048,0,4,4,384,464,846,55,54,104,3409,3774,7185,39,62,102,34,35,74,233,289,521,106,104,211,262,299,559,5,11,14,198,255,449,272,322,591,589,611,1204,62,84,153,83,94,176,1416,1822,3245,934,1075,2010,20,35,55,11449,13087,24540,43,39,81,43,44,84,8,10,24,8,0,10,33,38,72,81,151,227,120,190,312,12372,11162,23536,107,66,178,60,85,146,12540,11319,23856,2690,2319,5015,27024,27232,54257
SED30033,158,309,475,3876,4740,8623,0,0,0,519,675,1190,3,5,15,3800,4871,8677,39,45,85,67,66,127,134,206,341,38,67,104,281,363,640,10,10,18,104,126,230,266,368,633,714,816,1526,73,87,160,42,63,108,1032,1423,2453,616,737,1346,24,31,55,11640,14690,26326,112,132,241,89,87,180,12,16,27,10,0,7,40,39,73,71,141,207,119,174,290,11423,11002,22428,80,48,130,36,70,108,11543,11117,22658,2221,2234,4453,25884,28765,54649
SED30034,159,250,407,2983,3342,6329,0,0,0,346,386,732,7,8,13,5932,6279,12211,3,12,16,135,150,284,188,312,504,30,43,81,117,155,269,12,18,23,82,73,159,368,461,827,704,646,1352,42,57,99,126,160,284,1021,1159,2177,717,765,1482,15,15,34,12836,14045,26877,94,80,168,35,35,74,15,14,20,0,3,5,445,360,810,138,183,318,585,543,1133,10755,9503,20253,78,70,147,56,73,133,10888,9645,20537,4746,3147,7893,29354,27755,57110
SED30035,79,155,233,2873,3228,6102,3,0,7,252,301,548,0,0,0,6685,7148,13828,8,13,20,74,66,133,77,115,193,26,27,56,136,147,281,0,3,3,55,55,119,298,350,648,442,464,904,52,71,121,49,70,121,980,1128,2111,471,537,1004,22,27,44,12496,13758,26256,51,51,103,25,42,72,3,6,7,6,6,14,39,36,76,50,97,148,95,142,233,10796,9207,20007,73,55,122,13,28,45,10888,9292,20176,2371,1782,4150,26011,25229,51236
SED30036,2416,3029,5441,1686,2191,3878,0,0,0,611,731,1347,6,0,6,5213,5959,11169,24,27,57,292,312,601,156,220,375,295,290,586,122,154,273,167,172,340,273,289,568,487,604,1096,415,470,891,30,55,83,139,145,286,649,903,1549,1185,1422,2610,34,48,83,11792,13996,25790,995,948,1939,2198,2190,4386,20,22,37,7,4,10,527,416,935,126,169,294,658,585,1239,9914,8793,18706,73,69,145,28,49,78,10017,8903,18925,5373,2443,7825,33473,32123,65593
SED30037,110,201,307,2453,3053,5498,0,0,0,470,503,976,33,26,58,4128,4794,8920,97,137,238,64,63,119,109,128,237,147,182,327,353,421,766,25,27,46,92,136,224,409,465,873,493,546,1040,66,112,176,53,66,119,928,1278,2206,636,703,1343,103,118,224,10654,12750,23402,228,194,413,100,102,203,11,8,25,0,3,3,84,66,152,100,147,245,182,217,396,11366,10397,21760,92,63,150,31,65,94,11482,10527,22010,1907,1848,3757,24681,25839,50518
SED30038,116,200,314,2892,3446,6340,0,0,0,557,576,1126,62,54,117,4013,4692,8710,82,93,176,61,61,119,102,134,232,206,268,476,440,525,962,6,5,8,93,113,213,291,359,647,497,583,1080,75,112,189,101,120,217,1043,1232,2282,712,754,1466,139,163,299,11370,13281,24659,78,80,157,62,50,111,7,12,22,4,10,17,27,10,36,93,158,247,120,178,299,12071,11124,23196,79,72,154,46,73,120,12197,11274,23475,2927,1877,4803,26890,26946,53840
SED30039,531,709,1240,2872,3414,6287,0,0,0,512,527,1046,0,0,5,5572,6278,11846,39,41,80,210,220,426,115,142,261,374,408,780,208,233,439,85,83,166,159,182,346,663,725,1390,551,602,1153,49,50,98,138,159,293,729,950,1680,1178,1348,2522,49,56,113,13498,15434,28930,1404,1403,2809,510,503,1020,19,23,42,3,4,3,683,618,1305,147,173,320,836,793,1624,15234,14101,29336,106,92,200,45,65,111,15386,14261,29646,2006,1807,3813,34191,34935,69120
SED30040,150,223,367,2972,3786,6761,0,0,0,475,516,986,3,4,11,3977,4959,8933,53,73,123,86,90,176,125,147,268,72,71,140,214,284,502,23,14,35,64,72,135,401,479,876,487,623,1107,39,72,113,44,63,102,795,1244,2037,725,949,1679,15,18,34,10566,13453,24023,137,122,259,57,65,123,13,18,34,0,0,0,30,33,59,40,71,110,75,98,172,12133,11654,23788,62,62,126,29,57,85,12219,11777,24002,1771,1716,3481,24986,27469,52460
SED30041,183,246,429,3300,3963,7263,0,0,0,426,485,907,8,18,19,5548,6240,11785,15,21,41,45,41,92,122,147,272,44,49,94,143,173,318,0,0,0,89,109,199,291,367,661,714,733,1445,71,108,172,49,66,113,1147,1565,2712,729,771,1498,36,31,64,12778,14875,27652,225,182,411,116,90,202,0,9,11,7,11,19,41,37,85,51,96,142,102,139,245,10488,9268,19755,56,56,114,27,58,87,10568,9384,19957,2647,1940,4592,26624,26869,53492
SED30042,167,246,414,2763,3355,6117,0,4,4,667,729,1396,63,54,111,4318,5104,9425,20,32,54,72,103,171,169,194,364,168,187,359,183,235,415,12,17,32,162,169,327,367,415,784,577,652,1221,49,72,118,147,170,318,799,1049,1848,985,1110,2089,92,91,186,11622,13726,25349,178,174,351,91,70,160,12,16,27,4,8,10,58,49,110,85,154,241,152,215,360,14053,13003,27061,95,69,166,34,75,107,14181,13148,27332,1743,1664,3404,28139,29264,57409
SED30043,155,215,369,3049,3291,6340,0,0,0,587,645,1230,7,5,13,4098,4482,8576,124,149,268,51,59,111,116,146,266,63,71,136,1175,1320,2496,5,5,3,83,91,176,180,224,405,499,470,964,56,85,144,145,177,321,1013,1278,2288,852,947,1803,351,365,711,12455,13804,26257,214,162,379,288,193,481,7,8,20,0,0,6,52,30,84,67,121,185,118,155,278,10662,9679,20345,70,61,133,34,63,97,10770,9800,20569,2260,2225,4482,26266,26567,52833
SED30044,359,483,843,3276,4005,7277,0,0,0,487,548,1027,0,4,5,4677,5276,9950,18,26,41,183,186,369,197,249,450,234,245,475,222,262,485,34,32,64,167,173,333,490,583,1074,556,662,1223,36,45,77,181,207,384,747,944,1685,1115,1311,2430,51,54,103,12665,14808,27479,348,326,678,554,509,1068,12,10,24,0,8,9,569,496,1062,203,242,447,776,747,1522,14871,13844,28712,84,59,142,49,82,124,15006,13985,28984,2609,2520,5123,32331,33389,65725
SED30045,247,353,600,3041,3666,6707,0,0,0,531,616,1146,39,38,76,5559,6337,11897,20,27,47,197,217,414,101,158,259,75,85,154,130,164,296,5,5,11,94,122,213,240,293,532,526,633,1164,45,54,105,23,41,68,799,1169,1967,548,685,1235,43,49,92,12024,14360,26385,250,267,513,82,71,157,13,19,39,0,4,7,79,51,131,72,97,167,152,155,307,11914,11034,22941,89,73,164,42,63,105,12040,11173,23208,1609,1524,3131,26418,27920,54339
SED30046,232,398,630,2820,3392,6215,4,0,4,491,519,1013,0,0,5,4155,4751,8909,26,20,46,187,181,371,221,294,518,385,430,816,270,343,609,8,4,4,133,159,296,562,672,1235,486,574,1054,44,59,105,124,149,267,778,1070,1847,1034,1167,2197,60,54,112,11776,13841,25619,293,283,581,558,505,1067,15,13,37,4,3,6,250,212,466,103,150,252,358,367,719,13677,12745,26420,97,67,164,48,100,152,13824,12912,26738,2678,2510,5186,29739,30840,60573
SED30047,175,263,438,2872,3457,6325,0,0,0,257,304,560,6,6,8,6185,6917,13105,43,46,90,42,51,96,121,179,296,36,36,72,190,244,433,9,6,19,139,139,275,347,444,789,540,570,1116,23,36,61,155,207,359,1415,1783,3193,694,763,1455,56,72,133,13134,15263,28391,233,212,447,120,103,219,4,11,20,0,0,4,88,68,158,58,93,156,143,162,309,10679,9498,20182,75,49,123,35,37,76,10791,9595,20382,3133,2471,5605,27733,28084,55815
SED30048,652,866,1519,2432,3015,5446,0,0,0,431,466,899,0,0,0,4932,5860,10788,14,18,31,219,234,449,33,58,89,28,19,42,212,262,474,14,9,19,173,205,376,153,220,376,519,567,1087,18,5,28,41,44,84,799,1052,1852,579,661,1239,35,45,84,10636,12738,23369,1152,1022,2171,738,699,1430,61,61,124,0,0,5,57,55,109,110,152,264,168,205,373,15171,14339,29510,217,138,356,48,99,140,15436,14570,30007,1791,1661,3448,30618,31825,62446
SED30049,899,1158,2054,1649,2023,3671,0,0,0,676,784,1457,3,6,11,4794,5520,10312,19,34,51,810,919,1731,81,114,191,136,133,268,178,250,429,63,67,131,184,194,383,609,727,1333,593,656,1246,34,47,80,199,252,448,738,1006,1744,1066,1257,2322,34,38,70,11863,14034,25897,1211,1122,2335,964,870,1837,53,42,92,0,0,0,257,246,501,133,146,284,389,396,785,10976,10329,21305,80,79,157,31,50,84,11087,10460,21544,1614,1455,3074,28082,29538,57617
SED30050,217,324,535,2630,3321,5945,0,0,0,426,459,882,3,3,4,3954,4736,8690,21,23,42,82,91,174,113,149,263,60,59,122,201,240,441,3,6,10,78,90,171,260,317,580,493,632,1128,25,42,72,24,28,49,709,1027,1738,666,819,1484,30,28,58,9767,12072,21836,325,298,623,84,78,168,29,22,54,0,0,5,95,73,172,52,75,125,146,149,299,11388,11017,22402,114,69,186,51,108,161,11559,11186,22745,2250,2194,4440,24371,26330,50701
SED30051,92,186,275,3716,4236,7950,0,0,0,363,417,783,88,105,188,3621,4179,7794,62,66,120,41,38,83,167,206,372,21,29,54,316,362,680,11,12,21,204,224,433,299,330,628,691,710,1397,71,98,168,41,54,96,1276,1606,2881,724,800,1532,35,28,62,11757,13491,25250,66,67,129,39,41,76,3,9,16,3,0,8,20,17,32,74,119,189,94,135,225,11453,10204,21664,70,55,126,42,68,113,11568,10334,21899,2980,2067,5048,26604,26323,52928
SED30052,867,1286,2157,1975,2089,4065,6,0,6,272,335,611,0,0,0,5897,6545,12442,9,17,31,298,313,606,48,73,120,48,31,75,95,113,212,13,10,30,97,144,247,164,222,389,382,425,807,14,13,25,36,36,70,485,586,1072,564,736,1303,34,25,58,10443,11713,22156,1134,904,2043,601,530,1132,81,66,147,0,0,3,64,72,134,172,165,340,244,240,480,17494,15716,33205,233,210,442,79,118,195,17805,16043,33846,3419,2865,6281,34591,33654,68240
SED30053,342,532,872,2650,3242,5892,0,0,0,243,269,507,0,0,0,5053,6009,11058,15,15,32,314,325,645,52,69,122,60,55,120,109,152,258,30,31,61,76,97,181,299,361,655,397,528,929,15,18,31,40,38,76,669,938,1608,672,849,1516,19,17,38,10718,13015,23732,185,170,358,150,150,302,96,90,185,0,0,0,41,43,88,91,119,214,137,163,303,12054,12007,24067,96,70,162,70,114,186,12219,12190,24408,1815,1761,3573,25654,28078,53734
SED30054,407,605,1009,2186,2635,4825,0,0,0,303,358,657,6,4,11,4939,5515,10454,19,19,39,526,548,1070,41,60,97,53,76,134,190,196,387,24,28,53,91,108,200,148,186,330,390,431,829,10,20,30,22,29,48,710,985,1701,520,626,1145,33,36,66,10211,11881,22094,378,360,738,305,260,563,42,47,95,0,6,6,54,57,111,97,111,206,153,176,326,11705,10937,22646,162,99,260,45,73,115,11917,11109,23026,1333,1117,2451,24735,25558,50292
SED30055,63,125,187,3227,3431,6653,0,0,0,215,234,456,4,0,9,5568,5821,11382,18,16,36,19,36,55,78,102,180,14,16,27,171,219,386,0,5,4,92,79,171,143,155,301,642,612,1253,49,64,112,86,107,187,1610,1776,3382,548,593,1143,75,66,145,12557,13338,25898,65,69,135,64,56,116,3,4,10,0,0,0,8,9,10,50,70,118,59,74,131,8999,7810,16804,46,47,94,24,32,54,9068,7879,16950,4176,2585,6761,26053,24136,50190
SED30056,339,471,807,2783,3382,6165,0,0,0,619,727,1353,0,6,7,4272,4732,9000,53,63,112,145,141,288,45,47,91,28,33,61,255,318,578,16,13,28,227,205,432,171,185,354,508,512,1023,11,19,33,32,39,66,1030,1329,2358,639,741,1380,49,66,119,10872,12553,23429,545,539,1083,179,206,387,70,89,169,0,8,8,65,70,134,102,105,211,170,176,352,11444,10427,21871,127,81,210,38,62,99,11610,10567,22177,1126,1101,2229,24927,25717,50642
SED30057,229,407,635,2866,3502,6368,0,0,0,515,597,1109,28,27,51,3817,4530,8345,17,24,44,80,81,162,164,211,376,145,164,310,206,265,468,11,10,17,141,172,313,321,396,718,561,631,1190,51,86,138,105,169,275,794,1099,1895,919,1048,1966,72,86,155,10808,13105,23916,125,156,282,108,92,194,27,20,42,5,3,7,52,37,86,119,203,324,176,249,423,14397,13854,28253,100,67,168,37,82,121,14538,14004,28539,2540,2515,5054,28538,30533,59080
SED30058,764,1010,1778,2169,2718,4887,0,0,0,606,700,1299,0,0,0,5008,5711,10719,45,49,95,198,224,418,58,80,140,58,49,113,242,315,556,27,26,57,155,180,335,242,288,530,507,521,1034,36,37,77,20,43,61,953,1200,2155,618,698,1319,61,64,124,11020,12902,23920,782,789,1573,500,465,967,39,47,90,8,4,9,105,118,222,117,137,251,229,257,484,10626,9749,20377,92,72,162,47,52,93,10764,9874,20638,1285,1091,2374,25382,26438,51820
SED30059,309,522,830,3274,3925,7200,0,0,0,404,435,842,0,0,0,4568,5485,10044,19,23,43,222,218,437,131,186,319,189,208,400,140,154,292,20,24,42,108,120,235,729,848,1578,537,677,1209,24,25,53,95,106,201,915,1124,2042,1070,1254,2331,31,32,56,12487,14853,27338,183,183,367,125,135,255,65,68,134,0,4,7,53,44,96,78,139,215,134,191,322,12907,12264,25174,96,67,166,64,112,170,13068,12451,25516,1971,1977,3950,28340,30373,58707
SED30060,245,396,637,3436,3975,7414,0,0,0,252,302,554,5,0,8,5669,6457,12122,26,37,63,120,111,237,187,256,445,81,104,182,125,130,253,0,3,7,119,142,264,355,465,818,648,664,1313,30,43,68,135,161,292,670,868,1541,705,848,1557,11,16,25,12571,14581,27154,120,110,225,70,78,147,5,11,12,18,20,37,203,181,388,143,167,308,367,365,733,11122,10151,21278,56,45,102,28,61,88,11212,10254,21464,2875,2665,5539,27466,28461,55923
SED30061,249,334,582,2413,2928,5340,0,0,0,362,409,770,3,4,10,5337,6090,11424,13,21,32,186,199,383,60,118,177,15,39,55,89,113,199,56,53,107,128,141,269,276,313,586,559,623,1181,46,66,120,94,114,211,777,1090,1865,609,713,1323,19,18,44,11056,13044,24094,394,343,736,311,287,597,20,15,35,6,9,10,101,100,203,90,95,183,195,205,400,9822,8703,18522,94,64,155,29,40,63,9942,8799,18741,3808,2210,6015,25971,25237,51205
SED30062,220,355,574,2777,3555,6327,0,0,0,888,926,1813,7,4,14,5170,6069,11240,33,50,79,127,110,239,202,215,416,187,206,392,231,322,551,54,46,96,282,345,632,542,666,1208,634,739,1372,62,99,160,218,245,464,811,1217,2029,1385,1522,2902,106,118,226,13703,16460,30164,957,963,1918,261,233,498,25,22,48,8,9,11,747,701,1445,116,184,297,864,890,1753,15001,14366,29376,103,81,187,45,96,140,15155,14549,29702,2114,1982,4102,33295,35452,68747
SED30063,146,185,333,3375,3719,7090,0,0,0,592,633,1227,0,4,0,3673,3902,7581,72,94,165,41,32,68,206,282,485,66,86,150,850,852,1702,0,0,0,142,157,299,252,314,566,667,640,1310,96,86,187,115,127,240,1526,1734,3262,830,940,1768,113,130,244,12620,13717,26338,40,48,84,48,34,78,9,7,17,3,0,7,19,18,34,100,184,283,123,202,325,10340,9207,19542,47,39,91,41,58,104,10429,9308,19733,2949,2634,5583,26363,26135,52491
SED30064,210,355,570,2430,2969,5397,0,0,0,491,595,1086,63,64,126,2850,3325,6178,45,48,93,46,54,95,165,215,384,115,121,236,191,275,469,7,4,10,123,122,243,463,548,1010,484,553,1037,43,66,112,81,113,194,808,1090,1900,1045,1250,2293,18,27,47,9465,11433,20902,55,78,135,58,54,111,16,16,32,0,0,3,21,19,32,70,92,166,95,112,206,12018,11538,23555,87,81,169,75,109,185,12173,11728,23903,2059,1830,3888,24133,25615,49746
SED30065,203,300,500,2997,3680,6676,0,0,0,461,541,1009,6,8,22,4157,4720,8873,26,32,58,86,101,183,193,237,426,47,74,122,210,287,497,8,4,12,85,122,208,394,455,851,505,550,1061,34,40,76,42,38,75,813,1035,1852,848,1029,1876,10,25,37,10940,12975,23918,92,89,177,59,56,120,23,31,52,3,0,3,36,41,72,66,107,170,100,146,243,14209,13452,27657,94,64,159,55,122,175,14352,13641,27991,1791,1632,3431,27560,28882,56441
SED30066,207,347,553,2993,3700,6693,0,0,3,196,208,408,3,0,5,3486,4121,7605,9,7,18,99,120,221,81,100,178,9,15,26,179,241,419,0,0,4,86,75,157,217,272,487,484,562,1050,21,26,48,52,47,95,608,823,1426,508,580,1087,15,22,32,9047,10920,19969,73,65,138,34,32,58,50,54,99,0,0,0,12,13,20,66,104,170,80,118,196,12134,11510,23643,79,59,143,68,141,216,12285,11717,24001,2086,1965,4049,23854,25208,49064
SED30067,308,520,830,2159,2635,4791,0,0,5,422,524,940,3,0,3,6422,7266,13687,15,14,36,142,151,296,79,108,186,46,44,96,131,197,334,9,6,17,110,121,223,227,309,539,423,519,932,35,48,80,43,58,99,712,907,1621,575,657,1235,29,25,56,11591,13589,25175,1174,1090,2268,259,251,515,24,23,48,8,0,9,485,424,905,105,150,255,595,574,1165,11884,10584,22471,123,94,213,46,67,107,12053,10747,22798,1814,1557,3372,27816,28355,56175
SED30068,160,303,462,3041,3837,6874,0,0,0,554,596,1149,9,3,17,4079,4784,8868,37,41,74,183,198,384,71,93,163,93,102,197,130,200,326,9,7,14,84,85,173,213,260,475,584,669,1254,48,73,111,43,49,94,884,1225,2113,608,782,1390,50,61,110,10725,13066,23795,122,114,230,64,62,128,23,13,38,0,0,0,39,51,92,40,79,121,85,123,211,9193,8479,17670,75,52,128,29,58,91,9294,8590,17888,1090,1007,2101,21567,23283,44847
SED30069,167,254,417,2929,3494,6417,0,0,0,780,821,1606,4,0,8,4938,5253,10195,28,31,60,103,109,215,115,153,274,76,86,161,146,218,368,48,57,104,157,156,310,425,493,918,583,645,1233,54,75,125,61,80,141,1009,1277,2291,1014,1131,2150,74,89,168,12550,14173,26726,433,409,848,127,116,244,14,15,32,5,5,10,106,93,201,67,124,191,179,218,399,12415,11118,23540,78,88,168,33,68,100,12532,11281,23804,1658,1467,3123,27657,27940,55600
SED30070,151,245,400,3898,4586,8482,0,0,0,443,477,919,0,4,0,4036,4718,8755,48,56,106,89,107,198,118,167,285,62,75,143,207,261,463,6,7,17,123,103,223,242,264,507,658,760,1423,42,64,109,62,69,135,1006,1381,2391,576,752,1328,44,51,85,11666,13899,25561,40,40,80,46,38,82,7,14,22,5,3,5,23,22,46,62,116,177,92,144,236,11323,10749,22075,65,45,114,37,79,121,11429,10876,22309,1831,1727,3560,25256,26976,52240
SED30071,169,342,506,3079,3872,6945,0,0,0,456,538,1002,5,5,9,4742,5635,10372,19,30,50,144,178,325,173,227,396,84,102,183,201,293,500,3,7,13,117,155,276,257,301,552,554,699,1255,51,84,132,51,49,99,774,1084,1861,679,838,1524,32,38,72,11434,14133,25564,92,82,173,74,62,139,13,17,30,4,9,10,24,17,41,77,146,226,109,169,276,11377,10693,22072,87,54,143,64,98,160,11522,10853,22370,2063,1965,4028,25468,27619,53092
SED30072,163,276,436,3391,3992,7382,0,0,0,646,768,1414,8,8,17,4388,5032,9416,17,25,42,150,156,306,105,118,224,134,148,272,269,332,597,6,0,8,123,127,256,282,323,606,603,738,1348,42,50,91,73,124,204,1017,1352,2367,800,910,1712,46,64,109,12103,14258,26361,140,125,267,107,106,216,17,16,36,0,0,0,82,89,167,49,116,170,135,201,339,11911,10928,22838,84,78,163,55,84,139,12050,11095,23143,1700,1521,3225,26414,27604,54021
SED30073,175,230,407,2990,3610,6600,0,0,0,477,555,1036,5,9,9,5463,6360,11824,14,17,37,34,43,81,107,153,265,48,48,100,134,149,286,8,4,10,70,98,168,311,386,698,667,746,1415,89,133,222,51,61,114,1048,1462,2505,623,742,1364,14,20,35,12155,14613,26767,277,217,496,148,87,234,6,3,11,0,0,7,50,54,105,73,117,191,131,171,301,10951,9949,20900,79,40,112,23,43,68,11053,10027,21082,2621,2007,4625,26560,27359,53919
SED30074,208,329,539,2371,3033,5405,0,6,5,534,676,1213,5,0,3,5874,6839,12708,21,28,52,177,151,329,93,132,229,59,65,119,132,180,311,53,51,103,99,110,210,266,357,621,493,599,1089,81,131,218,53,79,128,766,1121,1885,677,795,1472,41,41,84,11788,14377,26169,1020,967,1990,235,205,439,13,11,24,0,5,9,784,724,1510,72,87,157,859,811,1667,10663,9908,20572,105,89,199,45,62,103,10808,10062,20873,1478,1326,2800,26408,28094,54499
SED30075,116,190,303,3458,4090,7556,0,0,0,520,552,1075,4,4,7,4159,4555,8713,137,166,310,61,77,141,146,205,352,59,53,111,486,514,996,4,6,9,87,83,174,278,307,587,596,604,1197,83,111,194,101,117,218,1273,1460,2726,780,839,1618,37,45,83,12273,13798,26073,44,44,88,42,31,70,15,18,32,6,3,10,16,18,35,81,143,225,107,162,270,11730,10837,22562,63,59,122,55,72,119,11842,10964,22804,2667,2311,4984,27117,27507,54621
SED30076,866,1271,2140,1790,1772,3570,0,0,0,225,299,525,0,0,0,4661,5207,9873,3,10,16,1009,996,1998,51,55,108,65,70,137,100,123,222,30,28,58,88,104,194,204,253,456,347,424,774,13,10,22,41,41,74,398,507,900,605,781,1386,28,27,52,9653,10710,20361,862,712,1572,687,552,1244,64,70,140,0,0,0,82,96,176,189,191,383,269,292,561,16679,16105,32784,218,216,438,68,108,177,16971,16428,33401,3017,2790,5806,32393,32831,65224
SED30077,84,139,222,4415,5010,9420,0,0,0,320,353,672,97,88,183,5272,5679,10952,31,37,69,24,39,68,110,167,273,61,66,123,196,219,418,0,0,0,72,61,129,234,237,469,806,759,1571,47,55,101,121,124,243,1182,1376,2561,679,729,1410,32,33,66,13705,15040,28743,76,61,132,33,39,69,14,4,21,4,0,4,36,36,70,55,100,152,89,136,231,7966,7240,15205,43,37,83,45,43,86,8054,7318,15374,2628,2402,5032,24677,25138,49822
SED30078,531,849,1377,2857,3376,6231,0,0,0,236,298,534,7,11,12,4824,5715,10546,76,66,150,348,392,742,90,119,211,79,88,164,138,182,323,48,43,94,103,118,212,171,250,425,521,583,1105,26,31,61,24,44,70,686,914,1596,778,950,1728,27,33,60,11041,13209,24250,545,470,1015,396,346,741,72,83,153,0,0,0,121,101,221,146,169,313,269,270,537,12067,11427,23496,106,72,176,59,87,144,12231,11584,23822,2520,2595,5114,27600,29413,57014
SED30079,310,475,784,2367,2771,5132,0,0,0,723,757,1484,12,6,17,4292,4884,9178,66,81,147,312,295,603,133,153,283,257,257,513,238,329,563,21,23,44,120,132,252,636,690,1322,573,714,1284,35,33,69,148,153,300,802,1053,1855,1211,1359,2573,37,55,94,11972,13738,25710,367,329,687,442,414,862,17,19,39,0,0,0,255,205,465,71,103,171,329,306,639,11284,10193,21477,75,61,141,58,68,126,11420,10330,21745,1382,1216,2598,26238,26826,53064
SED30080,341,470,817,2276,2763,5039,0,0,3,415,506,924,3,10,11,6798,7941,14737,23,22,40,180,203,381,67,83,148,38,44,85,116,145,260,27,39,68,93,118,206,278,336,610,481,480,961,25,29,55,29,41,74,699,1003,1703,545,666,1209,33,34,65,12131,14460,26593,698,607,1305,271,277,551,29,18,44,3,4,6,137,121,262,86,120,208,232,248,479,11939,11252,23189,124,102,223,43,73,111,12104,11424,23527,1829,1666,3489,27634,29177,56814
SED30081,1501,1985,3486,1283,1464,2748,0,0,0,537,612,1151,10,15,25,3745,4294,8037,27,22,43,590,586,1181,64,81,142,164,182,348,138,175,308,120,128,249,278,298,577,426,497,921,597,657,1253,27,30,53,120,147,271,631,799,1424,1038,1249,2284,32,35,74,9815,11277,21097,1198,1133,2336,3012,2983,5992,11,9,18,0,5,5,1193,991,2185,123,149,271,1313,1145,2460,10872,10062,20934,64,32,96,29,32,66,10964,10129,21088,1672,1668,3344,29490,30330,59815
