SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED10011,0,0,0,22,14,16,14,8,0,72,0,6,16,50,32,22,20,8,0,152,0,0,0,0,5,14,7,12,0,34,0,5,0,0,0,6,12,7,0,26,3,28,50,187,258,472,531,307,123,1960,0,0,0,8,12,8,14,3,0,44,0,6,0,20,9,18,21,3,7,80,0,4,4,40,33,36,72,69,10,275,0,0,0,0,4,4,8,10,0,28,0,0,0,16,15,10,8,4,0,54,4,3,8,52,17,19,17,13,5,139,0,0,7,24,11,7,6,6,0,65,0,0,0,6,0,3,3,0,0,13,0,0,0,4,5,0,0,0,0,7,0,3,4,17,19,24,28,11,4,115,0,0,0,5,9,15,12,11,8,62,0,4,0,25,26,14,13,0,0,87,0,0,3,17,12,12,3,0,0,53,0,0,0,9,0,7,0,6,0,30,0,4,0,12,25,29,9,7,3,88
SED10012,0,0,0,28,36,58,61,38,9,232,0,9,22,175,160,208,140,89,128,926,0,0,0,47,40,87,139,120,67,503,0,4,7,13,6,13,8,12,0,75,0,7,3,6,14,29,33,22,3,122,0,6,9,86,46,87,38,20,5,288,0,0,6,4,3,0,0,0,0,19,0,0,7,7,0,5,27,25,15,90,0,0,10,11,0,11,15,19,4,68,0,5,0,53,10,17,18,0,4,102,0,0,0,40,17,23,16,3,0,106,0,0,10,41,20,13,19,7,0,117,0,3,11,44,19,30,15,3,9,135,5,214,351,1030,473,415,258,97,56,2892,0,0,0,4,4,3,7,5,0,17,0,4,3,4,24,66,136,173,84,489,0,0,0,7,8,0,0,0,4,17,0,4,0,12,0,0,0,0,0,19,12,14,15,67,58,69,61,15,3,309,0,6,15,73,23,24,15,10,0,165
SED10013,0,0,7,56,56,57,39,21,0,232,5,24,28,249,107,101,71,16,0,602,0,0,0,44,15,50,52,24,8,194,7,14,11,75,21,20,23,13,0,185,4,47,53,241,233,331,271,181,71,1435,0,11,31,350,150,96,39,12,4,695,0,0,0,7,0,5,3,0,0,26,0,5,5,37,14,20,51,32,7,183,0,3,10,14,12,17,20,10,3,91,0,7,6,35,12,12,0,0,0,80,10,88,86,996,117,87,58,6,3,1451,0,9,6,86,37,16,7,4,0,175,0,4,3,64,10,14,12,0,0,109,0,16,51,393,110,92,59,20,6,738,4,19,10,66,26,27,24,18,6,206,0,3,0,26,27,89,162,115,49,470,0,0,5,16,4,5,0,0,3,36,0,0,3,33,12,11,4,0,0,63,0,0,12,104,72,64,40,17,3,306,0,3,8,47,15,23,17,0,0,115
SED10014,0,0,6,36,37,41,49,38,7,210,0,9,10,154,52,70,52,20,3,370,0,0,0,14,4,25,21,21,5,82,0,5,13,48,22,27,21,12,8,150,3,12,20,81,106,248,255,187,55,962,0,5,18,207,122,96,59,29,11,545,0,0,0,0,3,5,4,5,0,21,0,0,3,10,8,13,29,30,12,103,0,0,3,4,9,12,21,18,0,75,0,0,10,21,7,17,12,0,0,69,6,62,62,452,100,85,47,27,4,848,0,5,13,68,46,27,23,10,0,194,0,3,15,35,9,7,10,0,0,81,0,9,27,127,49,25,16,6,0,259,0,4,3,8,12,13,13,16,0,69,0,0,0,9,3,25,32,19,8,104,0,4,0,14,11,4,0,0,0,39,0,0,0,28,7,7,3,0,0,47,3,0,11,86,53,82,46,21,5,309,0,4,7,30,19,18,29,9,3,125
SED10015,0,0,3,17,21,15,12,10,0,83,12,61,172,1330,943,961,554,251,176,4464,0,0,0,6,3,11,18,15,9,64,6,8,6,32,22,40,57,32,12,213,4,26,17,132,87,79,58,34,12,437,0,3,10,67,62,65,55,20,9,288,0,0,0,14,11,4,3,0,3,44,0,0,6,26,6,13,9,13,12,82,0,19,24,75,71,199,550,855,304,2104,0,8,16,135,62,74,72,26,5,403,3,19,37,292,68,47,26,13,3,512,3,12,36,320,124,94,74,21,6,691,0,6,0,31,9,6,3,0,0,58,0,0,4,24,9,3,0,0,0,38,0,0,4,28,17,12,9,12,3,87,0,0,3,53,36,97,164,206,130,696,0,4,6,45,42,14,3,0,0,121,0,6,34,206,139,157,111,62,37,755,0,11,25,209,245,423,364,181,80,1530,4,7,51,272,82,50,49,20,6,536
SED10016,0,0,7,15,23,18,16,9,0,91,6,115,95,1438,448,484,379,78,59,3101,0,0,0,7,14,19,24,24,10,93,4,63,19,136,49,32,44,17,9,361,8,87,111,236,275,262,211,136,48,1373,0,0,8,96,82,59,28,12,0,285,0,0,0,12,8,3,11,0,0,38,0,0,6,19,22,18,33,27,6,136,0,0,4,6,3,10,22,13,10,64,8,36,24,133,78,114,70,13,6,478,19,265,175,1861,437,266,198,87,18,3315,0,9,10,161,73,55,38,20,9,366,0,37,63,447,165,110,60,11,3,890,0,3,0,31,10,19,9,0,6,77,0,12,14,43,32,22,26,11,3,155,0,0,0,18,19,43,92,63,40,267,3,8,9,30,21,8,4,10,0,85,4,45,74,293,255,90,52,27,3,847,0,0,0,38,69,57,47,15,3,222,3,29,36,154,95,112,105,42,0,568
SED10017,0,0,0,0,0,4,0,0,0,10,0,0,3,41,19,9,3,0,0,93,0,0,0,0,0,4,6,0,0,16,0,0,3,3,0,6,4,0,0,17,0,12,17,97,100,183,192,111,45,758,0,0,0,11,3,5,3,0,0,25,0,0,0,6,6,0,0,0,0,17,0,0,6,7,8,12,54,41,13,139,0,0,0,0,0,0,0,0,0,5,0,4,0,8,4,6,4,0,0,28,0,18,15,159,18,10,11,3,4,239,0,0,0,10,7,3,0,3,0,25,0,0,0,7,0,0,0,0,0,15,0,3,0,0,0,3,0,0,0,9,0,3,0,9,4,13,8,4,0,37,0,0,0,0,0,4,7,5,8,27,0,0,0,8,0,0,0,0,0,12,0,0,5,24,8,0,0,0,0,34,0,0,0,4,0,0,0,0,0,13,0,3,0,23,7,11,3,0,0,54
SED10018,0,0,0,10,5,8,4,0,0,25,0,8,5,91,31,20,21,6,4,191,0,0,0,0,0,0,6,4,0,14,0,0,0,4,0,0,0,0,0,4,6,38,44,171,129,164,136,145,66,907,0,0,0,6,3,0,3,0,0,19,0,3,3,6,11,7,0,0,0,30,0,0,5,30,15,19,65,46,22,210,0,0,0,5,0,10,11,14,7,46,0,3,4,11,4,12,15,0,6,50,0,9,12,81,21,4,11,3,3,157,0,4,4,21,11,3,6,0,0,49,0,0,0,17,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,16,0,3,3,25,18,4,6,4,8,68,0,4,0,10,6,15,36,35,21,117,0,4,6,11,9,0,7,3,0,39,0,0,8,38,12,0,3,0,0,61,0,0,0,0,3,0,0,0,0,8,0,0,5,26,17,24,15,6,0,93
SED10019,0,0,0,0,3,0,0,0,0,10,0,4,0,10,17,15,7,0,0,50,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,3,0,4,0,20,9,77,75,201,236,169,63,837,0,0,0,4,0,3,0,3,0,16,0,0,0,4,4,9,10,6,0,29,0,0,0,22,10,18,35,22,11,121,0,0,0,0,0,0,4,0,0,7,0,0,0,4,6,13,3,0,0,19,3,0,4,51,8,3,11,0,0,89,0,0,0,7,9,3,3,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,8,8,4,30,0,0,0,4,4,10,5,5,5,32,0,3,0,8,5,4,8,0,0,24,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,7,3,6,0,39
SED10020,0,0,0,8,3,0,6,0,0,11,0,5,10,55,23,23,12,0,3,125,0,0,0,0,0,5,5,8,0,11,0,0,0,6,0,0,7,0,0,13,0,30,41,149,154,283,310,227,111,1296,0,4,4,10,13,15,4,0,0,53,0,0,5,13,10,3,8,4,4,44,0,3,3,30,23,41,54,41,13,206,0,0,0,0,0,0,3,0,0,9,0,3,4,15,3,9,9,3,0,42,0,28,43,370,75,75,52,21,8,682,0,4,4,28,9,8,10,4,0,62,0,0,0,0,0,3,0,0,0,11,11,66,38,70,10,6,3,0,0,205,0,4,3,26,9,9,15,14,0,79,0,0,5,9,5,5,16,11,6,53,0,0,6,45,20,3,3,0,0,76,0,0,0,26,0,0,6,0,0,34,0,0,0,0,3,8,0,0,0,10,14,33,12,67,23,10,11,5,0,168
SED10021,0,3,5,120,16,10,18,12,0,185,0,30,63,289,105,111,71,33,21,730,0,0,0,9,5,11,9,12,9,52,0,0,3,10,9,0,21,27,12,80,26,133,183,1814,506,292,188,125,40,3300,0,0,0,15,18,19,16,3,3,71,0,23,28,279,42,15,21,10,5,426,3,7,20,161,56,30,36,23,14,358,0,0,8,10,7,14,50,88,54,226,3,27,22,74,34,54,31,17,3,266,0,10,12,133,25,21,30,18,5,259,0,6,18,72,25,26,19,9,4,182,0,0,0,56,11,7,8,0,3,83,0,0,0,6,9,7,8,5,0,33,5,5,48,1155,105,54,29,22,8,1432,0,0,15,146,20,17,44,53,36,341,0,11,9,89,66,29,14,7,0,225,0,6,5,89,32,5,7,6,0,151,0,0,0,19,20,10,15,17,9,96,0,7,29,91,43,46,44,26,8,290
SED10022,0,0,0,3,3,0,4,0,0,10,5,8,11,70,10,8,10,3,0,126,0,0,0,0,6,3,0,5,0,15,0,0,0,0,0,0,0,0,0,10,0,8,13,28,47,140,176,98,29,536,0,0,0,4,3,4,0,7,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,9,7,6,30,16,5,82,0,0,0,0,0,3,7,6,0,15,0,0,0,6,3,5,4,0,0,19,0,5,6,63,9,3,0,0,0,91,0,0,3,8,3,9,0,0,0,22,0,0,0,8,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,7,0,0,4,4,0,3,4,3,3,23,0,0,0,3,0,5,5,3,4,25,0,0,0,0,6,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,12,7,10,5,4,0,32,0,0,0,9,8,8,4,0,0,27
SED10023,0,5,4,24,12,10,7,4,0,60,0,10,6,137,68,92,50,14,10,390,0,0,0,12,9,18,22,20,0,79,0,0,0,7,7,11,34,14,6,77,9,57,56,360,224,244,179,167,66,1367,0,0,0,11,9,8,3,6,0,37,0,4,6,26,9,11,5,4,0,65,0,0,4,44,21,21,36,24,17,160,0,0,5,4,8,30,42,33,14,143,0,14,13,23,20,17,13,3,0,97,0,0,3,25,23,16,5,13,4,92,0,3,3,30,24,10,4,3,0,85,0,0,0,10,0,3,0,0,0,18,0,0,0,4,0,0,0,0,0,9,0,8,7,75,34,30,20,8,3,180,0,0,0,27,10,29,56,33,35,186,0,4,0,24,12,15,3,0,0,62,0,0,4,22,4,8,6,0,0,46,0,0,0,6,10,13,11,11,5,57,0,0,4,18,17,13,21,4,0,80
