SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED20106,586,597,1536,1141,884,793,492,301,102,6432,8228,8083,20445,14274,10699,8793,6174,3277,977,80950
SED20207,1679,903,1153,1303,925,625,391,212,110,7301,25512,11469,15432,21413,14192,9594,6750,3072,1101,108535
SED20302,2009,912,1234,1200,987,898,855,527,260,8882,25362,11786,17584,17368,12615,11993,11190,5951,1961,115810
SED20401,794,487,569,591,561,462,329,215,194,4202,11394,6915,9122,9776,8567,7481,6116,3635,1681,64687
SED20508,898,471,404,542,556,698,792,561,235,5157,11976,6489,6395,8042,8775,10130,11357,6074,2100,71338
SED20604,1155,751,678,717,738,733,592,367,163,5894,13209,7810,8156,8401,8863,9520,8557,4341,1548,70405
SED20704,1227,747,683,669,713,752,529,360,237,5917,14204,8831,9251,8796,8677,8905,7723,4031,1692,72110
SED20804,1013,633,883,772,732,697,573,433,306,6042,10697,6592,7756,7601,7935,8535,8112,4646,1885,63759
SED20906,632,453,428,499,545,438,293,203,120,3611,12876,7992,7389,9999,10398,7677,5335,3287,1821,66774
SED21001,570,664,700,480,529,460,352,296,320,4371,11095,10270,10761,9698,9907,8367,6507,4236,2597,73438
SED21106,651,435,440,562,636,494,384,266,147,4015,10069,7079,6717,7941,9907,8397,6281,3892,1930,62213
SED21203,1761,1112,1357,1190,883,726,426,305,148,7908,15492,10213,12275,10099,8487,7743,5074,3476,1506,74365
SED21303,491,497,1165,706,552,407,258,175,91,4342,8952,8780,19609,12828,8825,6521,4457,2848,1476,74296
SED21401,502,373,407,432,472,419,370,337,231,3543,10071,7563,8038,8607,8605,8350,7052,6010,2811,67107
SED21503,562,649,587,486,490,387,293,196,91,3741,9745,8117,9138,8248,8100,6821,5654,3621,1477,60921
SED21608,1213,761,685,600,765,607,559,287,137,5614,12970,7983,8598,8516,8797,8458,7281,3554,1266,67423
SED21706,600,617,687,477,493,425,312,198,130,3939,11373,10300,9361,8892,9474,7897,5877,3599,2091,68864
SED21805,991,552,659,723,719,561,401,278,147,5031,13127,7389,9544,10452,10031,8795,6645,3498,1360,70841
SED21906,619,530,851,617,501,385,403,233,150,4289,11059,7877,12322,9926,8297,6851,6493,3213,1750,67788
SED22005,734,662,1027,629,575,464,437,343,245,5116,11601,9626,14124,10642,8922,7805,6521,4410,2321,75972
SED22105,2433,1160,1519,1408,999,691,395,229,99,8933,32571,15738,21200,22726,14512,10081,6619,3257,1176,127880
SED22201,661,443,493,439,438,433,292,222,151,3572,11217,6754,8420,8789,7762,7265,6132,3914,1585,61838
SED22305,1403,841,1390,1107,853,677,545,320,148,7284,14020,9248,13787,11366,8594,7847,6252,3696,1513,76323
SED22404,1039,718,580,712,906,939,727,366,100,6087,10303,6425,6184,6857,8612,9900,8564,4203,1315,62363
SED22501,625,393,268,383,464,460,361,246,131,3331,11320,6840,5349,7976,8792,8222,6946,3341,1039,59825
SED22607,693,607,858,678,702,594,359,182,88,4761,10765,8435,12442,10475,9619,8087,5834,2896,1454,70007
SED22704,1282,756,799,830,974,1048,880,540,255,7364,10811,6912,7028,7076,8883,10570,9819,5343,1940,68382
SED22802,770,499,469,472,516,452,300,200,62,3740,11537,7472,8136,8064,8045,7379,5906,3341,964,60844
SED22901,549,397,422,404,403,377,303,242,130,3227,10229,6865,7388,8577,7628,7470,6731,3606,1608,60102
SED23007,1006,828,1607,1073,835,633,458,277,162,6879,12411,9590,19000,13860,10025,8154,5960,3323,1455,83778
SED23101,431,373,293,371,377,288,329,273,222,2957,10081,7481,6610,8147,8352,7037,6446,4991,2256,61401
SED23205,1053,672,854,755,747,625,414,282,153,5555,10928,7003,8640,8418,8325,7627,6352,3922,1776,62991
SED23308,858,652,710,631,600,581,436,275,165,4908,11006,7989,10653,8718,8322,8118,6745,3832,1688,67071
SED23402,1374,844,825,829,798,638,441,295,139,6183,17970,10394,12192,12138,10902,9074,6636,3701,1303,84310
SED23502,1086,617,620,615,768,892,932,559,265,6354,10091,5720,6056,6177,7336,9968,10844,5880,1826,63898
SED23602,994,621,882,915,746,785,732,392,198,6265,9939,5824,6031,6534,7669,9169,8946,4528,1574,60214
SED23702,1125,706,635,741,784,690,503,274,105,5563,13382,8765,9194,8995,9468,9472,7533,4036,1298,72143
SED23806,460,499,607,471,468,378,318,193,101,3495,9494,9268,10758,8485,8343,7146,5835,3547,1543,64419
SED23901,667,491,596,581,535,460,362,196,105,3993,11637,7691,9412,9754,8915,8053,6312,3835,2023,67632
SED24006,491,482,359,317,493,423,292,211,128,3196,10507,9487,6737,7266,9401,8524,6196,3884,2027,64029
SED24105,900,533,694,683,533,523,358,253,106,4583,13536,9984,11199,10941,9696,8444,6809,3846,1479,75934
SED24207,1738,1270,2107,1815,1229,743,483,233,96,9714,22765,12842,16173,17500,12948,9186,6827,2812,735,101788
SED24308,1223,917,1276,1078,918,668,474,269,127,6950,12399,8802,10785,8915,8954,8210,6927,3887,1635,70514
SED24408,900,554,515,506,569,653,646,467,264,5074,9881,5895,6260,5959,7038,8784,7869,4705,2075,58466
SED24504,921,596,455,606,795,756,667,348,123,5267,12054,6443,5500,8155,9964,9502,8241,3984,1202,65045
SED24606,510,454,552,428,471,402,334,280,203,3634,8642,7855,9166,7567,8091,6899,5983,4053,1891,60147
SED24703,782,2282,3759,1796,986,719,490,214,83,11111,8698,28167,43021,18338,9660,7578,5368,2489,890,124209
SED24808,2435,1132,1357,1275,993,718,537,244,75,8766,23705,11484,15318,14965,11193,9022,7657,3321,1020,97685
SED24904,1412,865,921,908,879,904,729,435,291,7344,12169,7352,8886,7895,8212,8908,7397,4111,1833,66763
