SED_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED10049,1484,10088,13278,4737,2716,32303,345,32648
SED10050,2620,13585,10832,2610,1295,30952,274,31225
SED10051,4065,13680,10247,2644,1261,31898,498,32397
SED10052,1936,10191,11149,3368,2030,28685,302,28982
SED10053,1113,9580,12083,4768,3220,30764,378,31143
SED10054,2094,9344,9772,3657,2011,26871,503,27373
SED10055,548,5856,10872,4860,3799,25933,281,26213
SED10056,1462,9825,11583,4548,2788,30208,759,30972
SED10057,1736,12349,10680,3466,1890,30130,751,30876
SED10058,3199,13723,11698,2968,1378,32962,408,33375
SED10059,12038,16274,4886,847,334,34377,557,34938
SED10060,6298,19027,8005,1459,612,35404,341,35742
SED10061,1877,10397,10158,3790,2224,28450,665,29118
SED10062,2418,10206,9451,3143,1687,26902,316,27217
SED10063,1632,10078,11376,4068,2371,29533,536,30070
SED10064,1440,10995,10651,3818,2183,29084,608,29694
SED10065,6072,18339,11133,2807,1329,39676,706,40386
SED10066,2789,12127,10618,3483,1998,31016,424,31438
SED10067,1155,8509,11119,3643,2313,26736,243,26976
SED10068,1789,13057,11839,3627,1889,32201,786,32990
SED10069,1157,10643,11199,3774,2398,29167,395,29562
SED10070,1838,9723,10068,3519,2023,27178,401,27582
SED10071,980,12360,15753,4606,2250,35948,367,36320
SED10072,4872,16300,9315,2527,1427,34443,611,35055
SED10073,5059,18478,10399,2498,1109,37535,453,37988
SED10074,2424,11615,10592,3127,1615,29377,410,29787
SED10075,1802,10617,12434,4381,2722,31956,410,32360
SED10076,1340,11852,11457,3518,1876,30047,546,30594
SED10077,6438,16255,9039,2468,1256,35456,685,36143
SED10078,6223,16627,7132,1589,714,32291,396,32688
SED10079,1484,10649,10959,3623,2136,28845,376,29225
SED10080,18754,18615,4406,599,259,42639,815,43451
SED10081,1722,10353,11138,4005,2487,29704,547,30249
SED10082,1264,9461,11310,3859,2346,28236,331,28567
SED10083,1784,10449,10584,3385,2068,28278,388,28659
SED10084,1882,12361,11506,3472,1872,31088,527,31615
SED10085,1172,8723,11054,4536,2956,28448,456,28908
SED10086,4897,14642,9186,1999,1000,31724,423,32150
SED10087,1776,10315,11398,4094,2293,29875,480,30350
SED10088,2139,10378,10865,3502,1998,28881,329,29211
SED10089,2146,11496,12320,3804,2054,31819,394,32217
SED10090,4305,16250,9321,1989,731,32601,306,32909
SED10091,829,7762,10948,4674,4149,28370,342,28707
SED10092,3972,13918,10551,3394,1822,33655,502,34152
SED10093,1764,10518,10807,3803,2384,29275,486,29764
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
SED20106,9587,20538,7176,1063,399,38761,492,39252
SED20207,1563,13188,15197,4012,1804,35770,481,36253
SED20302,1303,13209,17468,5347,2751,40075,650,40725
SED20401,1085,8680,9929,2969,1490,24154,293,24446
SED20508,677,9263,11861,3588,1920,27307,333,27642
SED20604,1043,8333,10621,3823,2352,26166,565,26732
SED20704,1144,8725,10695,3798,2341,26700,309,27006
SED20804,1443,9388,9052,3278,1972,25144,386,25534
SED20906,1559,9410,9922,2431,1043,24363,239,24604
SED21001,2864,11887,9555,2329,1064,27695,366,28061
SED21106,1632,10310,9080,2272,1073,24362,233,24592
SED21203,2142,8609,7501,2670,1567,22490,529,23021
SED21303,5638,16561,7309,1733,725,31968,343,32306
SED21401,1290,8863,10082,2871,1517,24622,246,24872
SED21503,1456,7947,8698,2629,1367,22102,294,22395
SED21608,1068,7835,9423,3856,2683,24867,344,25214
SED21706,1753,9256,9722,2543,1172,24442,289,24735
SED21805,1411,9847,11123,3215,1547,27135,374,27508
SED21906,3066,12658,8885,1759,814,27173,321,27499
SED22005,2230,10346,9610,2757,1338,26278,414,26692
SED22105,1068,11133,17810,5709,2731,38448,524,38971
SED22201,1080,8397,9760,2633,1514,23383,219,23606
SED22305,2245,9619,8575,2851,1558,24848,572,25423
SED22404,601,6454,8807,3952,2968,22776,342,23120
SED22501,482,5878,9619,3064,1966,21009,146,21158
SED22607,3537,12907,8465,2122,1073,28108,371,28479
SED22704,1052,8088,9629,4297,2988,26060,596,26647
SED22802,621,5722,9044,3485,2470,21334,178,21514
SED22901,930,6853,9342,2918,1539,21581,208,21784
SED23007,3859,14588,9288,2536,1110,31380,513,31895
SED23101,1274,7514,9274,2506,1223,21784,239,22018
SED23205,1927,9579,9043,2575,1204,24324,371,24697
SED23308,2218,11583,9982,2554,1236,27577,351,27930
SED23402,713,8023,12329,4350,2927,28337,306,28642
SED23502,1011,8261,9707,3772,2263,25010,540,25541
SED23602,967,7706,8785,3393,2246,23099,423,23521
SED23702,796,7614,10254,4097,3054,25812,289,26102
SED23806,2590,11813,8326,2031,955,25710,229,25939
SED23901,1843,10380,9812,2475,1095,25609,268,25879
SED24006,1167,8227,9155,2651,1314,22520,207,22728
SED24105,1351,7159,9544,3688,1956,23701,338,24037
SED24207,1135,8708,12916,4501,2343,29603,461,30068
SED24308,1850,9449,9442,3123,1858,25727,431,26159
SED24408,1194,7551,8404,3700,2625,23467,438,23904
SED24504,521,6108,9766,4069,2847,23308,281,23588
SED24606,2174,10567,8251,2042,1044,24065,292,24364
SED24703,27011,22374,5667,856,354,56259,975,57238
SED24808,1409,10637,12829,4442,2550,31854,531,32380
SED24904,1464,8005,8945,3558,2226,24200,602,24804
SED25003,736,7076,9711,3551,2114,23196,303,23494
SED25102,465,5022,8888,3393,2444,20208,175,20384
SED25205,1390,9295,10347,2610,1304,24960,203,25163
SED25302,829,7474,10382,3224,1927,23833,234,24064
SED25402,1597,9179,9580,3560,2132,26047,485,26536
SED25501,1116,8144,9279,2743,1146,22426,233,22657
SED25605,1398,7353,9038,2747,1471,22003,346,22348
SED25704,1286,7792,9182,3773,2471,24512,559,25072
SED25802,1282,8867,10873,4390,3036,28442,477,28921
SED25905,752,6103,9014,3537,2244,21650,305,21957
SED26005,620,6284,11228,4410,2596,25127,324,25455
SED26102,971,9529,10991,3265,1675,26432,439,26867
SED26207,1270,7764,9367,2760,1537,22693,267,22961
SED26303,3591,13530,7898,1722,751,27494,231,27729
SED26406,3030,12460,9208,2166,1042,27912,343,28257
SED26504,1091,7670,8859,3255,2120,23004,572,23578
SED26603,2875,13311,9811,2435,1215,29642,399,30042
SED26708,876,7085,9372,3952,2843,24132,462,24594
SED26806,8618,20343,6421,1035,414,36823,490,37314
SED26903,3314,12658,8160,2064,1026,27215,475,27690
SED27003,7218,18501,6834,1250,372,34176,431,34610
SED27101,1575,10154,9528,2291,1231,24780,284,25065
SED27208,1213,8619,9718,4060,2773,26379,530,26908
SED27305,396,4486,8323,3239,2151,18594,147,18743
SED27406,1462,10132,9985,2373,1146,25096,240,25334
SED27504,1352,8947,9988,3996,2442,26725,578,27308
SED27608,860,9480,15021,4321,2438,32119,315,32436
SED27708,1198,8447,9950,3611,2125,25335,421,25757
SED27807,2422,9576,8168,3068,1497,24725,598,25327
SED27907,979,7779,9956,3436,2006,24155,273,24432
SED28007,701,6192,10357,4426,2888,24560,319,24875
SED28107,1149,13064,16861,4877,2439,38391,705,39093
SED28203,1781,9559,10779,3245,1574,26933,462,27393
SED28301,649,6008,9090,3231,2255,21230,172,21403
SED28408,1663,9894,9270,2693,1363,24887,335,25225
SED28507,1630,11733,11630,3372,1761,30126,463,30587
SED28607,2397,12033,10328,2276,934,27971,316,28288
SED28704,590,8493,15054,5227,3367,32725,355,33080
SED28803,1007,10452,16826,5810,3397,37491,601,38092
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
SED30001,711,6277,8815,2927,1471,20205,259,20466
SED30002,1025,6226,8321,2513,1379,19466,200,19670
SED30003,826,7223,7940,2728,1552,20272,273,20549
SED30004,645,7322,8657,2699,1277,20604,251,20849
SED30005,1535,10159,7554,2056,976,22279,387,22662
SED30006,730,7210,7897,2433,1189,19459,251,19715
SED30007,793,6738,8214,2704,1393,19839,242,20080
SED30008,1165,8678,8688,2229,1086,21842,241,22084
SED30009,1688,8115,6430,2216,1118,19575,345,19914
SED30010,1182,8318,9028,2928,1386,22845,418,23260
SED30011,754,5715,7347,2767,1680,18252,440,18689
SED30012,948,7267,7682,2241,1101,19243,264,19505
SED30013,499,6184,7480,2801,1674,18631,427,19054
SED30014,2431,9528,6797,1950,924,21626,526,22155
SED30015,679,5400,6633,2933,1989,17632,517,18155
SED30016,965,7842,8325,2580,1468,21180,283,21462
SED30017,781,5853,7548,2808,1709,18698,182,18880
SED30018,701,5642,7903,2475,1418,18131,178,18313
SED30019,2069,11378,8144,1901,937,24435,282,24716
SED30020,361,4575,7724,3551,2537,18744,270,19015
SED30021,2222,5928,5246,1864,1037,16303,596,16893
SED30022,360,6760,12191,4421,2416,26136,357,26495
SED30023,1129,7263,7425,2218,1052,19084,173,19259
SED30024,809,6016,6887,2339,1427,17470,255,17731
SED30025,748,5902,8141,2828,1558,19174,154,19332
SED30026,953,6266,7930,2242,1061,18448,136,18579
SED30027,702,5532,7136,2739,1617,17721,268,17992
SED30028,871,6217,7155,2667,1337,18249,250,18495
SED30029,275,4172,6588,3094,2427,16556,221,16777
SED30030,1764,8908,7723,2016,914,21326,220,21542
SED30031,677,4353,4713,2060,1385,13185,337,13522
SED30032,839,7011,7808,3022,1847,20529,379,20906
SED30033,1432,9553,7294,2297,1126,21697,390,22093
SED30034,1039,7346,7807,2813,1471,20473,561,21029
SED30035,451,5030,7940,2933,1562,17924,322,18246
SED30036,1476,7539,7571,2521,1153,20259,374,20636
SED30037,1444,6816,6838,2334,1182,18617,260,18881
SED30038,921,6003,6883,2844,1895,18542,273,18813
SED30039,364,5442,9706,3545,2161,21220,238,21461
SED30040,781,7252,7599,2462,1282,19373,235,19614
SED30041,729,6099,7743,2775,1532,18874,329,19204
SED30042,641,5565,7936,3050,1945,19134,207,19342
SED30043,475,4757,6920,3290,2349,17787,393,18184
SED30044,510,5530,7868,3547,3037,20500,351,20849
SED30045,1232,7260,8040,2503,1228,20270,238,20504
SED30046,1143,7343,7926,2868,1698,20986,387,21375
SED30047,1341,7677,7619,2625,1342,20593,483,21073
SED30048,2349,10880,7587,1960,872,23657,185,23841
SED30049,1188,6588,8115,2438,1259,19592,215,19808
SED30050,1124,8813,7512,2112,1010,20573,306,20879
SED30051,1083,7006,7507,2724,1686,20009,398,20401
SED30052,7371,17186,5800,949,393,31700,521,32221
SED30053,988,7655,8212,2291,1125,20273,295,20567
SED30054,1382,7532,7143,1924,953,18943,165,19107
SED30055,387,4146,6591,3137,2044,16308,367,16668
SED30056,347,4313,7827,2666,1553,16711,113,16830
SED30057,1367,7532,7036,2618,1724,20277,327,20604
SED30058,738,6070,7931,2387,1080,18207,164,18364
SED30059,447,5699,8413,3138,1968,19661,223,19886
SED30060,890,5836,7558,2555,1329,18160,315,18477
SED30061,977,6169,6898,2271,1062,17380,265,17644
SED30062,1037,8957,9932,2970,1297,24186,272,24461
SED30063,892,6674,7062,3075,1822,19528,457,19989
SED30064,789,5696,7007,2675,1867,18030,292,18325
SED30065,432,6078,8491,3010,1770,19786,243,20034
SED30066,683,6675,7563,2539,1395,18857,267,19122
SED30067,1902,9275,7965,2129,957,22227,271,22496
SED30068,872,5551,6560,2362,1376,16719,180,16903
SED30069,548,4981,7832,3171,2185,18721,172,18895
SED30070,922,8494,7314,2523,1560,20813,324,21139
SED30071,1936,9131,7386,2332,1186,21970,354,22323
SED30072,983,6535,7822,2955,1641,19936,271,20211
SED30073,1553,7587,6899,2400,1193,19639,334,19971
SED30074,1128,7477,7845,2276,1197,19930,417,20345
SED30075,460,5075,7173,3421,2639,18775,297,19070
SED30076,4249,14635,6356,1384,661,27289,429,27710
SED30077,895,6293,6878,2760,1768,18588,378,18971
SED30078,1912,9484,7029,2204,1080,21706,356,22063
SED30079,474,4980,7855,2999,1711,18020,173,18192
SED30080,2085,9337,8000,2119,925,22467,251,22719
SED30081,681,5840,7809,2740,1367,18437,244,18684
SED30082,2125,10455,6974,1824,1038,22420,464,22889
SED30083,434,5208,8351,3216,1980,19193,219,19406
SED30084,917,6216,7238,2560,1206,18132,238,18367
SED30085,1432,7371,7358,2353,1240,19754,325,20076
SED30086,1486,8352,7548,2343,1211,20942,292,21238
SED30087,1540,9088,8127,2260,952,21968,256,22230
SED30088,1868,8531,6947,1881,871,20100,382,20478
SED30089,1157,4811,4844,1729,1124,13670,561,14232
SED30090,811,5081,5504,2355,1546,15302,316,15615
SED30091,1353,7351,7322,2513,1441,19984,478,20458
SED30092,607,5349,7322,2866,1547,17678,290,17965
SED30093,1679,7529,7523,2899,1461,21093,470,21568
SED39494,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,3,0,3
SED40001,4111,8362,4493,1108,570,18652,233,18881
SED40002,1770,7222,5476,1513,717,16690,184,16877
SED40003,394,4066,5843,1945,970,13223,81,13308
SED40004,780,5155,5749,1756,882,14308,99,14404
SED40005,797,4700,5262,2265,1425,14443,287,14731
SED40006,1446,6091,5344,1677,826,15387,190,15584
SED40007,924,5156,5706,1778,988,14551,124,14676
SED40008,1938,6495,5231,1608,769,16046,252,16300
SED40009,390,3911,5758,2057,1157,13266,84,13349
SED40010,1599,7142,5311,1393,715,16163,141,16304
SED40011,1348,6095,5576,1655,813,15487,189,15671
SED40012,1594,5441,4790,1622,817,14272,278,14547
SED40013,1200,5926,6092,1760,864,15829,209,16033
SED40014,661,6142,5242,1656,915,14623,185,14810
SED40015,747,4293,5164,2015,1192,13411,319,13729
SED40016,988,5612,5271,1728,810,14414,219,14633
SED40017,432,3887,5372,2548,1960,14193,196,14387
SED40018,1495,6533,5536,1445,705,15715,193,15912
SED40019,1554,5141,4519,1645,901,13753,356,14111
SED40020,753,4759,5033,2164,1510,14226,239,14455
SED40021,1406,6360,5488,1555,845,15652,168,15827
SED40022,200,2778,5362,2357,1702,12397,114,12514
SED40023,769,4771,5040,1761,1042,13380,154,13538
SED40024,1097,5988,5833,1760,869,15547,176,15726
SED40025,508,4371,5839,2066,1280,14060,144,14209
SED40026,515,4189,5329,1989,1291,13318,123,13438
SED40027,1092,5438,5032,1490,740,13791,189,13982
SED40028,888,4843,5070,1844,1114,13751,196,13949
SED40029,605,4521,5654,2459,1638,14875,284,15161
SED40030,458,4896,5716,2049,1201,14323,183,14502
SED40031,587,4452,5726,1849,1130,13744,121,13863
SED40032,1406,6445,5166,1339,612,14968,168,15136
SED40033,848,4587,4924,1915,1243,13519,200,13722
SED40034,579,4759,5093,1806,1151,13387,255,13636
SED40035,854,5183,5331,1751,948,14068,150,14219
SED40036,776,4660,5407,1940,1031,13815,177,13995
SED40037,1319,5934,5281,1590,834,14952,172,15120
SED40038,1627,5921,4945,1711,889,15089,276,15360
SED40039,1095,5829,5190,1579,774,14461,188,14649
SED40040,320,3561,5372,2547,2039,13848,152,13997
SED40041,1242,4970,4455,1827,1131,13620,315,13933
SED40042,1187,5329,5087,1689,1021,14309,284,14595
SED40043,1251,6277,6167,1770,784,16252,200,16448
SED40044,1089,5875,5489,1539,749,14744,120,14859
SED40045,407,3989,5993,1993,1140,13524,93,13622
SED40046,1500,5961,5000,1523,792,14776,163,14940
SED40047,643,4513,5431,1919,1059,13566,108,13671
SED49494,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0
SED50106,661,4869,5539,2117,1327,14508,220,14733
SED50202,1164,6754,6835,2276,1245,18275,304,18585
SED50304,1300,8301,6873,1685,816,18977,242,19217
SED50405,502,6234,8332,2570,1239,18869,237,19110
SED50502,835,5374,6173,2176,1158,15726,232,15952
SED50605,570,5184,6903,2216,1176,16054,139,16187
SED50702,1350,7956,6957,1938,893,19095,305,19404
SED50805,761,5533,6211,1702,920,15128,152,15279
SED50906,941,6364,6475,2071,968,16822,287,17111
SED51004,428,4605,6764,2479,1305,15573,157,15728
SED51104,677,7253,7916,2324,1117,19287,252,19534
SED51205,1010,7079,7278,2326,1189,18880,309,19183
SED51304,316,3744,7192,2257,1252,14754,154,14907
SED51401,541,4100,4870,2264,1736,13516,287,13803
SED51504,776,5717,6767,1907,979,16139,142,16280
SED51605,512,5172,7308,2537,1310,16828,158,16987
SED51706,436,4603,6502,2795,1646,15986,240,16223
SED51804,926,5885,6598,2010,1055,16473,150,16627
SED51902,203,3288,6434,3062,2478,15458,185,15639
SED52006,532,6107,6586,2118,1052,16397,218,16613
SED52102,479,4683,6099,2338,1498,15095,220,15311
SED52205,1506,7450,6447,1705,800,17898,261,18157
SED52301,669,4804,5406,1967,1071,13927,230,14158
SED52404,341,4292,6986,2417,1264,15297,113,15406
SED52505,205,4180,9203,2825,1470,17886,126,18011
SED52604,442,4375,6276,2313,1254,14666,157,14822
SED52702,317,3105,5683,2738,2118,13958,120,14078
SED52803,638,3747,4467,1777,1007,11635,305,11942
SED52903,1784,3293,2844,1107,625,9646,441,10089
SED53004,438,4455,6796,2267,1272,15233,109,15344
SED53105,689,5521,7055,2223,1200,16689,213,16908
SED53204,277,3803,7307,2692,1486,15569,137,15710
SED53306,1246,7595,6076,1993,967,17877,317,18190
SED53402,1486,8103,6430,1444,684,18146,234,18385
SED53502,1115,6351,6644,2312,1299,17716,262,17976
SED53602,1118,6075,5853,2182,1279,16510,343,16851
SED53701,310,3604,5100,2526,1913,13456,338,13791
SED53802,947,6504,6836,2079,1107,17473,229,17698
SED53902,1332,7747,6106,1580,828,17600,197,17793
SED54006,388,4496,6034,2711,1829,15462,255,15716
SED54104,1520,8087,6169,1603,712,18094,161,18247
SED54203,557,2304,2136,743,503,6238,216,6449
SED54304,3430,11820,6094,1238,459,23030,266,23301
SED54403,615,3543,5338,2011,984,12495,275,12771
SED54505,449,4542,6982,2261,1117,15347,132,15478
SED54605,1135,6860,5677,1885,889,16436,265,16698
SED54701,606,4114,4957,2146,1711,13525,283,13811
SED54804,903,7256,7607,1819,803,18388,214,18603
SED54905,981,7346,6609,1779,750,17465,169,17632
SED55005,399,4549,7044,2712,1504,16207,186,16389
SED55102,267,3876,6472,2841,2087,15547,190,15736
SED55202,1019,6246,6349,2278,1299,17188,245,17430
SED55306,473,5348,6589,2290,1217,15915,253,16174
SED55405,1824,8330,6459,1812,848,19275,293,19568
SED55504,535,4984,6994,2626,1637,16779,191,16967
SED55605,421,4741,6996,2662,1441,16256,196,16452
SED55706,504,5128,6434,2493,1460,16023,281,16300
SED55802,410,5054,7702,2679,1589,17439,164,17602
SED55905,923,5396,6040,2000,1085,15442,224,15669
SED59494,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,3,0,3
SED60105,741,3956,3378,1142,578,9791,145,9933
SED60106,123,1004,1079,510,381,3094,81,3181
SED60113,601,4977,5560,2246,1393,14777,202,14980
SED60115,1278,5434,5067,2041,1257,15069,429,15497
SED60207,951,5585,5554,2108,1219,15418,241,15664
SED60208,654,4395,4731,1919,1276,12964,229,13192
SED60209,1018,5721,5367,2074,1126,15309,258,15567
SED60301,500,2375,2092,820,560,6344,108,6457
SED60302,1499,5747,4588,1647,925,14402,250,14652
SED60303,1504,6192,4612,1343,650,14306,142,14448
SED60304,0,20,54,22,30,118,0,124
SED60310,516,2973,2809,986,554,7841,71,7911
SED60404,315,3866,5482,2214,1464,13346,178,13526
SED60410,354,2438,2309,716,377,6196,58,6255
SED60411,839,4778,4805,1530,836,12790,142,12936
SED60414,419,2923,3822,1589,1092,9846,112,9957
SED60501,636,2584,2598,1300,888,8004,175,8181
SED60505,182,1286,1557,636,436,4096,40,4129
SED60506,425,3874,4544,2090,1348,12287,210,12495
SED60508,51,479,724,358,280,1896,22,1917
SED60512,368,3959,5032,2284,1709,13354,210,13563
SED60514,65,1113,1538,654,428,3792,32,3826
SED69494,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0
SED70001,919,565,195,57,23,1760,51,1807
SED70002,242,1215,1242,443,201,3347,60,3403
SED70003,635,580,400,89,41,1742,49,1792
SED70004,659,772,353,99,88,1975,91,2064
SED70005,156,895,1144,425,143,2763,77,2840
SED70006,247,1145,1051,415,170,3026,93,3119
SED70007,66,899,1372,436,149,2921,35,2961
SED70008,139,892,1201,417,195,2846,49,2896
SED70009,471,821,742,307,205,2547,77,2625
SED70010,256,1103,1009,321,144,2834,100,2938
SED70011,237,1255,1122,317,170,3104,39,3146
SED70012,158,1074,1227,360,154,2978,72,3056
SED70013,48,629,1049,604,567,2899,93,2994
SED70014,656,763,198,63,35,1717,80,1794
SED70015,220,1143,1099,373,197,3032,70,3098
SED70016,250,878,916,382,196,2618,107,2720
SED70017,206,839,871,350,212,2482,148,2622
SED70018,510,597,455,111,42,1713,64,1779
SED70019,515,1070,792,287,227,2896,88,2983
SED70020,49,539,986,521,487,2580,51,2634
SED70021,285,1438,1188,336,165,3404,63,3470
SED70022,416,2210,1344,253,107,4332,92,4423
SED70023,119,856,1133,375,176,2658,42,2700
SED70024,56,973,1830,548,236,3642,36,3683
SED70025,109,801,1433,504,231,3076,33,3103
SED79494,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,3
SED80001,1124,9801,12407,4429,2433,30197,266,30460
SED80002,1885,13858,13706,3908,1977,35338,311,35649
SED80003,3417,17349,10429,2467,1049,34716,291,35008
SED80004,1710,13036,13434,3494,1757,33436,298,33734
SED80005,1138,11397,14656,3994,2054,33233,320,33549
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,62,558,524,208,115,1469,61,1533
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
