SED_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED10075,8588,1224,544,92,17,6,87,10559
SED10076,5447,771,331,70,15,12,80,6723
SED10077,10632,638,137,83,9,0,22,11531
SED10078,7636,438,109,63,3,0,17,8267
SED10079,6235,946,400,82,28,5,65,7754
SED10080,3913,370,57,13,3,0,22,4388
SED10081,6559,934,459,70,13,7,78,8116
SED10082,8222,898,333,60,7,4,44,9566
SED10083,7052,917,392,64,15,8,52,8508
SED10084,6642,907,329,70,16,6,44,8005
SED10085,6890,1022,496,83,28,6,93,8628
SED10086,7628,614,140,23,0,0,9,8420
SED10087,7331,898,433,51,12,11,72,8823
SED10088,10762,752,244,80,9,3,33,11877
SED10089,7900,998,414,73,17,4,58,9463
SED10090,10684,685,162,39,6,0,18,11594
SED10091,9062,899,451,102,11,7,63,10608
SED10092,7134,705,259,63,9,10,50,8221
SED10093,7138,1039,550,101,18,14,78,8940
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
SED20106,5173,418,91,21,0,0,10,5712
SED20207,15058,840,407,125,18,7,37,16491
SED20302,12940,1019,603,150,12,7,69,14795
SED20401,7280,509,216,54,5,0,21,8090
SED20508,6716,596,258,54,8,0,40,7674
SED20604,6288,604,365,68,4,7,46,7382
SED20704,6910,642,361,61,6,4,38,8029
SED20804,5314,468,260,50,7,5,34,6143
SED20906,8978,450,167,34,3,0,14,9633
SED21001,8471,348,122,41,0,0,23,9011
SED21106,7126,418,128,24,0,0,3,7701
SED21203,8312,332,187,113,8,5,23,8983
SED21303,6219,253,89,22,0,0,3,6588
SED21401,8288,378,133,52,5,0,23,8877
SED21503,7057,365,156,46,0,4,11,7635
SED21608,6430,567,356,76,15,0,40,7496
SED21706,8473,365,111,39,7,0,7,9006
SED21805,7431,756,340,59,13,0,28,8635
SED21906,7023,332,89,9,3,5,6,7461
SED22005,8391,408,176,104,9,6,26,9115
SED22105,17197,1132,684,269,22,11,48,19374
SED22201,6962,502,218,50,6,0,17,7752
SED22305,8063,413,185,115,9,5,38,8830
SED22404,5636,548,290,55,11,4,34,6573
SED22501,8192,466,157,29,0,3,15,8864
SED22607,7568,346,109,38,4,0,10,8081
SED22704,5495,574,297,55,20,0,49,6486
SED22802,7341,633,303,69,4,7,24,8376
SED22901,7511,464,191,56,11,3,19,8247
SED23007,7689,456,182,103,8,8,33,8491
SED23101,8011,345,106,52,8,0,14,8531
SED23205,5474,596,295,40,10,6,24,6437
SED23308,6114,471,184,31,4,0,11,6813
SED23402,10455,809,405,72,8,0,45,11802
SED23502,4808,484,273,62,9,7,50,5684
SED23602,4891,474,266,36,9,3,41,5721
SED23702,7539,790,452,77,12,3,44,8917
SED23806,6997,265,103,23,0,0,8,7399
SED23901,8027,355,126,26,0,0,13,8541
SED24006,8409,327,106,40,3,0,10,8901
SED24105,9242,570,279,192,17,19,37,10352
SED24207,13310,738,411,234,22,7,48,14776
SED24308,6296,584,310,71,15,11,39,7327
SED24408,4977,375,242,32,3,4,42,5678
SED24504,7237,461,233,45,7,4,28,8018
SED24606,6401,272,79,17,0,0,8,6781
SED24703,5199,293,64,19,5,4,9,5591
SED24808,10561,897,586,161,19,13,68,12308
SED24904,5548,512,318,75,14,5,66,6541
SED25003,9707,453,255,93,6,0,34,10548
SED25102,7250,579,253,48,7,4,27,8163
SED25205,8300,489,187,29,3,0,11,9025
SED25302,7321,550,228,29,3,5,25,8168
SED25402,5624,674,399,54,7,7,58,6820
SED25501,9034,320,109,57,0,3,15,9543
SED25605,7623,349,144,101,8,3,19,8245
SED25704,5414,498,310,58,5,0,41,6329
SED25802,7113,718,456,74,10,3,53,8423
SED25905,8532,494,235,90,9,6,18,9388
SED26005,12116,727,435,163,21,13,37,13506
SED26102,5175,479,198,21,9,0,31,5912
SED26207,7789,379,138,39,4,0,18,8380
SED26303,6971,300,100,27,0,0,12,7410
SED26406,7586,328,92,40,5,0,14,8059
SED26504,4905,444,276,45,11,3,46,5732
SED26603,8906,388,129,55,3,0,25,9498
SED26708,6241,469,260,39,5,0,39,7045
SED26806,3753,224,47,13,3,0,4,4042
SED26903,6819,350,125,52,3,0,26,7375
SED27003,4611,289,81,20,3,0,9,5006
SED27101,7982,403,145,50,6,0,18,8611
SED27208,5287,504,340,56,14,4,55,6264
SED27305,7928,463,190,48,0,0,17,8651
SED27406,7708,403,137,22,0,0,12,8288
SED27504,6727,561,344,78,10,7,58,7785
SED27608,10588,748,389,48,3,4,27,11802
SED27708,5890,529,282,47,11,0,50,6820
SED27807,7107,488,238,165,10,7,36,8044
SED27907,7637,561,303,50,11,3,39,8610
SED28007,11698,623,291,106,8,7,28,12757
SED28107,19140,810,456,315,23,8,65,20811
SED28203,10399,458,220,136,7,0,29,11251
SED28301,8992,388,140,56,5,5,20,9602
SED28408,5436,497,259,48,8,8,25,6281
SED28507,10663,761,418,142,20,8,48,12046
SED28607,9033,471,158,32,0,3,15,9713
SED28704,13896,1013,587,126,14,10,32,15666
SED28803,19562,831,398,218,13,8,28,21053
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
SED30001,7367,682,306,110,18,0,39,8523
SED30002,6504,603,209,44,8,8,22,7388
SED30003,5798,905,397,81,13,6,42,7245
SED30004,5126,746,219,53,16,3,39,6202
SED30005,4103,541,184,34,8,0,30,4896
SED30006,4132,553,182,32,11,0,24,4927
SED30007,5482,720,237,36,9,0,20,6511
SED30008,6258,625,156,26,4,0,11,7086
SED30009,3344,551,299,53,15,5,33,4313
SED30010,6196,815,605,161,36,22,51,7890
SED30011,4547,581,271,52,6,0,44,5500
SED30012,4579,578,162,33,6,0,18,5380
SED30013,3704,510,213,53,8,6,49,4543
SED30014,3788,548,185,74,15,5,33,4648
SED30015,4223,430,279,45,7,4,52,5026
SED30016,4940,701,245,47,9,5,30,5968
SED30017,5246,637,291,65,11,6,27,6277
SED30018,6606,596,186,31,3,0,11,7436
SED30019,5074,421,127,19,5,0,10,5653
SED30020,5506,642,344,81,20,3,45,6636
SED30021,3702,439,283,170,24,8,79,4709
SED30022,9247,1401,772,106,22,13,59,11621
SED30023,6137,490,155,17,5,0,4,6805
SED30024,4511,580,175,33,11,3,22,5329
SED30025,6437,668,236,29,4,6,28,7408
SED30026,6187,605,186,27,7,0,22,7035
SED30027,5015,646,311,57,15,5,29,6075
SED30028,4508,723,324,48,12,10,42,5663
SED30029,4517,596,286,56,14,5,36,5505
SED30030,5541,419,138,31,3,0,15,6142
SED30031,3409,466,205,44,7,6,28,4166
SED30032,3864,563,297,52,8,3,45,4842
SED30033,3256,592,264,53,11,11,49,4233
SED30034,4074,420,210,68,13,12,63,4864
SED30035,4716,854,339,53,12,4,40,6026
SED30036,6217,609,296,136,17,9,50,7331
SED30037,4233,722,354,56,15,8,54,5427
SED30038,4595,694,402,72,17,9,58,5834
SED30039,8737,1058,513,121,19,9,54,10515
SED30040,4688,742,247,34,9,7,30,5746
SED30041,4517,819,324,65,11,4,39,5772
SED30042,5986,903,490,59,26,8,39,7504
SED30043,4577,649,345,80,9,6,70,5734
SED30044,6446,898,511,109,27,16,64,8066
SED30045,5698,737,263,50,8,4,19,6779
SED30046,5164,797,429,80,20,7,29,6525
SED30047,4238,836,312,53,14,9,51,5509
SED30048,5739,399,76,27,3,0,7,6250
SED30049,7075,515,182,52,0,6,17,7849
SED30050,3493,460,106,20,7,0,24,4107
SED30051,3540,621,268,59,8,3,46,4552
SED30052,2903,374,51,12,0,0,10,3361
SED30053,4868,559,160,25,9,0,22,5649
SED30054,5660,440,120,30,0,0,16,6266
SED30055,4685,651,271,56,4,0,45,5721
SED30056,7007,589,176,51,8,4,6,7836
SED30057,4425,781,482,92,25,8,54,5859
SED30058,6334,576,168,53,6,0,16,7155
SED30059,6563,714,298,44,3,0,35,7660
SED30060,4780,753,317,129,18,12,49,6053
SED30061,3837,662,243,51,8,0,28,4828
SED30062,6959,946,475,99,23,4,38,8541
SED30063,3525,458,266,64,15,7,71,4405
SED30064,4432,626,248,45,12,4,28,5387
SED30065,5911,736,236,51,9,3,32,6978
SED30066,4087,495,143,28,5,5,28,4781
SED30067,5410,565,198,55,9,4,24,6265
SED30068,4588,583,227,37,6,4,17,5459
SED30069,6533,699,326,58,19,4,29,7665
SED30070,3334,683,282,62,12,4,35,4402
SED30071,3765,644,217,51,10,3,32,4723
SED30072,5024,766,339,49,8,0,48,6231
SED30073,3866,870,357,59,24,12,46,5222
SED30074,6004,605,237,54,6,0,20,6931
SED30075,5076,626,315,72,14,4,46,6165
SED30076,3760,456,71,21,0,0,9,4327
SED30077,3823,387,254,45,5,4,48,4562
SED30078,4324,558,177,37,7,3,30,5136
SED30079,6335,694,250,73,11,0,39,7408
SED30080,5680,491,141,35,0,0,14,6364
SED30081,7472,561,212,96,5,4,44,8387
SED30082,3546,450,120,26,6,0,12,4158
SED30083,6765,821,410,83,12,10,33,8141
SED30084,4081,832,390,70,20,9,55,5457
SED30085,5760,450,140,61,4,0,26,6448
SED30086,4308,553,271,52,5,6,36,5229
SED30087,4550,591,260,43,3,0,33,5493
SED30088,3453,564,175,46,10,5,33,4289
SED30089,3147,424,230,104,18,6,47,3971
SED30090,3551,474,210,45,9,3,46,4341
SED30091,5313,660,337,112,22,6,54,6507
SED30092,4704,856,335,49,12,3,24,5977
SED30093,6082,742,494,170,22,15,72,7600
SED39494,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0
SED40001,2991,200,59,6,0,0,8,3271
SED40002,3887,242,98,27,0,0,27,4281
SED40003,4263,341,164,10,10,3,15,4813
SED40004,4818,212,95,29,0,0,11,5169
SED40005,2780,280,166,32,4,4,26,3290
SED40006,3912,264,128,53,3,0,17,4373
SED40007,4216,261,126,15,3,0,13,4634
SED40008,4043,242,100,60,4,0,28,4481
SED40009,4166,349,171,13,8,0,15,4728
SED40010,3831,189,72,16,5,0,3,4119
SED40011,4219,274,95,27,3,0,18,4620
SED40012,3318,368,282,72,14,10,38,4092
SED40013,4847,268,112,72,0,0,12,5314
SED40014,2156,216,140,29,8,0,29,2573
SED40015,2978,218,175,39,3,4,33,3455
SED40016,3843,263,170,59,5,3,13,4356
SED40017,3509,317,215,47,3,0,42,4140
SED40018,3496,257,113,23,7,0,11,3902
SED40019,2705,275,204,58,9,3,67,3322
SED40020,2912,287,222,36,14,3,38,3518
SED40021,4197,273,87,37,0,0,6,4601
SED40022,4279,326,136,26,4,0,13,4783
SED40023,3314,312,231,37,14,3,26,3934
SED40024,3534,426,248,51,6,0,41,4306
SED40025,4155,325,204,26,7,5,17,4731
SED40026,4149,411,208,43,9,0,20,4841
SED40027,3083,277,98,33,3,0,11,3496
SED40028,3268,383,212,40,9,0,28,3937
SED40029,3226,255,183,29,3,0,35,3731
SED40030,3213,341,235,32,11,0,30,3860
SED40031,4700,275,112,34,0,0,12,5131
SED40032,3102,238,77,22,0,0,16,3458
SED40033,2893,288,245,37,3,4,34,3506
SED40034,2128,189,137,31,4,3,30,2511
SED40035,3726,301,141,35,3,0,16,4225
SED40036,4542,346,211,101,12,0,40,5249
SED40037,3056,327,160,36,12,4,17,3618
SED40038,3843,355,278,59,8,9,50,4589
SED40039,2895,382,212,32,9,3,25,3555
SED40040,4002,332,172,34,7,0,22,4562
SED40041,2428,220,174,31,6,13,53,2925
SED40042,3447,400,285,85,18,7,40,4292
SED40043,4739,268,111,52,9,4,13,5188
SED40044,4176,231,96,12,0,0,11,4533
SED40045,4677,311,140,18,0,0,7,5161
SED40046,3639,212,103,22,3,0,4,3986
SED40047,3982,347,170,51,5,3,21,4585
SED49494,0,0,0,0,0,0,0,0
SED49797,0,0,0,0,0,0,0,0
SED50106,2948,558,168,36,7,5,34,3757
SED50202,4135,850,329,73,17,10,52,5479
SED50304,4269,441,91,34,7,0,18,4857
SED50405,5930,1547,485,74,16,6,38,8096
SED50502,4278,604,188,69,12,4,32,5179
SED50605,5292,557,118,35,4,0,14,6029
SED50702,3983,571,123,46,15,0,29,4770
SED50805,4187,554,102,18,0,0,7,4870
SED50906,3377,720,230,36,13,4,35,4417
SED51004,5251,896,249,37,9,0,26,6460
SED51104,5406,1395,491,62,15,7,32,7403
SED51205,5425,583,148,74,9,3,39,6289
SED51304,5394,644,120,21,7,0,8,6209
SED51401,2591,456,168,37,8,4,45,3307
SED51504,5508,536,106,23,5,0,13,6188
SED51605,5648,898,235,50,7,3,26,6871
SED51706,3811,821,257,53,18,4,44,4997
SED51804,4629,513,97,11,4,0,13,5265
SED51902,5052,1055,351,72,23,3,47,6598
SED52006,3005,941,221,36,9,0,35,4241
SED52102,4197,722,236,54,15,5,26,5238
SED52205,3482,539,98,25,4,0,15,4160
SED52301,2857,704,196,47,9,7,36,3859
SED52404,4824,732,162,29,5,0,11,5763
SED52505,7971,1017,239,79,11,5,15,9337
SED52604,4411,779,168,29,3,4,21,5418
SED52702,4197,739,182,34,9,3,30,5194
SED52803,2902,543,214,53,11,3,36,3759
SED52903,2338,394,127,121,31,8,77,3097
SED53004,4774,685,169,31,8,0,32,5695
SED53105,5158,920,307,53,17,4,34,6506
SED53204,6520,824,256,76,14,0,27,7715
SED53306,3172,972,261,34,14,7,43,4505
SED53402,4076,496,91,20,0,0,10,4693
SED53502,3987,793,220,77,18,0,45,5139
SED53602,4562,504,186,76,8,5,28,5376
SED53701,2721,562,162,33,14,4,42,3548
SED53802,4527,522,138,46,12,4,25,5266
SED53902,3907,417,90,27,3,0,8,4446
SED54006,3471,903,289,51,17,7,66,4796
SED54104,4536,396,74,15,0,0,0,5029
SED54203,1354,246,82,31,8,7,28,1756
SED54304,3635,429,47,12,0,0,9,4136
SED54403,3977,656,290,64,13,6,43,5053
SED54505,6284,625,109,54,13,5,18,7110
SED54605,2785,664,211,33,12,0,37,3750
SED54701,3028,377,165,38,10,4,33,3646
SED54804,4248,596,99,15,0,0,13,4972
SED54905,3903,455,75,21,8,0,11,4467
SED55005,6526,829,250,92,11,7,36,7744
SED55102,4956,1136,331,74,16,7,34,6554
SED55202,4737,697,214,70,11,5,31,5772
SED55306,3666,834,197,30,10,0,30,4770
SED55405,3729,463,96,31,6,0,20,4350
SED55504,5568,1039,342,59,9,0,35,7052
SED55605,4752,1279,399,63,20,3,56,6568
SED55706,3238,626,176,20,7,0,30,4109
SED55802,6085,988,329,99,16,8,24,7547
SED55905,3746,548,133,40,0,0,19,4490
SED59494,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0
SED60105,2054,200,117,22,3,0,11,2406
SED60106,558,46,42,4,0,0,8,654
SED60113,3431,341,187,12,6,0,14,3983
SED60115,2937,311,265,38,3,4,32,3593
SED60207,2871,413,240,23,9,4,33,3591
SED60208,2669,346,187,28,4,0,31,3260
SED60209,2907,321,244,25,0,0,31,3533
SED60301,1316,193,114,16,4,0,16,1666
SED60302,2932,323,186,50,3,5,19,3523
SED60303,3015,214,100,14,5,0,12,3358
SED60304,39,3,0,0,0,0,0,42
SED60310,1960,123,55,6,8,0,8,2159
SED60404,3498,295,231,35,9,5,27,4099
SED60410,1450,166,77,13,3,0,7,1716
SED60411,2846,287,139,27,6,0,18,3319
SED60414,2659,280,181,29,5,0,22,3185
SED60501,1611,207,202,28,5,0,24,2081
SED60505,1073,106,53,5,3,0,5,1242
SED60506,2457,254,152,17,0,0,20,2903
SED60508,435,46,27,0,3,0,0,515
SED60512,2771,367,233,32,10,6,33,3447
SED60514,966,127,69,8,0,0,12,1181
SED69494,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0
SED70001,702,42,35,85,12,12,28,915
SED70002,876,144,45,27,3,4,10,1096
SED70003,743,68,38,78,13,16,17,977
SED70004,525,48,35,60,13,11,37,732
SED70005,765,168,78,11,0,3,5,1031
SED70006,693,113,41,17,6,3,12,883
SED70007,885,198,59,20,0,3,6,1167
SED70008,944,154,22,20,3,0,5,1159
SED70009,616,99,42,66,9,8,16,861
SED70010,583,130,63,15,3,3,6,812
SED70011,651,106,21,5,0,0,8,794
SED70012,645,125,20,8,0,0,0,799
SED70013,896,161,55,12,6,0,5,1131
SED70014,497,47,24,78,14,15,33,717
SED70015,761,121,37,21,0,0,9,948
SED70016,713,116,44,24,0,0,13,915
SED70017,566,108,50,30,8,6,21,779
SED70018,784,70,38,71,10,10,11,1003
SED70019,724,93,49,37,15,7,26,946
SED70020,806,156,49,14,5,0,9,1036
SED70021,760,105,22,6,0,0,7,895
SED70022,626,103,13,6,0,0,3,759
SED70023,780,126,42,23,0,0,0,973
SED70024,1280,235,95,30,0,3,0,1646
SED70025,1155,156,35,32,5,3,12,1401
SED79494,0,0,0,0,0,0,0,0
SED79797,0,0,0,0,0,0,0,0
SED80001,9267,813,488,108,18,4,53,10738
SED80002,9701,732,345,82,8,3,44,10917
SED80003,6664,403,140,26,4,0,17,7256
SED80004,10022,620,251,70,11,5,23,11011
SED80005,12951,804,418,119,9,3,50,14346
SED89494,0,0,0,0,0,0,0,0
SED89797,0,0,0,0,0,0,0,0
SED99191,358,30,16,7,0,0,0,413
SED99494,0,0,0,0,0,0,0,0
SED99797,0,0,0,0,0,0,0,0
