SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED60105,4,8,0,4,0,0,19,0,19,0,6,0,0,30,17,114,20,41,9,0,198,103,40,24,93,8,6,274,103,26,5,85,8,0,227,239,10,14,138,14,3,413,568,11,0,191,27,3,804,586,4,0,157,18,3,770,190,0,0,45,4,0,236,48,0,0,9,0,0,59,16,0,0,3,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,7,37,5,9,92,1903,240,70,809,88,31,3129
SED60106,0,3,6,5,23,0,29,0,3,7,0,0,0,15,3,39,28,40,18,0,125,13,25,15,40,8,0,99,30,8,0,40,10,0,91,42,6,0,54,3,4,110,52,0,0,40,7,0,99,14,0,0,18,3,0,35,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,11,18,0,42,155,82,64,259,85,8,651
SED60113,0,3,6,4,7,0,19,0,24,4,4,3,0,37,14,136,7,51,3,9,227,107,56,13,103,11,3,289,138,30,10,97,10,0,292,245,20,11,181,13,0,477,555,13,0,277,11,3,865,636,0,0,176,14,0,829,168,0,0,36,3,0,208,39,0,0,11,0,0,55,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,25,12,4,32,9,4,81,1945,300,63,976,89,25,3389
SED60115,0,19,11,15,3,0,45,7,39,33,10,6,0,97,29,270,73,86,14,8,483,145,236,177,165,33,8,762,191,96,82,193,9,5,585,611,147,170,262,34,5,1229,857,43,34,276,28,6,1238,452,6,11,142,20,0,628,98,6,0,33,3,4,136,16,0,0,7,3,0,31,3,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,50,24,53,16,19,191,2446,918,621,1235,161,53,5438
SED60207,0,33,3,16,4,0,54,0,48,16,8,3,3,79,10,270,35,69,20,0,401,69,216,53,121,28,3,498,104,139,59,146,22,4,470,449,177,48,369,60,8,1107,707,47,18,399,51,9,1228,246,6,7,125,20,3,412,27,0,4,18,4,0,49,8,0,0,9,0,0,17,0,3,0,0,0,0,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,62,10,42,18,14,178,1650,1004,246,1325,228,47,4500
SED60208,0,21,6,5,3,4,45,3,46,0,8,0,0,61,14,197,10,53,17,3,291,104,113,16,121,14,3,375,82,57,36,161,16,3,359,304,89,16,255,36,4,706,413,24,7,275,15,8,733,152,10,5,95,5,0,265,16,4,0,10,0,0,27,3,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,9,44,12,10,110,1100,581,108,1033,123,38,2982
SED60209,7,17,9,16,67,0,112,0,30,10,16,16,0,69,85,205,59,106,58,4,515,285,161,77,204,55,6,787,177,96,33,208,35,5,554,482,127,26,238,34,3,914,439,23,4,216,31,3,721,202,4,3,59,15,0,277,33,0,0,17,3,0,50,7,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,3,0,0,10,27,35,7,62,53,6,191,1748,700,231,1155,364,30,4218
SED60301,0,11,0,0,0,0,10,0,17,5,4,0,0,28,4,157,10,17,0,0,192,20,82,63,27,15,0,206,16,40,9,21,0,0,87,59,43,24,64,7,5,201,174,39,19,118,21,0,372,449,20,8,140,28,8,652,113,0,0,23,6,0,153,27,0,0,6,0,0,32,3,0,0,3,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,3,16,3,6,62,878,430,144,449,83,15,2006
SED60302,0,34,0,4,0,0,41,0,77,9,3,0,0,84,16,480,20,39,8,3,574,55,181,62,100,17,0,412,86,76,21,90,14,3,285,200,59,23,173,13,7,469,501,57,25,336,33,9,963,1064,36,14,401,60,5,1590,506,6,0,158,37,0,713,102,0,0,35,9,0,147,21,0,0,10,0,0,32,15,3,0,0,0,0,20,0,0,0,4,0,0,5,0,0,0,8,0,0,15,27,59,11,55,16,10,183,2588,1070,197,1421,212,42,5527
