SED_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED10001,13,30,10,17,20,0,87,18,64,13,20,8,0,121,153,283,45,154,39,6,683,921,160,91,280,39,15,1512,569,47,13,251,29,3,911,1214,90,25,307,55,8,1695,1776,41,8,307,39,6,2175,1267,11,11,173,14,4,1475,283,0,3,38,5,0,334,66,3,0,14,7,0,80,18,0,0,0,0,0,19,4,0,0,0,0,0,6,0,0,0,0,0,0,7,9,0,0,0,0,0,14,114,54,14,109,71,27,388,6423,782,232,1669,325,80,9511
SED10002,12,48,5,4,0,0,76,10,126,34,5,0,0,174,56,489,63,50,23,5,686,65,301,93,89,34,3,584,86,120,20,84,25,3,331,250,149,63,91,46,4,603,919,78,50,172,58,7,1291,3177,98,66,482,126,8,3956,4818,52,25,532,179,16,5621,2434,9,13,239,81,13,2780,784,0,0,93,25,6,901,330,0,0,33,15,0,381,111,0,0,5,3,0,121,93,0,0,21,7,0,128,262,105,26,206,97,63,758,13409,1574,467,2114,713,124,18390
SED10003,7,9,3,11,11,0,42,3,13,3,7,3,0,29,14,257,35,44,39,5,387,25,111,100,80,45,3,360,22,44,29,117,36,0,253,90,55,38,189,55,5,437,345,39,30,351,80,6,846,899,30,27,563,54,6,1583,975,12,13,455,27,6,1493,866,3,5,338,13,12,1239,584,0,3,198,5,0,798,265,0,3,139,9,0,419,173,0,0,58,4,0,234,219,0,0,116,6,0,335,87,47,15,132,40,16,331,4569,622,290,2796,431,68,8780
SED10004,4,64,4,6,0,0,81,0,126,10,0,0,0,143,10,877,64,26,4,3,986,38,264,135,43,8,7,486,76,142,39,57,9,0,325,219,108,46,81,21,0,484,626,94,52,171,36,4,979,1486,91,109,238,40,0,1959,2006,34,26,277,24,0,2362,2028,20,3,238,10,0,2297,1919,15,4,229,10,0,2168,1361,8,0,169,13,3,1549,794,0,0,94,0,5,895,1297,3,0,200,0,5,1506,146,105,20,99,25,21,417,12013,1942,515,1917,195,52,16639
SED10005,9,73,12,9,0,0,101,0,206,13,3,0,0,231,18,913,62,27,12,6,1033,23,480,102,59,13,0,672,36,220,42,76,7,0,385,102,250,56,68,14,4,493,379,155,83,153,36,8,810,2621,144,95,467,118,6,3444,2013,89,20,341,121,10,2598,783,20,15,120,45,7,982,323,0,3,52,16,0,398,119,0,0,27,0,0,152,29,0,0,7,0,0,36,21,0,0,8,3,0,36,136,164,17,149,47,43,567,6618,2709,531,1557,438,90,11943
SED10006,14,107,21,57,269,0,471,13,59,32,46,94,9,250,106,157,96,277,141,17,792,439,294,243,426,165,20,1584,370,144,83,357,85,12,1057,552,147,73,371,75,8,1224,431,41,28,254,46,5,801,279,26,4,115,51,4,473,44,6,0,18,9,0,72,5,0,0,7,3,0,17,3,0,0,0,4,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,11,3,0,18,44,51,32,171,201,30,533,2309,1040,626,2112,1129,105,7324
SED10007,10,39,12,16,12,0,88,4,63,13,13,3,0,103,85,333,63,90,23,6,600,259,169,32,139,29,0,632,294,100,17,190,14,3,624,775,81,22,239,17,0,1141,1648,101,27,369,30,4,2175,1553,26,9,214,12,7,1817,467,0,0,59,7,0,537,47,0,0,15,0,0,68,7,0,0,4,0,0,18,6,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,8,0,0,8,79,57,10,92,58,23,311,5242,985,202,1446,216,49,8141
SED10008,3,0,0,0,0,0,8,0,0,0,0,0,0,0,7,19,4,16,0,0,37,9,17,21,13,3,0,66,13,7,6,23,0,0,52,18,7,4,39,11,3,78,51,4,10,49,10,0,115,488,11,11,124,19,0,649,1111,4,3,124,10,0,1260,1375,4,0,95,6,0,1480,830,0,0,67,7,0,901,344,0,0,26,5,0,377,168,0,0,17,4,0,189,168,0,0,26,0,0,195,67,8,6,57,12,12,161,4652,85,69,675,79,16,5571
SED10009,3,15,0,23,16,0,61,4,12,8,11,5,0,39,26,209,34,90,36,7,407,83,110,58,181,32,3,470,164,59,34,184,30,4,463,405,70,61,261,38,3,843,881,59,25,391,45,11,1407,1332,38,18,460,58,9,1913,494,4,0,142,9,0,657,110,0,0,43,6,0,162,15,0,0,10,0,0,27,4,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,10,0,0,11,45,45,26,115,34,25,278,3578,611,260,1932,307,67,6749
SED10010,7,60,7,4,0,0,91,3,137,5,4,3,0,154,16,759,25,31,8,5,848,41,323,38,75,10,3,485,57,153,18,59,7,0,295,141,172,35,74,7,0,423,805,153,29,194,19,3,1201,4061,221,50,619,119,19,5089,1927,52,12,258,58,10,2310,495,4,7,54,17,3,577,103,3,0,12,3,0,118,17,0,0,4,0,0,28,10,0,0,0,0,0,6,9,0,0,4,0,0,14,135,105,11,90,20,29,395,7831,2135,231,1485,265,82,12033
SED10011,0,5,0,0,0,0,12,0,11,10,6,0,0,26,9,13,18,35,0,0,74,24,84,121,62,12,3,306,36,20,26,57,9,0,140,122,16,61,115,12,5,325,385,26,46,204,6,4,675,1295,14,41,345,15,4,1714,1030,7,13,153,6,6,1210,292,0,0,39,7,0,339,104,0,0,6,0,0,114,34,0,0,0,0,0,38,3,0,0,0,0,0,8,4,0,0,7,0,0,6,38,14,22,67,20,16,179,3384,207,372,1094,82,33,5173
SED10012,0,20,5,8,4,0,49,3,62,9,3,0,0,76,14,384,31,48,14,0,492,45,311,75,46,23,0,499,58,138,25,58,14,0,293,175,160,56,93,28,6,520,1070,142,72,235,66,8,1601,1519,156,58,388,143,9,2276,1212,76,33,234,91,3,1650,448,8,12,81,35,4,589,128,0,4,18,3,0,150,33,0,3,8,5,0,48,7,0,0,4,0,0,13,14,0,0,3,0,0,17,91,86,19,131,35,29,386,4803,1557,401,1363,458,66,8656
SED10013,10,9,0,3,0,0,25,3,4,6,3,4,0,18,6,123,11,17,8,3,169,8,52,35,32,16,0,152,10,33,9,39,3,0,100,66,39,28,56,56,4,258,390,35,13,106,14,0,561,1238,31,4,255,28,3,1564,3499,26,6,369,43,4,3936,2129,3,0,139,9,3,2282,350,0,0,31,3,0,383,102,0,0,12,4,0,125,32,0,3,3,0,0,42,44,0,0,9,0,0,55,175,15,13,109,41,25,390,8069,377,136,1187,232,50,10059
SED10014,13,46,5,8,4,0,67,0,124,8,0,0,0,134,9,702,34,18,12,10,782,35,463,73,44,5,4,623,30,225,35,38,3,4,332,154,282,49,67,7,0,552,959,224,71,172,10,3,1433,3371,268,47,362,46,3,4100,1236,41,7,160,20,0,1469,337,3,0,37,7,0,387,57,5,0,18,4,0,82,11,0,0,5,0,0,15,5,6,0,4,0,0,15,7,0,0,5,0,0,17,116,149,26,66,13,20,389,6338,2529,355,1016,130,44,10404
SED10015,12,20,5,9,0,0,40,4,40,11,5,0,3,65,33,275,39,47,10,8,411,39,130,91,55,12,4,338,63,61,32,66,13,4,232,210,79,42,73,13,0,414,1126,48,30,172,35,0,1402,2988,47,37,366,74,7,3520,2393,24,21,294,51,6,2785,1234,20,4,164,33,0,1442,629,0,3,92,9,0,737,224,5,4,40,7,0,283,131,0,0,17,4,0,156,84,0,0,19,0,0,101,169,62,27,132,54,29,472,9319,805,349,1539,314,65,12395
SED10016,4,0,0,6,0,0,11,0,4,0,0,0,0,7,4,26,0,6,5,0,42,5,5,4,17,5,0,32,6,4,10,16,0,0,37,22,11,0,25,34,0,100,66,4,8,42,31,0,157,376,4,14,104,24,3,523,1196,0,0,138,9,3,1343,1845,0,0,147,10,0,2006,1181,0,0,96,6,0,1289,471,0,0,44,3,0,518,209,0,0,18,0,0,229,169,0,0,22,4,0,194,93,7,6,65,18,10,191,5648,71,46,749,144,20,6680
SED10017,7,3,3,8,4,0,30,0,11,8,4,0,0,21,20,107,23,63,13,7,226,62,174,77,77,33,4,433,103,60,5,111,13,0,293,382,105,32,141,13,3,671,1372,88,29,325,40,3,1860,2136,79,21,310,23,4,2575,1049,5,6,99,9,0,1168,264,0,0,22,0,0,287,41,0,0,10,0,0,57,11,0,0,3,0,0,16,4,0,0,0,0,0,3,7,0,0,5,0,0,18,93,41,11,91,25,22,277,5554,685,218,1256,177,46,7934
SED10018,4,24,0,8,0,0,48,0,49,0,6,0,0,63,3,502,23,21,12,0,565,26,302,80,54,20,5,481,42,104,12,60,4,0,221,117,132,6,99,17,3,369,443,158,20,221,35,0,874,1516,83,22,411,62,3,2096,1129,13,3,181,13,0,1337,500,5,0,67,0,0,569,201,0,0,19,0,0,229,68,0,0,13,0,0,85,19,0,0,0,0,0,23,23,0,0,0,3,0,30,80,87,14,60,24,20,272,4171,1460,182,1220,178,38,7253
SED10019,3,8,3,18,7,0,45,3,16,3,15,10,0,44,27,161,31,94,40,10,351,152,111,119,168,76,9,639,174,57,41,193,47,11,518,513,52,47,325,69,14,1021,1110,37,26,553,53,9,1780,1365,8,37,369,43,10,1837,413,4,3,88,9,0,513,102,0,0,27,4,0,135,26,5,0,3,0,0,30,3,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,0,7,4,0,20,62,41,11,94,52,18,275,3961,493,311,1964,410,73,7219
SED10020,6,8,6,17,5,0,42,0,14,10,6,7,0,31,15,80,37,66,40,0,242,43,237,158,91,43,6,567,37,69,42,101,32,4,286,288,106,72,188,39,5,703,964,89,42,371,57,5,1526,1831,96,36,534,42,16,2557,1278,22,16,262,40,5,1620,486,6,0,85,11,0,587,156,4,0,27,0,0,187,30,0,0,18,0,0,49,6,0,0,3,0,0,13,11,0,0,7,7,0,26,75,56,35,78,38,27,311,5236,780,460,1850,350,70,8752
SED10021,9,24,0,9,0,0,46,5,47,5,3,0,0,59,10,409,29,21,3,0,477,27,123,50,22,3,0,232,26,44,27,32,0,0,126,70,53,19,65,16,0,223,228,36,17,96,41,0,424,927,26,16,163,77,0,1214,2127,7,14,342,20,4,2514,3018,8,0,330,17,3,3374,2316,0,0,274,9,4,2601,1256,0,0,179,7,0,1451,844,0,0,119,4,0,972,1703,0,0,292,12,0,2008,177,51,7,110,14,37,406,12734,839,192,2073,229,56,16125
SED10022,20,23,22,53,39,3,162,14,49,21,42,8,0,131,114,178,58,223,61,10,654,474,191,45,296,58,11,1079,350,79,15,334,47,8,825,883,67,25,355,63,5,1397,898,15,5,239,43,0,1194,336,7,0,96,15,3,451,32,0,0,14,5,0,49,0,0,0,10,0,0,9,0,0,0,4,3,0,3,0,0,0,3,0,0,3,0,0,0,4,0,0,6,0,0,0,4,0,0,12,64,37,4,106,125,16,353,3182,641,201,1776,463,62,6323
SED10023,8,11,3,4,0,0,24,0,27,4,0,0,0,25,4,169,14,17,0,0,202,9,60,14,17,0,0,105,13,17,12,19,4,0,67,41,28,6,34,63,0,173,262,14,18,79,32,0,402,1024,12,8,169,19,0,1234,1335,12,0,187,6,0,1541,982,10,0,151,7,0,1145,648,0,0,75,0,0,721,418,0,0,65,4,0,489,222,0,0,33,0,0,261,412,0,0,65,0,0,478,71,27,5,66,11,7,184,5445,386,83,991,145,17,7063
SED10024,3,9,0,0,0,0,16,0,0,0,0,0,0,9,5,9,6,9,6,0,41,6,22,14,4,3,0,44,3,7,0,17,0,0,24,13,5,0,18,15,0,53,53,0,7,34,11,0,106,232,3,3,56,16,0,314,451,0,4,96,11,0,553,635,0,0,77,4,0,726,365,0,0,71,7,0,450,311,0,0,52,0,0,368,390,0,0,41,0,0,433,1102,0,0,141,9,6,1259,70,4,6,54,15,9,155,3651,62,46,677,99,21,4554
SED10025,5,19,5,3,0,0,29,0,37,0,5,0,0,40,12,285,17,18,6,0,341,15,96,62,18,0,0,186,20,43,16,34,0,0,110,35,36,20,46,20,0,152,149,29,9,80,23,0,281,855,13,31,153,17,0,1073,2214,10,8,229,34,3,2497,2350,6,3,200,17,4,2584,1616,3,0,144,20,0,1789,862,0,0,90,4,0,961,433,0,0,39,0,0,474,644,0,0,71,4,3,723,166,30,12,114,30,13,374,9374,606,190,1232,176,30,11618
SED10026,9,25,10,16,19,0,69,3,41,5,9,5,0,69,54,243,43,96,32,11,475,262,172,102,157,38,8,738,267,92,49,166,12,5,596,745,125,39,247,27,4,1183,1450,96,31,376,51,9,2018,1728,32,29,329,49,7,2180,590,5,4,83,13,3,700,111,0,0,18,0,0,128,26,0,0,3,0,0,29,7,0,0,0,0,0,10,6,0,0,0,0,0,9,3,0,0,7,3,0,20,104,60,5,104,71,20,370,5373,896,322,1614,329,75,8605
SED10027,9,42,3,10,4,0,56,0,80,14,0,0,3,96,7,567,48,18,3,10,648,8,255,57,26,5,0,358,9,126,15,40,5,0,194,56,123,32,45,15,0,281,108,90,22,90,30,0,334,634,58,30,194,20,9,941,1269,64,8,270,44,3,1661,990,19,3,118,19,0,1154,749,0,3,68,7,0,831,281,0,0,24,6,0,311,61,0,0,4,0,0,65,32,0,0,11,0,0,46,98,95,14,89,22,22,334,4307,1527,254,1009,175,45,7313
SED10028,0,4,9,0,0,0,6,0,7,8,7,0,0,19,7,48,31,15,7,0,106,7,23,34,33,9,6,105,19,10,39,36,0,0,115,28,8,54,44,22,7,161,97,7,16,72,14,0,220,1048,6,39,143,22,8,1264,1761,5,20,199,34,0,2017,1355,4,4,115,13,0,1493,774,0,0,81,12,4,871,481,0,0,37,0,0,526,294,0,0,38,0,0,332,198,0,0,35,0,0,230,84,12,9,77,14,11,216,6151,128,261,938,144,49,7681
SED10029,11,33,5,6,0,0,58,7,104,14,0,0,0,123,18,617,61,27,12,4,739,54,392,153,63,23,4,687,76,187,40,73,14,3,396,335,160,96,126,34,3,751,1084,106,80,231,64,14,1577,2363,141,61,509,174,21,3277,2039,63,22,311,141,17,2590,595,4,0,102,50,11,763,334,5,0,36,11,0,396,59,5,4,19,3,0,82,10,0,0,3,0,0,16,14,0,0,4,3,0,21,111,93,24,138,35,45,453,7110,1907,569,1649,579,128,11930
SED10030,11,31,5,16,0,0,62,0,66,3,10,0,0,81,13,471,39,36,10,5,565,56,165,151,56,16,6,459,98,70,61,73,13,3,309,288,80,43,130,14,9,558,1076,31,31,301,17,0,1460,3447,62,24,463,36,3,4050,1968,11,7,224,12,5,2224,689,0,0,76,0,3,764,221,0,0,26,0,0,255,68,0,0,13,0,0,85,34,0,0,5,0,0,43,29,0,0,6,0,0,39,131,66,24,78,22,22,338,8136,1048,374,1515,148,64,11285
SED10031,7,17,0,10,15,0,46,0,45,6,15,0,0,74,32,196,54,78,20,4,388,101,150,129,114,27,0,522,112,44,21,132,24,6,334,311,62,32,168,23,4,609,845,101,40,308,35,6,1332,1293,43,22,333,28,3,1726,563,4,9,122,22,0,716,181,0,0,57,3,0,245,89,0,0,21,0,0,114,20,0,0,14,4,0,40,16,0,0,5,0,0,23,32,0,0,8,0,0,37,75,44,18,121,64,18,331,3673,706,341,1515,275,41,6539
SED10032,12,63,10,10,4,0,91,9,137,5,0,0,0,153,32,704,64,42,13,3,851,62,325,109,61,24,8,585,65,136,50,81,12,0,340,179,142,67,60,17,3,475,1120,100,104,182,29,5,1546,4544,100,78,455,130,18,5330,3277,54,16,368,96,5,3819,992,10,6,135,50,0,1191,425,0,3,53,24,0,499,83,0,0,23,9,0,117,25,0,0,13,4,0,37,38,0,0,14,3,0,57,241,114,26,135,45,55,621,11093,1888,533,1626,463,106,15709
SED10033,5,0,3,13,7,0,23,0,12,8,3,0,0,31,7,91,16,28,9,0,146,14,146,78,39,12,0,305,35,46,26,51,15,0,170,89,60,35,94,82,3,361,451,53,34,141,36,3,724,1452,72,34,269,30,3,1857,961,21,6,154,16,0,1160,404,0,0,60,3,0,475,171,0,0,28,3,0,208,96,0,0,12,4,0,108,44,0,0,6,3,0,59,60,0,0,19,0,0,79,82,30,10,75,35,8,245,3878,537,264,982,254,22,5944
SED10034,3,7,0,4,0,0,18,0,13,0,0,4,0,14,0,122,11,22,4,0,160,3,50,20,14,4,0,90,0,20,7,21,0,0,58,20,26,19,39,12,0,116,69,30,27,72,13,0,206,909,17,35,148,24,0,1139,1066,5,9,177,14,0,1271,778,9,0,105,6,6,909,422,0,0,63,0,0,483,225,0,5,42,0,0,268,80,0,0,7,0,0,88,45,0,0,8,0,0,58,46,10,10,49,12,12,140,3667,313,157,770,92,15,5017
SED10035,19,81,4,8,5,0,119,3,183,15,3,0,0,206,21,791,48,27,5,0,898,46,265,91,71,15,0,485,63,117,37,64,12,0,288,138,100,29,116,32,0,424,622,57,59,235,67,0,1039,2385,71,43,345,75,10,2934,5313,34,30,491,99,0,5968,5762,17,15,445,85,7,6324,4365,14,7,335,82,4,4811,1911,0,4,181,42,4,2147,849,5,3,92,25,0,963,966,0,0,133,17,0,1118,348,104,13,209,37,36,752,22818,1836,402,2758,595,76,28486
SED10036,6,27,8,0,4,0,48,0,46,3,0,0,0,54,0,320,25,16,4,3,374,12,155,45,19,3,0,232,20,73,24,27,4,0,154,49,95,34,44,256,3,478,188,79,38,70,97,0,477,1308,75,18,188,67,7,1669,1800,47,11,209,37,4,2117,960,3,5,91,22,0,1081,312,0,0,31,6,0,353,88,5,0,8,6,0,106,21,0,0,4,0,0,31,22,0,0,6,0,0,28,115,52,7,67,42,24,306,4901,986,221,795,547,41,7498
SED10037,7,6,3,5,0,0,24,0,3,6,8,0,0,11,8,46,21,22,9,0,107,15,69,51,26,3,0,160,14,25,25,50,3,3,122,48,23,34,48,13,4,171,212,21,29,114,20,0,400,1336,39,28,218,27,6,1658,1448,10,17,197,20,0,1696,872,12,9,132,14,6,1035,534,0,0,95,6,0,636,251,0,0,19,0,0,278,129,0,0,13,3,0,147,89,0,0,24,3,0,112,81,27,16,74,21,11,236,5046,286,241,1042,143,34,6786
SED10038,4,50,4,6,0,0,69,0,78,4,3,0,0,91,10,758,33,30,4,3,844,25,296,77,68,7,10,482,52,156,21,73,5,0,297,180,164,36,102,10,0,497,617,91,26,175,9,0,928,989,108,28,264,13,3,1400,1102,71,6,206,14,0,1398,748,11,5,107,6,0,871,371,0,0,62,4,0,435,168,0,0,23,0,0,201,88,0,0,9,0,0,103,59,0,0,15,0,0,79,57,98,16,57,6,11,251,4478,1885,261,1207,85,31,7951
SED10039,5,0,8,5,5,0,33,0,19,4,3,10,0,33,0,85,39,44,21,8,190,26,135,74,50,15,3,308,46,54,31,88,21,0,243,125,66,40,90,46,11,377,400,48,55,199,29,0,734,1036,25,28,299,32,6,1422,1044,18,4,227,15,0,1305,580,3,0,74,5,0,668,192,0,0,39,3,0,235,47,0,0,11,0,0,66,12,0,0,8,0,0,21,13,0,0,9,0,0,23,54,29,18,77,33,9,217,3597,493,300,1216,231,34,5865
SED10040,11,9,0,7,5,0,33,4,26,0,7,4,0,40,30,261,19,49,7,0,364,43,90,47,79,13,0,277,43,32,15,65,15,0,170,132,50,26,99,26,0,336,544,18,21,141,31,6,750,2861,17,27,356,48,8,3316,3356,18,21,339,58,7,3796,1717,7,6,179,33,0,1942,578,4,0,74,0,0,658,190,0,0,22,5,0,222,71,0,0,12,0,0,80,111,0,0,20,4,0,136,169,32,13,133,37,31,411,9848,565,208,1594,272,58,12539
SED10041,0,6,0,3,0,0,11,0,13,11,0,0,0,24,9,33,23,14,0,0,71,3,46,42,18,4,3,113,9,15,7,33,0,5,67,19,21,30,41,4,7,114,59,18,9,57,9,0,148,950,16,14,115,19,3,1114,1817,7,11,184,26,0,2051,1141,0,0,115,17,0,1277,587,0,0,69,7,3,663,406,0,0,44,3,0,448,291,0,0,31,0,0,324,767,0,0,107,8,0,871,91,13,10,73,20,16,225,6152,182,158,891,116,32,7526
SED10042,0,16,10,9,3,0,42,3,28,0,5,7,0,43,14,271,30,41,26,0,384,38,186,71,77,27,4,402,82,59,30,76,49,6,303,202,74,28,126,45,4,485,599,101,43,274,39,4,1052,1819,57,14,387,34,7,2314,1003,4,6,170,4,4,1193,300,0,0,44,7,0,346,83,0,0,11,0,0,97,22,0,0,6,0,0,24,7,0,0,0,0,0,7,8,0,0,0,0,0,11,95,54,10,69,26,8,271,4273,853,241,1297,272,38,6974
SED10043,5,58,8,3,3,0,80,5,168,12,3,0,0,186,25,938,79,26,9,6,1084,56,453,142,56,15,4,721,83,205,70,53,7,0,420,357,219,88,75,13,0,762,1721,150,63,176,45,6,2151,2348,110,66,321,75,4,2918,1443,58,17,304,75,0,1890,886,12,6,164,45,0,1125,386,5,4,70,20,3,488,172,0,0,38,6,0,216,47,0,0,3,0,0,56,25,0,0,13,0,0,41,157,140,20,133,40,40,520,7714,2506,570,1431,356,73,12662
SED10044,11,17,9,12,0,0,55,3,19,27,0,0,0,49,5,138,82,28,3,0,256,9,182,126,31,0,0,349,23,50,51,29,0,0,157,85,70,42,56,12,0,265,341,37,36,89,6,0,512,1881,37,34,202,17,3,2175,2501,20,12,296,26,5,2852,2188,0,3,193,20,0,2413,939,4,0,122,8,0,1076,570,0,0,72,13,0,657,304,0,0,41,4,0,348,741,0,3,106,0,0,849,143,46,21,85,25,16,343,9740,630,449,1354,141,42,12355
SED10045,0,11,8,33,16,0,72,0,17,0,21,0,0,46,29,259,49,123,23,10,484,128,129,116,203,41,4,618,181,33,41,225,64,10,554,498,65,42,369,59,10,1046,939,48,38,506,45,3,1584,1095,17,12,506,38,3,1675,478,6,4,159,13,0,667,162,0,0,60,0,0,230,46,0,0,11,0,0,59,8,0,0,9,0,0,18,3,0,0,0,0,0,3,8,0,0,5,0,0,16,62,42,20,87,43,26,283,3642,634,342,2328,333,71,7350
SED10046,12,96,6,4,9,0,128,0,208,9,0,6,0,231,16,855,94,15,14,7,993,50,506,96,34,8,3,704,76,235,40,42,17,3,413,572,282,89,67,22,0,1039,1586,212,75,180,54,11,2113,3194,204,71,388,122,9,3991,1968,94,17,240,84,5,2405,623,3,3,68,16,0,715,129,0,0,23,6,0,155,35,6,0,5,4,0,47,4,0,0,3,4,0,12,11,0,0,3,3,0,18,140,171,23,99,35,30,493,8417,2868,522,1176,384,81,13453
SED10047,12,66,5,8,4,0,93,0,119,11,4,0,0,136,26,661,28,29,10,4,761,42,479,79,46,19,4,668,104,206,29,49,3,0,392,350,225,41,99,52,4,769,1677,254,80,259,23,11,2297,3551,310,73,445,56,12,4443,1939,23,10,213,19,6,2211,1155,4,0,72,8,0,1253,240,0,0,16,0,0,262,53,3,0,3,0,0,64,20,0,0,7,0,0,25,39,0,0,4,4,0,48,202,157,24,94,37,39,547,9401,2523,374,1345,239,83,13966
SED10048,0,47,0,14,0,0,59,0,91,4,0,0,0,94,4,618,20,16,3,4,669,16,377,18,28,15,6,457,32,176,5,49,8,0,263,105,182,22,81,66,0,451,658,166,25,165,31,4,1047,2693,251,27,349,45,13,3374,1850,21,6,169,18,4,2077,1236,0,0,69,4,0,1313,259,0,0,21,6,0,292,38,4,0,0,0,0,46,18,0,0,0,0,0,17,26,0,0,4,0,0,30,135,112,17,78,29,28,400,7068,2041,138,1035,242,59,10582
SED10049,0,10,3,12,0,0,26,0,12,3,5,8,0,29,21,114,36,26,22,5,221,83,266,133,57,24,5,575,105,110,37,87,10,0,350,299,164,69,113,241,4,891,961,186,90,300,60,0,1602,2859,144,43,404,29,12,3491,1648,12,9,108,18,0,1789,299,4,0,24,3,0,330,49,0,0,3,0,0,56,9,0,0,3,0,0,11,0,0,0,0,0,0,4,7,0,0,4,0,0,13,105,72,27,75,42,22,343,6447,1094,465,1229,462,45,9734
SED10050,12,7,5,8,0,0,33,0,11,5,0,0,0,15,6,73,12,10,0,3,103,12,112,34,17,4,0,167,4,40,20,32,7,3,103,38,34,18,48,4,0,147,118,14,14,83,9,0,232,448,23,4,150,17,8,658,1373,7,6,276,15,6,1681,1779,0,0,295,13,4,2100,1504,0,0,226,10,4,1750,838,5,0,153,3,4,1001,545,0,0,108,7,0,651,1781,0,0,341,15,10,2147,144,21,3,86,12,23,290,8597,351,126,1834,116,56,11077
