SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED52702,5940,198,16,34,6,6198,6102,47,14,8,8,6174,562,68,14,0,0,645,9,40,0,0,0,54,5,50,3,0,0,56,513,55,8,9,5,591,29,0,0,8,4,36,9,3,0,0,0,11,1128,217,30,14,6,1396,130,35,8,0,0,179,115,20,5,0,0,140,13414,515,69,59,20,14078
SED52803,2132,115,14,75,20,2358,4291,248,12,12,0,4561,1391,687,83,4,0,2170,340,238,12,0,3,600,91,65,12,0,3,171,718,110,10,9,8,856,362,114,12,84,10,580,12,20,0,3,0,35,2919,1235,131,102,31,4414,220,30,7,12,13,280,236,56,12,10,10,332,9798,1688,170,210,73,11942
SED52903,937,59,13,278,46,1327,1619,94,23,40,18,1794,684,287,100,12,12,1089,1885,352,41,3,16,2294,883,61,14,13,7,982,495,71,28,30,28,649,655,122,23,89,35,927,40,8,0,0,3,49,4640,896,210,147,103,5998,388,52,0,66,36,550,234,50,11,88,47,427,7820,1147,253,623,242,10089
SED53004,5455,554,12,76,6,6097,6448,404,6,5,0,6867,983,166,6,0,0,1162,33,28,0,0,0,58,11,24,0,0,0,36,576,117,0,0,0,697,39,11,0,8,0,56,6,0,0,0,0,12,1647,347,9,8,0,2011,82,160,4,5,0,253,89,31,0,9,0,120,13720,1488,36,89,5,15344
SED53105,2866,133,47,4,0,3052,8711,281,75,0,4,9062,2278,335,149,0,0,2764,198,123,87,0,0,405,59,34,31,0,3,131,913,68,41,0,0,1019,79,3,9,0,0,90,14,7,0,0,0,25,3546,569,314,0,6,4431,82,56,5,3,0,147,191,13,11,0,0,211,15394,1051,444,9,10,16908
SED53204,3401,244,4,30,3,3681,8923,338,0,0,5,9266,1286,292,0,0,0,1580,36,112,0,0,0,152,13,4,0,0,0,13,488,75,0,0,0,558,60,7,0,7,0,70,7,4,0,0,0,9,1886,491,0,7,0,2383,204,12,0,0,0,217,141,21,0,0,4,158,14546,1108,4,40,13,15710
SED53306,3999,739,211,53,3,5014,5943,330,127,0,5,6396,2173,645,261,3,3,3089,272,334,33,0,5,640,152,78,68,0,9,306,1138,228,50,0,0,1425,73,56,4,14,3,154,31,16,4,0,0,43,3835,1361,424,22,15,5660,155,624,11,0,0,792,197,99,14,6,5,326,14136,3153,791,86,28,18190
SED53402,3524,662,288,4,0,4479,4886,1140,640,0,8,6676,1474,1133,1388,0,7,3994,169,394,181,0,0,746,20,60,69,0,0,150,826,409,401,0,0,1641,70,57,52,0,3,174,3,14,8,0,0,34,2566,2070,2096,0,6,6746,110,93,39,0,0,250,119,72,41,0,3,239,11206,4044,3106,10,23,18385
SED53502,4247,418,28,131,8,4824,7332,443,58,9,9,7854,1330,901,411,3,6,2646,214,353,55,0,4,625,30,77,22,0,0,130,892,292,38,11,5,1243,74,49,0,36,0,163,12,16,0,5,0,35,2570,1687,523,47,11,4841,149,18,7,5,3,190,181,66,10,7,3,268,14481,2638,634,198,30,17976
SED53602,3882,389,23,0,0,4294,5365,933,63,0,0,6358,1832,596,71,0,4,2502,376,696,83,0,0,1153,64,81,4,0,0,144,1148,273,25,0,4,1447,288,58,13,0,0,355,43,11,0,0,0,56,3749,1711,195,0,7,5661,147,38,5,0,0,191,260,76,6,0,0,344,13405,3145,300,0,13,16851
SED53701,5658,103,10,134,44,5949,4308,30,3,30,22,4390,527,37,14,7,0,573,197,79,15,0,0,299,54,41,17,0,0,112,941,43,12,12,12,1019,332,20,3,22,16,384,16,4,0,0,0,16,2067,213,60,43,31,2413,627,28,3,19,8,680,273,19,15,38,12,356,12933,388,95,258,113,13791
SED53802,4913,805,29,5,0,5746,4712,1450,18,0,0,6185,1749,1337,18,0,3,3105,163,310,10,0,0,481,22,65,5,0,0,90,943,450,4,0,3,1399,118,75,0,0,0,196,22,15,0,0,0,34,3012,2254,37,0,9,5307,153,80,9,0,0,238,143,73,5,0,3,227,12931,4659,92,4,16,17698
SED53902,3894,1338,323,0,3,5559,3529,1582,499,0,0,5610,1065,1468,1287,4,3,3839,33,75,123,0,0,230,13,34,88,0,0,135,615,545,329,0,0,1489,72,61,34,0,0,167,11,17,9,0,0,34,1814,2198,1872,8,3,5896,137,182,213,3,0,536,76,53,60,0,0,193,9445,5356,2964,16,9,17793
SED54006,5260,136,4,210,14,5632,6325,34,3,17,4,6388,1274,99,5,5,4,1381,139,73,3,0,0,213,19,42,0,0,0,67,982,81,6,14,3,1081,156,15,0,69,3,248,22,4,0,0,0,27,2593,306,13,83,15,3014,355,79,0,3,4,442,211,22,0,10,0,245,14743,586,19,332,35,15716
SED54104,4430,748,1015,0,7,6209,2993,615,925,3,4,4536,1120,909,2757,4,4,4796,8,54,363,0,0,428,5,30,81,0,0,116,417,317,675,0,5,1409,40,43,77,0,0,156,0,7,13,0,0,17,1590,1357,3961,4,6,6919,137,49,256,0,0,443,62,22,62,0,4,152,9203,2785,6231,12,25,18247
SED54203,1124,60,0,275,39,1499,896,22,0,57,13,991,306,69,28,5,5,421,630,90,25,3,8,757,165,29,55,5,0,255,322,58,3,22,13,424,1157,79,26,67,25,1348,23,0,8,0,0,35,2605,323,143,113,53,3237,386,32,11,36,42,514,137,25,5,26,20,209,5146,469,162,514,156,6449
SED54304,2356,685,1470,4,0,4515,2616,1030,2543,15,5,6212,905,1005,6634,21,16,8571,34,196,399,0,0,630,9,49,157,0,7,215,588,380,1328,13,9,2320,37,48,154,0,3,238,7,11,41,0,0,58,1574,1692,8706,29,29,12032,108,88,121,0,0,325,47,26,137,0,10,225,6705,3526,12967,51,51,23301
SED54403,710,86,22,80,23,928,2183,221,23,20,5,2448,1508,502,377,10,7,2411,909,250,63,0,5,1224,229,24,11,0,0,266,314,89,23,4,4,434,3101,513,225,48,17,3903,19,10,0,0,0,26,6075,1386,706,59,34,8260,676,94,57,24,22,873,176,51,8,11,10,258,9821,1837,817,201,98,12771
SED54505,5751,347,134,0,4,6236,5029,361,125,0,0,5517,1574,300,103,0,0,1978,26,56,36,0,0,117,5,20,27,0,0,53,603,135,42,0,3,785,54,14,17,0,0,78,11,7,4,0,0,15,2271,528,227,0,0,3031,138,120,291,0,0,549,106,18,25,0,4,149,13290,1377,795,0,8,15478
SED54605,5003,466,286,130,3,5879,5042,237,206,6,0,5490,1689,447,632,0,0,2767,151,162,121,0,0,437,23,49,24,0,0,94,976,190,137,3,0,1310,154,21,22,29,0,232,11,7,5,0,0,27,3003,877,942,37,4,4858,116,59,16,4,0,194,179,50,41,3,5,271,13337,1685,1481,180,16,16698
SED54701,5086,123,20,90,38,5356,3514,47,3,13,11,3587,739,188,32,0,5,963,403,166,7,0,0,584,83,78,33,0,0,184,1179,86,11,13,13,1298,454,33,3,20,12,526,28,16,5,0,0,49,2886,567,87,38,26,3604,890,32,5,7,36,977,229,37,10,8,4,285,12604,803,130,156,122,13811
SED54804,3223,1451,232,37,8,4951,4154,2346,345,8,0,6856,1097,1859,739,0,4,3708,188,418,149,0,0,758,10,66,16,0,0,89,569,687,175,0,6,1436,64,52,17,3,0,139,5,13,3,0,0,27,1931,3104,1104,10,0,6150,136,184,98,3,0,419,101,83,37,0,7,228,9544,7167,1823,52,16,18603
SED54905,3450,1598,504,0,3,5558,3105,1392,475,0,7,4979,1038,1933,1101,0,3,4074,314,204,123,0,0,647,8,56,36,0,0,96,482,661,328,5,0,1481,37,37,28,0,0,100,9,11,5,0,0,31,1897,2900,1620,5,8,6430,122,229,162,0,0,508,75,67,20,0,3,160,8646,6183,2777,3,20,17632
SED55005,3883,93,14,4,5,3995,8427,175,15,0,0,8622,1786,230,20,3,4,2046,170,25,0,0,0,194,21,26,0,0,0,48,831,48,0,0,0,883,120,8,3,0,0,127,14,3,0,0,0,22,2939,346,28,3,5,3317,138,103,12,0,0,253,194,10,3,0,3,211,15578,729,67,8,8,16389
SED55102,3399,56,18,11,0,3491,8899,198,19,0,3,9122,1536,75,10,0,3,1624,131,67,0,0,0,196,42,7,0,0,0,52,735,34,10,0,3,787,98,0,0,0,0,101,15,0,0,0,0,16,2558,183,25,0,5,2776,146,5,5,0,0,155,187,3,0,0,4,199,15200,442,69,15,19,15736
SED55202,4396,468,44,3,3,4917,6728,380,96,0,3,7199,1698,509,167,6,3,2384,242,186,52,0,0,484,40,87,63,0,0,192,1073,162,51,3,0,1284,154,39,10,0,0,207,23,16,4,0,0,50,3240,996,341,8,3,4595,131,289,7,5,0,440,207,63,8,3,0,270,14701,2196,500,20,13,17430
SED55306,5303,341,29,152,9,5830,5605,221,11,16,4,5855,1526,239,3,6,4,1773,263,221,0,0,0,479,26,68,0,0,0,94,1019,84,14,15,5,1138,149,19,4,77,5,243,16,8,0,0,0,18,2989,630,20,91,18,3751,262,156,17,25,0,461,199,46,0,10,15,265,14357,1394,79,298,44,16174
SED55405,2935,757,261,0,6,3961,3952,1142,433,4,3,5531,2326,1823,1334,5,4,5494,408,482,106,0,3,999,62,152,87,0,0,300,1145,689,283,0,3,2116,113,86,48,0,0,250,29,26,18,0,0,72,4085,3254,1881,5,12,9230,258,128,183,0,0,574,121,95,50,0,12,275,11348,5375,2811,3,27,19568
SED55504,3494,232,10,68,3,3804,9174,179,13,6,0,9372,1646,154,29,0,0,1824,158,121,3,0,0,277,28,36,0,0,0,68,835,71,4,12,0,924,111,15,3,23,0,156,9,0,0,0,0,15,2792,397,40,39,0,3267,166,137,0,9,0,308,178,24,0,14,0,214,15796,966,67,132,5,16967
SED55605,3344,124,5,0,0,3477,8788,71,8,5,22,8887,2225,94,7,0,0,2330,165,68,0,0,0,231,19,24,0,0,0,41,928,26,0,0,0,956,116,9,0,0,0,121,11,3,0,0,0,13,3465,221,9,0,0,3702,84,102,0,0,0,187,172,26,0,0,3,204,15860,537,22,4,28,16452
SED55706,6490,137,8,89,18,6747,4963,125,14,17,15,5132,1203,136,19,3,7,1362,288,120,11,0,0,420,60,53,15,0,0,131,1232,51,18,3,7,1316,233,9,5,36,20,297,20,4,0,0,0,20,3035,372,63,43,33,3544,465,84,10,3,11,582,265,18,0,6,6,300,15226,729,100,157,86,16300
SED55802,3227,341,13,24,3,3601,10241,346,14,0,8,10606,1519,202,103,0,0,1829,170,144,3,0,0,313,20,8,0,0,0,30,672,51,3,0,3,731,102,12,0,0,3,115,13,6,0,0,0,13,2499,416,108,0,7,3029,118,59,0,0,0,173,153,24,0,7,5,190,16235,1183,142,26,22,17602
SED55905,4476,570,85,0,9,5133,5424,506,155,0,0,6088,1407,280,221,0,3,1915,377,295,94,0,3,768,32,41,43,0,0,122,660,154,61,0,0,875,61,16,7,0,0,97,14,9,3,0,0,26,2559,802,437,0,4,3797,200,167,67,0,0,434,160,42,12,0,4,220,12812,2088,752,0,21,15669
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED60105,2822,242,194,11,4,3276,2868,166,110,4,0,3140,1092,242,525,37,3,1903,129,28,76,0,0,240,16,46,11,0,0,70,513,104,176,6,3,809,38,17,26,0,0,88,10,9,6,0,0,31,1807,441,825,48,11,3129,145,96,11,0,0,245,107,12,23,0,0,144,7743,954,1158,58,20,9933
SED60106,1399,9,7,14,5,1433,856,5,0,0,0,860,139,9,3,0,0,155,70,10,6,0,0,82,32,28,0,0,0,64,240,7,14,0,4,259,75,6,0,0,0,85,7,3,0,0,0,8,563,58,23,3,3,651,135,6,0,4,0,140,85,0,0,0,0,90,3039,79,27,21,9,3181
SED60113,5623,111,147,28,4,5916,5074,100,99,0,7,5278,1438,160,338,6,7,1945,154,72,73,0,0,300,33,0,24,0,0,63,801,67,106,5,0,976,56,7,12,9,0,89,17,0,3,0,0,25,2508,304,555,17,6,3389,126,8,34,4,0,171,167,10,15,24,6,222,13495,533,850,79,23,14980
SED60115,4639,204,44,12,3,4901,4314,154,25,5,3,4505,1778,457,200,11,5,2446,452,323,140,0,0,918,299,201,109,0,5,621,985,184,48,13,7,1235,107,38,8,0,4,161,41,10,3,0,0,53,3664,1221,509,22,20,5438,187,47,3,5,0,237,203,177,22,17,0,415,13002,1804,594,65,35,15497
SED60207,5537,264,10,72,7,5890,4726,81,8,11,4,4829,1290,342,12,7,0,1650,641,349,12,0,5,1004,161,86,0,0,0,246,1098,200,14,6,4,1325,127,45,3,50,6,228,27,18,0,0,0,47,3346,1047,41,58,7,4500,145,37,0,7,6,193,181,59,0,10,0,252,13945,1486,54,154,27,15664
SED60208,5110,160,10,58,9,5347,4349,61,0,11,0,4423,859,228,3,9,4,1100,317,261,0,0,0,581,46,63,3,0,0,108,869,141,12,9,0,1033,90,20,0,13,0,123,18,14,0,0,0,38,2199,729,18,32,5,2982,146,32,0,9,0,191,186,33,3,25,6,250,11992,1012,34,145,16,13192
SED60209,5835,95,36,42,21,6026,4559,44,13,12,8,4632,1392,274,68,10,3,1748,520,165,9,0,0,700,120,92,11,0,0,231,1022,93,28,8,4,1155,253,37,43,24,3,364,20,12,0,0,0,30,3332,673,154,42,6,4218,368,28,3,7,6,409,232,37,6,8,0,283,14324,871,211,110,47,15567
SED60301,1620,44,196,0,0,1860,2181,45,123,0,0,2352,621,35,224,0,0,878,237,72,121,0,0,430,53,42,51,0,4,144,318,23,109,0,0,449,38,17,40,0,0,83,7,9,0,0,0,15,1265,184,547,0,4,2006,43,12,70,0,0,126,62,12,31,0,0,109,5180,293,966,0,6,6457
SED60302,3947,93,190,31,4,4261,4181,97,161,7,5,4454,1739,252,583,12,4,2588,562,199,296,0,7,1070,112,48,27,0,12,197,1027,119,265,18,3,1421,136,27,45,0,0,212,18,12,10,0,0,42,3596,652,1224,33,25,5527,127,9,32,6,0,173,176,18,42,0,4,241,12031,871,1642,80,35,14652
SED60303,3977,294,392,17,6,4681,3406,284,283,5,4,3971,1131,503,1256,27,11,2924,116,97,298,0,12,521,22,40,157,0,0,219,768,236,531,15,10,1561,57,25,66,0,3,151,3,5,16,0,0,20,2104,895,2321,46,44,5410,83,81,78,0,0,250,72,16,46,0,5,142,9636,1576,3116,66,57,14448
SED60304,47,0,0,0,0,47,62,0,0,0,0,58,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,122,0,3,0,0,124
SED60310,3059,145,122,17,9,3347,1927,103,62,3,0,2093,576,277,405,0,5,1265,25,40,10,0,0,77,12,27,0,0,0,40,414,141,144,10,9,712,50,18,13,0,4,81,8,0,3,0,0,17,1086,500,575,17,10,2195,105,43,58,0,0,212,42,12,9,5,0,70,6221,805,826,47,19,7911
SED60404,5698,52,18,86,12,5861,5103,34,17,18,5,5177,830,69,12,14,0,926,87,19,4,0,0,117,21,13,8,0,0,40,786,34,20,11,3,852,78,5,0,15,0,105,16,0,3,0,0,20,1818,138,49,47,3,2064,240,6,6,9,3,255,153,3,0,7,3,168,13016,237,83,161,28,13526
SED60410,2057,126,29,0,3,2211,1982,95,24,0,4,2099,715,112,57,0,0,881,188,66,10,0,0,269,25,75,0,0,0,97,379,53,23,0,0,456,26,16,0,0,0,39,9,6,0,0,0,11,1347,321,94,3,0,1764,81,32,4,0,3,121,47,9,3,0,0,57,5503,584,158,4,7,6255
SED60411,4970,150,46,16,4,5183,4098,106,25,6,3,4233,1160,206,78,0,0,1448,362,174,40,0,0,579,39,34,5,0,0,81,719,111,45,0,3,876,70,7,0,0,0,90,18,8,0,0,0,26,2374,545,174,8,3,3098,191,67,11,0,3,275,115,23,0,0,6,144,11749,888,261,25,17,12936
SED60414,3147,36,7,25,5,3218,4277,29,4,3,0,4315,888,42,0,4,0,927,362,81,0,0,0,447,115,36,0,0,0,150,522,11,0,0,8,541,61,0,0,11,0,76,16,7,0,0,0,25,1959,174,0,17,7,2159,118,35,0,3,0,153,104,10,0,0,0,112,9598,282,15,44,19,9957
SED60501,2415,27,23,35,9,2504,2664,21,14,10,3,2707,734,25,50,0,0,815,764,85,98,0,0,950,189,21,36,0,0,245,468,15,16,8,3,511,99,3,12,8,0,125,17,4,0,0,0,24,2278,156,219,14,8,2670,138,4,3,4,0,150,133,8,7,8,0,154,7625,219,262,62,17,8181
SED60505,1469,80,92,5,3,1647,1464,63,41,0,0,1568,258,53,102,0,0,411,57,4,26,0,0,93,5,0,4,0,0,10,194,15,68,0,0,281,24,0,3,15,0,45,3,0,4,0,0,4,538,77,208,15,0,834,33,0,5,0,0,35,22,5,13,0,0,43,3525,227,356,23,5,4129
SED60506,5377,93,108,70,8,5656,3669,42,44,12,4,3779,795,97,98,8,0,1000,160,34,56,0,0,251,46,35,33,0,0,105,814,35,47,13,5,914,188,8,4,20,3,220,16,3,0,0,0,23,2009,209,243,46,11,2516,291,10,14,6,5,319,198,9,14,3,0,227,11544,366,424,135,26,12495
SED60508,900,27,0,3,0,931,700,6,0,0,0,703,38,5,0,0,0,44,12,11,0,0,0,29,8,26,0,0,0,37,87,6,0,0,0,97,5,0,0,0,0,11,10,0,0,0,0,7,169,45,0,0,6,222,37,0,0,0,0,43,23,0,0,0,0,23,1828,77,0,5,8,1917
SED60512,5337,41,65,36,15,5499,5063,18,93,8,7,5189,800,19,95,4,0,921,110,13,17,0,0,140,28,21,15,0,0,69,896,17,78,9,0,1000,160,10,10,5,5,192,23,10,4,0,0,32,2015,81,223,24,4,2348,266,5,9,5,8,293,216,8,6,0,4,236,12899,158,395,79,38,13563
SED60514,1250,16,42,18,5,1332,1708,18,49,4,5,1781,287,22,36,0,11,348,29,3,0,0,0,26,6,8,0,0,0,5,198,15,14,0,0,223,13,0,0,9,0,24,0,0,0,0,0,0,526,37,53,9,11,634,41,0,0,0,3,43,23,3,0,0,0,29,3545,79,144,34,20,3826
SED69494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,36,4,0,21,0,59,8,0,0,0,0,12,6,0,0,0,0,6,581,47,43,3,3,671,406,18,11,0,0,435,5,0,0,5,0,9,158,41,23,9,8,243,13,3,0,0,0,13,1164,113,79,20,12,1382,232,21,14,25,18,310,27,11,3,8,5,48,1466,148,92,71,36,1807
SED70002,418,78,4,4,0,500,981,272,16,0,0,1268,318,445,71,0,8,839,75,104,4,0,4,191,4,22,3,0,6,35,179,126,8,0,0,312,60,45,5,0,11,121,3,4,0,0,0,10,636,743,92,0,34,1507,53,19,3,0,5,70,25,22,0,0,4,54,2108,1127,116,8,39,3403
SED70003,41,5,0,22,3,73,14,0,0,4,0,20,0,0,0,0,0,0,550,159,23,0,4,737,187,46,3,5,3,247,17,5,3,0,0,21,351,5,0,9,13,381,5,6,0,0,0,7,1118,219,33,11,21,1398,193,39,9,13,11,266,25,0,0,9,3,36,1389,265,40,58,37,1792
SED70004,168,0,0,70,12,246,129,0,0,12,0,138,30,32,8,0,0,65,574,32,13,6,0,618,154,17,9,3,0,185,65,13,7,10,0,96,160,21,9,13,6,209,8,0,0,0,0,10,995,115,42,25,5,1181,347,19,10,24,10,412,56,3,4,15,9,87,1692,139,57,136,39,2064
SED70005,226,16,12,0,0,250,966,86,33,0,0,1084,488,122,170,0,0,785,96,148,33,0,0,277,6,4,3,0,0,9,154,42,18,0,0,220,111,4,3,0,0,123,3,0,4,0,0,8,859,332,236,0,4,1421,22,8,3,0,0,32,26,18,8,0,0,50,2097,447,287,0,4,2840
SED70006,417,66,8,18,3,513,965,183,13,0,8,1169,225,260,72,3,7,562,140,102,18,0,0,256,22,9,0,0,0,29,205,103,17,4,10,333,18,42,3,8,8,82,3,0,0,0,0,6,617,512,114,12,24,1277,27,40,3,0,5,71,44,34,0,0,17,91,2063,836,133,28,51,3119
SED70007,258,29,30,0,0,319,1096,76,90,0,0,1262,569,159,180,0,0,907,7,27,23,0,0,58,0,4,0,0,0,4,152,42,42,0,0,230,82,7,0,0,0,91,0,0,0,0,0,0,810,237,245,0,0,1294,36,3,0,0,0,43,23,9,8,0,0,36,2224,355,378,0,0,2961
SED70008,562,46,37,27,0,669,840,36,50,0,0,926,263,94,142,4,0,496,84,0,27,0,0,112,7,0,12,0,3,23,157,35,52,0,0,257,233,3,48,0,3,297,0,0,0,0,0,0,748,130,286,9,9,1184,27,6,26,0,0,65,36,3,10,5,0,54,2213,217,420,38,12,2896
SED70009,661,0,0,75,20,757,662,5,0,19,6,698,47,0,0,0,0,52,163,39,3,0,0,210,276,57,10,3,3,348,144,0,0,12,3,158,82,20,0,15,4,115,17,6,0,0,0,22,730,119,18,28,12,908,141,15,4,13,12,185,48,4,0,7,4,74,2249,145,20,149,61,2625
SED70010,290,6,55,0,0,352,892,23,168,0,0,1089,297,47,318,0,0,668,221,14,237,0,0,471,5,4,5,0,0,14,140,11,75,0,0,232,13,0,6,0,0,17,4,0,6,0,0,8,673,84,645,0,4,1409,5,0,9,0,0,16,40,3,34,0,0,78,1907,116,910,0,4,2938
SED70011,353,175,49,0,0,578,436,212,121,0,0,769,186,338,571,0,0,1106,20,67,98,0,0,184,53,3,23,0,0,85,85,96,81,0,5,265,11,12,11,0,0,39,4,0,0,0,0,10,357,525,795,0,0,1681,38,27,10,0,0,79,13,12,11,0,0,37,1194,959,992,0,6,3146
SED70012,260,57,132,24,6,474,351,103,318,0,0,778,159,233,717,0,0,1113,13,32,50,0,0,101,3,0,0,0,0,7,61,88,139,7,4,299,89,9,49,16,6,175,0,0,4,0,0,5,331,374,960,22,7,1691,24,5,6,4,4,46,13,14,25,9,7,70,972,546,1444,63,23,3056
SED70013,784,5,3,45,14,850,1474,11,0,8,0,1495,151,9,0,4,0,162,5,6,0,0,0,10,11,0,0,0,0,11,218,7,6,3,4,235,20,0,0,19,7,46,9,0,0,0,0,9,401,27,6,25,10,474,75,0,0,9,0,86,69,6,0,17,0,90,2801,41,4,105,33,2994
SED70014,27,0,0,23,0,60,5,0,0,4,3,14,0,0,4,0,0,3,619,63,4,0,3,687,222,21,16,0,4,263,0,0,0,0,0,6,107,185,85,8,21,413,6,0,0,0,0,8,960,273,105,7,26,1374,221,22,17,16,21,296,31,12,0,9,9,55,1251,308,125,56,59,1794
SED70015,578,77,38,0,0,692,833,118,78,0,0,1031,193,180,235,0,4,620,159,83,33,0,0,278,0,10,0,0,0,14,156,86,71,0,3,309,24,22,19,0,0,60,5,5,4,0,0,8,531,378,363,0,8,1284,17,7,5,0,0,33,36,12,12,0,0,64,2000,593,494,3,10,3098
SED70016,448,61,0,0,0,509,863,167,4,0,0,1028,180,145,41,0,0,360,256,169,25,0,0,449,27,3,0,0,0,36,132,59,6,0,0,195,21,10,0,0,0,30,5,5,0,0,0,13,627,383,69,0,0,1083,29,6,0,0,0,37,37,20,3,0,0,64,1996,639,80,4,4,2720
SED70017,375,15,0,31,27,439,652,20,0,7,14,696,348,164,7,0,3,525,132,120,14,0,3,277,78,16,0,0,0,101,164,22,0,8,3,212,117,39,3,14,18,196,9,4,0,0,0,6,857,364,39,22,27,1305,61,11,0,0,8,82,41,29,13,4,13,110,1982,432,53,73,84,2622
SED70018,64,4,0,0,0,70,20,0,0,0,0,23,64,9,4,6,0,75,506,12,3,0,5,514,143,0,0,0,3,149,19,0,0,0,0,20,409,25,13,4,5,455,19,0,0,0,0,15,1151,49,23,6,9,1232,341,19,22,6,6,394,48,3,0,4,3,57,1625,74,50,16,24,1779
SED70019,296,28,4,83,28,443,639,111,11,9,4,779,151,158,61,0,4,376,447,125,5,5,6,590,111,18,0,3,6,133,117,32,12,9,16,185,61,31,15,29,9,134,20,4,0,0,0,25,912,354,89,44,35,1434,149,30,23,24,11,236,65,6,0,15,4,91,2066,541,134,172,71,2983
SED70020,647,11,4,54,3,715,1251,7,3,5,0,1271,123,23,87,0,3,241,4,0,4,0,0,5,19,0,3,0,0,25,178,17,5,0,0,204,21,4,0,30,4,64,8,0,0,0,0,8,351,43,101,34,12,538,55,0,0,4,0,66,32,0,4,4,9,45,2340,66,113,98,22,2634
SED70021,416,30,185,0,3,623,488,48,286,0,0,827,182,96,942,0,3,1226,35,129,29,0,3,193,9,4,18,0,0,27,109,32,288,5,0,428,16,3,37,0,0,53,3,8,8,0,0,20,350,267,1319,6,4,1942,12,5,7,0,0,25,18,5,23,0,0,54,1282,348,1825,6,6,3470
