SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED30059,4017,1219,330,15,6,5589,7182,1644,253,3,11,9089,1157,1361,348,0,0,2870,84,40,0,0,0,122,7,8,20,0,0,40,545,388,118,3,8,1057,93,415,68,41,0,615,7,13,3,0,0,24,1886,2232,558,44,6,4727,135,89,15,0,0,239,136,59,28,8,0,238,13357,5239,1185,74,26,19886
SED30060,4396,105,129,74,9,4720,7154,92,126,3,3,7383,2397,395,459,0,0,3248,428,69,99,0,0,594,342,24,66,0,0,435,946,112,113,3,0,1179,173,21,68,46,11,316,28,5,5,0,0,30,4312,628,805,50,13,5801,176,36,5,16,3,241,262,16,33,13,0,331,16299,878,1101,162,33,18477
SED30061,4403,256,53,47,7,4775,5535,132,53,9,3,5726,2606,837,543,0,9,3986,416,169,120,0,4,707,16,38,27,0,0,85,1055,193,74,0,3,1322,299,54,117,13,29,513,16,13,5,0,0,33,4404,1302,877,15,43,6641,118,99,17,3,3,241,189,45,22,3,5,259,14647,1833,1032,80,57,17644
SED30062,3518,731,13,141,4,4400,8219,682,14,0,5,8925,4412,3077,184,0,5,7681,364,163,31,0,0,556,25,106,6,0,0,136,603,376,24,5,6,1021,115,570,16,91,0,797,18,36,0,0,0,54,5531,4329,264,103,13,10240,96,481,6,0,0,582,178,112,4,7,3,308,17543,6337,302,256,26,24461
SED30063,8391,29,35,154,33,8645,5562,22,22,15,11,5632,2008,190,287,12,4,2493,358,31,91,0,0,480,47,22,50,0,0,120,1212,20,33,9,11,1284,235,17,25,47,6,335,34,0,3,5,0,38,3898,281,483,65,22,4752,461,10,8,9,5,492,407,11,28,16,0,468,18726,358,574,254,75,19989
SED30064,5487,329,151,69,11,6051,6794,256,119,10,11,7185,1569,512,332,11,6,2428,141,98,114,0,0,354,24,33,52,0,0,113,839,90,105,9,10,1050,116,24,10,144,5,308,19,4,16,4,0,40,2710,764,631,163,24,4291,203,274,28,3,0,506,217,36,37,8,7,300,15405,1662,960,255,46,18325
SED30065,6024,821,221,113,18,7196,7228,356,164,10,9,7764,2200,568,291,5,12,3075,141,74,12,0,0,229,9,6,6,0,0,22,687,102,90,3,13,895,93,30,8,32,6,172,22,3,0,0,0,26,3151,793,407,41,31,4414,188,169,31,4,0,393,204,35,9,3,8,265,16792,2164,833,175,67,20034
SED30066,6811,973,490,30,16,8318,5184,398,250,14,18,5850,1539,551,454,7,27,2577,142,38,98,0,0,274,9,6,4,0,0,19,710,228,135,5,8,1092,54,23,30,6,12,124,7,6,5,0,4,26,2469,857,725,15,51,4118,230,291,23,0,4,549,188,67,27,3,0,286,14878,2582,1508,59,92,19122
SED30067,4130,347,516,4,0,4995,6008,762,1050,0,5,7829,2481,1079,3052,3,11,6627,244,301,444,0,0,996,29,56,93,0,0,180,649,128,375,0,0,1152,41,63,48,0,0,154,13,9,17,0,0,40,3454,1635,4033,5,16,9138,137,30,136,0,5,301,102,35,92,0,4,236,13823,2805,5832,15,25,22496
SED30068,5107,782,510,10,4,6419,5299,379,263,3,5,5944,1595,443,356,0,0,2394,86,184,202,0,0,473,32,17,54,0,0,101,425,155,147,3,3,735,35,37,46,0,3,128,11,0,7,0,0,21,2179,837,815,8,9,3853,119,279,69,0,4,471,123,57,33,0,0,214,12826,2339,1690,32,18,16903
SED30069,5093,368,50,9,8,5531,8222,437,32,0,7,8694,1903,823,129,0,4,2861,132,69,31,0,0,231,15,24,0,0,0,46,503,162,42,0,6,715,284,156,7,3,3,453,10,18,0,0,0,29,2856,1247,204,4,9,4324,106,34,18,0,7,163,136,33,8,0,6,178,16413,2117,309,15,31,18895
SED30070,7609,914,256,410,15,9204,5645,171,94,18,14,5940,2442,819,321,7,6,3596,128,194,24,5,0,346,26,74,13,0,0,116,660,138,74,11,6,882,89,24,22,41,0,184,15,12,15,3,0,47,3361,1257,474,76,15,5173,224,138,100,14,3,471,224,72,32,23,3,352,17064,2548,953,538,43,21139
SED30071,5122,535,1582,122,15,7378,5344,263,610,10,5,6238,3121,598,1419,5,3,5157,303,235,605,0,0,1140,11,21,112,0,0,136,778,140,314,7,3,1243,58,37,54,39,11,200,14,4,25,0,0,55,4274,1046,2534,51,23,7929,164,96,175,8,0,445,172,50,100,13,5,344,15087,1989,4998,203,42,22323
SED30072,6525,307,101,13,7,6957,7276,199,41,0,4,7517,2727,454,66,0,6,3254,115,3,60,0,0,179,15,49,11,0,0,78,830,87,15,7,9,945,54,205,0,0,0,265,19,17,0,0,0,31,3761,813,155,7,12,4757,232,406,26,0,0,660,265,46,5,0,0,320,18059,1768,327,28,24,20211
SED30073,5083,152,135,28,15,5415,6491,91,108,10,6,6704,3164,726,405,11,9,4309,402,238,124,0,3,772,135,75,75,0,0,289,1319,125,93,4,7,1548,123,27,48,17,6,223,33,16,13,0,0,62,5180,1218,761,24,17,7194,230,26,55,0,4,325,252,37,37,5,5,334,17232,1524,1089,69,53,19971
SED30074,5029,576,122,3,6,5734,7427,636,120,0,0,8178,2547,792,352,17,9,3717,256,103,178,0,5,536,31,33,52,0,0,126,596,152,93,8,0,844,53,176,38,0,9,279,9,10,13,0,0,31,3495,1261,733,22,16,5532,211,238,31,0,0,476,177,75,66,109,0,428,16328,2786,1068,140,27,20345
SED30075,6565,189,12,126,21,6912,7659,63,11,29,11,7770,1636,418,20,12,0,2085,86,45,0,0,0,127,23,23,0,0,0,46,959,85,11,7,9,1072,178,64,0,84,5,326,30,6,0,0,0,38,2909,629,33,102,15,3700,327,33,5,6,5,374,276,24,0,13,0,317,17731,943,64,278,52,19070
SED30076,1859,109,2556,20,9,4555,1926,199,3133,8,10,5274,1486,402,10928,10,43,12873,18,34,768,0,0,822,13,4,134,0,0,149,617,89,1975,4,24,2710,65,7,486,0,0,564,4,3,54,0,5,66,2206,539,14350,20,75,17186,96,5,234,0,0,335,75,9,260,0,14,360,6156,866,20534,43,121,27710
SED30077,7426,189,9,84,18,7728,5138,57,4,23,13,5236,2033,521,143,10,3,2708,149,108,10,0,0,270,28,36,9,0,0,73,1288,100,27,11,15,1439,355,29,4,40,20,451,33,15,5,0,0,55,3887,808,203,59,42,5000,547,57,4,3,16,630,307,42,11,9,12,380,17307,1150,228,184,101,18971
SED30078,2933,1312,1516,3,29,5790,3802,1193,953,0,17,5958,1548,1388,3005,8,19,5972,292,243,287,0,0,820,17,33,114,0,0,165,556,433,675,0,8,1672,62,242,357,3,34,701,6,15,49,0,0,68,2484,2350,4487,16,64,9401,121,252,179,0,0,556,118,102,141,0,6,361,9461,5207,7269,15,109,22063
SED30079,4604,323,112,38,0,5084,8205,476,134,0,4,8818,1965,555,169,0,0,2681,152,27,22,0,0,198,6,7,18,0,0,31,597,153,50,4,7,804,45,76,23,35,0,170,5,3,0,0,0,10,2761,814,279,38,8,3904,97,97,20,0,0,217,136,29,12,0,0,171,15803,1739,552,77,21,18192
SED30080,4102,356,608,0,0,5070,5640,574,847,0,0,7062,2547,931,3395,0,10,6886,548,278,482,0,0,1310,24,32,71,0,0,129,617,175,477,0,5,1272,36,57,120,0,0,211,15,16,24,0,0,55,3789,1473,4565,3,22,9848,127,40,317,0,3,488,112,32,103,0,0,250,13774,2480,6438,3,26,22719
SED30081,5482,474,8,12,0,5980,5864,906,10,0,0,6781,2499,1097,0,0,3,3610,127,39,9,0,0,171,36,32,5,0,0,69,676,234,4,5,5,920,112,349,0,55,0,517,18,24,0,0,0,45,3467,1771,15,62,13,5328,184,117,22,0,0,324,218,36,7,5,0,269,15214,3314,63,80,14,18684
SED30082,2956,599,3949,47,34,7589,2570,410,2422,14,14,5434,781,363,5208,7,63,6431,3,0,10,0,0,16,3,5,72,0,0,81,231,133,1461,4,18,1845,21,64,511,0,14,605,4,0,56,0,0,69,1044,568,7316,15,98,9041,73,33,244,3,3,359,123,26,296,0,21,469,6775,1632,14226,80,175,22889
SED30083,3173,743,88,48,0,4044,8078,1308,38,0,6,9432,2367,1437,50,0,5,3859,76,57,0,0,0,132,9,27,0,0,0,34,510,362,25,0,6,900,68,366,17,0,0,450,18,16,0,0,0,38,3043,2262,91,3,11,5414,100,92,96,7,0,293,143,64,13,3,0,229,14528,4466,329,65,16,19406
SED30084,4225,185,21,47,9,4480,6669,118,6,4,3,6810,2974,600,77,0,11,3665,627,114,50,0,0,790,52,51,6,0,0,116,1084,100,14,0,0,1204,531,39,8,3,3,584,31,14,0,0,0,42,5306,923,144,8,21,6405,323,91,12,0,3,434,192,34,13,6,6,244,16716,1346,197,62,43,18367
SED30085,5316,408,138,24,4,5896,4873,801,256,4,0,5945,2742,1115,788,15,28,4682,230,175,148,0,3,547,45,21,63,0,0,133,1090,229,145,3,12,1474,145,232,66,243,14,703,32,16,9,6,0,58,4278,1783,1208,274,54,7599,185,111,32,0,0,330,205,63,21,9,0,301,14861,3176,1657,318,65,20076
SED30086,6057,522,165,14,5,6768,5836,310,107,5,8,6266,2991,1535,732,3,10,5265,290,315,107,0,0,710,30,47,23,0,0,101,947,226,123,0,0,1294,179,33,14,8,4,249,23,13,5,0,0,41,4465,2168,1001,17,15,7659,172,48,21,0,4,248,198,56,27,3,4,292,16731,3102,1321,40,36,21238
SED30087,5550,956,111,37,9,6668,5653,413,89,0,0,6151,3655,2044,549,0,4,6256,268,191,47,0,0,506,37,88,20,0,0,143,969,280,67,0,4,1318,168,96,10,11,3,289,19,22,3,0,0,47,5110,2725,695,15,8,8556,127,402,20,5,3,555,186,102,3,0,3,302,16629,4600,918,59,26,22230
SED30088,3526,480,611,138,11,4762,4810,448,470,7,4,5736,1968,2111,1780,12,8,5876,621,484,250,0,5,1358,45,89,53,0,0,188,814,394,307,12,13,1545,141,59,113,27,28,362,23,13,12,0,0,53,3613,3148,2520,54,50,9381,124,83,42,9,4,258,169,99,53,14,10,338,12241,4255,3683,222,76,20478
SED30089,3086,152,14,243,88,3589,3371,121,14,38,37,3587,1373,560,123,12,7,2075,833,270,126,5,6,1244,226,51,36,0,0,324,884,148,29,16,9,1088,557,171,67,66,39,902,24,12,7,0,0,50,3899,1223,388,104,61,5677,578,78,40,39,61,803,319,40,18,179,19,569,11251,1624,475,606,273,14232
SED30090,5173,86,5,112,43,5409,4031,37,5,31,15,4116,1696,357,45,11,0,2109,352,102,26,0,0,483,110,75,17,0,3,218,1268,46,9,11,15,1347,621,40,19,28,8,719,26,17,3,3,0,46,4072,647,122,50,25,4919,769,39,0,22,28,855,277,22,3,5,5,318,14319,835,139,214,111,15615
SED30091,3929,571,87,5,3,4594,6473,445,62,0,8,6977,3688,1628,267,0,13,5596,750,252,46,0,5,1056,29,40,29,0,0,90,755,173,40,0,8,975,124,241,40,0,0,414,19,18,3,0,0,38,5363,2353,422,0,26,8168,127,73,29,0,3,239,271,107,67,38,0,477,16160,3547,670,46,40,20458
SED30092,4673,143,162,179,49,5209,6754,143,161,31,18,7106,2198,515,579,24,17,3338,137,51,59,0,0,250,31,36,35,0,0,112,841,87,152,13,24,1117,121,56,53,41,46,309,16,3,4,0,0,22,3344,748,883,80,82,5139,188,17,10,10,16,239,223,17,16,8,16,278,15180,1077,1229,304,176,17965
