SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED21401,0,0,0,19,5,10,7,0,0,43,0,0,3,16,5,8,3,3,6,44,0,8,5,32,29,81,260,327,221,956,0,3,6,9,5,0,8,0,0,47,0,22,23,93,53,31,20,9,5,238,0,0,9,17,25,37,56,16,3,156,3,42,124,431,150,164,169,81,10,1167,0,0,0,0,5,4,6,25,6,41,0,0,0,9,3,4,6,3,0,27,0,0,0,0,0,0,0,0,0,6,0,0,7,16,0,0,0,0,0,21,0,0,0,4,15,5,15,16,9,60,0,19,41,92,40,44,24,20,5,297,0,0,0,8,11,17,25,19,8,92,0,10,29,105,22,11,3,3,3,185,0,6,0,3,9,0,0,0,0,15,0,12,13,57,18,16,11,0,5,136,0,0,0,7,0,10,16,4,6,46,0,0,0,0,0,0,0,0,0,0,0,4,0,5,10,7,13,22,8,69
SED21503,0,4,5,16,13,14,5,0,0,68,5,4,6,42,24,12,7,3,9,109,0,3,0,37,34,90,210,138,79,587,0,0,4,5,5,4,0,0,0,15,0,5,7,27,14,4,0,0,0,58,0,4,0,28,28,27,22,17,3,137,0,15,42,158,40,38,54,10,0,358,0,0,0,4,3,4,20,21,10,60,0,0,5,23,0,11,8,0,0,47,0,0,0,0,0,6,0,0,0,9,0,0,7,45,4,3,0,0,0,56,0,0,4,3,0,8,13,5,6,38,5,19,44,108,64,44,17,7,4,313,0,0,0,29,47,88,102,40,13,330,0,6,20,80,9,6,0,0,0,128,0,0,0,4,5,0,0,0,0,11,0,11,16,91,30,29,29,7,0,209,0,0,0,15,9,3,19,0,0,58,0,0,0,0,3,5,0,0,0,10,0,0,0,4,14,13,22,27,5,87
SED21608,0,0,0,4,0,0,0,0,0,5,0,0,5,14,11,10,14,9,10,67,0,0,0,9,10,18,37,15,9,94,0,5,0,4,0,3,0,0,0,10,0,0,0,5,0,0,0,0,0,15,0,0,0,3,3,3,0,0,0,8,0,0,4,17,9,6,4,4,0,45,0,0,0,0,5,17,35,9,0,78,0,0,0,6,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,16,34,0,0,0,0,0,53,0,0,0,0,11,20,50,47,11,146,0,18,26,97,78,75,46,14,4,352,0,0,0,0,4,4,0,3,0,10,0,8,9,31,7,0,0,0,0,54,0,0,0,4,5,0,0,0,0,7,4,12,16,51,16,0,0,0,0,103,0,0,0,8,0,3,4,0,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,21,18,35,43,26,4,148
SED21706,0,3,0,5,5,0,0,0,0,21,0,0,9,36,10,16,5,7,8,82,0,0,0,29,12,32,41,52,40,208,0,5,11,18,8,3,10,0,0,53,0,3,26,80,41,15,3,0,0,180,0,5,0,10,5,5,8,4,0,31,0,24,84,298,118,103,95,41,11,764,0,0,0,0,0,0,3,3,5,21,0,0,8,19,5,11,9,0,0,59,0,0,10,5,5,3,0,0,0,28,4,0,19,26,0,3,0,0,0,51,0,3,4,9,11,0,15,9,9,63,4,25,32,116,97,70,48,21,5,423,0,0,0,0,0,5,4,0,0,11,0,0,33,55,10,5,5,0,0,102,0,0,0,0,7,5,0,0,0,15,0,9,15,94,21,11,13,0,0,163,0,0,3,12,11,13,24,13,8,84,0,0,0,0,0,0,0,0,0,6,0,6,3,25,21,28,10,18,5,110
SED21805,0,0,4,3,6,4,0,0,0,19,0,0,3,59,15,34,14,16,3,149,0,4,5,19,16,36,48,36,16,184,0,0,0,5,0,0,0,0,0,10,0,0,0,7,4,4,0,0,0,20,0,0,0,15,13,8,7,4,0,51,0,3,7,34,16,17,16,7,0,98,0,0,0,0,3,3,21,6,5,39,0,0,8,38,9,27,31,14,3,124,0,0,0,6,0,0,0,0,0,15,0,0,0,18,0,4,0,0,0,18,0,0,0,13,6,16,41,26,32,134,5,50,83,291,176,136,69,25,0,831,0,0,0,3,3,7,3,4,0,22,0,0,3,17,3,7,0,0,0,29,0,0,0,3,8,0,4,0,0,9,7,24,33,101,54,34,22,4,0,281,0,0,3,11,21,18,28,9,0,88,0,0,3,9,8,9,0,0,0,26,0,3,6,53,43,57,55,29,13,263
SED21906,0,0,0,0,0,0,5,5,0,14,0,0,11,217,19,25,9,5,0,288,0,5,4,84,18,22,31,23,22,204,9,24,7,45,21,9,5,0,0,114,0,0,6,37,5,4,3,0,0,56,0,0,0,3,6,9,7,0,0,25,0,6,23,96,30,22,15,7,3,207,0,0,0,0,6,0,5,0,0,14,0,0,3,29,0,4,0,3,0,49,0,0,0,0,0,0,0,0,0,3,0,0,71,103,3,0,0,0,0,174,0,4,0,23,4,4,12,11,4,52,6,10,36,243,96,79,46,12,0,532,0,0,0,0,0,3,0,0,0,13,0,0,7,40,0,4,0,0,0,57,0,0,0,4,4,3,0,0,0,7,0,8,11,97,15,8,10,3,0,151,0,6,0,28,4,29,127,60,73,325,0,0,0,0,0,0,0,0,0,0,0,0,5,44,20,19,25,9,0,128
SED22005,0,0,6,19,4,6,3,0,0,40,0,12,0,38,11,7,13,7,4,95,0,5,6,40,17,28,103,164,95,450,0,17,17,24,14,3,8,0,0,79,0,20,18,171,29,22,8,4,0,271,0,0,3,17,16,19,20,14,0,94,4,26,124,484,63,57,43,15,3,817,0,0,0,3,0,3,13,24,9,41,0,0,10,57,22,37,37,39,9,212,0,4,19,141,47,17,11,7,3,244,0,0,89,127,6,0,0,0,0,235,0,0,0,6,4,5,6,14,3,48,4,25,57,158,61,58,23,7,0,398,0,0,0,0,5,0,6,0,5,24,4,11,36,128,13,6,14,0,0,213,0,0,0,0,3,0,0,0,0,3,9,24,45,213,91,54,58,7,9,492,0,0,4,21,18,19,30,11,3,107,0,0,0,0,3,5,5,0,0,18,0,0,0,17,17,17,15,10,10,84
SED22105,0,12,10,30,13,15,5,3,5,86,0,22,6,25,7,13,9,10,6,109,0,5,0,17,5,36,44,48,18,185,0,0,5,12,6,0,0,0,0,26,0,0,7,27,19,3,0,0,0,62,0,3,8,24,19,23,7,0,0,88,0,22,48,96,40,32,18,5,0,248,0,0,0,5,0,10,15,18,4,55,0,6,42,202,87,88,77,24,12,544,0,0,0,28,8,5,3,0,0,45,0,7,30,163,20,7,0,0,0,236,0,0,0,13,11,14,45,49,17,150,31,251,307,592,220,150,72,27,11,1648,0,0,4,29,16,19,12,0,0,84,8,122,159,321,65,44,8,4,0,730,0,0,0,5,4,0,0,0,0,7,5,91,235,587,301,118,32,10,0,1376,0,0,5,22,13,21,20,4,0,98,0,19,56,100,78,75,32,8,0,366,0,0,5,29,30,64,48,27,14,223
SED22201,0,0,0,0,3,3,0,0,0,9,0,0,0,17,15,4,24,13,4,79,0,0,4,14,9,18,45,23,21,141,0,3,3,0,7,0,0,0,0,17,0,4,15,30,12,3,0,5,0,62,0,0,0,3,3,3,4,4,4,27,11,62,24,67,36,23,20,6,6,261,0,0,0,0,4,0,4,10,3,24,0,0,0,16,7,4,5,0,0,29,0,38,138,371,97,30,18,3,0,702,0,0,3,24,3,0,0,0,0,34,0,0,0,8,8,16,58,59,22,165,3,20,22,104,73,72,38,14,3,345,0,0,0,3,0,3,4,0,0,8,0,0,5,19,4,0,4,0,0,38,0,0,0,0,8,7,5,0,0,16,0,3,13,53,19,11,11,5,0,107,0,0,0,11,3,9,9,7,0,38,0,0,0,0,0,0,0,0,0,0,0,5,7,16,18,41,48,34,14,170
SED22305,0,11,14,46,28,28,11,4,0,136,0,4,0,11,6,12,13,6,0,48,0,0,3,30,6,46,110,125,64,384,0,4,0,5,4,0,0,0,0,19,0,0,12,32,23,16,0,5,0,83,6,4,10,41,38,50,47,31,6,222,4,36,55,210,40,39,30,9,3,434,0,0,0,0,0,6,17,11,6,37,0,0,12,67,26,61,74,41,20,304,0,0,7,56,21,15,4,0,0,105,0,0,14,42,5,0,0,0,0,60,0,0,6,0,3,8,27,39,20,110,7,70,87,193,66,67,34,9,4,536,0,0,8,130,106,101,69,41,9,458,34,203,183,607,93,44,19,0,0,1180,0,0,6,4,0,0,0,0,0,11,3,39,57,209,79,65,19,5,0,483,0,0,3,32,25,42,59,21,16,204,0,5,9,26,16,29,15,3,0,109,0,0,0,4,9,23,21,27,9,99
SED22404,0,0,0,0,0,0,0,0,0,4,0,3,0,10,7,7,13,12,8,69,0,0,0,10,0,21,47,33,9,124,0,5,0,3,8,0,0,3,0,14,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,3,0,9,13,12,6,0,0,44,0,0,0,0,0,9,11,8,0,27,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,13,15,32,72,59,18,210,0,5,12,75,85,101,81,26,7,386,0,0,0,0,3,7,7,0,0,18,0,0,0,9,0,0,0,0,0,12,0,0,0,4,5,4,0,0,0,12,0,6,7,16,0,4,0,0,0,32,0,0,0,11,3,3,7,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,41,43,13,11,140
SED22501,0,0,0,9,3,3,3,0,0,13,0,3,3,32,25,21,15,11,8,119,0,0,0,13,24,61,169,77,26,370,0,3,3,0,6,4,0,0,0,13,0,0,5,12,7,0,3,6,0,30,0,0,0,3,4,6,4,6,0,24,0,7,8,39,12,21,38,7,0,138,0,0,0,0,5,14,28,15,4,54,0,0,0,3,0,14,10,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,8,16,9,20,26,6,93,6,19,27,99,64,68,32,15,0,332,0,0,0,4,13,19,17,8,0,69,0,0,0,8,9,0,0,0,0,15,0,0,0,0,3,3,0,0,0,12,0,0,3,21,7,0,12,0,0,41,0,0,0,11,8,5,6,3,0,33,0,0,0,0,0,0,0,0,0,0,0,3,7,26,30,39,44,28,0,179
SED22607,0,0,0,24,18,13,3,0,0,56,0,3,6,68,17,18,13,6,4,141,0,3,9,77,33,128,202,195,112,759,0,5,4,28,16,5,3,0,0,63,0,3,10,52,6,0,0,0,0,72,0,0,0,14,12,27,15,12,0,78,0,6,21,125,36,14,19,5,0,231,0,0,0,0,8,20,27,21,13,97,0,0,0,27,0,4,4,6,0,44,0,0,0,7,5,3,4,0,0,16,0,0,188,166,3,0,0,0,0,361,0,3,0,16,7,13,20,7,6,74,3,17,39,230,117,54,31,10,0,507,0,0,0,10,10,11,7,4,0,37,0,4,10,50,3,4,6,0,0,76,0,0,0,3,0,7,0,3,0,16,0,19,15,111,19,9,7,0,0,185,0,0,0,18,3,16,16,4,5,56,0,0,0,0,0,0,0,0,0,5,0,4,0,28,26,29,24,9,0,119
SED22704,0,0,0,3,3,0,0,0,0,4,0,5,3,28,10,14,20,9,4,97,0,0,0,5,7,26,50,53,14,158,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,0,0,8,4,3,6,0,0,23,0,6,3,11,11,15,0,0,0,44,0,0,0,0,10,7,25,15,3,54,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,17,0,0,0,0,0,28,0,0,0,5,12,18,58,34,8,136,0,14,14,54,66,75,85,28,5,341,0,0,0,3,0,3,9,5,0,20,4,0,0,15,0,0,0,0,0,20,0,0,0,6,8,5,0,0,0,21,0,18,17,45,13,3,0,0,0,96,0,0,0,4,0,3,7,5,4,18,0,0,0,3,5,0,0,0,0,4,0,0,0,5,8,29,32,19,7,116
SED22802,0,0,0,0,0,0,3,0,0,5,0,8,0,20,7,9,16,12,0,74,0,0,0,8,8,31,88,85,43,264,0,0,3,0,0,0,0,0,0,7,0,0,4,8,8,0,0,0,0,18,0,0,0,6,3,4,4,7,0,24,4,17,9,21,5,9,7,5,0,76,0,0,0,0,0,8,8,3,0,20,0,0,0,10,0,7,4,0,0,18,0,8,59,131,35,14,8,0,0,258,0,0,5,10,3,0,0,0,0,20,0,4,3,8,16,25,74,69,18,229,0,15,23,96,81,54,36,11,4,322,0,0,0,6,5,6,4,0,0,16,0,0,0,17,0,0,0,0,0,21,0,0,0,0,6,3,0,0,0,21,0,3,16,38,23,17,5,0,0,102,0,0,0,6,7,17,13,4,0,50,0,0,0,0,0,0,0,0,0,6,0,0,3,12,21,43,49,30,10,168
SED22901,0,0,0,10,3,3,3,0,0,21,0,0,0,17,11,7,13,14,7,74,0,0,0,10,14,26,73,35,16,181,0,0,10,0,4,0,0,0,0,21,0,5,22,59,48,15,3,0,0,155,0,0,0,3,9,3,8,4,0,29,0,47,95,299,139,148,137,54,5,926,0,0,0,0,0,3,11,4,0,25,0,0,0,6,0,10,7,3,0,33,0,0,13,17,11,0,0,0,0,40,0,5,7,17,6,4,0,0,0,37,0,0,3,6,0,10,53,39,23,136,3,29,59,91,64,56,37,19,3,365,0,0,0,0,4,0,7,3,0,11,0,0,12,48,5,7,3,0,0,81,0,0,0,0,5,5,0,0,0,9,0,11,25,73,49,18,25,6,0,209,0,0,0,17,3,13,20,0,5,54,0,0,0,0,3,0,0,0,0,3,0,0,3,15,13,20,36,20,7,117
SED23007,0,0,3,31,10,9,3,0,0,55,0,7,4,55,20,10,7,5,0,101,0,0,6,58,15,55,73,124,74,409,6,5,5,32,6,3,0,0,0,49,3,3,3,59,12,3,4,0,0,88,0,0,0,16,12,15,11,0,0,62,5,33,40,303,57,30,28,8,0,509,0,0,0,10,5,33,136,96,37,317,0,0,4,43,4,12,6,0,0,74,0,15,47,164,22,13,7,0,0,267,0,6,133,245,6,3,0,0,0,395,0,0,4,16,7,12,8,8,4,50,4,25,67,403,117,53,27,10,0,705,0,0,3,35,27,54,105,48,13,275,4,13,49,296,23,7,0,0,0,391,0,0,4,8,10,0,0,0,0,29,3,37,47,346,89,77,64,17,5,680,0,0,3,34,23,24,30,14,4,133,0,0,5,14,14,5,7,0,0,45,0,0,4,32,15,24,18,10,6,102
SED23101,0,4,0,3,3,0,3,0,0,16,0,0,3,11,3,10,7,11,0,48,0,3,7,12,8,28,80,78,53,273,4,6,8,11,13,3,9,0,0,43,0,9,24,72,46,25,10,7,0,193,0,0,0,5,11,15,0,0,3,33,4,35,122,351,187,158,150,70,16,1090,0,0,0,0,0,8,4,7,5,27,0,0,7,25,5,3,12,6,0,57,0,0,0,11,0,6,0,4,4,22,0,0,3,35,8,0,0,0,0,45,0,0,0,3,8,3,12,16,17,66,9,28,41,81,57,59,28,22,5,331,0,0,0,0,3,0,3,7,0,7,0,16,22,98,10,10,4,0,0,160,0,0,0,5,4,0,0,0,0,10,0,18,11,76,29,23,13,5,0,178,0,0,0,6,9,10,26,6,8,64,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,12,19,28,11,93
SED23205,0,0,0,5,4,0,0,0,0,10,0,14,0,33,21,13,22,15,3,123,0,0,0,15,12,26,30,42,13,152,0,3,5,0,6,0,0,0,0,17,0,0,8,15,3,0,0,0,0,24,0,0,0,6,6,7,3,3,0,33,0,3,4,26,19,9,8,3,0,78,0,0,0,0,0,0,7,9,6,26,0,0,3,14,7,6,14,0,0,50,0,0,0,8,0,0,0,0,0,4,0,4,0,24,0,0,0,0,0,28,0,0,4,0,7,11,47,36,17,120,0,38,67,239,139,101,78,20,7,691,0,0,0,6,5,0,0,0,0,15,0,0,0,14,3,4,0,0,0,22,0,0,3,8,3,4,0,0,0,22,5,14,21,55,12,12,3,0,0,120,0,0,0,12,14,24,24,10,0,90,0,0,0,9,4,0,0,0,0,17,0,3,15,28,39,62,46,59,12,270
SED23308,0,6,3,9,7,0,0,0,0,23,0,8,6,41,15,18,6,6,5,105,0,0,3,24,6,24,65,73,46,241,0,0,0,10,4,0,0,0,0,14,0,0,4,24,3,0,0,0,0,35,0,0,0,3,0,3,0,3,0,15,0,5,21,50,14,4,0,3,0,105,0,0,0,0,0,4,10,3,0,24,0,0,4,6,4,0,0,0,0,14,0,0,0,9,0,0,0,0,0,14,0,0,8,74,3,0,0,0,0,84,0,0,0,4,3,12,43,43,14,136,0,9,27,120,73,59,28,9,0,327,0,0,0,4,0,12,5,7,0,37,4,8,12,99,9,0,0,0,0,130,0,0,0,0,7,0,0,0,0,18,3,10,19,79,20,0,6,0,0,136,0,0,0,3,6,0,12,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,21,25,35,44,20,10,157
SED23402,0,0,5,8,5,6,0,0,0,26,0,5,0,30,18,22,13,8,3,105,0,5,3,19,15,41,59,51,18,207,0,0,4,6,5,0,0,0,0,14,0,0,4,23,10,0,0,0,0,44,0,0,0,14,6,4,3,0,0,26,0,26,17,37,25,11,12,0,0,125,0,0,0,0,4,7,14,7,5,42,0,0,8,57,21,45,21,6,3,161,0,0,5,34,8,0,0,0,0,53,0,0,0,28,4,0,0,0,0,28,0,0,9,11,5,22,94,60,17,219,6,74,72,215,129,110,54,26,9,685,0,0,0,7,3,3,3,0,0,23,3,33,16,133,20,17,7,0,0,228,0,0,0,6,5,8,0,0,0,21,3,20,50,122,73,20,9,0,0,299,0,0,0,12,22,12,14,0,0,67,0,4,7,12,7,0,3,0,0,39,0,10,9,37,42,68,66,44,13,278
SED23502,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,9,12,14,0,43,0,0,0,4,0,16,27,30,15,94,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,29,8,0,4,0,0,49,0,0,0,0,3,3,22,11,0,35,0,0,0,0,0,0,10,0,0,17,0,0,0,5,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,10,0,0,5,4,5,24,100,62,16,205,0,9,10,61,53,66,80,33,0,322,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,16,0,0,3,0,5,0,0,0,0,8,5,13,15,61,22,0,6,0,0,119,0,0,0,4,0,0,10,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,27,47,34,3,140
SED23602,0,3,0,8,0,0,0,0,0,16,0,9,0,11,10,11,17,8,5,69,0,0,5,7,3,15,60,41,15,144,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,10,0,0,0,0,6,4,0,0,0,7,0,0,9,36,7,8,7,4,0,64,0,0,0,0,0,8,11,3,0,24,0,0,0,3,4,0,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,10,0,0,3,11,15,28,87,69,17,224,5,17,13,92,61,81,71,28,7,371,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,0,0,3,6,0,0,0,15,0,6,16,35,10,8,0,0,0,79,0,0,0,4,0,7,5,6,0,22,0,0,0,4,0,0,0,0,0,4,0,3,0,15,13,20,34,28,8,116
SED23702,0,0,0,3,0,0,0,0,0,6,0,7,9,26,24,11,24,14,5,120,0,0,0,9,10,17,57,36,17,148,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,0,0,26,0,0,0,9,15,6,8,0,0,41,0,0,0,0,3,5,10,6,0,36,0,0,0,10,3,8,3,7,0,34,0,0,0,8,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,8,4,4,8,21,82,62,18,190,3,19,33,125,105,111,75,26,5,508,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,13,0,0,0,6,10,7,0,0,0,20,0,8,19,55,18,5,5,0,0,106,0,0,0,9,0,11,13,10,6,44,0,0,0,6,0,6,0,0,0,9,0,10,15,37,51,70,68,53,15,312
SED23806,0,4,0,16,0,0,0,0,0,17,0,5,3,37,16,19,12,6,0,87,0,4,0,33,11,22,55,36,39,205,4,9,0,13,5,3,6,0,0,41,0,10,9,54,8,5,3,0,0,90,0,0,0,0,0,6,0,0,0,16,0,7,51,169,77,75,77,28,8,498,0,0,0,0,0,4,9,0,0,12,0,0,4,17,3,0,3,0,0,32,0,0,4,4,0,4,0,0,0,13,0,0,28,45,0,0,0,0,0,73,0,0,3,15,10,12,15,8,4,70,0,18,57,221,76,73,52,18,8,521,0,0,0,0,0,0,6,0,0,16,0,3,13,50,0,3,4,0,0,81,0,0,3,5,3,0,0,0,0,15,0,0,8,47,6,3,4,0,0,76,0,0,0,8,6,0,15,10,3,46,0,0,0,0,0,0,0,0,0,0,0,0,6,24,21,18,29,18,9,132
SED23901,0,0,0,9,6,6,5,0,0,28,0,6,3,43,30,17,8,9,0,113,0,0,3,41,32,73,180,147,118,586,0,6,4,16,13,5,7,0,0,51,0,0,8,33,10,4,0,0,0,55,0,0,0,19,22,37,32,19,0,128,0,15,24,117,40,52,39,23,0,320,0,0,0,0,3,11,16,11,3,40,0,0,0,8,0,9,3,4,0,28,0,0,6,4,0,3,0,0,0,13,0,0,29,37,3,0,0,0,0,69,0,3,4,8,14,0,13,7,6,60,0,16,36,171,100,80,30,19,5,445,0,0,0,12,12,19,25,17,0,96,0,4,9,44,7,4,4,0,0,71,0,0,0,8,6,0,0,0,0,15,0,15,11,89,26,14,9,0,0,160,0,0,0,13,0,16,13,3,3,52,0,0,0,0,0,0,0,0,0,5,0,6,8,44,17,18,27,17,11,137
SED24006,0,0,0,3,3,3,0,0,0,16,3,3,6,35,11,10,14,3,3,88,0,3,0,23,17,46,100,91,58,350,0,4,11,12,5,7,0,6,0,44,0,10,22,33,26,15,5,0,0,110,0,0,0,4,7,7,7,7,0,38,0,30,88,180,174,140,146,69,14,837,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,8,4,0,4,24,0,0,0,3,0,3,0,0,0,7,0,0,10,14,0,0,3,0,0,30,0,3,6,9,8,3,13,12,3,54,4,28,49,127,72,68,35,25,8,416,0,0,5,4,4,6,12,0,0,33,0,8,13,33,6,13,8,0,0,78,0,0,0,0,11,9,3,0,0,26,0,7,14,29,16,4,3,0,0,78,0,0,0,7,0,12,4,10,3,43,0,0,0,0,0,0,0,0,0,0,0,0,3,13,8,18,21,12,4,71
SED24105,0,4,5,12,8,14,3,3,0,39,0,5,0,21,10,9,11,11,3,66,0,6,0,18,15,37,74,68,42,262,0,0,7,10,4,8,4,0,0,28,6,4,7,43,11,8,0,0,0,85,0,0,4,6,31,19,11,9,0,82,9,60,104,550,69,41,40,12,0,882,0,0,0,0,3,0,16,29,3,62,0,4,7,65,29,53,62,46,9,269,0,5,15,118,45,18,4,3,4,215,0,0,5,38,0,0,0,0,0,52,0,0,0,3,0,5,11,19,0,48,0,66,114,194,66,38,30,15,3,526,0,0,0,7,10,9,12,0,0,49,0,21,48,126,28,10,5,3,0,247,0,0,0,0,4,0,0,0,0,0,5,24,60,216,92,58,24,6,0,490,0,0,0,6,13,17,38,10,5,99,0,5,3,18,14,7,3,0,0,53,0,0,4,12,12,19,22,22,6,90
