SED_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SED10011,0,0,0,0,0,7,12,10,4,41,0,0,0,0,0,8,4,6,0,17,0,0,0,0,0,0,0,0,0,11,0,0,4,14,0,0,0,0,0,21,0,0,0,15,21,15,45,32,13,149,0,3,17,111,116,160,96,58,17,585,0,0,0,0,0,0,0,0,0,5,0,0,0,4,5,0,4,0,0,12,0,0,0,3,12,15,10,0,0,43,0,13,13,97,44,39,30,10,0,239,0,0,0,23,16,21,30,5,5,112,0,0,0,0,5,0,3,0,0,6,0,11,7,22,26,55,72,35,15,238,0,5,4,5,8,6,8,0,0,34,0,6,12,36,46,30,25,11,5,167,0,0,0,14,3,8,6,0,0,37,0,0,0,7,0,0,0,0,0,16,0,0,0,64,20,19,3,0,0,117,0,0,0,4,0,0,0,0,0,11,3,15,9,67,39,56,50,27,9,274
SED10012,0,0,0,3,0,20,34,25,14,85,0,0,0,9,0,9,13,5,0,41,0,0,0,8,11,14,5,0,0,35,0,0,4,7,0,0,0,0,0,16,0,0,0,0,0,3,0,6,3,10,4,56,104,201,40,42,16,3,0,460,0,0,0,11,17,35,55,24,4,150,0,0,6,16,3,5,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,13,30,161,58,89,113,20,9,498,0,0,0,9,10,17,31,17,18,99,0,12,35,76,64,52,17,4,5,265,0,0,0,0,0,4,14,5,3,28,0,4,0,5,5,3,0,3,0,24,0,0,0,6,6,3,5,3,0,18,0,0,0,6,3,9,10,5,0,31,0,0,4,19,8,5,10,0,0,41,0,10,32,275,73,57,45,3,0,489,0,10,6,14,14,20,16,13,0,100,0,8,11,10,3,0,0,0,0,31
SED10013,0,0,0,14,13,43,107,67,14,263,0,0,8,32,11,27,24,6,0,111,0,0,0,10,0,6,0,0,0,18,0,5,18,458,16,18,4,0,0,524,0,0,0,10,13,13,31,13,3,82,0,71,121,374,156,121,57,17,7,919,0,0,0,24,23,23,14,8,0,97,5,39,45,212,43,16,9,0,0,376,0,0,0,9,18,8,0,0,0,33,0,31,68,462,159,131,64,9,5,929,0,0,3,39,27,13,22,9,8,124,0,7,24,47,40,34,23,4,0,179,0,3,7,47,30,64,45,36,10,239,0,8,5,17,11,8,11,0,0,57,8,13,33,120,74,36,23,11,0,318,0,3,10,65,30,23,16,4,3,153,0,0,3,41,13,5,4,0,0,67,0,4,10,143,45,15,10,0,0,246,0,0,0,35,19,11,3,0,0,67,4,14,22,48,11,10,9,6,3,127
SED10014,0,0,0,3,3,11,25,12,3,58,0,0,0,19,5,30,19,15,3,94,0,0,0,12,9,5,4,7,0,39,3,12,22,221,15,13,7,0,0,296,0,0,3,3,0,9,25,8,7,51,10,59,178,441,170,128,71,23,3,1083,0,0,0,11,12,9,18,7,0,57,0,33,22,156,37,17,9,0,0,277,0,0,0,3,10,13,3,0,0,37,9,25,76,434,218,248,147,53,16,1227,0,0,7,22,18,19,31,12,3,119,0,24,46,104,109,91,41,21,0,443,0,0,0,13,16,63,62,42,3,200,0,0,0,15,5,3,9,3,0,31,0,5,9,67,52,38,55,16,3,246,7,18,22,69,24,20,13,12,0,196,0,0,0,14,0,8,0,0,0,31,0,8,15,139,48,36,16,0,0,266,0,0,0,9,3,0,3,5,0,19,0,4,11,37,15,11,9,0,0,95
SED10015,0,0,0,0,3,6,23,23,11,58,0,0,0,12,9,11,14,6,6,66,0,0,6,21,17,17,0,0,0,73,0,23,360,839,33,27,0,0,0,1284,0,0,0,8,6,5,0,4,0,22,3,9,48,170,98,66,41,9,0,444,0,0,0,20,15,23,27,17,9,107,0,7,12,104,21,13,8,0,0,164,0,0,0,0,8,0,3,9,3,23,0,28,75,520,157,190,89,24,12,1100,0,0,0,32,11,6,16,5,3,67,0,0,0,7,5,5,9,0,0,30,0,0,0,8,5,8,17,6,5,51,0,0,8,38,14,17,10,3,0,95,0,0,10,29,22,11,0,5,0,87,0,4,0,31,4,12,13,3,6,70,0,0,4,56,18,12,3,0,3,96,0,12,18,261,80,45,21,4,0,439,0,5,5,22,26,18,17,6,3,111,0,7,14,47,10,7,0,6,0,100
SED10016,0,0,0,8,8,12,60,33,4,133,0,0,0,11,5,10,22,6,0,61,0,0,5,25,11,5,13,0,0,53,0,9,15,159,15,12,3,0,0,211,0,0,5,9,8,10,22,19,3,87,7,54,100,172,97,109,59,20,3,619,0,0,5,3,0,3,5,0,0,13,4,86,44,291,71,43,21,8,0,562,0,0,0,0,7,6,10,3,0,25,0,35,72,478,264,256,172,28,13,1321,0,0,3,27,20,36,28,8,0,132,0,0,0,0,3,5,0,0,0,9,0,4,6,24,27,19,22,17,4,126,0,36,32,43,37,25,24,8,3,218,12,120,141,326,229,132,55,28,8,1060,0,27,51,262,164,150,70,40,9,777,3,10,0,63,38,17,37,5,0,174,0,9,14,92,32,18,8,0,0,171,0,0,0,20,32,17,3,4,0,79,5,49,45,78,25,21,5,4,0,235
SED10017,0,0,0,0,0,5,7,5,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0,0,45,0,0,0,3,6,4,38,21,0,69,0,15,19,102,88,70,67,25,4,387,0,0,0,3,0,0,0,0,0,8,0,7,0,23,5,0,0,0,0,41,0,0,4,4,9,0,4,0,0,27,0,11,28,131,48,48,33,5,0,321,0,0,0,6,0,4,5,0,4,17,0,0,4,3,3,6,3,0,0,16,0,0,3,18,7,29,47,34,13,143,0,0,3,0,0,7,3,0,0,19,0,9,8,41,33,22,14,10,3,138,0,3,6,14,9,9,6,0,0,40,0,0,0,13,0,0,0,0,0,10,0,6,11,66,22,16,3,0,0,129,0,0,0,0,0,4,0,0,0,3,0,0,8,33,10,12,9,4,0,83
SED10018,0,0,0,0,0,0,8,5,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,9,43,0,0,0,0,0,59,0,0,3,10,6,9,16,26,3,69,0,15,29,92,86,46,41,26,3,351,0,0,0,5,10,22,51,22,13,118,0,9,0,12,0,0,0,0,0,24,0,0,0,6,14,4,0,0,0,29,0,5,11,76,26,37,31,4,5,197,0,0,0,4,10,5,15,13,3,49,0,0,0,0,3,3,4,0,0,11,0,6,8,23,26,23,28,46,12,167,0,0,5,4,4,3,3,0,0,15,0,13,18,62,23,28,16,9,0,178,0,0,0,14,4,3,0,7,0,21,0,4,0,18,4,0,0,0,0,26,0,3,11,44,21,6,5,0,0,90,0,0,0,4,0,6,0,0,0,9,6,19,14,65,21,21,13,3,5,163
SED10019,0,0,0,0,0,0,7,0,0,14,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,16,0,0,0,0,0,19,0,0,0,10,11,15,36,26,5,105,6,7,12,68,77,106,92,46,14,427,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,11,12,13,11,0,0,52,4,20,7,120,49,66,36,3,0,304,0,0,0,7,0,6,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,18,31,20,7,100,0,0,0,4,9,0,3,0,0,17,0,8,3,21,17,10,9,11,0,79,0,0,0,3,5,3,7,0,0,13,0,0,0,13,3,6,0,0,0,23,0,6,0,30,28,13,0,0,0,77,0,0,0,0,0,0,0,0,0,3,0,7,3,25,17,15,24,5,0,102
SED10020,0,0,0,0,0,5,15,4,0,21,0,0,3,0,0,0,0,0,0,3,0,14,44,133,24,16,7,6,0,238,0,0,5,40,0,0,0,0,0,42,0,0,0,14,9,21,36,32,14,123,0,18,32,120,105,135,119,69,15,607,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,18,0,0,5,14,18,18,10,0,6,61,0,10,13,120,52,69,32,12,0,306,0,0,0,6,8,3,9,0,0,34,0,0,4,0,7,0,3,0,0,14,0,0,13,14,17,24,37,34,12,143,0,3,0,5,0,4,0,0,0,13,7,6,14,59,49,30,33,13,6,213,0,0,0,11,0,0,4,0,0,21,0,0,0,65,0,5,0,0,0,72,0,20,23,43,31,14,10,4,0,140,5,0,0,0,0,0,3,0,0,6,0,16,16,48,21,11,31,4,0,145
SED10021,0,0,0,4,3,3,15,11,8,44,0,0,4,11,0,5,3,0,0,28,0,0,0,7,0,0,5,0,3,18,0,0,3,17,0,0,0,0,0,25,0,8,4,53,12,3,9,3,8,105,4,11,61,388,169,156,119,49,13,975,0,0,0,9,0,0,5,0,0,19,0,5,0,5,0,0,0,0,0,11,0,0,0,11,15,12,7,0,0,47,0,10,19,194,74,61,39,16,4,411,0,4,5,70,33,18,31,13,20,198,0,0,0,0,0,4,0,0,0,5,0,3,10,142,48,33,26,18,8,292,6,23,21,52,20,22,14,8,0,167,4,15,38,217,162,102,79,62,41,724,0,0,0,16,7,6,9,4,4,49,0,3,0,30,12,8,6,0,0,65,0,5,16,116,30,23,7,0,0,198,0,0,3,20,6,14,0,0,0,54,32,86,55,349,82,44,25,9,5,690
SED10022,0,0,0,0,0,6,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,5,22,0,0,0,0,0,26,0,0,0,4,5,13,33,20,6,69,5,15,12,65,48,64,52,13,3,279,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0,0,0,11,0,0,6,5,5,4,3,0,0,29,0,19,17,85,35,31,26,0,0,220,0,0,0,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,18,23,9,3,64,0,0,0,0,10,0,3,0,0,16,0,7,6,22,21,7,7,5,0,67,0,0,0,11,0,0,0,0,0,17,0,0,0,22,0,0,0,0,0,24,0,0,0,19,13,15,0,0,0,44,0,0,0,0,3,0,0,0,0,4,0,8,7,23,11,6,19,0,0,70
SED10023,0,0,0,3,0,0,23,20,5,52,0,0,0,4,6,8,4,5,0,24,0,0,0,4,0,4,0,0,0,5,0,0,0,7,8,0,0,0,0,17,0,3,0,14,8,13,21,16,6,78,3,13,33,159,121,89,64,35,5,527,0,0,4,14,12,23,10,6,0,57,0,3,0,7,0,0,3,0,0,13,0,0,0,4,11,9,0,0,0,32,5,4,10,82,37,41,34,12,4,223,0,3,0,54,22,13,12,8,6,118,0,0,0,0,0,0,0,0,0,6,0,3,3,21,22,31,40,38,0,168,0,4,10,7,14,10,12,5,0,65,0,4,18,89,54,30,29,14,3,247,0,0,0,6,5,10,3,0,0,26,0,0,0,9,0,10,3,0,0,20,0,6,8,73,37,6,10,0,0,133,0,0,0,3,5,3,4,0,0,18,8,16,22,85,28,24,17,7,4,212
