SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED10018,29,26,58,82,116,246,419,454,353,1777,5,4,13,13,23,35,25,33,31,182,139,151,401,335,327,323,351,375,259,2658,1893,4309,9113,9919,9883,8966,7474,5096,2213,58878
SED10019,33,16,83,111,230,476,918,902,578,3345,3,8,15,25,25,26,36,35,25,197,345,443,1061,1015,928,958,951,772,437,6912,1964,3578,7492,7733,9328,11732,11639,6568,2524,62557
SED10020,29,42,153,248,192,394,601,563,379,2597,3,16,129,100,71,87,63,23,24,522,254,229,685,592,579,579,602,653,524,4703,2015,3587,8771,9266,9815,10574,10180,5718,2320,62242
SED10021,4,10,35,28,39,63,174,308,211,870,0,7,19,28,19,27,35,45,55,237,138,213,1143,731,482,364,427,493,673,4663,1220,4259,18078,13540,10807,8033,5870,3692,1960,67462
SED10022,23,22,75,121,210,466,1009,805,524,3252,0,7,24,20,31,37,42,38,18,213,292,377,828,836,816,888,913,731,325,6000,1914,3365,7261,7463,8650,10266,9921,5925,2266,57031
SED10023,6,0,15,25,45,102,256,285,231,964,0,4,10,12,16,27,33,35,24,166,117,115,395,349,328,287,301,252,245,2385,1913,4520,9112,9963,11033,10137,8050,4462,2096,61293
SED10024,0,6,16,21,37,70,182,212,159,696,0,0,16,32,27,39,57,36,43,266,89,89,145,231,244,234,267,322,273,1901,1843,4464,5368,10373,12674,9745,7742,5820,2489,60515
SED10025,0,6,22,32,60,164,521,811,567,2178,0,8,68,36,46,68,136,195,152,705,95,200,648,498,331,338,395,385,420,3304,1398,4278,12889,12572,10952,9658,7740,4563,2140,66195
SED10026,26,26,80,108,216,464,858,641,378,2795,4,4,23,27,16,43,49,48,15,224,410,459,1339,1144,938,882,791,660,351,6989,2247,4318,11637,9932,9663,10006,8145,4966,1839,62754
SED10027,9,5,74,146,220,529,732,716,452,2877,4,16,71,78,167,271,279,237,129,1250,236,226,621,595,448,445,439,485,547,4044,2315,5154,10340,11233,10590,9936,7239,4253,2226,63284
SED10028,0,5,15,18,50,115,239,214,178,842,0,14,55,57,66,93,93,59,63,497,106,125,360,372,249,274,312,448,567,2806,1878,5216,9443,12921,11782,10865,8236,4872,2862,68076
SED10029,30,99,499,943,1166,1509,1419,990,495,7156,11,103,531,694,1063,1553,1213,817,416,6393,428,426,987,940,866,878,739,564,409,6231,2828,6390,12540,11594,11989,11722,8242,4452,1943,71709
SED10030,16,20,65,83,155,352,540,509,338,2080,5,11,34,31,40,56,39,46,20,277,200,239,555,502,576,595,682,626,414,4385,1824,4169,9079,9903,10173,10669,9324,5860,2420,63421
SED10031,24,16,78,117,175,358,689,588,326,2374,5,7,19,30,30,37,36,42,25,236,251,296,705,670,755,834,827,669,443,5444,2093,3795,8571,9067,10906,11717,10596,5839,1996,64576
SED10032,11,50,340,432,538,673,934,765,370,4106,7,68,423,475,457,508,455,357,179,2936,443,734,2051,1525,916,732,497,380,189,7468,2504,7983,20304,16701,11050,9488,6523,3630,1413,79591
SED10033,20,23,86,70,136,333,594,482,294,2036,0,10,18,16,18,34,52,71,38,256,206,214,464,435,448,449,412,410,266,3293,2540,4911,9674,9108,10975,10086,7510,4153,1388,60345
SED10034,12,3,12,37,53,107,233,332,195,988,4,6,11,32,17,22,20,36,11,164,88,96,238,249,253,237,265,393,463,2279,2028,4356,8646,10680,10841,9481,7485,4336,1810,59661
SED10035,3,23,96,76,113,267,569,659,353,2164,3,36,148,72,85,136,203,218,134,1037,253,903,2274,1069,552,503,419,327,186,6481,2293,12681,35962,20408,11743,8591,5838,3361,1347,102224
SED10036,17,15,134,228,306,512,741,729,417,3099,11,28,119,182,208,312,284,224,103,1469,330,324,773,725,511,472,455,473,419,4483,2818,6128,11797,12620,11861,9951,6500,3579,1525,66796
SED10037,6,3,37,29,75,145,249,268,186,996,0,3,45,52,75,74,84,90,54,482,90,116,252,320,307,221,290,259,176,2019,1914,4718,8261,12239,12589,10397,7799,4582,1549,64038
SED10038,14,17,38,80,108,268,532,640,465,2162,0,7,20,46,46,42,57,77,61,357,259,283,346,368,350,317,393,500,451,3265,2501,5516,9015,10559,10892,10011,8048,5062,2319,63918
SED10039,22,17,70,69,107,280,637,517,354,2070,6,11,10,15,26,38,36,38,29,198,195,267,696,641,532,489,602,544,378,4343,2012,4027,9125,8978,9359,10854,10272,5631,2215,62475
SED10040,11,18,82,102,183,429,996,1078,588,3483,0,33,138,133,150,228,359,322,245,1608,167,440,1050,644,468,479,486,501,551,4789,1865,7895,17289,13195,10758,10599,8036,4701,2503,76824
SED10041,0,0,9,18,45,75,154,142,152,607,0,4,38,63,51,58,56,41,41,349,118,130,290,334,287,252,297,373,484,2555,1880,4640,7945,12848,12514,9953,7719,5491,3240,66213
SED10042,37,21,78,114,161,399,651,552,427,2430,4,5,30,25,34,48,70,32,14,262,154,175,394,392,374,439,591,700,444,3664,2112,4417,8858,8836,9667,10643,10201,6430,2573,63727
SED10043,13,26,274,357,530,861,1174,1004,467,4705,3,31,255,241,332,547,689,536,283,2908,430,508,1369,1108,824,801,643,468,309,6450,2725,6653,15125,13285,10563,10045,7150,4137,1785,71467
SED10044,7,0,24,34,40,107,245,360,243,1066,0,10,28,42,36,50,59,84,72,379,110,145,536,558,348,308,366,452,690,3517,1599,4668,13209,14574,12043,9641,7488,4528,2359,70116
SED10045,24,23,66,135,196,377,649,662,445,2575,4,10,15,24,26,31,36,25,25,188,365,320,650,769,848,1013,936,593,421,5913,2066,3501,7228,8510,10126,12297,10765,5041,2051,61585
SED10046,34,61,270,504,697,1005,1175,727,274,4739,6,58,305,374,521,796,639,390,183,3268,401,528,1179,1131,832,877,582,386,114,6030,3109,7190,14222,13553,12142,11297,6726,3230,1009,72472
SED10047,30,48,184,243,389,761,1117,733,243,3759,6,16,80,119,157,160,185,142,63,927,553,692,1800,1631,1118,810,701,500,228,8031,3438,7612,19431,19767,13369,10621,7984,3951,1060,87226
SED10048,13,26,108,179,322,591,815,529,208,2803,10,21,87,113,147,255,232,153,75,1095,347,362,968,984,683,595,549,459,270,5216,2916,6920,16698,18501,12977,11722,8215,3488,1101,82541
SED10049,42,34,104,108,205,412,679,535,332,2457,0,6,22,28,47,50,45,29,16,242,192,219,574,516,383,400,411,379,238,3318,2603,5466,12938,12036,10983,9928,8172,4332,1491,67950
SED10050,4,5,19,24,29,69,131,183,156,624,0,0,15,30,27,16,28,36,28,185,117,136,526,443,400,302,251,241,158,2573,1534,4052,12134,12687,12755,9691,6347,3804,1558,64567
SED10051,5,3,58,71,130,251,581,732,430,2262,0,11,52,47,44,94,119,170,121,659,163,333,1044,941,775,646,639,616,458,5615,1778,5353,13000,13155,11977,9918,7634,4966,2117,69897
SED10052,11,3,29,42,82,160,434,459,345,1561,3,9,25,29,40,49,86,87,64,383,113,134,369,423,384,292,355,463,476,3016,1841,4284,9348,10877,10854,9596,7886,5338,2610,62632
SED10053,22,13,83,63,145,308,565,556,256,2011,0,3,25,25,24,29,57,62,45,273,224,254,872,709,659,705,578,348,158,4512,1927,4553,12150,11478,12212,11209,7729,3822,1253,66326
SED10054,22,35,186,264,360,666,919,571,211,3231,8,31,109,163,213,261,247,181,79,1287,430,480,1088,998,793,615,583,434,409,5824,3078,6731,13295,13373,11713,10257,6780,2879,1166,69259
SED10055,17,17,67,144,231,447,815,578,220,2536,4,15,59,83,154,210,204,156,86,970,204,248,482,493,438,396,318,191,59,2824,2814,5867,11438,12402,11767,10661,6719,2492,706,64868
SED10056,37,35,129,173,309,602,1174,1123,603,4194,3,11,66,50,73,87,89,101,70,549,411,412,1059,911,1013,1117,1103,867,538,7432,2275,4201,10250,9418,10538,11795,10241,6006,2384,67116
SED10057,23,19,96,136,192,493,944,820,547,3275,0,5,17,12,23,28,32,34,30,177,254,233,501,537,593,817,1089,965,614,5601,1841,2846,6231,6815,8594,11722,13071,7924,3071,62102
SED10058,12,22,70,84,112,232,432,439,357,1750,0,8,17,38,44,45,45,56,36,287,159,350,637,496,500,508,565,452,385,4049,1636,6413,13424,10370,9899,9932,8186,4280,1875,66012
SED10059,3,8,48,62,75,184,325,372,191,1267,0,11,58,36,42,55,87,145,93,531,145,564,1389,828,654,586,523,411,220,5327,1759,8831,22266,13347,10009,7400,4695,2482,951,71744
SED10060,0,3,14,20,21,33,72,93,82,341,0,9,23,18,18,31,30,18,21,168,97,147,658,555,405,427,369,409,263,3342,1044,3932,14649,12763,10408,9153,7707,5105,1805,66583
SED10061,44,47,119,148,233,492,890,848,420,3239,5,24,65,55,51,49,68,55,16,397,710,738,1171,1042,1120,1136,1021,828,390,8150,2688,4799,9206,8456,9493,10779,9244,5786,1980,62421
SED10062,5,5,36,54,135,304,607,632,377,2146,0,7,55,44,67,124,168,156,112,736,157,199,510,459,354,366,379,444,503,3366,1878,5055,9684,10482,10593,10213,7807,4671,2376,62760
SED10063,38,28,95,134,217,454,832,659,448,2912,0,5,28,28,37,38,70,48,24,278,316,320,664,659,634,700,685,634,400,5019,2133,4303,9663,9570,9679,9894,8604,5215,2100,61162
SED10064,49,26,80,109,195,518,1016,824,526,3333,4,5,9,12,28,32,32,46,21,190,373,361,921,884,811,930,929,690,377,6281,1990,3135,7179,7476,9249,12301,12127,6447,2343,62258
SED10065,9,14,117,151,247,377,562,479,258,2203,3,20,133,121,111,228,231,177,113,1145,219,498,1522,1166,631,615,512,363,259,5786,2016,7666,22720,20270,12315,10887,7478,3755,1623,88727
SED10066,27,19,99,120,200,381,634,459,227,2162,3,11,36,52,56,67,73,59,36,391,226,357,880,736,557,465,517,588,475,4810,2298,5929,12683,11802,10353,9104,7695,4234,1577,65665
SED10067,10,7,6,24,25,74,147,227,191,713,3,0,9,12,23,22,13,31,28,139,154,132,265,318,356,347,409,566,585,3136,1689,3737,6135,8443,10878,10611,8968,5983,2774,59206
SED10068,20,9,48,77,147,326,779,727,508,2641,0,0,13,12,23,29,31,27,17,157,188,193,361,397,397,575,736,736,504,4087,1932,3491,6741,7870,9613,11602,13022,8478,3236,65985
SED10069,29,24,103,101,178,381,744,570,294,2422,5,11,21,20,28,31,39,28,22,194,191,193,394,391,490,572,742,799,430,4203,2013,3551,6855,7634,9369,11301,11681,7058,2101,61557
SED10070,20,58,236,378,435,697,1172,1113,525,4630,9,46,197,237,308,410,482,396,271,2350,202,264,655,726,545,455,567,457,336,4195,2140,5324,11641,13428,10698,9754,8226,4572,1761,67559
SED10071,17,23,60,93,145,299,542,387,147,1715,4,13,47,65,98,153,131,80,48,645,252,461,1265,1250,672,406,323,198,81,4909,3061,7460,17751,24838,15301,9717,6360,2521,683,87698
SED10072,4,9,62,87,169,390,904,1143,531,3307,9,28,119,109,113,198,277,346,200,1393,221,449,1402,850,640,556,505,565,467,5650,1818,6763,19094,14209,11303,9748,7504,5008,2271,77716
SED10073,4,7,37,86,113,276,543,515,407,1995,8,19,140,105,89,163,155,165,131,970,133,303,970,721,459,496,386,314,227,4011,1858,6945,19092,16721,11283,10720,8210,4427,2301,81551
SED10074,9,14,63,107,178,293,574,521,329,2083,5,16,62,87,89,123,119,112,77,687,160,295,791,645,444,377,395,369,231,3700,1888,5130,12680,14059,10614,8799,7322,4485,1721,66702
SED10075,34,27,82,118,180,504,1031,828,433,3228,5,8,21,25,41,58,93,121,73,451,232,215,514,469,432,448,494,616,406,3833,2630,5274,10601,11015,11171,11025,9270,5702,1994,68688
SED10076,23,20,57,99,171,427,983,769,491,3036,0,0,11,33,29,35,43,49,19,223,293,224,546,531,593,703,791,722,369,4768,1742,3163,7528,7726,8613,11416,12452,7193,2556,62392
SED10077,4,21,109,127,185,312,653,862,487,2777,9,71,255,123,143,188,253,271,230,1535,186,761,1555,805,501,468,437,402,376,5492,1943,11142,23150,14075,11109,10277,7169,4312,2294,85459
SED10078,4,7,38,71,125,317,762,1113,681,3120,0,15,76,66,91,179,254,365,270,1315,104,312,886,532,426,413,416,366,336,3790,1309,5406,16427,12818,10775,8890,6330,4002,2096,68053
SED10079,25,21,71,70,131,367,695,606,357,2344,5,5,6,18,26,32,23,33,17,166,149,162,334,353,385,438,562,620,346,3354,1913,3781,7356,7953,9326,10387,10106,6408,2153,59384
SED10080,5,30,128,89,77,104,141,137,86,802,0,39,243,151,61,66,59,36,32,687,143,740,2315,1330,765,605,512,415,283,7111,1056,7518,28366,17904,10820,8860,6653,3485,1283,85946
SED10081,44,32,135,126,218,472,799,767,408,2994,3,6,35,25,37,50,57,43,16,267,384,344,845,730,696,711,730,676,351,5469,2345,4194,10159,9295,9421,9949,8797,5512,2042,61720
SED10082,8,0,19,36,68,154,361,406,268,1328,3,9,6,16,18,23,25,21,29,145,131,132,291,354,333,379,503,598,563,3284,1878,3717,6639,8974,10305,10377,9869,6320,2610,60699
SED10083,19,11,50,82,149,304,550,464,374,2004,4,12,16,17,30,26,42,29,43,214,200,193,443,452,417,426,541,579,518,3781,1894,4041,8739,9358,9485,9680,8696,5087,2412,59395
SED10084,10,12,56,81,133,290,652,799,559,2601,7,3,7,13,25,33,37,36,27,195,232,231,591,659,627,668,689,780,673,5160,1823,3425,7581,9319,9957,11348,11358,7346,3308,65465
SED10085,37,30,103,132,205,482,808,638,401,2839,13,9,15,22,20,39,27,41,14,201,368,326,765,717,738,770,746,542,249,5227,2429,3989,9257,9283,10331,10847,8694,4593,1626,61044
SED10086,0,0,29,20,23,51,96,129,119,470,0,3,22,12,18,19,24,26,22,147,169,222,983,663,481,386,346,448,458,4160,1262,4045,15745,12017,10360,8160,6940,4483,1988,65004
SED10087,39,49,136,198,226,382,633,607,403,2665,0,15,89,99,66,68,58,35,24,466,358,403,655,596,584,585,606,512,356,4652,2745,5814,11068,9825,9342,9588,7969,4632,1993,62970
SED10088,11,6,35,83,85,177,340,406,230,1367,5,6,27,66,103,90,84,79,70,526,107,148,396,396,388,311,329,360,363,2789,1940,4811,9397,11713,12722,9770,6833,4820,2210,64223
SED10089,27,36,102,128,180,369,574,558,463,2424,4,9,51,61,68,81,62,44,47,424,364,486,646,500,358,400,488,613,620,4478,3023,7584,13026,11067,10069,9117,7776,4918,2491,69064
SED10090,3,7,27,33,58,91,254,293,210,978,0,0,63,52,51,68,93,88,73,494,118,144,483,498,374,275,359,280,250,2788,1501,4390,11418,14443,12472,9438,7712,4204,2149,67727
SED10091,28,20,67,80,128,288,581,425,213,1830,4,3,22,20,32,30,42,34,21,208,226,185,397,482,496,425,518,542,449,3712,2402,4312,9233,9810,10952,10087,9276,5659,1999,63740
SED10092,16,24,109,163,211,505,999,1213,691,3931,7,9,60,70,75,103,203,242,202,972,217,359,801,553,534,502,548,557,441,4520,2239,7478,13582,9955,9956,10466,8384,5539,2497,70086
SED10093,47,22,93,121,213,464,749,662,376,2760,4,10,20,29,34,51,82,74,23,320,267,261,602,558,543,509,621,748,607,4713,2539,4890,10084,9863,10375,9757,8428,5432,2246,63628
SED19494,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,11,7,57,51,72,116,244,426,207,1179,3,12,82,42,34,34,49,77,55,394,102,329,1288,908,669,613,488,364,183,4944,1049,5586,20440,14268,10698,8787,6169,3271,977,71246
SED20207,36,30,76,155,212,376,818,701,359,2763,6,23,87,89,138,152,192,154,70,916,264,346,932,1032,615,442,368,256,138,4401,2147,5598,15412,21392,14177,9588,6743,3072,1096,79230
SED20302,50,45,190,230,244,445,756,896,491,3353,4,24,123,126,148,103,88,83,42,737,289,293,988,847,703,708,862,676,375,5739,2314,5801,17569,17355,12608,11993,11179,5951,1959,86728
SED20401,14,26,70,99,149,203,340,494,346,1740,0,10,48,54,54,73,76,52,25,385,107,140,386,377,333,290,317,378,409,2747,1213,3561,9118,9775,8556,7478,6115,3637,1683,51133
SED20508,22,15,44,49,74,184,501,650,370,1926,3,3,12,18,20,20,22,34,14,154,126,118,244,334,352,492,730,611,360,3369,1326,2879,6397,8039,8771,10126,11356,6073,2092,57063
SED20604,28,27,86,106,127,257,542,667,442,2272,6,4,30,27,54,56,51,22,19,269,230,239,473,496,503,536,585,469,278,3801,1783,3525,8149,8391,8862,9521,8560,4341,1548,54680
SED20704,41,38,136,144,160,288,584,653,419,2459,0,18,57,61,76,64,37,21,12,349,211,198,479,450,490,524,490,442,343,3629,1837,4436,9244,8788,8670,8903,7721,4031,1686,55324
SED20804,26,27,118,153,180,274,617,740,419,2557,6,14,53,66,68,65,52,25,14,370,173,204,538,475,494,525,600,596,517,4120,1308,3234,7754,7595,7934,8532,8100,4643,1885,50986
SED20906,7,12,16,35,58,95,332,623,450,1633,4,8,41,39,42,64,67,89,58,422,98,113,299,310,295,250,247,300,205,2121,1398,3665,7386,9995,10391,7667,5334,3284,1818,50939
SED21001,7,30,52,88,144,150,295,439,377,1578,5,28,92,81,81,86,98,66,78,618,120,313,630,355,338,272,325,382,506,3247,1459,5764,10748,9695,9895,8356,6494,4235,2594,59238
SED21106,5,4,6,27,22,64,120,250,242,733,0,5,11,23,26,32,30,33,27,189,98,99,334,389,388,293,309,302,313,2536,1220,3182,6713,7940,9903,8388,6282,3883,1927,49446
SED21203,35,76,325,599,758,1035,1282,1361,626,6092,4,44,177,289,399,558,531,488,269,2763,332,473,1162,982,681,626,472,365,197,5281,1956,5531,12257,10057,8480,7734,5070,3463,1503,56056
SED21303,4,6,29,45,65,191,513,1080,702,2640,0,10,41,29,46,94,201,296,182,893,59,210,774,442,269,255,261,217,121,2606,982,6186,19604,12831,8817,6516,4459,2848,1476,63705
SED21401,4,7,37,51,66,188,626,1288,858,3123,0,14,55,33,49,115,149,205,163,780,79,99,297,313,271,275,334,400,310,2372,1215,3877,8029,8605,8590,8339,7033,6010,2811,54513
SED21503,18,15,58,76,124,229,593,902,502,2524,0,14,49,54,116,127,132,139,82,714,131,289,447,289,231,252,247,251,187,2327,1409,4639,9135,8248,8093,6815,5645,3616,1477,49072
SED21608,29,50,99,108,127,264,562,627,326,2200,3,10,20,13,30,36,33,20,13,185,249,252,513,429,534,440,571,440,250,3668,1741,3957,8599,8520,8796,8455,7281,3554,1266,52163
SED21706,20,21,29,48,60,119,310,476,367,1440,0,18,53,53,60,76,98,91,54,495,91,285,548,332,273,250,290,245,243,2562,1579,5716,9350,8885,9466,7886,5864,3598,2091,54439
SED21805,23,34,74,99,171,237,446,558,337,1983,8,7,32,27,44,58,53,50,33,314,140,151,442,458,433,355,366,405,257,3011,1423,3668,9539,10445,10026,8793,6641,3498,1359,55374
SED21906,8,9,32,32,46,60,187,269,288,938,6,8,28,32,19,29,39,71,50,273,99,251,685,435,293,238,360,291,279,2921,1053,4546,12315,9919,8289,6841,6483,3205,1751,54406
SED22005,17,22,137,166,270,517,1037,1365,710,4246,8,52,194,172,253,402,462,408,234,2194,132,342,896,478,347,350,407,421,414,3787,1384,6062,14105,10636,8901,7790,6504,4401,2320,62094
SED22105,55,67,339,469,459,542,729,657,317,3629,12,56,374,432,442,346,241,126,49,2070,311,409,1195,997,661,510,412,309,180,4986,2878,8136,21169,22694,14492,10070,6614,3259,1173,90487
SED22201,16,33,132,178,164,164,312,488,343,1831,5,9,91,93,89,75,65,37,29,490,91,107,305,252,233,244,245,292,242,2005,1159,3475,8414,8785,7760,7260,6125,3909,1585,48476
SED22305,43,95,461,686,567,649,885,960,479,4824,13,92,671,798,673,493,326,244,131,3438,268,397,1246,944,682,620,574,439,196,5370,1611,5101,13738,11333,8570,7826,6232,3690,1511,59610
SED22404,33,18,67,76,121,229,411,588,303,1839,7,12,24,16,20,22,27,21,16,152,257,242,439,543,703,773,695,490,212,4350,1444,2852,6178,6857,8610,9896,8559,4203,1315,49918
SED22501,9,9,21,18,35,73,246,402,239,1066,6,6,14,25,28,42,23,24,23,187,66,63,129,183,207,203,251,229,140,1466,1207,3069,5349,7979,8789,8220,6942,3336,1039,45932
SED22607,8,20,63,78,94,215,392,698,480,2050,0,8,81,47,79,89,111,157,130,700,108,218,650,462,409,364,291,235,132,2868,1327,4871,12436,10472,9614,8082,5825,2893,1454,56971
SED22704,44,35,105,107,174,384,848,949,521,3185,10,5,25,25,29,37,37,33,28,222,310,245,616,630,774,962,864,700,369,5469,1593,3257,7028,7076,8877,10558,9813,5338,1941,55479
SED22802,16,22,68,105,125,158,350,486,264,1593,0,20,52,68,55,36,37,43,22,327,104,95,259,241,256,236,225,241,96,1757,1404,3657,8136,8062,8048,7381,5906,3340,955,46886
SED22901,12,10,40,64,107,184,377,492,314,1599,6,5,23,52,42,88,87,62,58,421,86,101,259,252,222,209,276,303,273,1989,1284,3416,7385,8570,7624,7460,6718,3601,1601,47660
SED23007,25,35,169,239,363,630,1012,1102,507,4096,7,31,164,208,265,420,395,297,191,1963,199,411,1376,859,618,517,517,429,336,5255,1498,5951,18980,13841,10011,8140,5945,3311,1453,69150
SED23101,7,12,32,45,97,196,419,762,463,2032,7,9,53,62,76,100,136,141,95,678,58,125,238,239,228,182,284,350,347,2054,1204,3821,6604,8148,8341,7024,6433,4983,2256,48818
SED23205,25,37,87,122,147,244,382,522,341,1910,4,17,29,28,21,35,34,38,23,229,227,234,653,572,573,513,436,473,393,4079,1433,3511,8635,8421,8318,7624,6345,3921,1776,49984
SED23308,30,36,82,91,142,240,483,702,436,2244,8,14,37,36,42,46,55,43,35,307,133,259,528,446,387,421,419,394,279,3262,1320,4600,10648,8712,8321,8117,6742,3832,1688,53967
SED23402,34,23,100,114,140,209,425,528,267,1842,8,8,48,58,34,48,45,44,22,308,232,238,549,550,493,406,367,350,213,3397,1988,5154,12181,12133,10890,9066,6637,3696,1302,63043
SED23502,35,34,102,106,147,328,684,895,410,2749,5,15,10,18,10,26,26,35,12,158,242,218,490,549,631,830,917,704,358,4940,1426,2520,6055,6173,7332,9973,10840,5877,1822,52017
