SA1_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
10102161002,47,3,0,0,0,0,0,52
10102161003,96,6,6,0,0,0,0,115
10102161004,38,9,3,0,0,0,0,46
10102161005,75,6,3,0,0,0,0,85
10102161006,81,4,3,0,0,0,0,86
10102161007,58,0,0,0,0,0,0,61
10102161008,49,4,3,0,0,0,0,59
10102161009,45,4,0,0,0,0,0,49
10102161010,66,3,0,0,0,0,0,72
10102161011,69,10,0,0,0,0,0,80
10102161012,54,7,6,0,0,0,0,71
10102161013,85,9,3,0,0,0,0,99
10102161014,68,10,3,0,0,0,0,86
10102161015,86,5,7,0,0,0,0,97
10102161101,29,4,0,0,0,0,0,32
10102161102,33,6,4,0,0,0,0,37
10102161103,32,0,0,0,0,0,0,31
10102161104,45,9,6,0,0,0,0,58
10102161105,33,5,4,0,0,0,0,44
10102161106,59,6,3,0,0,0,0,68
10102161107,51,4,7,0,0,0,4,57
10102161108,57,3,0,0,0,0,0,65
10102161109,84,11,6,0,0,0,0,95
10102161110,54,0,0,0,0,0,0,59
10102161111,32,0,0,0,0,0,0,35
10102161112,46,3,0,0,0,0,0,57
10102161113,42,5,7,0,0,0,0,49
10102161114,15,0,4,0,0,0,0,22
10102161115,32,3,0,0,0,0,0,38
10102161116,41,6,0,0,0,0,0,48
10102161117,29,0,0,0,0,0,0,39
10102161118,68,0,3,0,0,0,0,78
10102161119,66,15,0,0,0,0,0,94
10102161120,24,4,3,0,0,0,0,27
10102161121,10,3,0,0,0,0,0,15
10102161122,48,3,0,0,0,0,0,52
10102161123,19,0,3,0,0,0,0,21
10102161124,74,8,3,0,0,0,0,88
10102161125,24,4,0,0,0,0,0,26
10102161126,71,11,3,0,0,0,0,79
10102161127,49,5,0,0,0,0,0,56
10102161128,8,3,0,0,0,0,0,10
10102161129,33,3,0,0,0,0,0,36
10102161130,38,4,5,0,0,0,0,43
10102161131,46,4,0,0,0,0,0,64
10102161132,48,4,0,0,0,0,0,55
10102161133,65,3,4,0,0,0,0,67
10102161134,25,0,0,0,0,0,0,25
10102161135,35,7,0,0,0,0,0,40
10102161136,44,8,0,0,0,0,0,55
10102161137,29,0,6,0,0,0,0,37
10102161138,85,7,0,0,0,0,0,91
10102161139,36,7,0,0,0,0,0,41
10102161140,59,6,0,0,0,0,0,66
10102161141,54,5,0,0,0,0,0,59
10102161142,15,3,0,0,0,0,0,22
10102161143,28,3,0,0,0,0,0,31
10102161144,39,13,5,0,0,0,0,53
10102161145,69,6,0,0,0,0,0,84
10102161146,38,8,0,0,0,0,0,49
10103101301,5,0,0,0,0,0,0,7
10103101302,20,6,0,0,0,0,0,32
10103101303,17,5,0,0,0,0,0,26
10103101304,30,3,3,0,0,0,0,38
10103101305,20,3,0,0,0,0,0,26
10103101306,13,3,0,0,0,0,0,15
10103101307,19,4,3,0,0,0,0,26
10103101308,16,3,4,0,0,0,0,25
10103101401,11,3,3,0,0,0,0,19
10103101402,28,4,0,0,0,0,0,38
10103101403,22,0,0,0,0,0,0,28
10103101404,37,3,0,0,0,0,0,42
10103101405,34,0,3,0,0,0,0,35
10103101406,37,10,0,0,0,0,0,47
10103101407,30,10,0,0,0,0,0,42
10103101408,20,3,0,0,0,0,0,27
10103101409,26,4,0,0,0,0,0,37
10103101410,30,3,0,0,0,0,0,38
10103101411,25,9,5,0,0,0,0,32
10103101412,55,4,7,0,0,0,0,67
10103101414,12,3,3,0,0,0,0,20
10103101415,33,4,5,0,0,0,0,41
10103101417,0,0,0,0,0,0,0,0
10103101419,39,8,3,0,0,0,0,50
10103101420,24,4,0,0,0,0,0,29
10103101421,24,8,3,0,0,0,0,38
10103101501,0,0,0,0,0,0,0,0
10103101502,0,0,0,0,0,0,0,0
10103101503,14,6,0,0,0,0,0,22
10103101505,7,0,0,0,0,0,0,11
10103101511,14,3,0,0,0,0,0,14
10103101512,6,0,0,0,0,0,0,6
10103101514,15,3,0,0,0,0,0,17
10103101515,28,3,0,0,0,0,0,32
10103101516,10,6,0,0,0,0,0,8
10103101517,13,0,4,0,0,0,0,21
10103101518,33,0,0,0,0,0,0,41
10103101519,36,7,5,0,0,0,0,42
10103101520,11,0,0,0,0,0,0,13
10103101521,39,3,0,0,0,0,0,49
10103101523,24,0,0,0,0,0,0,25
10103101524,12,3,0,0,0,0,0,14
10103101525,11,0,0,0,0,0,0,12
10103101526,23,5,4,0,0,0,0,34
10103101601,4,0,0,0,0,0,0,4
10103101602,35,6,0,0,0,0,0,43
10103101603,36,0,3,0,0,0,0,44
10103101604,22,3,5,0,0,0,0,32
10103101605,20,0,0,0,0,0,0,20
10103101606,79,11,0,0,0,0,0,95
10103101607,19,4,0,0,0,0,0,32
10103101608,33,0,5,0,0,0,0,37
10103101611,16,0,0,0,0,0,0,16
10103101612,0,0,0,0,0,0,0,0
10103101614,22,6,0,0,0,0,0,21
10103101615,31,10,7,0,0,0,0,41
10103101616,22,0,0,0,0,0,0,28
10103101617,22,3,0,0,0,0,0,26
10103101619,53,5,0,0,0,0,0,58
10103101620,15,0,0,0,0,0,0,15
10103101621,6,0,0,0,0,0,0,9
10103101622,30,4,0,0,0,0,0,28
10103101623,68,10,0,0,0,0,0,80
10103101624,0,0,0,0,0,0,0,0
10103101625,50,0,0,0,0,0,0,53
10103101626,24,0,0,0,0,0,0,27
10103101627,78,3,4,0,0,0,0,89
10104101701,22,10,7,0,0,0,0,34
10104101702,17,3,6,0,0,0,0,30
10104101703,19,7,0,0,0,0,0,27
10104101704,13,6,3,0,0,0,0,21
10104101705,0,6,0,0,0,0,0,3
10104101706,22,0,0,0,0,0,0,26
10104101707,0,0,0,0,0,0,0,0
10104101708,36,4,0,0,0,0,0,37
10104101709,81,6,3,0,0,0,0,101
10104101710,27,4,5,0,0,0,0,35
10104101711,39,5,0,0,0,0,0,47
10104101713,33,0,0,0,0,0,0,36
10104101714,0,0,0,0,0,0,0,0
10104101715,0,0,0,0,0,0,0,0
10104101716,27,4,3,0,0,0,0,33
10104101717,12,4,0,0,0,0,0,21
10104101718,14,0,0,0,0,0,0,17
10104101719,21,6,0,0,0,0,0,35
10104101720,29,3,5,0,0,0,0,32
10104101721,26,7,0,0,0,0,0,26
10104101722,30,4,0,0,0,0,0,40
10104101723,28,7,0,0,0,0,0,33
10104101724,6,0,0,0,0,0,0,6
10104101801,24,0,0,0,0,0,0,20
10104101802,19,3,4,0,0,0,0,27
10104101803,42,6,0,0,0,0,0,49
10104101804,13,0,0,0,0,0,0,13
10104101805,26,0,0,0,0,0,0,29
10104101806,21,7,6,0,0,0,0,30
10104101807,39,0,0,0,0,0,0,46
10104101808,13,9,4,0,0,0,0,29
10104101809,10,4,0,0,0,0,0,15
10104101810,25,0,0,0,0,0,0,26
10104101811,45,5,6,0,0,0,0,54
10104101812,14,4,0,0,0,0,0,19
10104101813,19,3,0,0,0,0,0,25
10104101814,20,6,0,0,0,0,0,24
10104101815,26,4,0,0,0,0,0,33
10104101816,22,6,0,0,0,0,0,21
10104101817,49,5,9,0,0,0,0,67
10104101818,29,7,0,0,0,0,0,34
10104101819,29,3,3,0,0,0,0,32
10104101820,13,7,0,0,0,0,0,18
10104101821,10,0,0,0,0,0,0,16
10104101822,18,6,0,0,0,0,0,21
10104101823,16,3,0,0,0,0,0,18
10104101824,0,0,0,0,0,0,0,0
10104101901,25,4,3,0,0,0,0,37
10104101902,27,5,6,0,0,0,0,42
10104101903,10,0,0,0,0,0,0,12
10104101904,26,6,3,0,0,0,0,38
10104101905,15,5,0,0,0,0,0,20
10104101906,43,4,0,0,0,0,0,51
10104101907,33,8,5,0,0,0,0,40
10104101911,28,3,0,0,0,0,0,27
10104101912,28,4,0,0,0,0,0,34
10104101913,25,0,0,0,0,0,0,27
10104101915,25,4,0,0,0,0,0,28
10104101917,85,13,10,0,0,0,0,104
10104101918,23,0,0,0,0,0,0,28
10104101919,24,6,0,0,0,0,0,28
10104101920,13,0,3,0,0,0,0,23
10104101921,34,5,0,0,0,0,0,43
10104101924,39,10,0,0,0,0,0,49
10104101925,28,5,0,0,0,0,0,33
10104101926,16,0,0,0,0,0,0,19
10104101927,15,0,0,0,0,0,0,18
10104101928,69,3,3,0,0,0,3,77
10104101929,11,3,0,0,0,0,0,23
10104101930,0,0,0,0,0,0,0,0
10104101931,3,0,0,0,0,0,0,3
10104101932,5,0,0,0,0,0,0,7
10104101933,12,0,0,0,0,0,0,10
10104102001,49,0,0,0,0,0,0,53
10104102002,49,5,0,4,0,0,0,57
10104102003,35,8,6,0,0,0,0,54
10104102004,25,0,0,0,0,0,0,27
10104102005,13,3,0,0,0,0,0,18
10104102006,23,4,3,0,0,0,0,32
10104102007,42,5,0,0,0,0,0,55
10104102008,29,7,0,0,0,0,0,37
10104102009,0,0,0,0,0,0,0,0
10104102010,0,0,0,0,0,0,0,0
10104102011,31,0,0,0,0,0,0,32
10104102012,0,0,0,0,0,0,0,0
10104102013,7,0,0,0,0,0,0,7
10104102014,9,5,0,0,0,0,0,11
10104102015,9,0,3,0,0,0,0,16
10104102016,16,4,0,0,0,0,0,21
10104102017,21,0,0,0,0,0,0,28
10104102018,34,3,0,0,0,0,0,37
10104102019,25,0,0,0,0,0,0,20
10104102020,39,5,5,0,0,0,4,47
10104102021,0,0,0,0,0,0,0,0
10104102022,29,4,0,0,0,0,0,32
10104102023,38,3,0,0,0,0,0,41
10104102024,14,0,0,0,0,0,0,16
10104102025,35,8,0,0,0,0,0,38
10104102026,21,4,0,0,0,0,0,23
10104102027,24,0,0,0,0,0,0,24
10104102028,42,7,3,0,0,0,0,51
10104102029,29,4,0,0,0,0,0,30
10104102030,23,9,6,0,0,0,0,36
10104102031,24,4,0,0,0,0,0,23
10104102032,17,0,0,0,0,0,0,20
10104102102,16,7,0,0,0,0,0,24
10104102104,49,10,3,0,0,0,0,58
10104102105,58,4,0,0,0,0,0,65
10104102106,41,3,0,0,0,0,0,41
10104102107,44,7,6,0,0,0,0,56
10104102108,41,8,0,0,0,0,0,50
10104102110,43,0,5,0,0,0,0,53
10104102111,6,0,0,0,0,0,0,4
10104102201,0,0,0,0,0,0,0,0
10104102301,15,8,0,0,0,0,0,23
10104102302,28,3,0,0,0,0,0,36
10104102303,32,3,6,0,0,0,0,44
10104102304,11,7,0,0,0,0,0,15
10104102305,25,4,0,0,0,0,0,35
10104102306,18,4,0,0,0,0,0,24
10104102307,13,5,0,0,0,0,0,18
10104102308,20,10,0,4,0,0,0,29
10104102309,13,3,0,0,0,0,0,20
10104102310,0,0,0,0,0,0,0,0
10104102401,16,4,0,0,0,0,0,28
10104102402,19,4,0,0,0,0,0,28
10104102403,13,0,0,0,0,0,0,18
10104102404,38,5,0,0,0,0,0,45
10104102405,16,5,0,0,0,0,0,21
10104102406,25,5,0,0,0,0,0,23
10104102407,22,7,0,0,0,0,0,31
10104102408,13,3,0,0,0,0,0,22
10104102409,10,0,0,0,0,0,0,10
10104102410,21,0,0,0,0,0,0,20
10104102411,13,5,0,0,0,0,0,16
10104102412,16,0,5,0,0,0,0,21
10104102501,0,0,0,0,0,0,0,0
10104102502,18,5,0,0,0,0,0,20
10104102503,4,0,0,0,0,0,0,5
10104102504,13,0,0,0,0,0,0,14
10104102505,8,3,0,0,0,0,0,7
10104102506,21,0,0,0,0,0,0,27
10104102507,25,0,0,0,0,0,0,25
10104102508,39,11,0,0,0,0,0,46
10104102509,14,3,0,0,0,0,0,19
10104102510,36,8,0,0,0,0,0,44
10104102511,35,8,0,0,0,0,0,44
10104102512,26,0,0,0,0,0,0,32
10104102513,51,10,3,0,0,0,0,59
10104102514,14,5,0,0,0,0,0,21
10104102516,28,5,0,0,0,0,0,29
10104102517,23,5,0,0,0,0,0,34
10104102518,57,6,0,0,0,0,0,68
10104102519,15,0,0,0,0,0,0,16
10104102520,24,16,3,0,0,0,0,42
10104102521,12,7,0,0,0,0,0,13
10104102522,23,5,5,0,0,0,0,31
10104102523,20,0,0,0,0,0,0,20
10104102524,33,5,0,0,0,0,0,38
10104102525,33,0,0,0,0,0,0,41
10104102526,58,5,4,0,0,0,0,69
10104102527,41,12,5,0,0,0,3,58
10104102528,24,8,0,0,0,0,0,39
10104102529,18,3,0,0,0,0,0,24
10104102530,28,0,0,0,0,0,0,34
10104102531,0,0,0,0,0,0,0,0
10104102532,20,4,0,0,0,0,0,29
10104102601,28,3,4,0,0,0,0,37
10104102603,17,4,0,0,0,0,0,23
10104102604,13,0,0,0,0,0,0,10
10104102605,22,7,0,0,0,0,0,29
10104102606,23,0,0,0,0,0,0,25
10104102607,34,6,4,0,0,0,0,45
10104102608,24,0,4,0,0,0,0,26
10104102609,24,0,0,0,0,0,0,31
10104102610,20,4,0,0,0,0,0,23
10104102611,11,6,0,0,0,0,0,14
10104102613,20,0,0,0,0,0,0,20
10104102614,43,8,3,0,0,0,0,52
10104102615,41,6,0,0,0,0,0,51
10104102616,21,7,0,0,0,0,0,28
10104102617,22,5,0,0,0,0,0,28
10104102618,27,0,0,0,0,0,0,32
10104102619,13,8,0,0,0,0,0,25
10104102620,22,11,0,0,0,0,0,29
10104102621,22,3,4,0,0,0,0,28
10104102622,26,0,0,0,0,0,0,28
10104102623,12,0,0,0,0,0,0,15
10104102624,14,0,3,0,0,0,0,19
10104102625,3,5,0,0,0,0,0,5
10104102626,26,8,3,0,0,0,0,33
10104102627,0,0,0,0,0,0,0,0
10104102701,20,3,3,0,0,0,0,20
10104102702,16,0,0,0,0,0,0,19
10104102703,18,3,0,0,0,0,0,14
10104102704,7,0,3,0,0,0,0,12
10104102705,23,0,3,0,0,0,0,24
10104102706,22,4,0,0,0,0,0,31
10104102707,34,5,6,0,0,0,0,39
10104102708,15,3,0,0,0,0,0,20
10104102709,67,5,0,0,0,0,0,69
10104102710,10,6,0,0,0,0,0,16
10104102711,0,0,0,0,0,0,0,0
10104102712,28,3,0,0,0,0,0,33
10104102713,38,4,0,0,0,0,0,44
10104102714,0,0,0,0,0,0,0,0
10104102715,0,0,0,0,0,0,0,0
10104102716,0,0,0,0,0,0,0,0
10104102719,20,3,6,0,0,0,0,26
10104102720,17,0,0,0,0,0,0,21
10104102721,28,10,7,0,0,0,0,41
10104102722,7,3,0,0,0,0,0,9
10104102723,9,3,0,0,0,0,0,17
10104102724,38,0,0,0,0,0,0,38
10104102725,12,0,6,0,0,0,0,20
10104102726,24,0,0,0,0,0,0,21
10104102728,8,4,0,0,0,0,0,11
10104102729,26,3,3,0,0,0,0,36
10104102730,0,0,0,0,0,0,0,4
10104102731,16,0,0,0,0,0,0,22
10104102732,19,8,0,0,0,0,0,32
10104102733,20,5,0,0,0,0,0,26
10105153901,30,4,0,0,0,0,0,37
10105153902,22,0,0,0,0,0,0,28
10105153903,9,5,0,0,0,0,0,19
10105153904,29,0,0,0,0,0,0,36
10105153905,18,6,3,0,0,0,0,24
10105153906,21,3,4,0,0,0,0,32
10105153907,0,0,0,0,0,0,0,0
10105153909,18,3,0,0,0,0,0,17
10105153910,8,0,0,0,0,0,0,12
10105153911,46,9,10,0,0,0,0,53
10105153912,41,8,3,0,0,0,0,56
10105153913,21,0,0,0,0,0,0,20
10105153914,43,4,0,0,0,0,4,53
10105153915,18,0,0,0,0,0,0,22
10105153916,66,12,8,0,0,0,0,84
10105153917,16,0,5,0,0,0,0,23
10105153918,11,5,0,0,0,0,0,19
10105153919,20,7,0,0,0,0,0,30
10105153920,95,11,9,0,0,0,0,116
10105153921,34,10,4,0,0,0,0,51
10105153922,65,7,9,0,0,0,0,80
10105153923,29,5,0,0,0,0,0,38
10105153924,22,7,3,0,0,0,0,34
10105153925,27,3,3,0,0,0,0,40
10105153926,19,9,3,0,0,0,0,27
10105153927,18,6,0,0,0,0,0,23
10105153928,4,0,0,0,0,0,0,10
10105153929,40,11,4,0,0,0,0,59
10105153930,34,4,3,0,0,0,0,48
10105153931,14,3,0,0,0,0,0,24
10105153932,36,3,10,0,0,0,0,47
10105153933,19,0,0,0,0,0,0,23
10105153934,7,0,0,0,0,0,0,11
10105153935,26,0,5,0,0,0,0,37
10105153936,26,0,3,0,0,0,0,32
10105153937,23,8,4,3,0,0,0,38
10105153938,25,8,0,0,0,0,0,25
10105153939,16,5,0,0,0,0,0,28
10105153940,15,6,0,0,0,0,0,21
10105153941,18,3,0,0,0,0,0,23
10105153942,42,3,4,0,0,0,0,43
10105153943,34,4,3,0,0,0,0,39
10105153944,48,9,0,4,0,0,0,58
10105153945,22,0,5,0,0,0,0,25
10105153946,42,0,6,0,0,0,0,50
10105153947,18,6,0,0,0,0,0,26
10105153948,9,0,0,0,0,0,0,13
10105153949,9,0,0,0,0,0,0,6
10105153950,29,4,0,0,0,0,3,36
10105153951,31,3,0,0,0,0,0,37
10105153952,30,0,0,0,0,0,0,38
10105153953,23,0,5,0,0,0,0,32
10105153954,14,9,0,0,0,0,0,31
10105153955,35,5,3,0,0,0,0,37
10105153956,26,5,3,0,0,0,0,31
10105153957,29,4,3,0,0,0,0,42
10105153958,0,0,0,0,0,0,0,0
10105153959,29,0,4,0,0,0,0,34
10105153960,19,6,0,0,0,0,0,20
10105153961,22,9,0,0,0,0,0,23
10105153962,45,3,8,0,0,0,0,57
10105153963,7,3,0,0,0,0,0,12
10105153964,37,3,0,0,0,0,0,39
10105153965,0,0,0,0,0,0,0,0
10105153966,99,18,6,0,0,0,0,126
10105153967,0,0,0,0,0,0,0,0
10105153968,24,3,4,0,0,0,0,30
10105153969,42,6,0,0,0,0,0,51
10105153970,24,4,0,0,0,0,0,28
10105154001,69,12,4,0,0,0,0,88
10105154002,34,3,0,0,0,0,0,38
10105154003,22,0,0,0,0,0,0,22
10105154004,57,5,3,0,0,0,0,66
10105154005,37,0,3,0,0,0,0,53
10105154006,50,6,0,0,0,0,0,56
10105154007,28,0,3,0,0,0,0,35
10105154008,33,6,0,0,0,0,0,36
10105154009,13,0,0,0,0,0,0,13
10105154010,30,3,0,0,0,0,0,38
10105154011,22,3,3,0,0,0,0,33
10105154012,26,8,5,0,0,0,0,36
10105154014,36,3,0,0,0,0,0,42
10105154015,43,5,0,0,0,0,0,46
10105154016,66,4,0,0,0,0,0,70
10105154017,37,5,0,0,0,0,0,40
10105154018,27,7,0,0,0,0,0,33
10105154019,27,4,0,0,0,0,0,33
10105154020,51,3,6,4,0,0,0,64
10105154021,51,4,5,4,0,0,0,68
10105154022,26,3,0,0,0,0,0,30
10105154023,43,4,7,0,0,0,0,52
10105154024,19,6,0,0,0,0,0,23
10105154025,25,3,0,0,0,0,0,28
10105154026,21,0,5,0,0,0,0,29
10105154027,28,14,0,0,0,0,0,38
10105154028,28,0,0,0,0,0,0,33
10105154029,60,4,0,0,0,0,0,66
10105154030,16,0,0,0,0,0,0,22
10105154031,52,9,4,0,0,0,0,60
10105154032,30,4,0,0,0,0,0,34
10105154033,39,9,4,0,0,0,0,50
10105154034,32,0,0,0,0,0,0,35
10105154035,33,8,0,0,0,0,0,43
10106154101,77,12,5,0,0,0,0,91
10106154102,38,7,0,0,0,0,0,46
10106154103,41,13,0,0,0,0,0,54
10106154104,11,0,0,0,0,0,0,14
10106154105,41,8,3,0,0,0,0,51
10106154106,68,9,3,0,0,0,0,71
10106154107,48,11,0,0,0,0,0,59
10106154108,30,5,0,0,0,0,0,40
10106154109,41,8,0,0,0,0,0,52
10106154111,53,14,8,0,0,0,3,75
10106154112,54,5,0,5,0,0,0,70
10106154113,36,10,0,0,0,0,0,48
10106154115,71,6,3,0,0,0,0,81
10106154116,0,0,0,0,0,0,0,0
10106154117,14,0,0,0,0,0,0,19
10106154118,21,3,0,0,0,0,0,23
10106154201,27,0,0,0,0,0,0,29
10106154202,16,0,3,0,0,0,0,21
10106154203,23,4,0,0,0,0,0,30
10106154204,37,0,0,0,0,0,0,35
10106154206,19,0,0,0,0,0,0,21
10106154207,24,3,5,0,0,0,0,26
10106154208,49,4,0,0,0,0,0,56
10106154209,29,8,0,0,0,0,0,42
10106154210,32,10,0,3,0,0,0,41
10106154211,36,4,0,0,0,0,0,43
10106154212,21,3,4,0,0,0,0,29
10106154213,73,5,3,0,0,0,0,86
10106154215,0,0,0,0,0,0,0,0
10106154216,54,4,0,0,0,0,0,58
10106154217,97,12,7,5,0,0,0,124
10106154219,23,4,0,0,0,0,0,27
10106154220,33,3,3,0,0,0,0,38
10106154222,41,4,0,0,0,0,0,44
10106154223,51,3,5,0,0,0,0,62
10106154224,32,0,0,0,0,0,0,37
10106154226,49,4,0,3,0,0,0,51
10106154227,36,6,0,0,0,0,0,38
10106154228,58,4,3,0,0,0,0,69
10106154229,11,0,0,0,0,0,0,11
10106154231,35,0,3,0,0,0,0,38
10106154232,37,0,0,5,0,0,0,39
10106154233,51,9,3,0,0,0,0,64
10106154234,44,9,0,0,0,0,0,51
10106154235,34,0,0,0,0,0,0,43
10106154236,30,0,0,0,0,0,0,32
10106154237,37,4,0,0,0,0,0,44
10106154238,40,3,0,0,0,0,0,48
10106154239,54,5,0,0,0,0,0,65
10106154240,72,5,4,0,0,0,0,82
10106154241,75,0,0,0,0,0,0,80
10106154242,52,4,0,0,0,0,0,59
10106154243,47,11,0,0,0,0,0,54
10106154301,43,8,5,0,0,0,3,57
10106154302,30,3,0,0,0,0,0,35
10106154303,29,5,0,0,0,0,0,38
10106154304,21,3,0,0,0,0,0,25
10106154305,18,0,0,0,0,0,0,22
10106154306,46,6,3,0,0,0,0,60
10106154307,3,0,0,0,0,0,0,5
10106154308,32,3,5,0,0,0,0,45
10106154309,39,0,4,0,0,0,0,48
10106154310,24,4,0,0,0,0,0,29
10106154311,9,4,6,0,0,0,0,12
10106154312,23,3,4,0,0,0,0,26
10106154313,38,5,3,0,0,0,0,41
10106154314,26,10,9,0,0,0,0,45
10106154315,29,3,3,5,0,0,0,36
10106154316,40,9,8,0,0,0,0,60
10106154317,24,4,0,0,0,0,0,29
10106154318,17,0,5,0,0,0,0,27
10106154319,12,0,5,0,0,0,0,19
10106154320,0,0,0,0,0,0,0,0
10106154321,44,7,0,0,0,0,0,56
10106154322,46,6,4,0,0,0,0,61
10106154323,36,4,0,0,0,0,0,37
10106154324,12,7,4,0,0,0,0,20
10106154325,47,0,0,0,0,0,0,50
10106154326,46,6,0,0,0,0,0,54
10106154327,17,0,3,0,0,0,0,25
10106154328,43,0,0,0,0,0,0,47
10106154329,26,0,4,0,0,0,0,28
10106154330,35,0,0,0,0,0,0,33
10106154401,14,3,0,0,0,0,0,17
10106154402,33,7,0,0,0,0,0,41
10106154403,27,0,4,0,0,0,0,33
10106154404,45,0,0,0,0,0,0,45
10106154405,22,6,0,0,0,0,0,25
10106154406,29,3,3,0,0,0,0,33
10106154408,27,0,3,0,0,0,0,37
10106154409,21,0,4,0,0,0,0,24
