GCCSA_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
4GADE,13,233,37280,37521,711,4048,37509,42271,24876,19969,43507,88348,49474,11776,22899,84144,47404,9152,23579,80142,46241,6866,22302,75409,41647,3509,15678,60830,24012,1049,8108,33171,6299,163,4198,10659,240673,56770,215058,512503,33,410,34864,35306,1686,6065,32560,40314,34231,21310,35097,90644,53498,11664,23871,89031,48295,8904,27285,84486,45994,6281,29731,82003,39098,2902,27294,69293,18351,700,21184,40233,2863,81,12304,15252,244034,58336,244187,546560,39,638,72147,72827,2390,10115,70071,82578,59106,41284,78608,178992,102969,23442,46768,173178,95701,18058,50869,164628,92236,13150,52023,157410,80742,6413,42973,130125,42359,1756,29291,73405,9162,247,16501,25914,484708,115105,459247,1059061
4RSAU,15,131,9586,9721,212,1408,6303,7924,4825,4912,7528,17273,9162,3039,5176,17381,11246,2931,6945,21122,14370,2734,8277,25384,16038,1568,6639,24250,9315,457,3431,13206,1996,54,1469,3523,67177,17232,55365,139775,21,258,8358,8631,420,2093,4761,7271,6522,5253,6352,18130,10721,3152,5135,19014,12444,3086,6647,22185,15389,2587,7781,25755,15086,1259,7747,24093,7000,287,6535,13827,940,39,3357,4335,68557,18013,56666,143233,36,382,17939,18359,633,3497,11066,15191,11354,10168,13879,35401,19886,6192,10310,36389,23692,6019,13594,43308,29759,5319,16062,51139,31128,2827,14386,48338,16319,746,9963,27031,2938,93,4822,7855,135740,35249,112032,283015
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,23,414,58473,58909,996,6343,52199,59536,36475,32030,61137,129646,81298,19291,33407,133995,77138,13052,30164,120354,68540,9039,26867,104450,57745,4420,19877,82042,31076,1347,10596,43015,7525,228,4623,12375,360824,86161,297333,744326,32,756,54921,55712,2403,10096,46157,58649,54745,36569,50518,141830,91785,19374,34814,145977,80814,13152,36659,130627,68535,8129,37528,114194,52571,3368,34942,90881,22584,869,25432,48888,3576,109,13820,17503,377040,92426,334790,804255,55,1166,113395,114622,3399,16441,98348,118192,91217,68598,111649,271470,173084,38662,68226,279975,157949,26206,66823,250980,137074,17173,64398,218644,110315,7787,54815,172921,53658,2213,36031,91901,11101,338,18436,29879,737867,178592,632126,1548581
5RWAU,22,236,12632,12892,313,2099,7836,10247,6844,7500,10039,24385,14475,5209,7265,26949,15725,4270,8299,28293,16825,3518,8687,29028,15105,1754,6869,23733,7815,466,3187,11467,1703,61,1182,2946,78833,25100,65997,169937,55,454,11539,12045,555,3100,5993,9659,9951,8489,8858,27312,17228,5485,7596,30307,17187,4561,8593,30340,17341,3245,8961,29542,13709,1238,7987,22929,5650,314,5777,11741,788,28,2853,3668,82468,26923,68152,177548,81,689,24167,24938,871,5197,13831,19899,16800,15991,18897,51696,31704,10697,14858,57258,32912,8834,16891,58633,34165,6766,17648,58573,28812,2991,14860,46660,13468,780,8959,23212,2492,89,4038,6614,161300,52026,134151,347482
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,59,6229,6286,134,836,5605,6572,4679,4317,9005,18006,7458,2713,3918,14093,7150,2040,3825,13010,7622,1519,3905,13047,7402,781,2875,11065,4013,277,1526,5814,949,30,700,1678,39418,12572,37582,89573,3,90,5728,5821,326,1218,4872,6414,5978,4715,7594,18296,7904,2662,4654,15217,7636,1999,4824,14458,7782,1366,5325,14470,6762,639,5137,12536,3054,156,3929,7141,449,19,1984,2456,39901,12861,44056,96815,6,150,11958,12110,458,2052,10477,12989,10658,9037,16603,36300,15359,5376,8576,29307,14778,4038,8651,27463,15407,2886,9227,27519,14166,1423,8012,23600,7068,426,5454,12951,1399,49,2688,4136,79320,25427,81636,186383
6RTAS,3,62,7676,7741,203,1244,5679,7133,4453,4321,7346,16122,7545,2908,4152,14607,9184,2672,5205,17063,11453,2338,5832,19617,11601,1292,4954,17850,6489,336,2624,9448,1267,45,979,2286,52200,15216,44449,111873,9,141,7086,7235,409,1778,4610,6797,5835,4695,6072,16593,8572,2929,4767,16270,10144,2698,5889,18725,12062,2098,6776,20933,10629,923,6777,18325,4624,203,5204,10031,602,17,2436,3048,52879,15481,49606,117960,10,206,14762,14976,610,3028,10291,13924,10286,9013,13420,32724,16124,5834,8923,30878,19327,5375,11097,35793,23513,4433,12604,40548,22223,2211,11732,36170,11108,540,7825,19475,1867,58,3412,5341,105074,30690,94060,229826
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3,45,3325,3379,95,647,2934,3673,2986,2543,4618,10145,5028,1626,2287,8941,4262,1225,2267,7754,3445,814,2092,6345,2361,343,1519,4222,963,85,556,1605,140,3,138,278,19282,7327,19749,46352,8,92,3163,3263,266,892,2269,3426,4285,2907,4198,11400,5579,1780,2648,10008,4338,1186,2493,8020,3201,711,2356,6266,1888,254,1850,3995,546,45,960,1550,41,4,294,346,20161,7856,20236,48257,13,137,6493,6637,359,1538,5202,7098,7278,5447,8818,21541,10609,3407,4936,18951,8606,2403,4760,15771,6643,1524,4444,12615,4243,597,3372,8215,1508,123,1523,3159,182,8,434,629,39443,15182,39987,94611
7RNTE,86,42,2773,2898,433,314,1884,2628,2089,1258,2805,6147,2639,913,1684,5233,2074,708,1513,4301,1770,443,1335,3546,989,177,838,1996,295,30,266,596,32,4,50,92,10415,3891,13144,27453,129,75,2441,2640,582,410,1698,2688,2568,1438,3023,7030,2739,903,2016,5660,2089,720,1959,4767,1557,367,1760,3686,720,102,1065,1896,164,21,406,595,12,4,110,123,10570,4043,14482,29088,217,113,5208,5542,1014,722,3578,5316,4657,2695,5832,13185,5378,1821,3697,10891,4164,1428,3474,9066,3330,810,3095,7236,1712,281,1904,3894,465,51,678,1191,47,8,160,221,20985,7929,27626,56539
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
8ACTE,10,87,11378,11468,276,1807,11994,14077,10210,8659,16387,35253,20130,4489,7407,32027,16690,3006,6345,26046,13218,1853,5091,20165,10881,896,3350,15127,5849,248,1766,7869,1388,31,826,2256,78645,21087,64563,164294,5,155,10549,10708,668,2624,11105,14398,13827,8926,13406,36165,21012,4234,7940,33189,16175,2809,7940,26930,12663,1591,7664,21919,9898,670,6859,17427,4300,172,4953,9421,663,19,2439,3113,79213,21205,72852,173270,12,233,21929,22179,947,4437,23102,28475,24038,17587,29789,71417,41139,8720,15351,65212,32867,5822,14287,52975,25887,3443,12756,42089,20776,1569,10214,32555,10148,421,6718,17287,2046,57,3267,5370,157859,42290,137415,337567
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,3,75,76,6,9,50,60,54,35,61,159,121,27,56,203,126,39,57,228,156,48,92,297,151,13,68,235,59,9,33,100,13,0,12,25,693,187,510,1388,0,0,73,79,9,19,45,71,69,46,52,169,142,44,54,242,128,39,82,254,174,34,95,308,114,11,84,212,48,0,63,110,0,0,24,28,694,195,581,1468,0,0,149,155,15,21,101,134,127,83,117,328,266,66,111,443,255,83,142,483,333,79,188,607,266,32,153,451,111,9,95,208,18,0,37,56,1390,383,1088,2854
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
