GCCSA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
39499,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,9,0,8,8,0,0,6,14,5,0,6,51,0,3,0,0,4,0,0,4,3,0,5,17,12,0,4,54,0,0,0,0,0,0,3,0,0,0,0,6,4,4,0,21,0,0,0,0,0,0,3,0,0,0,5,6,6,4,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,3,4,4,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,3,4,12,3,3,0,0,0,0,6,6,5,5,72,0,0,23,81,109,94,94,45,6,0,8,14,7,14,69,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,6,0,14
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,240,244,231,380,105,41,71,5147,0,0,7,3,4,342,620,354,52,65,29,44,3,14,35,1586,27,172,527,410,451,178,484,411,30,37,43,33,14,5,80,2908,621,6787,5126,914,282,200,338,427,93,71,90,89,38,9,580,15667,3,33,17,24,95,242,516,242,49,47,45,107,57,13,36,1527,0,0,7,33,208,265,1573,755,163,152,190,182,94,4,71,3699,21,55,172,384,282,198,294,126,42,35,44,34,30,7,64,1787,14,46,352,648,1141,693,1977,1389,441,488,483,453,254,38,98,8509,0,0,0,4,11,32,1297,1558,689,1015,1008,1002,306,32,105,7055,141,2416,707,294,208,117,301,127,25,33,10,31,21,3,130,4564,69,117,618,1690,2305,1580,1884,947,128,149,147,124,91,105,289,10238,17,41,87,67,36,45,24,16,0,0,0,4,4,0,4,345,5,0,14,28,27,171,849,1806,354,506,559,643,294,76,99,5432
4RSAU,3,0,0,0,0,0,10,67,0,0,0,0,0,5,3,4,3,0,0,15,11,0,0,42,3,32,89,58,28,30,52,42,5,6,10,9,9,0,17,386,49,404,295,58,19,10,21,24,0,3,9,4,7,0,65,973,0,7,0,9,3,21,30,20,4,0,5,15,5,0,0,106,0,0,0,3,22,12,46,23,3,3,9,5,0,0,12,135,0,0,9,3,4,0,11,4,0,0,0,0,0,0,0,35,4,3,33,34,19,22,70,37,62,92,89,69,10,0,25,584,0,0,0,0,0,0,24,22,20,44,20,30,13,0,13,183,47,939,254,90,55,24,63,18,6,9,0,17,0,0,56,1579,13,28,219,550,652,456,526,313,61,33,39,48,32,19,180,3166,0,4,0,16,5,0,4,0,0,0,0,0,0,0,0,30,0,0,0,0,4,5,27,95,26,20,16,25,15,0,0,233
49499,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,3,7,9,7,8,7,0,0,0,0,3,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,220,192,218,293,87,53,71,6224,0,9,27,10,28,947,1169,771,128,113,120,82,31,14,86,3536,53,230,939,1057,2782,1065,3740,4733,246,219,293,443,268,115,231,16412,776,5494,4328,1084,485,391,871,1610,240,158,159,209,115,24,581,16536,7,28,21,84,309,770,1396,621,138,158,220,281,150,83,115,4379,0,3,4,116,361,465,2421,1483,231,243,207,280,76,22,134,6041,3,16,86,205,264,143,191,97,30,15,12,20,16,3,49,1159,65,212,1047,2417,6903,3208,7749,4443,1029,987,1038,946,565,73,586,31268,0,0,0,0,12,59,1019,865,320,391,598,628,234,18,65,4212,275,2777,669,496,717,409,816,397,53,74,69,102,47,16,175,7083,61,196,1729,5398,10527,8626,15002,11590,870,800,908,1063,514,474,1698,59459,39,154,541,666,654,522,364,158,41,23,25,34,16,8,94,3328,13,18,60,95,169,337,1462,2229,443,520,536,743,420,56,109,7222
5RWAU,11,12,14,3,4,0,33,207,0,0,3,0,9,16,22,23,3,0,0,0,0,0,17,94,17,41,133,167,237,105,374,464,18,18,22,53,20,0,36,1703,108,560,330,62,19,26,69,170,23,23,26,56,21,0,108,1596,3,0,7,6,13,48,103,65,3,12,21,24,11,9,6,332,0,0,0,6,18,19,112,101,23,10,21,44,13,0,15,379,0,0,8,10,13,17,14,6,0,0,4,7,3,0,9,90,12,32,90,107,127,71,188,110,28,60,71,36,5,3,52,995,0,0,0,0,0,4,56,50,40,26,33,18,12,0,3,232,68,713,188,118,163,92,166,81,18,6,16,18,13,4,56,1733,28,53,563,1788,2854,2309,3877,2378,218,259,235,298,128,125,746,15849,10,13,15,17,20,13,8,4,0,0,0,0,0,0,0,98,0,0,3,13,0,10,75,153,23,18,28,23,6,19,17,395
59499,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,9,0,0,3,31,0,5,0,0,3,0,0,6,0,0,3,11,3,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,21,0,0,7,24,39,25,42,34,5,5,6,0,4,9,51,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,7,3,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,35,40,12,18,12,0,0,273,0,0,0,0,0,6,9,20,10,5,0,6,0,0,0,71,4,16,47,52,85,34,57,33,8,6,5,9,0,0,6,374,19,195,127,24,12,16,22,37,16,3,8,8,0,0,18,505,0,3,4,8,20,51,94,61,8,4,8,18,7,0,10,306,0,0,0,11,70,44,137,106,40,44,31,34,10,0,18,533,0,0,6,16,7,0,9,3,8,3,0,4,0,0,3,71,0,25,43,54,70,59,167,192,78,64,50,42,21,0,8,878,0,0,0,0,0,11,391,1469,640,674,491,286,62,4,78,4107,41,359,85,67,70,34,48,24,6,7,5,6,4,0,18,778,18,30,158,380,479,312,353,147,33,19,23,32,22,23,67,2108,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,4,6,67,413,67,47,97,100,32,0,18,846
6RTAS,46,35,4,27,12,0,0,282,0,0,0,0,0,3,6,13,0,7,3,4,0,0,0,48,5,22,60,84,59,22,45,40,6,0,3,6,3,0,15,371,10,147,81,21,13,8,17,11,7,7,4,12,10,0,25,372,0,4,0,8,13,17,40,28,10,5,10,9,4,0,0,152,0,0,4,3,29,29,55,52,4,6,14,12,11,0,10,243,0,0,6,13,0,4,3,0,6,3,0,3,0,0,0,37,0,14,47,42,42,29,93,97,49,45,40,37,17,0,10,568,0,0,0,0,0,3,173,601,336,457,310,153,22,9,40,2109,85,635,191,108,105,64,75,17,3,3,5,3,0,0,40,1355,17,43,277,655,764,593,491,197,29,21,27,35,23,14,157,3349,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,34,271,50,55,59,82,35,4,8,618
