GCCSA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
39499,39,35,76,196,200,400,12,6,26,43,53,97,257,265,518,94,100,197,14,16,32,31,32,60,142,144,293,13,14,28,24,38,65,9,20,26,37,74,113,0,9,9,77,154,238,28,47,79,29,34,63,5,19,28,31,50,74,0,0,0,92,148,239,177,303,483,34,28,66,19,29,55,0,0,0,54,66,114,2143,1446,3582,2806,2251,5060
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,24,137,115,25,136
4GADE,11719,10786,22500,39876,36753,76623,11211,10836,22051,9396,9277,18670,60561,56949,117510,21352,19940,41289,9800,10035,19832,10122,10251,20372,41309,40275,81582,2447,1901,4347,2799,4117,6912,3353,2220,5576,5810,8709,14520,75,61,136,14486,17009,31492,16946,21590,38536,7589,9623,17213,2158,2770,4925,6079,10374,16452,72,79,146,32844,44431,77275,47385,61518,108906,2032,2117,4147,3228,4768,7997,73,68,139,5327,6949,12282,27673,25949,53622,193965,202423,396390
4RSAU,2704,2607,5307,11992,11187,23181,2268,2224,4490,2203,2220,4424,16485,15644,32128,7849,7410,15267,1234,1297,2529,1578,1673,3248,10672,10392,21062,260,329,583,233,559,796,1045,701,1747,1092,2070,3161,24,27,54,2658,3684,6344,566,1381,1948,312,872,1190,140,356,491,552,1716,2269,5,14,20,1575,4343,5921,4241,8028,12269,256,294,552,437,913,1350,21,25,47,720,1232,1952,15742,12637,28380,50564,50540,101104
49499,13,13,31,60,64,122,11,8,17,9,8,17,77,80,156,26,61,87,3,3,4,8,15,21,38,70,111,8,3,6,5,8,14,3,4,10,12,12,20,0,0,0,22,25,50,13,7,16,7,10,16,0,8,8,11,13,19,0,0,0,26,40,71,49,66,117,6,7,16,13,11,20,0,0,0,19,15,35,496,314,814,694,564,1263
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4
5GPER,19258,17696,36950,64084,60099,124182,14594,14510,29111,12464,12339,24803,91288,87115,178400,41628,38662,80293,15253,15012,30261,16294,15915,32214,73256,69686,142947,4910,4619,9529,3932,6637,10571,6250,3632,9882,6992,12073,19062,97,90,184,22177,27052,49233,22430,28806,51234,8964,11892,20860,3756,4728,8480,8837,14629,23467,104,126,227,44088,60179,104270,66394,87359,153748,3174,3454,6623,5340,8301,13637,100,97,198,8612,11850,20456,59947,47060,107003,318748,320758,639509
5RWAU,4300,4157,8461,16510,15182,31697,3841,3718,7561,2336,2252,4590,22724,21194,43915,11281,10708,21991,2963,3192,6156,2169,2436,4609,16431,16357,32786,727,696,1426,386,826,1219,1771,1079,2848,1569,3432,5005,34,24,60,4495,6060,10557,509,1109,1623,435,1129,1562,178,442,627,1058,2778,3840,7,16,23,2191,5474,7669,6695,11555,18252,477,499,975,850,1465,2312,30,21,50,1354,1986,3339,32351,24135,56491,83861,79382,163242
59499,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
6GHOB,1662,1564,3223,7234,6525,13759,2131,2278,4409,1131,1133,2266,10508,9944,20455,4083,3779,7860,1822,2003,3823,1481,1383,2864,7391,7173,14563,541,517,1054,1262,1288,2556,832,456,1291,1423,1449,2875,19,13,37,4072,3733,7808,1984,2399,4382,1569,1855,3421,300,416,716,1255,2295,3546,14,9,21,5116,6972,12087,9203,10719,19923,507,573,1084,511,815,1327,19,8,29,1036,1400,2437,6083,5674,11754,35883,36475,72355
6RTAS,1661,1598,3260,9314,8890,18205,2055,1928,3980,1249,1262,2508,12621,12081,24708,5954,5725,11679,1622,1666,3287,1318,1263,2582,8899,8668,17569,495,536,1031,570,757,1328,1067,645,1714,1191,1602,2795,27,20,47,3357,3559,6913,986,1550,2539,738,1120,1856,194,351,542,890,1845,2732,7,17,23,2816,4878,7690,6172,8453,14623,503,504,1003,481,841,1320,20,21,39,1001,1364,2361,9651,9145,18797,40006,41312,81322
69499,9,5,9,27,15,41,3,0,4,0,3,3,28,18,53,8,19,30,4,0,7,0,0,3,13,19,33,6,0,9,0,4,4,8,9,9,3,8,9,0,0,0,21,23,35,0,4,3,8,3,9,0,4,0,4,16,14,0,0,0,13,22,32,30,39,68,0,0,0,0,9,8,0,0,5,0,10,13,210,130,337,296,223,519
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
7GDAR,1350,1272,2621,4626,4401,9030,699,705,1401,774,844,1616,6113,5952,12064,2791,2804,5590,744,701,1444,796,811,1604,4333,4317,8648,172,141,312,331,352,680,308,229,532,620,982,1602,11,5,10,1431,1706,3134,675,950,1628,796,1250,2043,213,364,579,971,2049,3020,8,11,18,2665,4622,7288,4106,6334,10440,347,364,706,357,669,1023,5,7,16,709,1038,1746,7411,5686,13102,24018,24608,48624
7RNTE,853,764,1619,3788,3422,7210,588,566,1156,362,365,728,4746,4358,9110,1628,1584,3215,381,412,794,505,431,934,2514,2424,4935,41,31,78,65,82,144,109,86,202,266,421,681,5,4,8,481,624,1106,60,117,179,121,246,370,34,103,137,392,806,1195,4,6,10,610,1275,1881,1093,1904,2995,100,100,199,131,221,348,8,12,20,238,327,567,5569,4380,9948,15011,14165,29177
79499,5,8,14,56,38,101,0,0,3,13,7,27,77,57,132,12,16,26,3,0,3,10,11,17,26,24,48,0,0,0,0,0,0,0,3,4,4,8,15,0,0,0,9,11,21,0,0,4,13,4,16,0,0,0,4,15,25,0,0,0,20,24,46,20,39,68,11,8,22,0,6,6,0,0,0,12,10,26,643,579,1224,793,709,1503
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,22,0,22
8ACTE,4604,4236,8837,12985,12045,25029,4517,4212,8725,2180,2264,4442,19702,18545,38251,8459,7690,16158,3652,3461,7118,2232,2403,4632,14353,13576,27930,720,660,1382,1064,1137,2198,1558,964,2518,2465,3222,5689,19,14,30,5833,5992,11821,7624,9093,16718,3185,3511,6698,1135,1474,2619,4248,5894,10141,28,25,61,16224,20007,36225,22083,26026,48106,1053,938,1991,1629,2107,3735,11,22,28,2693,3062,5757,9537,8566,18113,72976,74013,146989
89499,3,0,8,6,5,9,0,0,0,0,0,0,6,5,9,9,23,36,0,0,5,0,0,0,11,25,37,0,4,8,0,0,3,0,0,0,3,4,7,0,0,0,9,14,21,11,6,21,4,4,9,3,5,5,0,0,8,0,0,0,14,18,35,23,31,54,0,0,0,3,6,5,0,0,0,3,6,4,97,36,131,148,104,248
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,46,33,81,185,167,358,0,0,0,0,0,0,189,167,353,116,110,230,0,5,4,0,0,3,116,119,234,4,0,7,5,3,7,9,10,17,16,28,41,0,0,0,33,38,72,0,8,11,0,6,6,0,10,5,8,16,28,0,0,3,20,37,57,52,80,131,4,0,4,3,14,16,0,0,0,9,12,19,579,321,901,995,732,1722
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
