GCCSA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,37923,1505,18,0,1524,30,39474,2584,14598,688,15,15298,10,17891,56,1504,797,7,2313,4,2379,5,14,3,3,25,0,31,2647,16115,1489,29,17633,15,20295,22,36,14,0,50,48,118,40592,17655,1518,29,19205,86,59890,39080,1258,16,4,1277,16,40371,2288,14581,694,10,15281,4,17576,46,1525,1067,9,2598,5,2652,0,22,0,10,30,0,36,2341,16129,1763,20,17915,10,20261,25,21,3,0,22,68,113,41436,17398,1781,25,19217,93,60744,23826,660,17,4,683,16,24522,1154,6723,360,11,7092,4,8248,23,897,739,0,1639,4,1666,5,15,0,12,24,0,31,1184,7635,1100,22,8756,8,9941,19,8,8,0,16,28,63,25024,8306,1127,22,9450,45,34524,16042,399,8,0,409,12,16460,703,3855,225,0,4086,4,4792,16,557,563,0,1119,0,1140,5,4,0,3,12,3,15,725,4417,790,10,5213,0,5947,20,7,0,0,7,8,36,16783,4823,800,10,5636,26,22443,20615,512,11,0
4RSAU,12323,138,7,3,143,15,12480,338,898,33,5,936,3,1270,3,70,71,0,143,0,150,0,3,0,11,13,0,14,343,975,104,13,1087,3,1433,6,3,0,0,3,31,43,12670,1109,116,12,1240,51,13960,13419,170,9,0,177,21,13620,292,823,37,0,858,0,1153,3,63,75,0,136,0,144,0,6,0,10,11,0,12,299,892,114,10,1010,0,1307,26,6,0,0,6,36,60,13733,1062,121,9,1195,57,14985,8532,89,0,0,96,5,8628,156,394,23,0,416,0,575,3,26,61,0,88,0,92,0,0,0,7,7,0,7,161,429,82,7,514,0,678,8,0,0,0,0,27,37,8707,516,80,7,605,30,9340,5578,47,0,0,46,7,5633,90,241,13,0,251,0,338,6,32,31,0,62,0,64,0,0,0,0,0,0,6,96,272,39,0,308,0,407,4,0,0,0,0,21,22,5682,314,43,0,364,24,6067,6326,51,8,0
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,62551,2796,36,10,2839,61,65452,5900,24876,750,23,25650,32,31585,131,2078,1002,12,3088,0,3222,7,29,3,11,46,0,55,6042,26984,1760,42,28785,36,34862,70,72,3,0,79,86,239,68660,29858,1796,57,31707,183,100557,61991,2137,22,7,2158,35,64186,5086,24767,771,19,25557,25,30666,157,2240,1295,13,3550,0,3705,9,32,7,9,46,0,59,5253,27030,2079,33,29144,23,34422,51,60,12,0,74,98,217,67294,29224,2110,44,31379,158,98833,38298,1059,16,4,1082,37,39423,2543,12107,411,17,12536,13,15086,64,1161,792,3,1957,3,2026,8,12,3,9,19,0,30,2613,13278,1206,32,14517,19,17145,28,25,4,0,29,46,102,40938,14363,1222,37,15623,105,56671,25773,610,4,7,619,19,26411,1478,6962,263,9,7237,6,8718,29,713,558,6,1275,4,1303,3,12,0,3,16,0,20,1513,7685,820,22,8525,10,10042,23,14,0,0,20,34,72,27303,8311,826,28,9159,66,36524,31852,759,9,3
5RWAU,17906,446,5,5,458,30,18391,942,2309,38,0,2347,12,3293,26,100,75,0,169,0,197,4,3,0,11,19,0,19,968,2409,110,18,2538,10,3511,24,0,0,0,0,55,85,18900,2865,118,19,2997,94,21991,19162,355,6,3,366,31,19554,862,2284,45,5,2338,3,3198,20,114,68,0,176,0,201,3,3,0,15,16,0,14,885,2392,111,19,2525,5,3417,33,0,0,0,0,62,101,20077,2751,119,23,2894,94,23067,11219,199,0,0,202,13,11429,415,1253,23,4,1285,5,1699,15,59,43,0,100,0,111,3,4,0,3,5,0,7,431,1316,69,4,1390,5,1821,19,0,0,0,4,29,54,11669,1513,71,4,1592,43,13301,7078,107,0,0,110,12,7197,239,746,10,0,758,0,999,3,30,40,0,73,0,76,0,0,0,0,0,0,8,243,772,56,3,836,0,1084,7,0,0,0,6,17,29,7335,888,59,9,948,27,8311,7453,95,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,7443,181,0,0,179,0,7620,301,1632,59,6,1694,0,1996,4,124,44,0,174,0,178,0,4,0,0,6,0,3,306,1758,103,6,1868,0,2175,0,0,0,0,0,9,10,7748,1943,101,6,2053,9,9809,8040,163,0,0,166,3,8206,292,1079,53,0,1136,4,1430,0,77,49,3,134,0,134,0,4,0,0,4,0,4,294,1167,105,3,1266,4,1567,6,0,0,0,0,7,12,8341,1326,108,0,1433,14,9787,5088,100,0,0,100,6,5194,161,448,23,0,464,0,627,0,48,41,0,88,0,86,0,0,0,0,0,0,0,163,494,60,0,552,0,718,5,0,0,0,0,11,14,5258,595,60,0,656,9,5930,3342,57,0,0,57,0,3404,90,208,14,0,222,0,313,0,29,33,0,66,0,62,0,0,0,0,0,0,0,87,235,50,0,287,0,376,5,0,0,0,0,0,8,3438,295,50,0,343,3,3788,4012,66,0,0
6RTAS,9792,111,4,0,114,18,9924,272,743,28,0,761,0,1041,4,76,79,0,154,0,162,0,4,0,0,5,0,5,277,819,105,0,926,0,1205,16,4,0,0,4,15,31,10085,934,104,0,1044,34,11166,10370,92,0,0,92,19,10484,256,563,27,0,582,0,838,7,63,85,0,149,0,154,0,0,0,0,0,0,0,260,622,109,0,729,0,995,16,0,0,0,0,25,42,10640,717,109,0,830,46,11518,6567,59,6,0,60,15,6641,162,225,11,0,233,0,395,5,21,63,0,84,0,88,0,0,0,0,0,0,0,167,244,72,0,318,0,483,13,0,0,0,0,19,36,6754,306,74,0,377,34,7162,4462,27,0,0,27,7,4504,64,121,7,0,132,0,196,0,19,29,0,47,0,51,0,0,0,0,0,0,0,66,143,38,0,177,0,244,0,0,0,0,3,9,14,4528,175,42,0,213,21,4759,5191,35,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4111,206,5,0,207,4,4325,515,1930,59,4,1996,4,2515,22,79,36,0,118,0,141,0,0,0,0,0,0,0,536,2007,97,9,2120,4,2658,8,4,0,0,3,3,18,4655,2218,104,9,2329,11,7000,3851,176,4,3,185,3,4036,419,1672,60,7,1736,0,2151,16,95,60,0,160,0,177,0,0,0,0,5,0,6,438,1768,119,11,1893,0,2333,4,0,5,0,3,14,22,4290,1946,120,14,2082,17,6391,2226,93,0,0,94,0,2327,204,783,36,3,826,0,1026,10,59,40,0,100,0,110,0,0,0,0,0,0,4,210,849,77,7,928,0,1144,4,0,0,0,0,4,6,2445,941,77,7,1025,6,3478,1446,56,0,0,60,0,1506,123,465,28,0,489,0,611,6,41,28,0,72,0,74,0,0,0,0,0,0,0,127,502,56,0,559,0,688,5,0,0,0,0,0,3,1579,559,52,0,616,0,2199,1559,55,0,0
7RNTE,1673,128,0,0,125,0,1800,145,2269,52,11,2329,0,2473,0,31,94,0,120,0,123,0,3,0,34,35,0,35,143,2303,143,40,2483,0,2631,0,0,0,0,0,25,30,1815,2427,143,40,2608,27,4459,1636,84,0,0,90,0,1728,137,2297,58,4,2355,0,2492,0,38,101,0,135,0,132,0,5,0,39,49,0,52,137,2334,154,46,2536,3,2677,0,0,0,0,0,16,20,1778,2423,158,48,2626,22,4424,964,45,3,0,50,0,1010,77,1342,28,0,1368,0,1446,3,13,49,0,70,0,75,0,9,0,10,27,0,27,82,1373,86,15,1467,0,1549,0,0,0,0,0,12,14,1041,1417,83,16,1521,13,2574,500,18,0,0,19,0,523,31,737,18,4,766,0,794,0,12,34,0,51,0,51,0,0,0,8,8,0,13,32,756,53,16,820,0,854,0,0,0,0,0,0,0,534,775,55,16,840,0,1377,502,15,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,13235,744,10,0,754,9,14002,1179,6622,182,15,6817,7,8006,18,350,114,0,465,0,485,0,5,0,0,6,0,8,1199,6970,296,19,7287,7,8495,11,11,0,0,11,12,32,14453,7728,307,17,8053,26,22526,14193,662,11,4,670,7,14876,1080,6493,179,9,6681,6,7765,20,294,157,0,455,0,472,0,3,0,0,3,0,3,1099,6788,340,11,7137,6,8241,10,15,0,0,15,9,40,15298,7468,342,11,7825,31,23152,8522,317,6,3,320,3,8852,572,3123,93,7,3216,0,3787,9,149,71,0,220,0,225,0,5,0,0,5,0,7,580,3266,164,6,3438,0,4022,3,3,0,0,3,3,14,9107,3588,170,7,3769,13,12884,5318,184,0,0,182,4,5510,310,1717,49,0,1763,0,2071,5,89,50,0,142,0,147,0,0,0,0,0,0,0,309,1804,95,0,1906,0,2215,0,3,0,0,3,3,4,5631,1992,97,0,2094,9,7733,6888,230,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,70,11,0,0,11,0,76,13,65,0,0,71,0,84,0,10,4,0,10,0,10,0,0,0,0,0,0,0,13,75,0,0,82,0,91,0,0,0,0,0,4,4,79,87,0,0,93,4,172,81,9,0,0,9,0,87,12,95,7,0,100,0,112,0,0,7,0,7,0,7,0,0,0,0,0,0,0,12,96,5,0,104,0,117,0,0,0,0,0,0,0,89,107,5,0,119,0,210,35,10,0,0,10,0,40,10,45,0,0,44,0,57,0,9,0,0,5,0,5,0,0,0,0,0,0,0,10,52,4,0,55,0,63,0,0,0,0,0,3,3,40,59,4,0,64,3,111,18,0,0,0,0,0,21,4,31,0,0,33,0,41,0,0,0,0,5,0,5,0,0,0,0,0,0,0,4,33,0,0,37,0,45,0,0,0,0,0,0,0,23,33,0,0,35,0,64,16,4,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
