GCCSA_CODE_2021,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,M_3500_more_15_19_yrs,M_3500_more_20_24_yrs,M_3500_more_25_34_yrs,M_3500_more_35_44_yrs,M_3500_more_45_54_yrs,M_3500_more_55_64_yrs,M_3500_more_65_74_yrs,M_3500_more_75_84_yrs,M_3500_more_85ov,M_3500_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot
39499,97,31,82,66,57,139,56,7,0,544,23,8,17,17,17,29,14,5,0,129,43,41,89,111,100,95,81,17,0,579,17,47,102,138,126,155,258,76,0,922,15,30,58,79,101,120,250,62,11,721,15,25,67,51,49,111,138,21,0,475,4,36,67,43,37,63,78,18,4,348,6,50,143,64,47,70,65,14,0,462,4,21,121,66,51,69,52,5,0,389,0,5,77,57,38,50,23,0,0,257,0,12,56,48,23,48,19,6,0,212,0,6,19,35,30,26,14,0,0,134,0,8,49,60,45,48,12,0,0,223,0,0,14,10,9,9,0,0,0,48,0,0,8,27,20,20,3,0,0,85,61,122,337,337,286,234,185,45,5,1608,272,444,1301,1194,1042,1297,1253,283,23,7108,78,30,91,67,100,166,59,10,0,604,30,13,27,16,26,53,10,4,0,180,56,61,71,61,72,107,66,7,0,504
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,45,32,3,0,0,0,112,0,4,37,55,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,18160,4608,3298,2203,2366,3924,3541,1282,509,39887,8120,2054,810,599,738,1335,1578,609,194,16037,4887,4606,2953,2080,2341,3238,3532,1850,657,26156,1738,3938,4053,3057,3705,5345,10259,8275,2870,43239,1442,3475,3418,2685,3442,4916,8733,6351,3188,37645,1852,4870,5128,3215,3327,4377,7097,4393,1478,35730,1008,5302,6618,4345,3889,4400,5412,3299,1035,35314,647,5959,11873,8134,7301,6865,5023,2449,767,49017,325,4776,15730,11784,10180,9448,5539,2094,475,60353,91,2467,11914,10089,8493,7124,3505,1070,234,44981,55,1136,9430,9236,7840,6295,2580,769,229,37575,16,514,5914,7709,6491,4948,1636,483,107,27810,21,359,7853,13800,12957,8783,2397,630,135,46932,3,56,1149,2920,3008,2052,613,190,47,10043,26,129,1267,4523,6002,4476,1568,496,130,18605,1782,2360,5213,4545,4158,3705,3080,2473,1669,28995,40172,46599,96616,90922,86236,81246,66083,36722,13726,558325,14617,3563,6587,5959,5181,8496,5183,1690,881,52153,9352,2069,1833,2019,1794,2822,2967,1115,291,24268,6142,5234,4107,3587,3293,4802,5401,2868,943,36374
4RSAU,3899,486,519,455,657,1354,1191,456,129,9154,2043,197,139,147,264,528,609,245,69,4222,1125,676,771,677,855,1453,1603,751,203,8123,419,602,864,856,1377,2328,5224,3875,994,16544,531,560,804,791,1186,2277,4352,2913,1153,14555,784,793,957,822,1105,1832,3088,1700,493,11575,456,1193,1392,1056,1326,1832,2340,1334,309,11241,303,1550,2639,1969,2250,2668,1977,840,217,14416,163,1193,3080,2672,2995,3339,1909,597,94,16046,51,576,2196,2074,2382,2343,1177,258,40,11103,29,298,1741,1979,2079,1986,792,248,60,9206,7,156,1140,1431,1591,1486,449,110,26,6398,7,181,1632,2350,2659,2115,588,158,28,9720,5,25,264,494,564,437,159,31,11,1987,15,36,283,584,787,793,359,114,33,3003,1029,924,2321,2316,2412,2432,2126,1524,636,15723,10870,9450,20733,20666,24485,29204,27958,15169,4495,163013,3098,407,993,988,1204,2628,1569,496,197,11573,2402,214,454,450,525,876,845,314,92,6188,1344,724,1122,986,1136,2006,1986,934,251,10488
49499,20,9,27,14,14,27,14,0,0,125,0,0,9,5,0,4,8,0,4,41,22,20,38,32,35,32,11,0,0,192,7,16,43,43,36,39,44,12,0,233,4,14,18,24,38,35,35,6,0,174,3,10,15,8,27,23,9,0,0,92,4,4,16,11,5,16,12,0,0,73,0,4,23,16,23,14,11,0,0,91,0,9,26,10,20,12,6,5,0,86,0,3,10,4,6,9,10,0,0,41,0,0,10,10,10,9,0,0,0,46,0,0,3,10,7,9,0,0,0,31,0,0,13,21,9,3,3,0,0,51,0,0,0,9,3,0,0,0,0,17,0,0,6,7,6,7,0,0,0,23,13,22,71,63,62,73,44,6,0,352,74,108,320,289,299,311,214,40,7,1668,32,3,19,17,14,34,8,6,0,124,4,3,0,3,0,9,3,6,0,25,38,28,26,17,23,22,9,0,0,163
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,27786,5644,4606,3260,3600,5776,6323,2590,727,60297,12128,2728,1016,702,830,1648,2552,1049,330,22973,6887,5742,3259,2259,2501,3482,5077,2893,831,32929,2804,5079,4582,3301,3641,5168,12490,10411,3208,50680,2571,4467,3864,2668,3119,4425,10458,7699,2938,42210,2987,6085,5434,3431,3506,4434,9052,5787,1607,42320,1997,6846,6944,4480,3675,4571,6755,4115,1176,40558,1416,7826,12877,8305,7031,7059,6397,2792,753,54447,774,7211,19272,14236,11495,11001,6810,2296,512,73609,306,4314,16778,13832,10928,9484,4647,1288,251,61822,164,2630,15328,14758,11989,9995,3740,971,267,59846,89,1413,11502,13302,11220,8218,2559,514,127,48953,85,1851,21279,30982,26622,18223,4488,825,189,104535,18,283,4994,9451,8478,5250,1326,256,62,30111,42,219,4733,15206,17400,10903,3006,767,172,52446,3094,4955,12797,11675,9787,7411,4973,3854,2646,61197,63138,67284,149264,151848,135822,117039,90651,48100,15791,838947,23196,4869,13591,15372,11567,15535,10208,3193,1277,98806,14400,3054,3282,4094,3111,4180,3952,1434,493,37989,8592,6627,5855,6075,4960,6415,7282,3629,1196,50629
5RWAU,5317,671,707,635,842,1467,1541,533,147,11863,2607,193,154,192,251,485,710,302,79,4965,1421,806,1037,960,927,1276,1687,756,240,9108,547,617,989,908,1183,1898,4544,3207,828,14717,683,519,727,734,1019,1683,3725,2426,714,12227,1008,828,918,841,1054,1584,2794,1525,382,10930,724,1274,1308,932,1100,1631,2115,1087,281,10455,553,1695,2369,1734,1857,2271,1870,703,173,13222,347,1555,3449,2896,2866,3338,2099,579,103,17227,160,995,2847,2699,2773,2662,1230,301,49,13717,103,758,2925,3017,3069,2847,1005,247,73,14046,46,546,2524,2872,2980,2557,745,143,25,12450,49,796,5267,6985,6926,5238,1185,177,36,26663,8,138,1519,2164,2117,1524,341,43,15,7877,21,97,1303,2663,2670,1836,602,157,38,9395,1823,2020,5741,5550,5350,4551,2956,1671,661,30330,15418,13513,33781,35786,36989,36850,29161,13867,3843,219201,4495,697,2703,2286,2087,3741,2253,614,234,19116,3242,315,841,892,656,1037,905,291,132,8301,1609,831,1665,1732,1512,2065,1911,887,276,12499
59499,35,18,36,36,41,29,22,3,3,233,13,10,10,22,13,25,8,0,0,98,20,61,106,143,136,77,27,7,0,574,3,21,71,116,110,100,80,28,0,534,4,18,27,45,31,36,74,19,0,257,5,21,33,25,28,30,39,17,0,191,0,19,30,16,15,18,16,4,0,124,4,19,41,23,23,25,16,11,5,158,0,12,64,35,29,29,14,0,0,192,0,10,33,28,20,18,14,0,0,125,0,3,34,36,25,20,5,0,0,126,0,0,26,20,18,17,5,0,0,82,0,3,47,51,45,20,8,0,0,174,0,0,16,13,7,11,0,0,0,48,0,6,12,21,18,7,4,0,0,71,27,74,233,287,287,198,120,30,11,1261,118,295,822,926,842,667,444,118,14,4247,33,13,41,36,37,53,23,0,0,238,13,9,14,20,10,22,8,0,0,93,46,31,62,102,72,41,22,3,4,382
59799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,3,0,0,0,17,0,3,3,4,0,0,0,0,0,14,0,0,8,5,7,0,0,0,0,24,0,3,3,5,9,3,0,0,0,21,0,0,17,31,12,14,0,0,0,77,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,50,3,13,44,71,42,20,7,0,0,197,7,25,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,3199,655,821,378,328,550,479,218,55,6682,1305,316,218,106,104,218,275,124,27,2677,748,795,619,384,369,495,600,340,106,4455,256,663,891,519,543,830,1741,1337,361,7141,260,541,924,559,644,948,1594,1044,435,6962,338,775,1346,616,525,836,1220,749,246,6652,178,866,1628,839,599,762,1125,608,197,6798,120,960,2669,1389,1053,1202,1041,516,153,9112,50,786,3322,2044,1591,1722,1224,442,95,11277,15,392,2183,1643,1415,1302,709,220,52,7931,9,176,1563,1564,1430,1243,533,162,41,6719,8,59,978,1249,1224,893,301,76,12,4810,0,32,1183,2212,2303,1589,426,110,26,7891,5,11,161,366,458,333,117,34,8,1485,3,25,208,620,872,651,262,78,24,2745,375,423,1218,911,749,694,684,500,276,5830,6871,7479,19920,15407,14213,14272,12337,6566,2116,99180,2561,568,1488,792,646,1214,779,255,103,8395,1574,294,372,296,264,439,475,182,48,3945,915,770,821,510,508,777,940,477,175,5890
6RTAS,3577,503,474,386,548,1065,850,323,82,7814,1420,235,141,116,237,384,497,181,40,3248,939,742,658,498,660,1064,1283,598,121,6566,362,583,886,693,1082,1866,4122,2933,624,13153,382,557,840,667,1044,1696,3272,2066,727,11249,563,762,1019,720,936,1379,2156,1194,333,9068,350,1033,1459,941,1015,1371,1589,919,210,8886,216,1305,2485,1645,1705,2035,1292,534,126,11344,85,1001,3194,2249,2458,2608,1368,379,66,13407,21,468,2014,1869,1883,1790,677,188,30,8939,10,230,1532,1672,1700,1591,508,157,36,7437,12,114,928,1264,1304,1235,335,47,11,5256,0,89,1107,1798,2125,1609,427,76,15,7243,0,12,160,316,391,308,109,31,5,1339,10,19,162,472,672,587,261,96,24,2304,650,603,1254,1073,1234,1385,1475,942,486,9106,8613,8257,18305,16385,18985,21995,20225,10656,2948,126364,2833,365,959,878,1075,2157,1068,332,110,9781,1964,215,417,397,452,795,574,217,60,5078,1200,717,870,838,903,1571,1527,650,160,8434
69499,10,4,10,0,7,10,0,0,0,46,0,6,3,4,0,9,0,0,0,14,11,14,14,16,12,3,4,0,0,75,3,8,20,24,20,13,15,5,0,106,0,8,14,8,31,10,15,3,0,90,0,0,17,12,13,12,8,0,0,56,0,4,11,9,6,9,0,0,0,39,0,5,4,6,5,3,0,0,0,35,0,0,5,9,4,0,3,0,0,23,0,3,8,0,4,7,4,0,0,23,0,0,7,0,0,5,0,0,0,13,0,0,0,5,0,6,0,0,0,9,0,0,3,3,5,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,9,16,7,21,26,40,4,0,133,43,71,135,99,130,104,90,18,0,689,15,7,8,6,10,7,0,0,0,49,8,0,3,0,0,4,0,0,0,13,19,15,4,13,10,11,0,0,0,67
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1524,296,320,207,214,360,360,113,29,3434,640,91,85,46,61,85,109,38,11,1161,355,210,168,108,131,175,206,130,24,1513,156,188,251,182,222,294,500,310,50,2155,131,231,274,157,179,271,541,291,72,2146,206,281,407,214,185,262,430,178,31,2190,157,382,568,308,227,274,301,123,31,2370,140,552,1192,610,483,457,363,129,18,3937,113,731,1847,1112,841,726,371,111,16,5870,49,671,1571,1094,801,583,269,57,8,5104,15,320,1536,1258,931,680,218,51,9,5018,6,140,1006,1055,853,559,170,27,3,3822,3,98,1392,2042,1879,1150,289,45,0,6907,0,7,230,478,478,335,92,9,0,1635,3,13,189,584,728,509,152,22,3,2210,414,691,1726,1353,1136,776,488,194,60,6834,3914,4903,12750,10821,9359,7494,4858,1830,370,56309,1338,249,830,658,454,643,411,130,33,4743,787,96,174,173,103,113,127,35,5,1609,429,200,308,304,186,250,256,120,24,2072
7RNTE,1171,208,165,103,113,122,125,44,5,2066,459,270,389,300,209,133,72,27,10,1867,642,869,1445,999,750,456,241,70,25,5486,143,256,520,454,365,314,298,152,16,2512,63,95,215,251,268,268,339,127,21,1647,71,119,257,233,213,183,186,71,16,1344,77,161,264,214,178,165,129,39,4,1233,89,248,500,273,215,213,131,40,8,1723,49,229,716,444,352,351,137,34,3,2325,19,167,565,448,326,265,107,15,0,1912,6,94,534,424,366,300,91,14,0,1824,6,42,356,352,303,258,89,12,0,1401,0,48,519,671,592,495,126,8,0,2471,0,4,97,158,135,128,32,7,0,567,5,3,79,202,185,195,59,11,0,738,562,513,1247,984,783,631,354,125,18,5213,3375,3326,7872,6512,5358,4487,2507,780,123,34338,906,104,256,182,143,245,124,39,7,2018,473,255,391,347,271,179,90,20,22,2058,614,886,1573,1108,871,538,314,83,20,6009
79499,14,0,19,18,13,26,13,0,0,101,0,7,0,4,3,0,4,0,0,18,3,8,18,26,24,18,14,0,0,111,4,19,57,62,62,45,27,7,0,281,0,0,23,33,74,56,44,8,0,248,0,0,11,12,21,26,27,12,0,111,0,3,14,10,5,14,11,3,0,58,0,8,24,14,11,11,5,0,0,66,0,3,14,24,12,15,15,0,0,77,0,0,4,8,6,10,6,0,0,38,0,0,11,5,8,10,0,0,0,30,0,0,9,4,5,4,0,0,0,27,0,0,13,22,10,5,0,0,0,53,0,0,4,4,3,0,0,0,0,14,0,0,4,7,0,7,0,0,0,19,4,28,65,54,59,59,42,9,0,314,30,84,292,305,311,300,205,33,6,1567,17,0,23,27,15,31,7,0,0,123,7,4,8,3,3,7,6,0,0,36,9,7,13,31,29,24,3,3,0,116
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,4,4,7,3,0,0,0,23,4,6,16,22,18,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5600,1411,1087,613,595,743,818,303,84,11258,2734,552,243,160,145,207,306,134,41,4526,1501,1115,505,332,347,390,588,372,116,5264,560,1170,814,478,534,671,1137,1028,314,6701,450,1077,941,559,559,688,1144,829,389,6632,622,1486,1536,717,535,653,965,685,230,7426,487,1633,1924,855,617,742,1060,720,236,8267,428,2088,3228,1583,1133,1135,1438,855,272,12168,187,2140,5110,2611,1864,1866,1762,938,250,16718,80,1655,4880,2698,1813,1707,1563,709,186,15286,37,908,4956,3326,2267,1899,1474,616,134,15609,6,307,3514,3546,2426,1788,1000,324,82,12989,14,257,5828,9109,7425,4379,1483,440,95,29025,0,36,817,2164,2017,1247,379,89,25,6769,9,40,1013,3933,4352,2820,761,169,51,13141,685,1178,2244,1590,1155,933,756,585,366,9478,13386,17042,38637,34275,27785,21866,16625,8781,2868,181261,4536,1076,2090,1841,1321,1871,1322,497,128,14681,3107,578,456,480,415,589,768,379,104,6868,1922,1220,797,673,519,790,1183,729,198,8035
89499,5,5,5,4,4,0,0,0,0,23,0,3,4,0,3,0,0,0,0,11,8,3,4,5,5,0,0,0,0,30,0,5,5,4,3,3,5,0,0,29,0,3,0,5,0,0,3,0,0,18,4,6,3,4,0,0,0,0,0,12,0,7,8,0,3,3,0,0,0,19,0,3,5,6,5,0,4,0,0,20,0,4,7,0,4,0,0,0,0,20,0,0,5,0,4,0,0,0,0,8,0,3,3,0,0,0,0,0,0,9,0,0,3,0,0,4,0,0,0,9,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,3,0,0,0,3,7,7,13,20,15,12,8,4,0,83,23,44,60,62,53,38,21,6,0,315,4,6,3,4,3,4,0,0,0,25,3,0,4,0,0,0,0,0,0,10,20,6,0,0,0,0,0,0,0,36
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,21,3,3,3,5,9,15,10,0,74,18,0,3,4,5,0,14,3,0,49,6,8,0,5,7,9,17,9,0,58,0,3,4,7,8,12,41,23,6,108,4,3,0,0,5,10,39,16,9,93,7,5,10,8,8,26,23,14,5,99,10,4,15,16,19,32,20,8,0,129,0,16,21,25,33,43,15,10,5,158,0,15,39,30,41,49,18,5,0,193,0,3,23,23,26,26,17,0,0,116,0,4,15,24,22,26,16,0,0,111,0,4,14,28,17,21,19,0,0,105,0,3,17,46,33,48,12,0,0,163,0,0,5,0,13,10,5,0,0,37,0,0,3,5,10,9,9,0,0,29,16,35,159,104,89,58,49,19,0,541,88,108,335,328,347,378,318,120,36,2068,29,8,12,11,15,32,26,5,0,135,28,4,0,8,4,12,11,4,0,74,11,12,6,9,11,25,18,4,0,92
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
