GCCSA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,8063,1028,313,16,19,9439,3698,542,167,8,0,4413,3467,529,185,4,0,4187,6608,1036,421,12,10,8084,9778,1510,765,10,6,12070,31557,4127,1801,19,64,37575,35345,4051,1201,10,57,40669,33682,3606,733,14,61,38103,13124,1307,212,6,28,14677,10634,936,158,9,16,11752,7538,597,132,8,14,8301,8261,953,295,5,14,9541,171766,20235,6394,111,301,198807
4RSAU,2571,117,20,12,6,2727,2042,176,14,4,7,2245,2110,177,13,7,6,2315,4255,295,38,19,4,4608,5462,288,24,10,7,5792,10997,308,32,27,20,11376,7528,101,6,22,17,7677,4907,65,0,21,11,5006,1440,19,9,8,3,1479,1061,9,0,9,0,1086,767,15,5,6,8,800,2308,93,10,9,9,2432,45449,1663,173,154,96,47532
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,11931,1337,463,8,12,13759,3951,452,171,3,0,4582,3552,450,221,0,0,4221,6267,925,400,15,3,7613,9185,1348,658,10,7,11213,33749,4915,2217,13,22,40915,50231,5852,2285,19,33,58417,71682,5857,1941,22,49,79547,33141,2327,772,5,17,36270,26610,1972,700,7,8,29306,20901,1263,497,10,16,22689,16067,1413,507,13,14,18014,287282,28130,10833,135,174,326548
5RWAU,2774,82,19,14,21,2910,1389,57,3,3,6,1465,1292,67,9,3,10,1379,2592,121,15,16,5,2753,3414,164,16,19,4,3618,10052,400,40,42,11,10554,10953,267,26,31,13,11285,11351,265,21,42,16,11696,4363,84,8,17,9,4471,3321,77,4,17,10,3420,2094,58,7,22,28,2206,3190,89,11,24,11,3328,56785,1720,184,254,148,59087
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,1555,49,44,0,3,1656,814,30,25,0,0,869,725,26,36,0,0,783,1408,48,59,3,0,1517,2049,64,87,0,3,2208,6208,208,243,9,4,6673,6379,152,155,3,0,6693,5814,114,87,4,8,6023,2086,49,15,4,6,2160,1546,35,27,4,0,1604,1046,24,17,4,4,1084,1339,32,41,0,4,1420,30948,828,844,37,25,32686
6RTAS,1986,57,23,4,10,2078,1440,33,15,4,0,1495,1437,35,13,6,0,1488,2853,93,53,8,6,3006,4095,87,46,7,0,4237,9940,171,101,14,9,10226,7062,103,33,13,8,7224,4596,77,15,13,5,4707,1354,20,8,0,3,1378,1006,16,6,3,4,1023,643,11,3,3,0,669,1872,32,17,0,3,1922,38267,736,338,75,46,39474
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,423,25,73,0,0,521,123,10,29,0,0,166,122,15,34,0,0,174,263,43,77,3,0,380,337,54,131,4,0,521,1259,201,380,8,0,1842,1834,220,436,4,0,2492,3640,220,394,0,3,4254,2222,93,166,0,0,2482,1810,51,122,3,0,1987,1089,35,72,0,0,1199,731,51,86,3,0,873,13847,1016,1991,27,3,16881
7RNTE,135,14,0,9,0,162,57,12,0,0,0,76,57,6,0,0,0,62,89,28,5,6,3,129,171,50,9,4,0,237,500,159,7,8,6,680,786,157,8,5,6,959,920,86,4,5,8,1025,405,23,0,5,3,435,265,23,0,6,6,295,165,7,0,0,5,176,205,20,4,3,3,237,3748,591,44,48,42,4481
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,2146,350,235,0,0,2731,609,96,71,0,0,777,527,115,96,0,0,735,890,215,226,0,0,1334,1187,313,385,0,0,1891,3751,1234,1936,0,3,6925,5687,2352,2383,0,6,10429,11788,2757,1985,0,0,16532,7979,956,602,0,5,9542,7238,693,512,0,6,8451,4984,404,302,0,4,5695,2086,355,283,0,0,2725,48878,9835,9001,4,32,67754
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,16,0,3,0,0,17,9,0,0,0,0,9,5,0,0,0,0,9,20,3,0,0,0,21,20,0,0,0,0,21,65,8,6,0,0,71,45,0,0,0,0,49,40,4,0,0,0,42,14,0,0,0,0,14,6,0,0,0,0,6,3,0,0,0,0,9,15,0,0,0,0,15,252,13,6,0,4,280
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
