GCCSA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
39499,25,52,83,93,111,181,229,42,5,804,16,30,63,68,83,117,167,38,8,589,10,46,127,79,76,94,85,14,3,538,5,46,120,53,44,70,66,11,0,415,3,50,159,54,57,63,34,6,0,427,0,26,110,53,38,47,20,0,0,298,0,12,52,28,28,37,6,5,0,170,0,7,48,33,20,23,4,0,0,135,0,0,33,17,16,15,4,0,0,81,0,0,26,27,13,10,0,0,0,88,0,3,6,7,9,3,0,0,0,24,0,0,9,14,10,9,0,6,0,41,53,122,325,207,187,175,113,26,3,1213,291,493,1345,885,887,1170,870,160,25,6127,182,57,176,136,161,307,115,22,6,1149,50,27,47,32,38,80,33,8,0,309,104,104,157,168,172,203,147,28,0,1085,41,99,185,229,232,334,490,119,4,1729,29,59,118,148,183,237,416,97,16,1303,26,64,192,133,128,201,226,35,0,1013
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,2272,4491,5008,4294,4822,7513,13176,8703,2647,52926,1496,3915,5134,4877,5175,7447,14086,12249,7510,61887,1268,5547,8801,7531,6901,7565,9478,6165,3281,56536,657,4892,9444,8554,7592,7082,6346,3281,1453,49306,335,4986,11688,10009,9013,7848,4484,1974,867,51199,170,4193,13214,11230,10411,8780,3524,1137,416,53073,56,2201,9834,8499,7892,6131,1995,570,213,37383,29,863,7709,7452,6841,4934,1518,533,229,30110,20,269,4291,5504,5327,3531,923,261,103,20233,16,173,4188,7626,7752,4787,1254,349,129,26272,9,42,522,1236,1316,799,281,112,49,4372,17,77,473,1728,2195,1454,652,305,158,7054,1668,1949,4265,3623,3334,3175,3384,3512,3386,28291,38114,44468,97097,93732,88828,87163,74658,44835,22535,591428,32774,8175,9884,8159,7544,12422,8726,2967,1385,92039,17468,4122,2644,2614,2530,4156,4548,1728,484,40302,11026,9835,7065,5669,5636,8041,8932,4728,1602,62528,4016,8430,9062,7349,8527,12859,23433,16980,5513,96168,2941,7384,8555,7565,8620,12359,22818,18601,10702,99539,3127,10416,13933,10743,10225,11937,16573,10560,4757,92270
4RSAU,481,642,1261,1233,1632,2939,5984,3465,872,18509,426,758,1490,1406,1878,2949,5193,4247,2297,20648,512,1113,2230,2221,2333,2911,3278,1960,923,17475,316,1187,2384,2472,2598,2646,2208,1149,366,15320,175,1148,2522,2565,2742,2666,1366,574,168,13925,91,792,2283,2260,2783,2533,1015,313,105,12167,21,465,1442,1512,1825,1530,557,152,49,7547,21,197,1166,1196,1442,1185,435,202,54,5892,11,88,640,769,1013,738,247,65,13,3587,3,70,602,1000,1278,1014,292,101,25,4386,6,9,77,136,186,153,91,33,0,697,3,33,96,223,296,307,167,104,30,1256,907,601,1452,1386,1747,1938,2054,1754,1111,12962,9815,8451,20218,20806,24599,29024,27281,15866,6558,162625,6998,889,1508,1446,1859,3984,2756,953,328,20731,4445,413,595,596,788,1407,1456,558,163,10410,2465,1402,1898,1659,1995,3454,3594,1689,448,18605,900,1249,2125,2087,3009,5270,11208,7339,1865,35048,960,1319,2292,2203,3062,5225,9545,7157,3449,35211,1297,1905,3190,3041,3438,4743,6372,3660,1412,29051
49499,5,13,33,21,25,20,43,5,0,167,6,3,27,28,19,18,34,5,0,141,7,6,43,20,15,18,9,0,0,113,0,7,19,19,8,22,14,0,0,99,3,8,23,12,11,10,0,0,0,68,0,10,16,4,7,8,3,0,0,57,0,0,11,3,3,0,0,0,0,21,0,0,5,7,4,3,0,0,0,24,0,0,4,3,5,4,0,0,0,21,0,0,11,11,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,5,7,4,0,0,0,0,8,19,16,61,63,44,26,17,4,0,251,112,95,305,245,178,197,141,26,10,1306,49,11,48,32,25,62,22,6,0,252,5,9,9,12,8,14,15,6,4,65,60,49,67,46,55,55,23,0,0,354,10,29,74,67,56,58,83,15,0,402,8,15,44,50,52,57,70,16,3,317,6,13,55,25,37,38,27,3,0,204
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3637,6245,6902,6979,6624,8773,16361,10624,2853,69000,2451,5730,7464,7391,6868,8318,16674,13569,7096,75549,2169,7491,11901,11281,9835,9558,11804,7182,3175,74398,1295,6978,13054,12552,10780,9196,7669,3830,1466,66821,835,7336,15896,14246,13146,10163,5789,2321,942,70680,387,6179,18353,15944,14871,11849,4691,1338,486,74108,170,3777,15303,12766,11713,8831,2835,698,243,56329,79,1855,13169,11502,10603,7620,2212,617,273,47934,26,648,8358,8443,7887,5205,1382,319,102,32363,30,663,9970,14328,13524,8197,1909,432,171,49223,11,92,1481,2742,2572,1603,471,179,65,9202,32,98,1260,4152,4565,2480,914,436,152,14081,2873,3709,8813,7196,6131,5227,5157,5189,5061,49354,60176,65344,154640,155066,138742,123146,99302,55001,25048,876467,50981,10512,18196,18635,15164,21304,16527,5782,2009,159103,26523,5773,4304,4798,3940,5825,6505,2481,820,60964,15480,12363,9112,8331,7463,9895,12359,6524,2025,83560,6440,11330,11486,10276,10262,13940,28855,21029,6062,119682,5022,10193,11329,10057,9988,12743,27127,21268,10034,117763,5154,13575,17331,14710,13342,13991,20854,12970,4784,116720
5RWAU,670,752,1717,1860,1890,2837,5200,2865,660,18452,617,716,1812,1980,1978,2692,4649,3320,1460,19232,761,1179,2690,3003,2764,2804,3143,1756,672,18784,570,1416,2852,3154,3107,2676,2012,962,286,17034,363,1581,3169,3410,3495,2991,1418,545,212,17187,198,1313,3407,3458,3831,3243,1154,344,87,17035,71,874,2523,2584,2650,2205,634,167,45,11763,43,489,2242,2242,2451,1820,488,180,72,10029,19,202,1495,1612,1757,1267,351,80,21,6800,20,221,1699,2401,2685,1901,471,100,37,9535,0,26,278,402,428,313,96,39,15,1586,8,28,239,537,625,450,231,87,29,2245,1556,1443,3700,3530,3363,3143,2561,1779,1163,22231,14251,12084,33035,35076,35283,35206,27493,14003,5399,211827,9814,1375,3409,2921,2933,5207,3798,1146,381,30981,5843,502,996,1083,907,1526,1621,586,209,13271,3027,1641,2697,2695,2435,3342,3601,1643,516,21607,1219,1369,2707,2769,3077,4740,9743,6073,1482,33172,1298,1234,2537,2704,2999,4385,8374,5743,2183,31463,1767,2004,3611,3845,3819,4386,5941,3281,1053,29713
59499,17,22,63,94,68,47,65,10,0,387,6,23,37,31,47,41,53,10,3,240,5,14,49,37,29,36,24,8,0,194,4,24,59,23,15,18,13,0,0,164,0,19,57,24,16,23,12,0,0,155,3,20,58,26,22,29,7,0,0,154,0,4,29,28,15,13,3,0,0,82,0,5,17,15,15,13,0,0,0,70,0,0,18,12,4,10,3,0,0,43,0,0,21,21,9,3,0,0,0,58,0,0,0,3,0,4,0,0,0,11,0,3,6,13,0,0,0,0,0,27,25,66,158,132,119,125,81,11,10,736,147,256,692,613,468,477,316,38,16,3030,63,29,83,78,78,91,43,6,3,472,21,22,26,39,23,46,13,0,0,193,67,93,167,241,210,119,47,10,4,958,21,48,136,212,184,151,146,37,0,923,8,44,66,77,79,79,130,20,3,496,9,28,83,65,50,60,63,20,0,384
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,8,0,0,7,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,8,0,0,0,0,23,3,11,14,11,9,3,4,0,0,61,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,3
6GHOB,349,731,1046,703,719,1227,2200,1433,375,8773,229,666,1243,945,952,1401,2615,2125,1036,11227,209,879,2000,1359,1178,1377,1852,1094,468,10407,121,829,2077,1534,1286,1275,1327,687,275,9412,78,820,2344,1747,1429,1365,946,408,175,9313,36,723,2578,1975,1789,1642,742,274,91,9851,12,436,1808,1501,1412,1168,406,98,38,6869,0,153,1304,1315,1400,1046,285,101,50,5649,4,52,831,962,1085,693,179,47,12,3866,3,26,766,1414,1508,995,196,55,24,4984,0,4,77,182,243,154,38,27,8,745,11,16,97,312,405,261,93,57,20,1263,358,381,977,700,605,629,745,726,621,5738,6453,7341,19834,16250,15439,15666,13805,8028,3516,106333,5758,1223,2303,1169,977,1769,1253,468,156,15075,2877,605,586,406,369,658,745,303,76,6625,1660,1570,1436,897,881,1268,1547,815,282,10343,603,1395,1941,1223,1257,2058,3937,2768,734,15921,493,1208,2167,1507,1598,2346,4209,3172,1481,18188,541,1658,3341,1977,1703,2214,3078,1843,713,17061
6RTAS,444,708,1187,1064,1466,2539,4694,2494,519,15109,366,703,1334,1336,1651,2349,4309,3256,1628,16941,312,1054,2105,1913,2075,2345,2456,1423,631,14317,198,1075,2265,1935,2081,2047,1570,782,232,12182,104,1110,2344,1993,2144,2020,965,376,137,11187,47,749,2102,1952,2218,2017,699,204,67,10052,13,367,1417,1339,1461,1178,368,111,9,6272,7,160,1054,1091,1231,1003,324,124,46,5036,3,47,612,766,943,718,183,45,6,3323,0,32,488,909,1130,837,195,62,21,3672,0,9,42,137,157,127,54,20,4,553,14,11,77,206,275,234,120,61,18,1025,537,512,1077,951,1086,1315,1356,1219,772,8832,8039,7822,18362,17708,20349,23258,20461,11369,4415,131795,6410,864,1433,1266,1627,3222,1922,661,197,17597,3383,455,554,509,692,1176,1071,394,101,8326,2140,1458,1526,1337,1558,2638,2811,1248,277,15002,807,1288,2068,1759,2551,4403,8813,5426,1143,28265,745,1257,2174,2006,2691,4045,7585,5318,2359,28193,873,1816,3125,2639,3012,3729,4613,2613,962,23388
69499,10,13,13,12,7,19,13,0,0,79,3,7,11,10,10,11,13,3,0,72,0,8,13,10,6,3,5,0,0,44,0,5,4,3,7,3,3,0,0,26,0,0,15,6,3,7,6,0,0,33,0,0,9,9,6,5,7,0,0,33,0,0,6,0,0,0,0,0,0,5,0,0,4,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,11,18,10,28,30,5,0,110,48,53,92,97,78,98,72,13,4,561,23,8,16,6,14,18,0,0,0,94,6,6,5,5,0,8,0,0,0,28,26,24,21,29,17,15,7,0,0,144,10,24,29,39,29,25,28,8,0,187,0,7,24,24,40,23,29,11,0,158,0,9,30,20,18,12,11,0,0,103
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,181,243,386,301,267,366,581,270,65,2656,139,233,476,375,327,362,632,372,127,3043,151,357,813,561,395,391,424,207,51,3355,124,431,938,658,464,369,306,141,33,3468,116,538,1295,894,687,513,345,113,18,4514,78,592,1731,1210,956,696,298,71,6,5640,33,447,1508,1101,834,537,185,35,0,4689,13,204,1340,1104,896,604,164,36,0,4359,0,79,937,812,734,477,122,20,6,3176,3,53,1069,1655,1486,936,162,19,4,5390,0,4,86,203,205,149,37,3,0,691,8,8,84,278,302,174,64,14,4,931,353,405,1218,992,754,573,403,188,84,4965,3735,4144,13199,11286,9043,7139,4513,1776,465,55301,2864,546,1152,866,663,1005,771,243,65,8177,1424,191,252,215,164,204,235,72,14,2774,777,411,482,419,316,418,462,248,45,3582,337,436,632,487,494,658,1079,582,111,4816,271,461,750,530,510,626,1174,665,200,5185,357,636,1215,774,582,652,860,391,86,5547
7RNTE,162,348,705,616,475,403,316,135,18,3171,86,144,364,365,322,335,357,166,63,2201,78,156,432,364,282,232,175,53,17,1792,82,181,376,330,213,187,110,43,11,1529,77,222,525,359,297,206,116,37,15,1857,51,234,745,436,401,353,119,13,0,2362,21,171,680,393,359,286,77,5,0,1999,5,95,571,420,349,296,68,10,0,1818,3,35,397,289,284,206,56,9,0,1269,6,18,364,512,557,422,91,6,0,1979,0,5,51,79,64,46,20,4,0,273,0,0,33,61,95,57,14,4,0,275,477,359,926,727,603,523,260,97,15,3993,3057,3225,8392,6607,5597,4514,2299,722,198,34608,2083,313,427,289,261,370,245,88,14,4085,935,526,780,648,486,313,165,47,28,3928,1258,1758,3016,2111,1624,993,548,151,41,11499,307,604,1220,1070,840,715,610,280,36,5682,150,235,580,611,588,606,702,298,79,3845,151,277,686,598,492,422,359,121,28,3139
79499,8,15,44,56,45,40,26,5,0,242,0,12,32,35,50,43,15,5,0,198,0,10,30,21,23,21,13,0,0,123,0,9,25,14,9,9,3,0,0,77,0,8,23,10,18,7,0,0,0,67,0,5,27,7,11,3,4,0,0,49,0,4,24,3,9,6,3,0,0,44,0,0,17,10,7,4,0,0,0,30,0,0,5,6,3,0,0,0,0,26,0,0,8,15,10,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,20,24,82,38,51,70,30,3,0,312,64,99,364,268,280,279,114,17,4,1486,28,5,47,37,33,58,23,6,0,221,6,8,8,7,9,10,9,0,0,54,7,18,29,51,49,39,17,3,0,224,16,35,99,116,110,83,56,9,0,523,5,14,51,64,130,103,61,14,3,451,4,10,46,32,49,51,37,11,0,232
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8ACTE,756,1312,999,766,638,1020,1795,1257,359,8898,525,1389,1312,952,831,1126,2268,1881,920,11202,490,1801,2160,1405,1020,1288,1854,1268,538,11831,352,1627,2429,1508,1152,1321,1757,1067,373,11599,310,1832,3393,2198,1603,1672,1723,903,330,13962,166,2049,4372,3044,2189,2030,1666,664,225,16412,65,1861,4843,3157,2168,1900,1159,384,162,15691,17,937,5272,3700,2904,2095,874,288,99,16196,9,258,3479,3392,2759,1814,626,184,55,12579,10,176,4793,7746,6704,3498,767,200,74,23967,4,16,445,1204,1172,629,167,58,19,3717,4,21,356,1648,1978,1057,260,98,46,5471,637,981,1800,1296,967,754,832,701,675,8642,12899,17132,38992,35006,28342,23462,19022,10556,4315,189730,10138,2489,3176,2460,1923,2616,2138,796,212,25939,5842,1129,704,635,562,797,1071,510,146,11391,3419,2338,1299,1006,871,1186,1770,1104,316,13301,1313,2478,1816,1250,1170,1696,2931,2280,672,15602,968,2467,2255,1505,1387,1812,3411,2709,1307,17830,1111,3285,3695,2120,1558,1940,2816,1957,773,19259
89499,4,8,7,3,3,4,0,0,0,24,0,0,3,3,0,0,0,0,0,17,0,3,0,7,0,4,0,0,0,9,0,5,0,0,0,3,0,0,0,9,0,6,4,3,3,0,0,0,0,15,0,3,11,3,0,3,0,0,0,19,0,0,0,0,0,3,0,0,0,8,0,3,5,0,0,4,0,0,0,7,0,0,0,0,3,4,0,0,0,9,0,0,0,5,7,0,0,0,0,17,0,0,0,4,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,7,0,4,6,7,7,7,7,0,0,36,37,40,53,33,30,35,10,8,0,249,3,6,11,5,4,8,0,0,0,49,4,3,4,0,5,0,0,0,0,22,29,14,10,5,5,0,3,0,0,62,4,12,7,9,6,11,3,0,0,56,4,5,6,5,5,5,5,3,0,33,4,3,5,9,0,0,0,0,0,25
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,5,9,13,6,16,32,31,6,119,4,6,5,23,19,28,40,34,11,168,3,12,18,27,22,38,29,12,0,165,3,14,20,34,24,26,26,5,0,145,3,21,25,27,44,38,20,4,0,184,4,8,33,26,36,30,12,0,0,138,3,7,14,23,19,23,15,0,0,110,0,0,9,26,20,29,4,0,0,91,0,0,8,12,9,12,3,4,0,59,0,0,14,28,36,21,8,0,0,101,0,0,0,3,5,5,5,0,0,19,0,0,0,0,0,7,0,0,0,11,14,18,55,50,41,52,26,26,3,273,103,108,240,310,316,382,267,135,34,1887,47,10,17,14,20,41,42,19,0,215,47,4,0,9,6,11,30,7,0,124,16,16,6,18,17,31,31,13,3,150,4,4,15,21,13,29,77,53,13,230,14,9,9,25,28,35,74,51,20,264,14,18,26,35,31,63,53,24,7,264
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
