GCCSA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
39499,0,10,0,11,187,72,272,23,10,0,41,253,151,444,163,37,3,209,688,407,1301,253,31,13,291,447,462,1194,94,18,6,113,529,395,1042,16,35,0,52,934,306,1297,5,43,0,50,997,216,1253,0,9,0,9,222,50,283,0,0,0,0,15,8,23,559,193,26,775,4266,2065,7108,4,23,0,21,207,60,291,45,28,0,75,284,123,493,225,37,14,279,701,365,1345,283,11,20,310,307,264,885,97,50,9,153,519,220,887,4,91,0,97,884,188,1170,0,67,0,65,687,113,870,0,0,0,5,140,22,160,0,0,0,0,16,5,25,660,306,43,1013,3745,1372,6127,4,31,0,36,396,129,566,74,37,3,115,538,279,934,391,76,16,486,1389,772,2649,529,36,30,599,748,728,2077,192,65,12,271,1046,619,1929,21,130,0,147,1815,499,2468,5,110,0,118,1679,328,2124,0,13,0,16,363,69,444,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,11,30,37,0,0,0,0,14,45,55,0,0,0,0,15,31,42,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,108,149,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,13,13,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,28,0,0,0,0,0,0,0,0,0,0,0,3,14,16,0,0,0,0,13,34,49,0,0,0,0,12,52,64,0,0,0,0,15,32,45,0,0,0,0,0,8,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0
4GADE,122,1628,14,1765,36680,1733,40172,833,1354,26,2213,42207,2180,46599,19599,2180,473,22250,69352,5011,96616,46828,1576,1323,49730,36854,4337,90922,28274,1985,762,31020,51463,3757,86236,5142,6260,119,11518,66529,3198,81246,874,10766,45,11685,51821,2587,66083,162,2753,9,2923,31945,1850,36722,9,147,0,156,12500,1068,13726,101843,28642,2771,133257,399352,25716,558325,193,2712,17,2922,33608,1585,38114,1963,2465,111,4533,38130,1797,44468,31040,3702,1433,36180,56810,4110,97097,56732,2599,2781,62108,28264,3359,93732,26284,4893,1058,32230,53632,2964,88828,2374,16537,185,19101,65331,2729,87163,628,17595,92,18310,53622,2725,74658,152,3070,22,3242,39041,2552,44835,23,166,0,191,20424,1915,22535,119385,53736,5699,178819,388864,23741,591428,312,4342,27,4685,70282,3319,78280,2797,3818,134,6751,80339,3978,91070,50638,5885,1908,58431,126163,9119,193712,103562,4169,4101,111835,65118,7693,184652,54555,6879,1816,63251,105099,6717,175064,7511,22795,305,30617,131860,5930,168406,1506,28357,135,29998,105438,5314,140746,314,5823,30,6169,70992,4403,81558,35,316,5,352
4RSAU,60,525,9,596,9237,1041,10870,423,366,17,803,7774,872,9450,6087,608,219,6908,11580,2241,20733,10169,448,397,11014,7446,2208,20666,6067,837,172,7085,15187,2211,24485,1155,2401,39,3592,23459,2148,29204,245,2571,13,2825,23236,1891,27958,39,477,0,520,13378,1264,15169,4,22,0,27,3978,485,4495,24257,8247,865,33374,115282,14365,163013,90,883,11,988,7941,883,9815,949,691,55,1697,6195,556,8451,8987,933,634,10554,8314,1354,20218,12296,730,852,13878,5634,1295,20806,5405,2092,262,7760,15260,1582,24599,477,5517,54,6044,21311,1668,29024,143,3869,20,4030,21558,1699,27281,38,576,3,620,13904,1336,15866,7,33,0,34,5751,768,6558,28396,15328,1894,45615,105874,11134,162625,151,1409,18,1586,17175,1924,20686,1377,1059,74,2504,13971,1431,17897,15074,1537,856,17463,19891,3593,40951,22468,1176,1249,24893,13077,3503,41473,11475,2932,433,14840,30445,3795,49086,1631,7919,86,9641,44772,3814,58227,391,6435,39,6858,44795,3587,55238,80,1056,9,1141,27292,2599,31032,14,51,0,63
49499,0,0,0,0,54,14,74,7,0,0,10,71,24,108,45,4,0,53,180,93,320,55,6,4,64,129,94,289,29,6,5,34,170,94,299,4,13,0,19,192,97,311,0,3,0,3,165,46,214,0,0,0,0,31,5,40,0,0,0,0,6,0,7,144,45,11,198,1006,471,1668,7,10,0,19,78,17,112,7,6,0,10,68,16,95,67,12,3,87,147,72,305,64,8,5,72,85,82,245,25,10,0,34,95,43,178,3,22,0,29,144,27,197,0,10,0,10,110,17,141,0,5,0,6,23,4,26,0,0,0,0,10,0,10,177,83,9,263,759,288,1306,7,16,0,21,134,35,186,12,7,0,23,147,40,206,112,23,4,139,321,166,627,119,9,9,143,214,176,534,54,19,5,76,265,138,478,9,33,0,46,339,129,513,0,18,0,18,276,60,359,0,7,0,3,51,11,64,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,204,2970,26,3192,57051,2896,63138,1420,2102,48,3567,59153,4563,67284,31210,3519,834,35566,101124,12578,149264,75652,2670,2170,80487,59992,11372,151848,45176,3215,1183,49570,77159,9093,135822,8155,9086,217,17455,92848,6738,117039,1418,14050,61,15527,70881,4245,90651,256,3598,22,3877,41044,3184,48100,35,186,0,219,13627,1937,15791,163516,41391,4559,209470,572875,56599,838947,313,4830,48,5196,52228,2757,60176,3496,4086,203,7780,54124,3437,65344,52784,6613,2632,62028,84088,8525,154640,92644,4776,5295,102719,45477,6872,155066,42735,8594,1939,53263,79959,5519,138742,3597,25322,295,29217,89314,4617,123146,982,24233,144,25352,69716,4230,99302,232,4356,29,4619,46292,4088,55001,35,249,0,282,21285,3477,25048,196820,83056,10589,290463,542491,43517,876467,515,7803,72,8390,109280,5648,123315,4919,6180,250,11351,113275,8001,132631,83996,10126,3468,97589,185212,21103,303907,168297,7446,7465,183212,105467,18241,306917,87906,11811,3121,102836,157119,14616,274565,11750,34404,514,46668,182165,11350,240188,2403,38280,203,40879,140601,8470,189951,484,7955,57,8500,87332,7273,103099,65,434,0,503
5RWAU,89,816,8,916,12738,1759,15418,692,520,46,1262,10328,1928,13513,8805,912,367,10085,18094,5602,33781,16264,798,704,17767,12599,5422,35786,9207,1090,330,10626,21239,5120,36989,1703,2489,63,4250,28366,4236,36850,275,2465,18,2757,23685,2721,29161,60,451,4,514,11913,1441,13867,7,27,0,36,3242,560,3843,37104,9563,1537,48206,142204,28796,219201,148,1399,36,1580,11129,1549,14251,1487,902,130,2515,8173,1385,12084,13198,1443,1126,15767,13685,3591,33035,19414,1331,1643,22392,9291,3398,35076,8173,2741,505,11418,20683,3173,35283,697,6133,75,6908,25417,2878,35206,150,4026,33,4209,21068,2218,27493,59,609,6,666,11849,1488,14003,8,42,4,57,4507,832,5399,43325,18631,3556,65514,125807,20508,211827,232,2214,47,2495,23869,3309,29670,2181,1429,177,3783,18497,3316,25595,22003,2354,1493,25848,31782,9194,66822,35679,2128,2346,40158,21888,8816,70860,17380,3828,833,22041,41926,8296,72266,2397,8622,141,11156,53782,7112,72050,425,6495,50,6966,44756,4932,56655,115,1060,9,1176,23762,2928,27867,16,71,5,88
59499,6,11,0,6,67,40,118,10,6,0,16,151,133,295,83,16,4,105,326,390,822,144,11,5,164,232,531,926,52,6,0,61,267,512,842,9,15,0,23,306,336,667,5,10,0,15,283,146,444,0,0,0,3,69,46,118,0,0,0,0,7,9,14,311,72,13,393,1708,2148,4247,4,14,0,18,66,59,147,17,8,0,27,123,105,256,101,24,6,130,299,265,692,163,11,17,189,141,281,613,29,19,8,49,199,227,468,0,33,3,38,279,161,477,0,15,0,15,210,90,316,0,0,0,0,27,14,38,0,0,0,0,5,12,16,310,126,30,469,1353,1213,3030,7,23,0,30,133,105,261,27,17,4,46,278,238,562,179,40,9,231,627,661,1512,308,23,23,352,379,805,1543,76,26,7,114,466,740,1313,9,51,3,64,586,495,1144,5,27,0,29,489,242,758,0,0,0,3,92,65,155,0,0,0,0
59799,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
6GHOB,16,291,3,318,6182,372,6871,224,225,8,459,6626,395,7479,3901,502,119,4516,14194,1209,19920,7720,300,302,8326,6185,889,15407,4595,423,166,5193,8331,690,14213,885,1133,22,2050,11577,645,14272,153,1915,4,2069,9673,599,12337,23,502,4,524,5605,440,6566,0,28,0,29,1894,194,2116,17516,5322,635,23471,70274,5432,99180,36,568,9,605,5495,349,6453,451,485,26,962,6030,350,7341,5765,865,341,6969,11878,991,19834,9177,582,680,10436,5118,693,16250,4553,1059,239,5849,9032,554,15439,398,3082,24,3514,11601,551,15666,91,3208,16,3312,9869,627,13805,26,586,0,611,6848,573,8028,0,28,0,31,3138,347,3516,20496,10454,1334,32288,69013,5035,106333,51,859,14,927,11679,723,13323,679,707,32,1419,12658,741,14817,9662,1367,457,11481,26077,2200,39761,16900,881,981,18765,11310,1588,31656,9153,1485,405,11042,17361,1244,29653,1285,4217,50,5562,23184,1198,29934,244,5119,20,5380,19535,1224,26145,45,1090,4,1135,12451,1010,14594,3,50,0,57
6RTAS,40,344,0,388,7544,683,8613,427,288,11,725,6968,564,8257,5035,506,177,5715,11371,1219,18305,8343,386,312,9036,6309,1035,16385,4798,634,143,5570,12286,1125,18985,1066,1609,35,2706,18002,1285,21995,176,1761,10,1951,16944,1334,20225,36,356,0,393,9397,861,10656,0,4,0,9,2558,379,2948,19917,5895,680,26495,91382,8486,126364,70,674,7,751,6742,553,8039,875,568,47,1485,5868,475,7822,7425,821,521,8768,8565,1036,18362,10127,601,664,11390,5419,897,17708,4484,1725,224,6435,12935,982,20349,411,4076,47,4534,17563,1159,23258,101,2801,13,2913,16349,1207,20461,23,425,3,453,9902,1020,11369,4,19,0,25,3862,531,4415,23519,11703,1525,36742,87206,7846,131795,109,1014,9,1136,14291,1233,16655,1303,854,59,2212,12835,1035,16081,12456,1329,696,14484,19936,2250,36669,18473,987,968,20424,11732,1932,34094,9279,2359,368,12003,25226,2104,39338,1480,5687,74,7244,35562,2444,45251,277,4566,19,4855,33292,2542,40695,63,782,3,843,19296,1881,22020,6,26,0,35
69499,0,4,0,4,25,10,43,3,3,0,11,47,10,71,28,7,0,35,62,40,135,27,5,3,29,45,27,99,13,3,0,13,87,29,130,0,0,0,4,68,32,104,0,0,0,0,44,45,90,0,0,0,0,13,4,18,0,0,0,0,0,0,0,71,17,3,90,397,204,689,3,3,0,4,33,10,48,4,6,4,14,33,7,53,28,0,0,31,47,12,92,32,0,0,33,42,21,97,7,6,0,10,49,17,78,3,4,0,4,72,27,98,0,0,0,0,41,30,72,0,0,0,0,8,4,13,0,0,0,0,4,0,4,76,25,5,99,336,122,561,3,8,0,6,66,18,95,10,6,4,20,86,19,119,55,8,0,62,113,50,228,57,5,3,66,88,52,198,20,11,0,28,134,46,203,3,3,0,5,140,55,199,0,0,0,0,84,71,163,0,0,0,0,22,10,31,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,11,199,0,206,3300,407,3914,144,159,9,305,3882,708,4903,2357,294,72,2719,8312,1719,12750,4576,215,157,4940,4532,1345,10821,2539,259,58,2852,5365,1145,9359,511,476,11,998,5738,758,7494,122,502,0,624,3749,480,4858,14,106,3,121,1515,196,1830,0,11,0,8,311,54,370,10266,2218,309,12793,36704,6817,56309,34,350,5,395,2992,356,3735,326,260,18,609,3125,413,4144,3871,513,219,4597,7356,1244,13199,5592,376,346,6316,3976,993,11286,2240,591,122,2953,5322,769,9043,204,1133,10,1352,5209,583,7139,46,916,10,977,3158,383,4513,9,159,0,174,1419,192,1776,0,7,0,13,371,77,465,12318,4321,735,17377,32917,5012,55301,47,551,5,602,6290,766,7651,471,417,26,916,7009,1125,9046,6223,801,287,7317,15669,2963,25950,10166,589,499,11259,8510,2339,22108,4778,849,178,5805,10689,1910,18400,713,1613,21,2351,10947,1341,14637,169,1423,14,1602,6905,868,9374,22,271,3,292,2929,382,3608,9,17,0,22
7RNTE,79,705,33,813,2125,430,3375,313,576,117,1007,1857,468,3326,1718,740,339,2802,3893,1174,7872,2167,536,300,3003,2592,920,6512,1002,616,154,1777,2853,736,5358,245,472,65,776,3070,635,4487,64,256,21,343,1835,326,2507,9,53,4,68,590,123,780,0,8,0,7,103,14,123,5604,3961,1026,10599,18919,4817,34338,149,742,69,958,1724,377,3057,559,648,189,1399,1519,307,3225,2597,913,590,4103,3430,860,8392,2610,765,486,3863,2080,664,6607,951,1051,222,2221,2792,585,5597,151,912,97,1164,2863,490,4514,48,442,25,515,1522,259,2299,3,72,12,90,544,86,722,4,12,0,15,155,26,198,7075,5561,1687,14328,16630,3658,34608,230,1444,97,1768,3850,805,6424,874,1229,303,2405,3375,773,6550,4321,1655,934,6901,7323,2036,16263,4780,1296,788,6865,4674,1584,13120,1954,1668,374,3993,5640,1318,10954,399,1387,155,1944,5928,1127,8995,116,699,48,864,3360,587,4809,11,127,14,156,1136,207,1499,3,17,0,27
79499,0,0,0,0,16,15,30,3,0,0,4,36,48,84,30,0,0,31,159,103,292,62,0,0,64,110,132,305,27,7,0,31,133,151,311,0,3,0,3,181,119,300,4,0,0,0,147,52,205,0,0,0,0,24,11,33,0,0,0,0,4,0,6,125,14,3,140,793,635,1567,0,3,0,3,25,31,64,13,4,0,21,43,39,99,50,8,7,59,167,136,364,84,7,4,97,72,105,268,16,11,0,24,132,124,280,8,3,0,7,161,107,279,0,0,0,0,86,33,114,0,0,0,0,7,0,17,0,0,0,0,0,0,4,165,41,13,218,697,568,1486,0,11,0,11,37,49,95,14,9,0,26,80,82,183,76,5,6,91,325,243,661,146,7,3,155,177,236,573,39,14,0,56,265,270,591,9,10,0,9,341,225,579,4,3,0,9,229,81,318,0,0,0,0,36,16,49,0,0,0,0
79799,0,0,0,0,5,0,4,0,0,0,0,6,0,6,5,0,0,0,9,4,16,0,0,0,0,13,4,22,0,0,0,6,7,4,18,0,0,0,0,11,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,56,21,83,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,0,11,0,0,0,0,5,0,4,0,0,0,3,6,0,6,5,0,0,0,9,4,23,0,0,0,0,13,4,22,0,4,0,5,14,4,19,0,0,0,0,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,36,615,4,648,12075,659,13386,189,395,10,591,15339,1112,17042,6348,781,131,7260,29127,2250,38637,17437,549,541,18522,14172,1578,34275,10210,581,287,11081,15594,1115,27785,1831,1649,52,3537,17468,865,21866,245,3134,15,3396,12553,668,16625,42,923,0,966,7308,502,8781,3,57,0,60,2546,258,2868,36334,8693,1045,46069,126178,9018,181261,41,937,3,982,11295,620,12899,492,781,24,1291,14850,991,17132,10082,1313,412,11805,25357,1829,38992,20419,891,1056,22365,11412,1231,35006,9302,1308,404,11020,16415,910,28342,806,4102,55,4962,17805,693,23462,175,5083,32,5292,12991,737,19022,47,1121,9,1178,8789,589,10556,4,45,0,46,3788,478,4315,41376,15568,1999,58945,122712,8075,189730,76,1546,5,1634,23371,1286,26286,679,1176,29,1886,30184,2103,34174,16429,2096,544,19066,54484,4084,77634,37856,1440,1596,40890,25586,2804,69285,19505,1888,693,22094,32008,2026,56126,2641,5754,109,8497,35270,1561,45328,423,8221,46,8687,25543,1407,35639,91,2044,14,2148,16102,1096,19340,9,103,0,107
89499,0,0,0,0,20,4,23,5,0,0,7,28,7,44,9,3,0,10,38,11,60,11,0,0,10,23,30,62,9,0,0,9,28,19,53,0,7,0,7,23,16,38,0,4,0,4,14,10,21,0,0,0,0,3,0,6,0,0,0,0,0,0,0,28,17,0,42,176,97,315,0,0,0,5,36,0,37,3,0,0,6,30,4,40,8,0,0,13,36,7,53,8,6,0,15,13,7,33,8,4,0,6,12,8,30,0,4,0,5,24,8,35,0,5,0,3,0,4,10,0,0,0,0,4,0,8,0,0,0,0,0,0,0,35,20,0,52,159,31,249,0,4,0,5,49,4,58,7,3,0,11,65,7,82,13,9,0,20,70,17,108,22,8,0,26,38,35,104,13,4,0,13,40,27,77,0,11,0,5,47,22,78,0,7,0,3,17,11,34,0,0,0,0,12,0,10,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,6,0,7,67,16,88,0,5,0,5,64,41,108,48,5,5,53,124,162,335,114,12,5,131,99,100,328,81,8,5,92,173,86,347,24,23,0,52,268,57,378,8,25,0,33,242,45,318,0,8,0,8,93,24,120,0,0,0,0,32,0,36,267,80,17,368,1167,529,2068,0,6,0,6,81,18,103,9,13,0,26,64,13,108,70,18,4,92,99,51,240,150,11,17,172,86,52,310,75,14,6,94,177,36,316,15,56,0,66,271,47,382,0,29,0,32,209,32,267,0,11,0,11,100,27,135,0,0,0,0,25,3,34,321,150,25,502,1103,282,1887,0,14,0,14,143,34,189,9,16,0,26,133,58,218,123,22,4,143,222,211,577,264,17,24,301,183,149,638,152,29,13,189,349,124,665,40,79,0,117,542,108,765,4,50,0,59,451,74,587,0,14,0,14,194,46,257,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
