GCCSA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
39499,7861,6807,14670,277,229,504,478,457,932,272,291,566,444,493,934,1301,1345,2649,1194,885,2077,1042,887,1929,1297,1170,2468,1253,870,2124,283,160,444,23,25,44,0,0,0,7861,6807,14670,553,471,1025,44,27,72,57,30,84,652,533,1188,4859,4153,9019,1440,1472,2917,5206,4768,9972,551,630,1184,5052,4566,9621,26,37,63,365,357,721,94,120,212,41,70,112,139,233,369,2202,2483,4685,535,494,1026,1513,1272,2785,441,304,752,278,151,428,42,27,64,0,0,0,0,0,0
39799,149,28,183,0,0,0,0,0,0,0,0,0,4,9,16,37,13,49,55,7,64,42,0,45,3,4,5,3,0,3,0,0,0,0,0,0,108,12,112,45,23,70,0,0,0,0,0,0,0,0,0,0,0,0,27,0,29,19,4,23,27,0,32,18,3,22,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,29,0,0,3,18,0,15,0,0,0,0,0,0,0,0,0,3,0,0,303,54,354
4GADE,680323,706967,1387290,38441,36305,74749,83559,79231,162790,40172,38114,78280,46599,44468,91070,96616,97097,193712,90922,93732,184652,86236,88828,175064,81246,87163,168406,66083,74658,140746,36722,44835,81558,13726,22535,36258,654115,684696,1338814,26211,22264,48480,11062,11369,22429,335,353,688,328,306,635,11725,12032,23761,469853,483351,953204,184269,198554,382824,509858,528011,1037870,142954,153117,296074,586474,611332,1197810,10612,9899,20512,79668,75630,155297,31389,31608,62996,19137,21354,40497,25304,37777,63084,312916,342164,655080,91495,85672,177171,75942,78908,154849,24844,25749,50596,20972,25179,46157,5581,7315,12897,640203,667725,1307930,32983,35654,68633
4RSAU,196384,194455,390843,9835,9511,19344,23535,22316,45857,10870,9815,20686,9450,8451,17897,20733,20218,40951,20666,20806,41473,24485,24599,49086,29204,29024,58227,27958,27281,55238,15169,15866,31032,4495,6558,11053,183578,183870,367446,12810,10582,23387,8884,8904,17784,161,144,308,163,163,324,9205,9213,18415,160289,157598,317889,21624,23523,45144,171129,171686,342820,10130,10770,20900,174053,174899,348957,2273,2245,4516,21660,20599,42257,7026,6921,13949,1252,2009,3257,2580,6097,8675,54738,67579,122319,36036,32915,68950,35154,30006,65159,12411,10027,22438,10107,8813,18921,837,663,1503,174716,176408,351121,26255,19286,45535
49499,1873,1506,3377,77,56,140,128,139,262,74,112,186,108,95,206,320,305,627,289,245,534,299,178,478,311,197,513,214,141,359,40,26,64,7,10,11,0,0,0,1873,1506,3377,199,180,376,0,0,0,7,3,6,203,180,384,1248,1010,2262,282,249,530,1230,1034,2261,148,167,314,1267,1065,2335,10,13,25,96,110,200,33,61,92,18,22,39,39,54,94,435,417,850,280,228,509,291,256,543,113,70,185,64,31,95,10,6,21,0,0,0,0,0,0
49799,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
5GPER,1045169,1071480,2116647,66701,62896,129598,139523,132116,271642,63138,60176,123315,67284,65344,132631,149264,154640,303907,151848,155066,306917,135822,138742,274565,117039,123146,240188,90651,99302,189951,48100,55001,103099,15791,25048,40831,982901,1031081,2013982,62267,40396,102664,20222,19845,40061,528,440,970,550,500,1054,21295,20787,42083,625249,633260,1258510,366641,394410,761054,775235,790789,1566027,209358,232845,442202,864391,892353,1756740,19288,17915,37204,132167,125144,257308,48308,48486,96795,25734,28648,54383,32967,53116,86085,487763,534884,1022646,78381,76758,155135,158548,154957,313503,34612,33122,67737,20117,23719,43841,5666,6971,12636,956168,1005735,1961910,56080,53273,109345
5RWAU,272586,262218,534804,16402,15458,31859,36983,34933,71916,15418,14251,29670,13513,12084,25595,33781,33035,66822,35786,35076,70860,36989,35283,72266,36850,35206,72050,29161,27493,56655,13867,14003,27867,3843,5399,9237,249186,244752,493940,23395,17463,40863,21745,21726,43471,343,301,643,502,489,992,22598,22510,45110,196061,189302,385366,46121,48887,95015,218211,214225,432431,22253,24032,46286,223022,219657,442673,3848,3727,7567,32760,30917,63679,9205,9103,18309,1622,2080,3703,4017,9356,13375,83523,97772,181293,25387,24795,50181,60329,50335,110658,12950,10162,23110,7740,6185,13926,1156,924,2081,223691,228715,452403,90574,51879,142452
59499,4639,3416,8055,149,153,300,244,230,473,118,147,261,295,256,562,822,692,1512,926,613,1543,842,468,1313,667,477,1144,444,316,758,118,38,155,14,16,30,0,0,0,4639,3416,8055,786,677,1464,11,0,11,13,5,19,819,683,1495,2708,2061,4775,775,656,1431,2185,1896,4079,243,244,486,2120,1823,3943,22,17,34,163,164,327,38,44,76,26,33,62,63,106,169,997,1029,2024,239,218,457,620,423,1036,143,100,241,80,36,118,10,14,30,0,0,0,0,0,0
59799,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
6GHOB,120521,126562,247086,6632,6216,12856,14715,14013,28727,6871,6453,13323,7479,7341,14817,19920,19834,39761,15407,16250,31656,14213,15439,29653,14272,15666,29934,12337,13805,26145,6566,8028,14594,2116,3516,5631,115100,121355,236459,5419,5205,10626,5026,5167,10188,252,251,507,251,273,525,5530,5690,11216,92113,97107,189218,22909,23785,46696,98971,105054,204029,15677,16015,31693,101674,108437,210112,1765,1706,3474,13889,13229,27113,5207,5067,10275,2738,2917,5653,6168,7856,14019,53669,58756,112427,7709,8182,15897,23234,24193,47424,5547,5889,11436,3149,3262,6414,495,528,1022,112094,118198,230287,7714,7740,15452
6RTAS,152471,156617,309087,7871,7515,15385,18231,17308,35543,8613,8039,16655,8257,7822,16081,18305,18362,36669,16385,17708,34094,18985,20349,39338,21995,23258,45251,20225,20461,40695,10656,11369,22020,2948,4415,7361,143843,148912,292762,8622,7707,16330,8464,8946,17406,341,377,717,341,360,698,9138,9682,18821,123305,127308,250612,19099,19706,38805,135155,139698,274855,8359,8567,16917,135538,140507,276048,1861,1840,3701,16898,16045,32936,5949,5963,11907,1713,2113,3827,3917,6177,10087,45147,53648,98796,10898,12533,23433,43301,40751,84054,11207,10212,21415,5835,4999,10831,633,576,1208,139287,144089,283383,11889,11485,23371
69499,758,616,1377,21,19,42,50,36,92,43,48,95,71,53,119,135,92,228,99,97,198,130,78,203,104,98,199,90,72,163,18,13,31,0,4,3,0,0,0,758,616,1377,86,55,143,0,0,0,3,3,5,93,64,150,551,428,973,76,82,161,525,459,978,33,41,74,521,463,985,6,0,6,36,34,68,12,22,36,9,11,24,18,32,50,161,214,374,56,39,94,185,130,314,46,28,75,37,16,50,3,0,8,0,0,0,0,0,0
69799,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,6,12,0,11,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,72,366
7GDAR,70739,69161,139902,4900,4653,9555,9532,9209,18738,3914,3735,7651,4903,4144,9046,12750,13199,25950,10821,11286,22108,9359,9043,18400,7494,7139,14637,4858,4513,9374,1830,1776,3608,370,465,833,66061,65841,131901,4678,3318,7997,6323,6315,12638,273,227,499,703,697,1400,7299,7243,14539,45999,43262,89266,18462,20422,38891,47425,45853,93277,15635,17339,32976,54925,53895,108818,1287,1244,2532,8591,8291,16884,2482,2616,5101,1092,1350,2440,3126,5390,8522,29484,33056,62538,6663,5664,12327,9931,7611,17542,2369,1981,4354,1672,1590,3263,396,468,868,61798,63473,125278,15258,12623,27875
7RNTE,44877,44220,89103,3457,3048,6503,7089,6568,13655,3375,3057,6424,3326,3225,6550,7872,8392,16263,6512,6607,13120,5358,5597,10954,4487,4514,8995,2507,2299,4809,780,722,1499,123,198,326,42163,41463,83626,2713,2760,5477,22036,22633,44669,95,82,179,217,227,445,22342,22948,45289,35160,34987,70155,5595,5739,11338,19445,18864,38314,20329,21465,41795,36964,37477,74436,805,751,1562,6145,5690,11842,1310,1255,2562,188,291,482,991,1779,2771,11579,13804,25377,4272,4363,8641,7338,6284,13628,2938,2655,5597,3024,2813,5843,722,757,1477,38411,39351,77767,16663,13244,29912
79499,1826,1675,3500,89,69,164,166,122,285,30,64,95,84,99,183,292,364,661,305,268,573,311,280,591,300,279,579,205,114,318,33,17,49,6,4,7,0,0,0,1826,1675,3500,637,606,1247,14,8,18,8,3,7,658,617,1276,1102,1001,2106,243,250,492,861,745,1605,253,298,551,1180,1078,2256,4,8,11,104,72,180,12,12,20,6,7,13,19,41,56,368,442,805,123,127,255,266,208,473,108,67,173,74,55,127,9,12,28,0,0,0,0,0,0
79799,83,15,99,0,0,0,0,0,0,4,0,4,6,3,6,16,4,23,22,0,22,18,3,19,17,0,17,0,0,0,0,0,0,0,0,0,84,15,95,0,0,0,11,0,8,0,0,0,0,0,0,10,0,9,45,8,56,23,0,22,53,5,63,10,0,11,48,8,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,26,3,29,9,0,8,19,6,21,5,0,5,0,0,0,0,0,0,8,0,12,407,65,470
8ACTE,224022,229869,453890,13746,12907,26660,29005,27230,56236,13386,12899,26286,17042,17132,34174,38637,38992,77634,34275,35006,69285,27785,28342,56126,21866,23462,45328,16625,19022,35639,8781,10556,19340,2868,4315,7180,216056,222200,438251,7963,7668,15636,4265,4121,8383,120,107,229,137,159,298,4519,4391,8908,152375,154157,306525,62957,67579,130535,160228,163226,323454,53983,57592,111578,191965,197631,389596,4017,3861,7872,27766,26038,53804,10855,10748,21598,8275,8985,17260,12458,15753,28207,134620,140613,275232,8517,7973,16494,19821,22010,41830,5316,5788,11105,3558,4233,7785,818,1022,1840,208970,215447,424415,14221,13671,27889
89499,336,273,605,18,9,19,13,13,25,23,37,58,44,40,82,60,53,108,62,33,104,53,30,77,38,35,78,21,10,34,6,8,10,0,0,4,0,0,0,336,273,605,20,20,41,0,0,0,0,0,0,26,20,44,201,176,384,56,62,121,201,196,400,35,43,81,219,199,417,3,0,7,4,10,19,12,28,42,16,14,29,7,12,21,106,143,253,20,19,44,58,41,94,13,7,23,7,6,11,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,2511,2263,4778,132,109,243,313,268,587,88,103,189,108,108,218,335,240,577,328,310,638,347,316,665,378,382,765,318,267,587,120,135,257,36,34,62,2376,2129,4505,136,139,275,97,116,212,5,4,0,3,0,6,100,120,219,1356,1322,2673,774,607,1382,969,980,1948,979,966,1944,1720,1703,3421,40,30,66,260,224,486,53,66,115,11,23,38,43,70,113,738,908,1651,129,138,269,410,345,761,84,56,142,95,62,157,56,63,119,1809,1844,3647,1079,696,1771
99499,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,3,0,4,0,0,0,3,0,4,10,4,12,0,0,0,5,0,5,3,3,5,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
