GCCSA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
39499,0,4,5,3,4,4,0,0,0,14,0,10,6,15,7,3,6,0,0,41,0,3,14,20,7,11,4,0,0,61,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,7,3,4,0,11,7,16,13,5,0,64,0,0,0,4,0,0,0,0,0,3,6,0,3,30,13,17,14,3,0,89,0,0,3,7,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,45,0,0,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,7,20,12,16,3,0,0,62,0,0,0,21,0,0,0,3,0,24,0,0,0,3,0,7,0,0,0,13,0,0,0,0,3,6,7,0,0,15,6,17,50,240,31,32,32,7,0,408,67,124,317,1087,430,386,268,51,11,2744,504,932,1495,4724,1929,2468,2124,444,44,14670
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,32,8,0,0,0,128,0,0,16,116,45,5,3,0,0,183
4GADE,109,944,976,2725,395,156,84,28,6,5432,8,25,54,197,343,151,71,19,9,881,56,723,1581,5446,2227,1599,877,255,66,12826,5,28,65,957,583,917,1165,477,359,4561,0,9,12,30,28,14,16,3,0,107,17,165,333,1047,1124,2271,2251,1554,610,9381,27,240,414,914,400,288,290,96,21,2680,64,629,888,2264,1429,860,524,271,53,6983,58,436,529,2468,777,335,224,124,35,4993,9,65,142,1033,138,103,62,14,0,1573,31,204,332,1632,497,200,92,11,0,3003,6,34,27,226,116,80,75,55,26,639,102,445,527,1451,592,599,497,239,53,4499,64,542,1625,5071,3388,3206,1927,506,231,16564,5,62,128,347,360,563,439,306,134,2340,10,61,153,501,285,192,98,17,8,1324,305,2760,4592,14531,6178,5230,4611,3279,1645,43129,2111,4840,5572,14161,6362,6099,5469,4228,2417,51259,74749,162790,169352,378367,175064,168406,140746,81558,36258,1387290
4RSAU,4,33,26,143,17,6,4,0,0,233,0,6,7,31,63,44,18,3,4,174,18,265,316,1010,458,329,198,62,4,2667,0,0,3,32,34,34,67,29,21,220,0,0,0,38,3,0,0,0,0,49,4,25,40,114,169,531,634,437,126,2078,0,6,3,31,34,26,14,0,0,110,14,115,128,371,254,162,116,54,5,1227,3,18,10,205,39,17,15,9,0,318,0,0,11,136,4,4,5,0,0,163,10,87,118,220,127,40,9,0,0,600,0,3,0,20,22,21,25,9,0,89,7,52,31,173,112,136,150,50,9,720,8,52,36,223,81,40,19,0,0,468,0,7,12,42,51,104,100,77,30,419,3,5,31,104,67,52,34,10,0,304,28,130,229,1113,421,567,695,482,210,3873,965,2681,2429,5841,3773,4236,3995,2681,1209,27805,19344,45857,38583,82422,49086,58227,55238,31032,11053,390843
49499,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,17,47,4,10,5,0,0,89,24,49,61,214,82,93,54,7,0,587,140,262,394,1159,478,513,359,64,11,3377
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
5GPER,109,796,1074,4133,554,287,191,60,14,7222,0,64,205,379,493,231,83,15,3,1467,133,2900,5516,11883,5979,2774,1292,293,40,30806,6,80,107,1408,702,923,1297,373,314,5215,0,13,44,160,103,86,53,20,3,487,49,761,1526,4694,3936,4886,4069,2520,839,23280,74,907,1725,4725,2428,2460,2103,758,203,15387,167,2113,5276,12544,8445,5518,3062,1300,378,38793,43,493,914,3559,1416,901,789,401,111,8630,43,130,109,2504,268,164,143,30,6,3400,90,909,1376,3416,1452,694,351,63,20,8372,13,73,71,593,291,196,88,46,17,1388,209,952,1061,2868,1166,1190,926,369,91,8837,82,604,1215,5880,3702,3068,1877,515,233,17174,19,177,414,1360,1034,1154,940,589,201,5879,30,307,1293,3808,2277,1826,872,264,65,10743,479,4740,7529,31372,11748,9944,7309,4238,1466,78824,4107,9209,10220,31387,12759,10553,8142,6389,4318,97086,129598,271642,255946,610826,274565,240188,189951,103099,40831,2116647
5RWAU,7,52,30,226,25,27,15,3,4,395,5,31,51,133,147,68,24,0,0,465,53,698,867,2886,1237,618,242,50,3,6657,0,0,8,98,65,44,77,42,40,380,0,0,3,45,20,17,9,0,0,98,0,38,77,448,395,746,621,391,105,2827,3,36,32,174,130,108,82,27,3,592,40,407,674,1896,1406,893,463,194,59,6032,9,50,28,258,81,45,29,21,0,522,8,10,19,537,7,8,3,0,0,591,20,225,194,621,341,171,45,7,3,1618,0,0,0,36,9,9,0,3,0,67,14,83,78,431,225,274,272,91,15,1472,5,49,58,439,175,99,51,14,5,893,0,10,19,143,136,196,157,94,20,779,6,71,171,638,447,382,213,41,10,1977,63,327,427,2983,1128,1199,924,525,171,7742,2415,6258,5354,15987,7999,7326,5127,2851,1110,54430,31859,71916,55267,137683,72266,72050,56655,27867,9237,534804
59499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,18,6,0,0,0,0,35,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,13,10,0,0,34,0,0,0,3,0,0,0,0,0,11,0,3,5,25,8,5,4,0,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,5,7,0,0,43,0,0,0,13,5,0,0,0,0,11,0,0,0,4,4,0,5,3,0,12,0,0,0,0,4,0,0,0,0,15,3,0,22,105,15,20,9,3,0,182,52,62,173,707,358,278,168,42,17,1851,300,473,820,3053,1313,1144,758,155,30,8055
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,16,0,0,21,119,47,23,3,0,0,215,0,0,42,284,109,62,18,0,0,514
6GHOB,30,40,57,688,24,8,8,0,0,846,0,3,8,27,77,31,13,0,0,156,12,94,114,535,182,123,92,20,3,1165,0,0,3,71,35,48,88,66,29,353,0,0,0,8,10,7,3,0,0,18,3,28,29,109,143,197,229,188,75,999,4,27,58,134,52,35,32,10,0,354,8,64,94,376,193,143,149,61,26,1108,6,33,59,622,50,27,30,15,0,840,4,16,11,340,17,3,0,0,0,392,4,56,69,227,83,34,20,4,0,487,0,0,0,17,11,9,4,6,0,48,18,88,95,337,151,164,156,57,12,1093,3,62,162,683,40,35,23,4,0,1015,0,7,13,31,36,51,58,51,22,262,0,14,23,70,51,29,23,6,0,217,47,283,324,1817,602,534,469,320,143,4541,424,1116,1151,3031,1261,1368,1358,981,483,11172,12856,28727,28141,71415,29653,29934,26145,14594,5631,247086
6RTAS,17,36,38,506,14,5,7,3,0,618,0,0,6,40,79,36,29,4,0,192,8,84,101,521,210,165,131,41,8,1275,0,0,0,37,30,51,57,31,20,230,0,0,8,23,4,3,4,4,0,48,0,16,24,88,116,291,382,277,82,1275,0,19,20,70,39,39,37,4,3,226,8,42,74,256,209,175,142,54,13,976,11,42,49,318,61,24,10,9,0,518,0,16,6,264,10,5,4,0,0,307,8,39,32,146,81,48,15,3,0,372,0,0,0,13,12,10,6,0,0,42,7,44,56,233,153,168,205,83,14,966,5,35,50,222,31,17,7,0,0,371,0,0,7,31,39,74,83,77,23,340,0,3,10,31,56,37,34,15,5,182,40,179,254,1341,555,561,596,397,116,4039,713,1676,1769,4232,2481,3025,3025,2007,745,19670,15385,35543,32736,70764,39338,45251,40695,22020,7361,309087
