GCCSA_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
39799,0,0,3,12,11,0,0,0,0,23,0,4,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,40,31,3,0,0,0,109,0,4,37,55,42,3,3,0,0,149,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,8,7,0,4,0,0,0,29,0,0,9,8,11,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
4GADE,10652,36916,69544,61788,50668,37029,28446,12570,3618,311235,2107,4505,11408,11678,16236,19487,13136,4636,1188,84382,1428,2238,7919,9117,10752,14286,12685,7797,2394,68621,400,400,1666,2099,2446,3745,3596,2827,1248,18423,195,257,891,1255,1368,2146,4182,5532,3274,19104,39,161,612,853,1002,994,836,658,421,5577,1272,1920,4460,4050,3710,3502,3156,2687,1580,26335,16097,46387,96511,90848,86183,81193,66043,36701,13718,533674,11378,37615,77379,71268,57912,42089,26828,11730,4278,340469,1296,2845,7616,8590,14486,21032,15463,5406,1962,78694,883,1586,5620,6782,8935,14243,18147,11180,4356,71731,251,308,1160,1611,1957,3405,4438,4227,2404,19761,103,137,724,1128,1218,2056,5112,7454,5740,23677,21,92,615,982,1287,1230,1056,1094,925,7308,1206,1638,3877,3300,2981,3076,3580,3713,2856,26214,15146,44213,96990,93662,88776,87121,74619,44802,22519,567847,22034,74529,146919,133059,108584,79118,55271,24299,7897,651706,3407,7353,19025,20265,30724,40515,28602,10045,3151,163072,2314,3822,13548,15902,19684,28528,30830,18976,6748,140344,652,705,2824,3713,4396,7153,8034,7055,3646,38183
4RSAU,2043,5476,10090,9078,9296,7201,7197,3248,724,54345,1043,1859,4265,4271,6357,8649,5961,1792,359,34553,689,1061,3514,4079,4840,7472,7221,3592,836,33291,207,169,712,946,1299,2374,2661,1734,537,10650,81,90,318,407,502,1086,2644,3131,1357,9620,16,30,97,125,147,144,115,112,53,837,705,735,1718,1739,2041,2261,2153,1563,621,13536,4782,9418,20713,20650,24472,29194,27947,15163,4487,156825,2233,6048,13241,12738,12544,9494,7014,2960,841,67109,482,1103,2810,3368,5786,9083,6172,1950,502,31258,356,543,2106,2468,3347,6186,7782,4218,1241,28243,125,109,423,559,783,1623,2181,1894,774,8486,45,42,193,248,347,667,1927,2879,2064,8410,10,10,72,78,106,93,119,110,66,663,627,551,1358,1341,1674,1862,2088,1844,1076,12420,3877,8420,20200,20793,24590,29013,27279,15854,6558,156579,4279,11523,23332,21816,21838,16694,14208,6211,1560,121460,1522,2966,7080,7633,12143,17734,12134,3741,860,65814,1045,1605,5618,6543,8183,13666,14996,7809,2073,61533,327,279,1135,1506,2082,4000,4844,3632,1314,19133
49499,10,35,117,73,69,63,47,6,0,429,13,23,48,31,57,53,44,6,0,271,3,14,41,55,47,59,46,15,6,287,0,7,17,14,13,19,14,8,0,105,6,7,4,15,12,6,18,3,0,64,0,0,0,0,3,3,3,0,6,10,14,17,94,91,97,105,48,5,0,475,50,110,320,289,299,310,214,40,7,1638,10,45,126,71,58,51,35,3,0,414,12,15,45,39,26,47,27,4,0,208,7,15,35,32,33,53,42,11,3,237,4,0,11,11,10,17,9,0,0,67,6,0,8,5,5,0,7,4,0,34,0,0,0,0,0,3,0,0,0,6,18,16,75,90,43,31,18,6,3,297,61,94,305,245,178,193,141,26,10,1258,23,82,247,146,137,113,85,9,0,840,24,39,84,75,86,101,68,7,0,483,17,30,79,84,85,113,84,25,3,520,6,5,34,30,24,35,28,8,0,169
49799,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,18193,52083,104318,104360,80403,58297,43343,19211,4823,485022,2830,4655,12830,13207,13545,11343,6214,2756,600,67969,3583,5532,17804,19489,27350,32785,25681,11810,3078,147111,1017,739,2095,2646,3253,4376,5244,4126,1580,25081,257,275,900,1314,1581,2371,4197,5253,2754,18900,54,148,713,906,1061,968,809,633,360,5645,2282,3728,10482,9833,8530,6813,5105,4275,2594,53647,28221,67158,149138,151751,135723,116951,90589,48062,15778,803379,19050,53926,120817,119024,90024,64534,41310,17776,5696,532143,1818,3381,9899,10388,13590,14630,8338,3442,972,66463,2649,4075,13117,14732,24100,31159,32304,16136,5792,144060,749,530,1426,1973,2527,3846,5682,4906,2597,24240,211,189,787,1346,1836,2648,5012,6166,4378,22572,50,88,625,999,1114,1248,1101,940,798,6957,2118,3049,7864,6506,5459,4993,5478,5577,4786,45830,26638,65228,154539,154970,138653,123059,99223,54945,25014,842268,37237,106005,225133,223385,170424,122831,84652,36983,10515,1017165,4648,8029,22733,23596,27136,25970,14555,6192,1570,134431,6229,9598,30921,34225,51447,63946,57986,27950,8863,291172,1766,1271,3523,4624,5779,8221,10925,9030,4177,49323
5RWAU,2964,7416,16465,16811,14362,11488,9136,3525,774,82947,1305,1732,4165,4490,4728,3871,2171,824,165,23450,1700,2146,6771,7905,10660,13763,10284,3929,752,57904,433,304,853,1074,1421,2154,2521,1622,458,10846,145,119,346,395,615,985,1872,2038,945,7457,26,34,144,159,194,194,150,156,87,1153,1425,1754,5011,4920,4977,4387,3015,1766,662,27915,8004,13501,33761,35765,36965,36836,29149,13858,3842,211670,3145,7782,20864,21291,17393,13637,8581,3491,970,97153,769,1087,3343,3750,4628,5194,2855,959,210,22797,1083,1517,4429,5548,8538,11031,10120,4254,1269,47804,336,234,538,672,874,1395,1897,1511,644,8116,108,89,221,295,420,693,1282,1738,1085,5915,17,27,93,94,138,138,165,147,110,924,1218,1331,3540,3394,3276,3111,2574,1903,1101,21446,6672,12073,33029,35049,35270,35187,27480,13999,5398,204153,6105,15194,37333,38104,31759,25126,17720,7021,1747,180101,2078,2817,7505,8249,9357,9061,5029,1780,373,46246,2785,3663,11207,13450,19195,24794,20405,8181,2023,105710,773,539,1394,1752,2298,3542,4414,3137,1110,18957
59499,16,105,277,218,148,112,99,22,3,994,9,21,41,47,42,40,29,8,0,231,23,36,81,108,110,140,96,24,0,617,3,5,16,17,19,26,40,0,0,137,5,4,8,5,8,11,25,15,0,78,0,0,3,6,0,0,4,0,0,10,40,133,398,529,508,336,154,48,10,2158,94,298,821,926,842,667,444,118,14,4222,28,113,339,226,118,135,70,4,0,1030,6,17,32,34,42,56,19,0,0,205,15,16,46,49,61,117,98,9,0,410,4,10,8,14,13,12,25,0,0,90,3,0,0,5,3,0,14,4,7,36,0,3,3,3,0,3,0,0,0,14,65,106,263,281,227,158,94,21,12,1212,121,256,692,613,468,477,316,39,16,3007,42,213,616,443,261,244,168,28,3,2024,12,34,72,79,89,94,47,4,0,438,37,49,128,158,176,254,195,27,0,1024,11,11,21,29,36,39,65,0,0,225
59799,0,9,34,47,28,19,6,0,0,139,0,0,8,16,12,3,0,0,0,38,0,0,8,27,15,10,0,0,0,59,0,0,6,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,44,72,45,20,4,0,0,197,7,25,99,157,99,55,14,0,0,453,0,9,8,9,6,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,0,0,0,0,20,3,11,14,11,9,3,4,0,0,61,3,13,49,54,34,18,4,0,0,173,0,0,8,16,12,3,0,0,0,38,0,0,11,27,15,13,0,0,0,61,0,0,6,0,0,0,0,0,0,16
6GHOB,1425,5568,14718,10459,7441,5852,5189,2168,665,53481,448,588,1372,1329,1262,896,517,287,89,6782,591,871,2379,2425,4192,5477,3966,1766,484,22148,77,63,227,213,389,911,1251,998,197,4327,51,37,123,143,173,345,590,721,395,2580,3,13,91,58,77,90,90,44,19,489,278,330,1003,768,670,699,727,584,258,5315,2875,7476,19916,15395,14205,14264,12331,6558,2115,95136,1550,5795,15417,11859,8937,7033,5093,2175,729,58588,348,522,1292,1238,1330,1219,786,375,114,7229,347,589,1792,2131,3978,5659,4974,2617,1035,23118,55,57,164,150,350,751,1532,1289,385,4741,28,30,129,107,154,275,521,739,774,2762,7,11,81,78,107,87,67,55,32,525,258,325,949,678,569,639,831,770,457,5473,2584,7331,19831,16245,15433,15663,13801,8019,3515,102425,2971,11363,30139,22315,16379,12879,10283,4343,1392,112067,796,1109,2666,2571,2593,2118,1308,660,195,14010,938,1463,4170,4565,8168,11134,8933,4383,1514,45269,131,120,393,363,744,1664,2778,2286,580,9071
6RTAS,1426,4807,9767,7918,6272,5803,5815,2532,577,44920,711,1013,1867,1874,1627,1302,1059,476,102,10028,1217,1699,4822,4808,8462,10548,6996,2916,556,42017,137,104,366,407,913,2068,3250,2123,362,9727,48,70,192,198,332,714,1414,1395,808,5171,14,18,87,100,117,104,89,65,40,632,472,523,1198,1078,1245,1444,1589,1144,513,9209,4021,8244,18292,16375,18974,21980,20218,10647,2948,121702,1598,5251,11349,10424,8515,7611,5646,2310,681,53380,582,861,2019,1906,2179,1993,1352,483,115,11488,681,1099,3495,3923,7655,10060,7807,3724,1037,39474,97,78,239,252,638,1671,3088,2207,552,8830,45,38,127,169,192,469,969,1155,1220,4398,7,24,81,91,112,86,73,64,33,573,393,461,1041,935,1049,1365,1529,1417,763,8947,3408,7809,18355,17698,20344,23254,20453,11364,4414,127096,3022,10054,21119,18345,14792,13409,11457,4844,1254,98296,1290,1877,3886,3781,3806,3289,2413,953,219,21518,1896,2799,8312,8730,16113,20610,14803,6641,1593,81498,238,190,608,658,1548,3742,6335,4329,919,18559
69499,7,26,37,25,31,22,14,0,0,162,6,8,16,5,10,7,0,0,0,54,8,21,33,31,38,36,17,7,0,180,4,0,7,5,11,6,11,3,0,46,7,4,0,6,3,3,9,7,0,34,0,0,0,0,0,0,0,0,0,3,9,8,40,34,31,31,46,4,0,201,36,71,135,99,130,104,90,18,0,678,5,29,58,40,33,27,11,3,0,214,4,4,3,10,7,7,0,0,0,33,8,12,15,22,16,37,17,3,0,123,0,0,0,3,0,4,9,0,0,29,4,0,0,3,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,10,11,22,17,21,25,7,4,127,34,53,92,97,78,98,72,13,4,543,17,49,100,65,67,50,27,7,0,371,10,13,17,18,19,14,4,5,0,91,15,31,50,50,58,64,36,8,0,309,3,0,10,10,13,14,17,3,0,69
69799,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,852,3304,8346,6661,4623,2853,1918,652,102,29313,256,477,1127,1061,1286,1236,499,132,13,6092,308,490,1555,1587,1848,1932,1154,342,51,9267,88,50,211,264,322,386,312,150,27,1809,40,20,107,138,216,273,395,289,80,1555,7,23,61,47,73,60,68,44,22,397,304,514,1337,1047,995,748,506,226,75,5764,1854,4885,12742,10809,9351,7489,4860,1828,370,54192,894,3104,9932,8000,5350,3166,1725,570,101,32848,162,317,844,858,1084,1138,495,133,22,5061,171,268,964,1063,1346,1554,1090,389,75,6925,66,44,186,203,229,289,267,125,32,1438,23,12,78,138,193,284,377,277,115,1489,4,9,25,63,69,100,112,64,24,468,300,380,1161,954,758,609,439,218,88,4901,1614,4136,13191,11277,9034,7132,4501,1777,457,53121,1748,6410,18278,14660,9973,6026,3644,1224,205,62161,423,795,1974,1921,2371,2373,997,263,32,11143,478,765,2517,2648,3188,3483,2246,730,130,16194,150,96,397,469,551,674,581,278,56,3244
7RNTE,416,1202,3339,2603,1751,1283,672,200,9,11486,301,468,971,746,691,580,229,47,6,4031,540,669,1433,1308,1184,1123,556,152,26,6989,297,283,534,493,419,340,204,60,11,2637,272,239,479,491,480,390,358,129,26,2869,36,50,89,105,116,132,119,59,17,716,318,403,1008,765,711,625,363,143,25,4360,2177,3316,7853,6509,5357,4480,2500,774,123,33090,520,1400,4236,3003,2192,1559,597,157,33,13704,252,444,988,777,727,622,210,50,8,4077,377,549,1267,1120,1063,950,490,135,23,5982,228,243,495,484,436,295,165,46,10,2408,219,211,427,403,440,417,346,143,36,2648,30,30,66,87,114,128,167,84,44,757,288,325,897,714,626,538,318,103,36,3850,1915,3211,8379,6597,5593,4508,2299,718,196,33428,939,2596,7579,5607,3941,2848,1266,357,45,25188,554,911,1957,1520,1421,1193,439,94,17,8107,918,1220,2703,2429,2246,2077,1043,287,51,12977,520,529,1027,979,857,636,366,104,21,5047
79499,0,26,109,74,50,54,50,10,0,368,7,6,16,21,31,26,23,0,0,125,0,4,40,49,48,67,43,6,0,268,0,0,19,16,25,24,14,3,0,104,0,0,3,12,18,18,9,5,0,72,0,0,0,3,0,0,4,0,0,9,12,41,99,128,148,107,63,9,0,615,23,84,292,305,311,300,205,33,6,1561,3,42,167,90,67,48,21,6,0,442,6,6,21,29,22,29,11,4,0,127,11,7,34,28,39,53,31,0,0,200,0,3,10,10,11,18,12,0,0,63,0,3,11,15,14,6,5,4,0,55,0,0,0,0,4,3,0,0,0,12,28,32,123,92,133,114,39,3,0,567,53,99,364,268,280,275,114,17,4,1474,8,64,274,166,113,101,65,10,0,805,4,17,43,53,48,59,29,4,0,251,14,13,72,78,87,122,72,9,0,468,6,3,33,34,30,40,24,9,3,167
79799,0,0,7,6,4,4,0,0,0,26,0,3,3,0,0,0,0,0,0,9,0,0,5,3,0,3,0,0,0,19,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,5,3,0,0,0,21,4,6,16,22,18,17,0,0,0,83,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,0,5,7,6,4,6,0,0,0,29,0,3,3,0,6,0,0,0,0,8,0,0,6,3,8,3,0,0,0,21,0,0,0,4,0,3,0,0,0,5
8ACTE,4191,14465,32400,28844,21634,15112,11026,5143,1436,134253,325,544,1166,1148,1165,1085,687,313,98,6537,611,849,2376,2157,3149,3873,2686,1420,453,17579,128,91,315,326,392,467,689,502,180,3105,39,39,174,221,236,349,640,698,361,2755,12,26,169,144,130,107,105,88,34,821,580,1007,2004,1413,1055,866,781,604,295,8601,5882,17017,38607,34257,27768,21857,16619,8777,2868,173647,4500,15215,34195,30710,22857,15992,10652,4694,1420,140247,263,364,849,878,992,1122,837,484,183,5982,391,535,1736,1705,2876,4381,4509,2684,1047,19870,91,72,260,247,333,555,1038,775,400,3767,35,34,121,171,238,493,911,992,634,3633,10,26,107,90,134,183,165,195,118,1018,561,878,1716,1176,893,713,887,735,516,8078,5857,17114,38979,34995,28335,23448,19006,10552,4313,182600,8695,29684,66594,59556,44494,31108,21677,9838,2853,274501,592,904,2020,2029,2156,2213,1528,792,286,12520,1006,1378,4118,3866,6032,8253,7201,4108,1501,37453,218,160,575,585,728,1021,1724,1280,584,6874
89499,5,16,34,16,11,13,0,3,0,106,0,4,3,3,0,3,0,0,0,15,3,5,9,11,9,4,4,0,0,54,6,0,0,0,4,0,0,0,0,14,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,11,30,19,16,8,4,0,97,16,44,60,62,53,38,21,6,0,306,11,29,34,30,18,19,4,0,0,140,0,4,0,4,0,5,4,0,0,17,5,4,3,0,8,5,0,3,0,29,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,7,3,8,7,0,0,34,16,39,53,33,30,35,10,8,0,229,16,48,70,42,28,29,7,3,0,247,0,6,3,11,0,3,4,0,0,28,12,15,17,9,18,14,6,3,0,84,6,0,5,4,4,0,0,3,0,19
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,22,53,131,171,122,115,87,28,4,735,0,7,9,23,29,35,8,3,0,120,12,4,28,21,85,130,76,23,15,396,4,5,0,3,13,12,11,13,3,67,0,0,6,5,6,12,48,16,3,88,0,0,0,0,0,13,22,14,3,56,10,39,160,104,89,59,56,28,0,549,46,108,332,323,347,378,320,120,36,2015,20,83,163,214,158,139,81,38,10,903,4,0,13,13,32,33,10,7,0,119,7,3,10,23,69,102,83,26,9,330,0,0,3,0,7,10,22,7,0,50,0,0,3,5,12,20,21,5,0,58,0,0,0,0,0,13,20,19,7,63,14,14,52,49,46,64,30,26,3,304,43,108,240,310,313,386,266,135,34,1823,44,139,294,382,272,258,172,64,16,1636,8,7,28,33,59,63,28,17,0,235,13,8,35,46,150,236,163,54,25,728,6,3,10,11,16,21,33,19,4,120
99499,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
