GCCSA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
39499,12,79,182,98,85,130,143,27,5,765,12,103,303,112,106,131,103,12,0,886,9,47,230,115,95,119,70,12,0,690,0,17,126,90,66,93,28,0,0,421,0,16,105,75,46,70,26,6,0,351,0,3,52,48,42,46,17,0,0,217,0,12,75,94,58,63,13,0,0,310,0,3,14,19,16,12,0,0,0,64,0,0,21,36,29,29,3,6,0,121,113,243,661,545,470,410,298,70,13,2817,566,934,2649,2077,1929,2468,2124,444,44,13234
39799,0,5,3,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,52,36,8,0,0,0,136,0,16,49,64,45,5,3,0,0,183
4GADE,1670,10196,16058,12907,11482,11480,11761,6576,2486,84618,979,10946,23568,18141,16309,14720,9510,4425,1633,100222,493,8970,28944,23011,20590,18231,9063,3229,883,113427,145,4666,21744,18586,16386,13260,5494,1645,440,82367,84,1999,17134,16690,14679,11231,4096,1301,461,67687,30,778,10205,13215,11817,8479,2562,740,213,48040,34,532,12041,21426,20704,13575,3653,984,261,73204,16,96,1672,4157,4321,2850,899,311,96,14411,37,200,1742,6246,8200,5927,2220,798,285,25657,3453,4308,9473,8167,7496,6887,6459,5990,5052,57289,78280,91070,193712,184652,175064,168406,140746,81558,36258,1149752
4RSAU,773,2381,3775,3524,3924,4482,4547,2483,671,26558,483,2699,5154,4535,4994,5330,3343,1416,386,28338,258,1987,5364,4935,5779,5873,2926,907,194,28213,73,1043,3628,3583,4207,3875,1733,412,94,18654,49,486,2905,3173,3520,3172,1227,447,115,15096,17,244,1779,2200,2606,2227,703,182,35,9986,15,248,2235,3344,3933,3129,884,260,52,14101,7,35,339,631,747,595,251,68,10,2690,12,66,380,802,1082,1099,525,226,61,4264,1939,1532,3779,3698,4161,4368,4184,3279,1746,28690,20686,17897,40951,41473,49086,58227,55238,31032,11053,325639
49499,5,13,37,35,12,30,26,4,0,169,3,6,46,28,25,27,13,6,0,162,0,13,44,23,25,25,7,5,0,141,0,3,20,10,8,14,9,0,0,66,0,0,23,13,14,11,0,0,0,66,0,0,14,13,9,11,0,0,0,51,0,0,25,35,15,5,3,0,0,79,0,0,0,7,8,0,0,0,0,19,0,0,4,13,7,7,0,0,0,29,33,35,127,126,107,98,61,8,3,599,186,206,627,534,478,513,359,64,11,2975
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
5GPER,3293,13825,19995,17031,14458,13762,14423,7947,2637,107373,2247,15161,28769,22549,20179,17220,12190,5116,1692,125124,1165,13394,37625,30189,26362,22849,11500,3637,997,147716,472,8090,32080,26593,22640,18315,7486,1989,487,118151,238,4482,28498,26263,22590,17619,5950,1596,542,107779,114,2056,19861,21745,19106,13430,3938,837,232,81312,119,2512,31250,45315,40140,26412,6397,1254,366,153763,26,371,6479,12194,11046,6851,1790,430,123,39314,74,315,5993,19360,21966,13385,3916,1203,324,66532,5963,8666,21609,18875,15917,12640,10128,9045,7702,110546,123315,132631,303907,306917,274565,240188,189951,103099,40831,1715415
5RWAU,1296,2692,4166,4084,4213,4307,4126,2048,569,27488,914,3281,5535,5148,5350,5263,3292,1249,378,30412,543,2868,6857,6356,6697,6579,3253,921,190,34264,233,1862,5377,5280,5422,4863,1866,464,98,25471,149,1245,5169,5260,5518,4667,1495,421,145,24069,70,745,4021,4489,4743,3826,1094,227,46,19248,66,1020,6965,9386,9613,7147,1662,277,67,36195,12,167,1796,2561,2540,1840,437,83,32,9462,31,122,1547,3205,3292,2285,838,240,68,11640,3377,3462,9441,9085,8711,7689,5514,3457,1823,52563,29670,25595,66822,70860,72266,72050,56655,27867,9237,431032
59499,4,50,91,42,25,42,28,7,0,289,4,36,102,48,37,47,29,11,5,316,4,30,121,61,45,55,23,0,0,341,0,11,62,52,36,32,18,0,0,205,0,15,48,51,36,31,8,0,0,196,0,5,46,35,21,23,9,0,0,124,0,3,69,72,54,25,4,0,0,234,0,0,17,23,13,11,0,0,0,56,0,6,16,39,18,12,4,0,0,98,52,137,389,422,407,323,201,42,18,1991,261,562,1512,1543,1313,1144,758,155,30,7285
59799,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
6GHOB,295,1694,3704,2372,1881,2040,2452,1291,473,16213,198,1782,5012,3135,2484,2568,1994,923,327,18429,87,1505,5898,4015,3381,3364,1966,719,189,21130,24,821,3992,3142,2833,2466,1113,321,86,14798,10,330,2868,2877,2832,2289,818,269,85,12362,10,114,1808,2211,2311,1588,481,125,30,8678,3,60,1949,3633,3814,2578,625,159,51,12876,3,15,236,556,700,485,161,60,14,2232,14,38,310,927,1275,910,354,136,39,4004,738,806,2198,1612,1353,1324,1421,1221,893,11573,13323,14817,39761,31656,29653,29934,26145,14594,5631,205506
6RTAS,545,2105,3724,2877,3092,3421,3155,1703,443,21071,323,2410,4826,3638,3845,4056,2258,909,266,22531,130,1745,5298,4195,4680,4623,2064,584,132,23456,30,835,3435,3214,3347,2966,1051,293,46,15212,17,388,2581,2769,2930,2596,830,277,83,12474,11,166,1538,2027,2248,1952,518,94,14,8574,0,121,1596,2705,3253,2448,618,136,33,10914,0,18,201,452,545,439,165,51,16,1893,24,36,248,683,949,822,381,158,41,3329,1194,1118,2332,2025,2321,2706,2832,2158,1257,17937,16655,16081,36669,34094,39338,45251,40695,22020,7361,258158
