GCCSA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,6,6,0,0,9,6,3,9,0,46,0,0,0,0,6,0,8,4,6,6,12,24,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,3,0,0,0,0,0,0,3,16,4,4,14,5,4,3,6,12,6,0,7,26,8,3,11,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,6,8,3,0,8,3,6,0,0,48,0,3,0,3,0,0,0,0,0,0,5,8,4,0,0,34,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,0,0,0,31,361,2475,2880,408,392,379,557,151,157,111,7909,0,0,4,3,18,58,677,692,105,145,196,139,99,13,22,2167,3,21,146,267,332,304,516,283,57,72,80,105,65,28,28,2310,23,130,130,250,854,1181,7573,5914,1733,1913,1714,2351,692,80,374,24921,36,351,811,284,136,583,214,25,10,9,3,4,3,0,58,2518,38,210,132,49,96,96,328,240,52,85,65,108,59,9,33,1605,8,22,39,86,246,200,298,90,20,30,39,30,18,3,19,1162,1264,2328,1071,530,646,386,643,307,22,62,47,79,59,11,223,7680,92,2566,3240,670,235,118,119,220,28,19,3,26,10,3,252,7590,11,18,68,161,521,543,696,590,237,253,244,317,307,64,83,4116,80,84,403,371,393,842,13277,8519,2643,2965,4643,5655,2288,229,539,42933,13,81,48,92,155,251,466,392,109,94,131,135,78,11,39,2088,0,8,13,31,395,524,1074,1777
4RSAU,0,0,0,0,0,14,66,143,16,26,0,13,9,0,14,301,0,0,0,0,0,0,20,35,0,9,16,9,5,0,0,82,0,17,29,42,37,36,74,23,4,16,6,8,8,4,13,312,3,10,9,11,10,17,182,183,68,73,81,89,11,3,18,769,4,81,133,43,10,7,0,3,0,0,0,0,0,0,19,301,0,12,7,0,9,0,13,3,0,8,6,17,8,4,0,80,3,3,5,9,19,14,33,29,3,4,4,16,3,0,7,149,250,659,286,138,146,55,104,48,9,3,7,14,9,0,58,1790,10,152,240,49,23,9,4,10,0,0,0,5,0,0,45,556,4,0,10,13,6,10,12,19,3,6,0,10,3,0,11,117,17,10,46,64,61,90,497,343,90,130,208,224,83,18,36,1924,0,26,6,11,9,19,48,40,22,13,19,45,20,0,8,284,0,0,0,0,5,7,18,15
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,0,0,0,17,159,641,1854,1537,190,205,160,283,142,101,113,5389,0,6,17,95,77,150,1038,731,96,102,127,128,90,6,24,2680,3,47,304,584,629,743,1322,802,144,147,155,191,109,49,65,5293,33,36,77,230,1383,2221,10215,6282,1299,1306,1150,1799,630,78,510,27237,86,525,1308,450,287,897,429,117,12,17,4,10,7,0,151,4293,83,149,251,140,175,220,497,495,77,74,62,53,32,8,63,2384,8,22,48,91,216,131,222,181,17,19,28,34,5,8,33,1070,975,953,774,712,1393,814,1729,854,108,119,151,186,84,26,165,9053,108,532,655,242,101,43,70,138,9,18,0,18,12,6,55,2019,15,28,155,474,1031,1013,1303,955,222,194,233,270,199,59,131,6271,361,277,2272,1991,1907,2699,18947,14058,2936,2391,3509,4209,1454,285,935,58229,44,137,100,286,1125,2842,3865,1871,416,436,459,565,562,65,263,13031,8,4,12,60,688,691,1504,2137
5RWAU,0,0,0,0,0,12,72,113,10,12,15,38,6,6,27,308,0,0,0,3,0,4,34,40,8,12,11,9,8,0,11,136,0,3,62,117,100,125,225,131,45,21,34,49,19,3,28,966,5,3,0,5,28,35,302,242,42,67,82,231,38,12,52,1157,3,37,80,14,18,20,13,7,6,0,0,0,0,0,9,203,6,8,15,8,0,11,17,17,8,0,4,21,9,9,8,141,0,6,10,24,42,35,83,62,8,22,21,24,17,43,22,402,329,282,191,144,303,163,376,196,38,26,43,69,32,0,73,2267,5,28,30,18,8,4,6,12,0,4,3,0,0,0,4,123,0,0,19,18,16,25,44,56,11,5,10,13,16,0,13,256,52,25,146,87,67,84,811,734,132,131,166,187,87,28,84,2825,13,24,9,16,52,93,244,218,66,55,60,63,57,8,23,1007,5,0,0,3,19,3,20,78
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,9,3,0,0,0,0,0,8,9,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,7,0,0,0,4,4,0,0,3,30,0,0,0,0,0,3,3,0,0,5,0,4,0,0,5,15,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
6GHOB,0,0,0,0,0,0,8,55,26,6,7,4,3,0,0,113,0,0,0,3,0,0,83,170,29,54,57,51,13,0,13,473,4,3,37,81,68,79,113,54,11,21,17,25,0,0,3,527,10,16,17,13,48,90,851,1748,758,679,608,481,118,13,104,5541,6,34,66,23,6,13,4,6,0,0,0,0,0,0,3,166,3,12,6,0,9,3,17,8,5,8,12,15,6,0,0,104,0,7,21,20,35,28,14,10,5,4,7,8,0,0,4,149,128,227,138,72,130,75,124,55,11,5,10,23,5,3,26,1037,5,76,173,40,23,9,5,18,0,0,5,3,0,0,10,377,0,3,17,28,44,30,95,136,39,49,37,75,46,8,0,617,19,8,45,29,26,69,528,1292,429,450,457,458,140,36,72,4074,3,18,3,7,13,31,83,89,24,29,16,19,10,0,7,363,0,0,0,0,20,19,24,72
6RTAS,0,0,0,0,0,4,6,73,35,20,3,25,0,3,0,176,0,0,0,0,0,0,20,37,7,16,15,16,5,3,0,124,0,5,52,79,65,54,109,58,12,13,9,18,3,0,3,495,8,13,14,10,36,46,210,329,156,148,141,139,28,0,24,1282,7,16,24,4,0,0,5,0,0,0,0,0,0,0,3,62,0,5,11,9,5,10,6,15,4,9,9,19,0,0,0,91,0,0,9,15,29,29,15,11,0,0,0,0,0,0,5,117,81,247,158,98,160,56,120,39,6,3,3,14,5,0,35,1044,0,20,30,10,6,0,5,0,0,4,0,0,0,0,0,86,3,0,11,14,33,19,32,64,7,9,18,16,15,4,0,238,11,7,54,32,39,52,305,497,197,213,264,220,103,26,47,2063,8,24,7,9,15,15,52,38,15,7,8,27,14,0,6,240,0,0,5,5,11,7,25,117
