GCCSA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
39499,0,0,0,14,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,6,3,0,0,7,5,9,27,119,12,12,14,0,0,195,32,60,156,487,171,163,99,20,3,1183,229,457,777,2230,887,1170,870,160,25,6807,0,0,0,0,0,0,0,0,0,5,414,737,927,2462,1193,1608,1380,268,26,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,24,8,9,0,0,0,46,0,0,0,35,0,0,0,0,0,37,0,0,4,49,4,4,0,0,0,69,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,38,142,70,169,167,59,9,657,0,0,0,6,4,0,0,0,0,16,0,0,18,52,0,5,7,0,0,81
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,24,0,0,9,18,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,29,263,921,3104,1927,1662,1009,266,144,9323,0,28,69,153,166,269,231,165,73,1149,0,36,82,267,141,98,56,11,7,695,153,1349,2238,7770,3166,2644,2397,1778,994,22497,1070,2324,2680,6563,2889,2843,2837,2358,1485,25054,36305,79231,82583,190828,88828,87163,74658,44835,22535,706967,47,616,1539,3836,1109,526,190,41,9,7909,70569,139685,127432,240587,119126,108658,85389,43809,17958,953204,33,242,219,1294,273,67,24,10,3,2167,0,9,28,718,377,508,326,136,41,2147,14,103,75,1520,132,47,31,6,3,1935,19,115,229,1184,773,626,455,149,46,3594,46,147,192,823,396,375,234,83,18,2310,3,18,26,260,140,142,107,61,12,776,103,1096,3835,12581,2818,2173,1598,516,202,24921,0,10,12,355,251,491,592,570,242,2518,24,175,143,496,140,134,241,192,68,1605,163,1799,4025,8584,11102,20121,16020,11490,5179,78486,6,31,64,404,234,205,134,63,14,1162,12,75,65,508,224,240,140,79,50,1383
4RSAU,0,23,20,130,41,23,9,0,0,251,0,7,4,23,31,56,50,40,12,221,3,3,18,50,27,28,16,0,0,146,8,66,101,516,218,248,284,205,110,1752,481,1321,1127,2716,1755,1958,1928,1339,706,13333,9511,22316,18269,41025,24599,29024,27281,15866,6558,194455,0,9,37,132,70,40,9,0,0,301,18188,41780,34133,67541,40043,45104,41616,21902,7604,317889,6,9,0,58,3,0,6,0,0,82,0,0,0,3,3,8,12,11,3,44,0,5,0,68,7,3,0,0,0,87,6,10,13,56,19,16,10,0,0,118,0,12,12,97,50,59,57,15,8,312,0,3,0,12,6,6,0,10,0,42,6,56,44,415,121,94,35,6,0,769,0,0,0,12,14,48,90,108,30,301,0,7,0,36,4,5,14,10,0,80,6,142,271,880,1646,4714,4575,3271,1093,16605,0,0,15,63,21,31,13,0,4,149,0,4,3,61,29,32,43,32,11,222
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6,4,0,0,0,40,10,23,32,106,28,26,17,0,0,245,56,139,214,542,178,197,141,26,10,1506,0,0,0,0,0,0,0,0,0,6,104,202,271,758,327,324,222,40,3,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,27,25,48,34,10,5,154,0,0,0,0,0,0,0,0,0,4,0,0,3,9,6,0,0,0,0,11
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,38,276,685,3749,2055,1576,1026,271,136,9805,6,88,202,645,482,589,453,264,108,2844,18,149,664,2071,1135,901,445,126,30,5541,243,2322,3847,17188,6167,5114,3737,2110,865,41586,1966,4475,4760,13089,4941,4363,4044,3496,2665,43807,62896,132116,125522,309712,138742,123146,99302,55001,25048,1071480,29,295,780,2952,704,395,171,51,9,5389,121675,225411,177411,318578,140618,116557,93338,46704,18220,1258510,21,215,225,1537,392,139,118,19,4,2680,7,16,47,1043,462,702,403,169,45,2890,28,188,217,3187,395,166,76,35,7,4293,12,80,93,527,285,201,147,30,11,1395,73,335,443,1974,934,811,482,180,59,5293,15,57,96,654,340,305,234,105,26,1829,99,1203,2895,12579,4370,3301,1924,569,289,27237,0,26,39,691,407,779,1159,799,391,4293,15,245,293,640,231,266,348,246,97,2384,390,5538,11876,32264,29461,37126,27393,19255,6627,169938,3,31,80,386,206,201,109,47,11,1070,23,137,230,1862,512,384,253,128,54,3579
5RWAU,5,23,30,278,86,50,30,3,0,505,0,9,11,68,63,88,58,47,12,365,0,30,89,346,198,176,88,19,4,954,29,164,194,1508,559,631,429,227,94,3836,1143,3055,2419,6772,3241,3048,2300,1416,629,24026,15458,34933,26337,68116,35283,35206,27493,14003,5399,262218,0,16,45,170,40,30,4,0,0,308,28944,61733,44249,92751,48930,47484,38043,17386,5841,385366,0,9,8,92,17,7,3,0,0,136,0,0,0,34,11,11,15,8,0,73,0,14,9,221,44,10,5,3,0,310,3,3,6,56,9,3,3,0,0,90,18,45,56,380,163,178,91,30,16,966,0,6,0,120,22,24,16,5,0,197,6,39,79,693,195,95,39,8,0,1157,0,0,6,26,22,46,52,40,12,203,5,15,0,56,0,14,27,14,5,141,28,397,817,3799,3927,6792,5669,3965,1166,26568,0,17,27,207,76,47,18,7,0,402,0,14,64,449,72,74,55,30,12,776
59499,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,15,55,4,4,0,0,0,81,25,30,89,251,105,109,72,6,9,692,153,230,410,1309,468,477,316,38,16,3416,5,0,0,12,0,0,0,0,0,25,226,379,525,1747,782,622,413,62,12,4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,0,0,0,0,24,0,0,4,9,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,18,103,47,91,75,19,5,366,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,40
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
6GHOB,3,31,92,390,20,24,12,0,0,572,0,0,9,15,15,19,31,22,15,129,0,4,12,43,25,13,10,3,0,106,23,138,160,950,316,268,240,148,83,2334,204,546,575,1533,604,665,709,533,299,5671,6216,14013,13788,36085,15439,15666,13805,8028,3516,126562,0,0,25,57,20,12,3,0,0,113,12105,25713,23453,46713,23906,23709,19781,10099,3740,189218,3,15,40,399,12,4,0,0,0,473,0,0,0,25,10,12,8,7,3,76,3,12,6,309,11,6,0,0,0,341,0,6,6,44,5,0,0,0,0,61,4,26,27,191,106,83,69,29,7,527,0,5,11,61,38,29,20,9,5,166,28,181,540,4282,169,149,119,49,15,5541,0,0,3,10,8,17,45,62,17,166,11,6,18,31,5,9,13,3,3,104,24,193,234,909,1073,1779,1866,1493,581,8155,0,3,3,41,27,34,27,13,5,149,3,7,4,111,30,34,21,14,3,231
