GCCSA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
39499,10,14,39,43,34,74,138,58,9,406,3,5,12,3,6,8,13,5,4,61,129,283,766,729,628,515,342,81,15,3486,418,928,2647,2073,1929,2468,2124,441,44,13081
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,48,32,8,0,0,0,135,0,16,48,64,45,5,3,0,0,183
4GADE,299,393,1619,2388,2583,4203,9296,12986,9018,42779,62,252,1223,1833,2289,2219,1896,1753,1345,12880,2479,3552,8341,7353,6691,6574,6733,6399,4433,52553,31236,90599,193499,184510,174951,168308,140660,81508,36237,1101517
4RSAU,122,133,507,655,851,1758,4571,6006,3419,18019,24,43,168,202,253,237,234,216,121,1504,1337,1283,3074,3078,3709,4120,4239,3406,1706,25951,8657,17841,40914,41443,49063,58209,55224,31018,11045,313411
49499,7,7,12,19,11,9,22,10,0,98,0,0,3,0,6,4,3,0,6,21,35,38,168,180,141,131,67,8,5,771,111,203,627,534,478,509,359,64,11,2895
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
5GPER,474,467,1687,2657,3417,5021,9205,11420,7136,41471,100,239,1337,1904,2177,2215,1909,1569,1152,12599,4404,6774,18346,16333,13987,11804,10584,9857,7377,99478,54864,132380,303682,306719,274377,240010,189811,103006,40795,1645642
5RWAU,252,208,564,686,1039,1677,3151,3771,2027,13373,41,64,233,257,333,326,317,301,196,2073,2645,3086,8556,8321,8252,7496,5586,3666,1760,49357,14673,25572,66794,70819,72230,72021,56629,27854,9235,415820
59499,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
6GHOB,80,70,252,253,327,623,1107,1456,1176,5340,11,25,170,133,183,174,158,100,56,1018,536,654,1955,1445,1241,1328,1557,1353,713,10788,5461,14804,39746,31642,29643,29926,26134,14580,5627,197556
6RTAS,92,111,314,365,531,1175,2382,2550,2032,9561,16,42,169,189,229,194,163,129,77,1204,870,983,2236,2006,2300,2811,3117,2560,1273,18165,7429,16052,36643,34073,39317,45236,40671,22012,7360,248799
69499,6,4,5,9,3,8,8,7,0,48,0,0,0,0,3,0,0,0,0,8,19,16,49,50,48,60,72,8,3,325,74,119,228,197,203,199,163,31,3,1227
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
7GDAR,60,33,184,277,401,554,774,567,196,3044,5,28,92,110,139,157,174,109,47,864,606,892,2495,2002,1755,1355,950,438,163,10663,3467,9023,25931,22089,18387,14623,9361,3607,831,107319
7RNTE,487,458,910,895,916,806,711,270,59,5519,62,85,152,194,230,263,287,141,60,1475,603,731,1905,1480,1337,1169,679,246,61,8206,4090,6528,16232,13110,10948,8988,4800,1501,321,66514
79499,4,8,20,28,27,27,14,3,0,132,0,3,0,0,4,3,4,0,0,28,37,79,223,220,278,226,100,14,0,1181,73,183,661,573,591,575,318,49,7,3031
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,3,0,0,0,23,4,6,23,22,19,17,0,0,0,94
8ACTE,71,73,295,398,477,846,1548,1688,991,6392,18,50,274,234,261,289,271,286,155,1837,1139,1880,3716,2587,1954,1579,1674,1340,812,16679,11740,34128,77591,69249,56101,45308,35626,19330,7180,356251
89499,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,17,35,25,22,18,5,0,130,34,81,108,104,77,78,34,10,4,530
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,3,5,15,33,67,21,3,146,0,0,0,0,9,30,43,26,9,119,23,56,209,153,135,128,85,52,7,850,85,218,570,637,655,760,583,257,62,3841
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
