GCCSA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
39499,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,7,3,0,0,25,0,0,4,18,0,0,3,3,0,32,0,0,6,9,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,14,3,0,35,0,6,13,80,46,61,87,3,0,304,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,0,0,0,10,0,9,3,3,6,0,0,0,0,22,0,0,5,10,10,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,9,6,3,0,34
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,46,98,342,183,113,48,18,0,854,0,92,72,382,229,236,233,168,93,1508,5,44,62,461,319,941,2288,2167,1293,7577,5,63,73,142,91,18,30,10,0,430,20,126,314,810,275,101,19,6,4,1677,3,42,50,201,164,184,149,76,29,897,30,300,591,1438,505,335,381,189,37,3809,0,6,0,21,21,89,233,148,55,579,0,4,12,46,26,9,6,8,5,124,10,59,213,562,150,59,26,7,4,1089,9,218,775,2440,111,24,27,3,0,3597,0,24,50,140,161,262,838,606,155,2241,34,235,384,1449,1021,958,746,280,52,5159,0,0,5,25,23,30,41,23,14,157,50,502,541,1583,235,89,37,17,4,3059,8,15,32,97,166,77,40,9,3,435,25,361,800,2046,816,426,154,33,9,4670,5,18,31,425,270,394,553,185,106,1985,0,3,9,18,17,6,7,0,0,63,7,79,161,524,581,1174,1080,678,230,4522
4RSAU,0,8,0,8,7,0,0,0,0,23,0,10,9,37,14,26,33,39,7,174,0,3,3,30,20,66,147,187,90,539,0,0,0,12,3,3,6,0,0,23,0,3,13,30,6,4,0,0,0,60,0,0,0,3,5,3,6,3,0,15,3,7,28,170,38,22,13,4,3,286,0,0,0,0,0,10,36,14,3,66,0,0,0,0,3,0,5,0,0,8,0,3,11,63,22,7,4,4,0,124,0,4,11,66,3,0,0,0,0,98,0,5,7,28,21,81,360,204,54,755,16,56,98,364,329,352,290,114,14,1640,0,0,0,0,0,0,10,3,0,11,5,16,15,92,11,7,0,0,0,151,0,0,0,6,31,18,7,6,0,72,7,144,164,348,146,37,16,6,0,868,0,0,0,9,15,18,28,14,5,89,0,0,0,39,3,0,0,0,0,43,0,6,19,53,82,268,313,197,49,982
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,9,134,192,731,400,269,88,28,10,1860,27,454,466,4329,995,843,805,479,154,8553,5,107,176,1396,584,992,2258,1937,1064,8522,52,163,146,454,226,90,71,29,9,1252,25,170,236,1602,365,193,69,21,6,2692,0,23,36,161,141,106,109,43,3,616,55,670,1559,5131,1957,1724,1934,881,185,14102,0,0,6,29,26,66,141,97,24,397,0,58,241,1075,298,341,263,111,41,2435,10,74,272,1361,715,732,600,278,107,4152,8,54,353,1576,121,31,8,0,0,2157,12,81,130,421,404,376,998,794,266,3480,221,1955,2806,10642,5592,5401,3226,952,146,30932,0,21,30,374,272,300,393,171,65,1625,70,395,802,2549,350,157,94,33,8,4451,0,36,95,164,239,98,33,0,4,675,66,1507,2736,4674,2705,906,244,57,9,12902,6,44,55,590,293,375,598,162,80,2201,0,6,26,108,58,43,28,7,0,282,26,416,843,2357,2001,2421,1972,1231,328,11583
5RWAU,0,7,0,34,12,7,3,0,0,62,3,28,37,426,110,87,105,61,19,873,4,3,9,180,40,82,235,210,123,879,0,11,9,31,9,4,10,5,0,86,0,9,20,128,11,4,0,0,0,180,0,0,6,14,12,9,9,4,0,54,0,10,33,201,72,64,51,23,0,470,0,0,0,0,5,13,20,18,0,66,0,0,8,48,17,22,6,3,3,110,0,5,16,89,43,28,24,6,7,227,0,8,7,104,3,3,0,0,0,134,0,5,23,88,69,125,314,199,43,870,48,356,566,2518,1699,1873,1087,290,32,8462,0,0,0,12,0,16,13,10,3,57,3,31,22,142,18,18,9,3,5,230,7,15,31,79,80,38,12,0,0,252,27,349,453,1229,570,182,25,10,0,2843,0,0,0,36,24,26,36,22,17,161,0,0,0,31,14,5,3,0,0,57,0,14,33,213,210,361,305,186,42,1377
59499,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,16,0,0,3,11,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,12,5,5,10,50,27,32,16,9,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,0,16
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13
6GHOB,0,0,0,13,9,6,0,4,0,31,0,9,11,47,24,33,35,15,3,172,0,8,0,40,13,25,69,68,45,277,4,11,15,26,8,6,8,0,0,84,4,30,20,146,17,26,4,3,0,248,0,0,0,18,8,4,9,0,0,38,0,6,67,170,32,33,34,16,5,363,0,0,0,0,4,7,11,4,3,28,0,0,4,20,6,4,3,0,0,29,0,0,10,20,8,7,8,0,0,51,9,68,251,1877,25,5,0,0,0,2240,0,7,6,37,23,36,126,113,30,387,7,42,59,278,197,191,169,52,11,1025,0,0,0,4,5,4,0,0,0,12,13,28,32,496,14,3,0,0,0,588,0,0,0,15,34,18,0,0,0,63,4,50,57,184,51,16,11,3,0,386,0,0,0,29,15,23,37,20,11,139,0,0,0,8,6,6,0,0,0,15,0,15,9,55,93,101,123,86,34,515
6RTAS,0,0,0,11,5,0,0,0,0,27,0,3,13,33,31,28,43,23,9,186,0,5,6,31,10,29,58,37,36,216,0,5,3,14,6,3,3,0,0,35,0,10,12,61,9,9,4,0,0,105,0,0,0,5,0,6,5,0,0,25,5,16,47,100,33,21,21,6,4,249,0,0,0,4,3,9,13,10,0,49,0,0,0,8,0,5,0,0,0,16,0,12,32,33,21,6,0,0,0,103,4,65,146,875,13,0,0,0,6,1106,0,0,8,48,54,75,228,210,55,680,5,49,73,331,342,407,322,132,21,1689,0,0,0,0,0,0,3,0,0,7,4,18,19,404,7,5,7,0,0,467,0,0,0,23,32,19,11,0,0,83,7,36,47,111,35,16,18,4,0,274,0,0,0,16,13,19,28,13,9,95,0,0,5,14,6,6,0,0,0,32,0,6,13,49,56,142,190,139,45,644
