GCCSA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,110491,141131,49535,4518,305674,84066,12395,402136,13274,8308,7112,871,29563,31601,2628,63801,6151,4640,2843,408,14040,7902,1793,23740,19419,12947,9961,1285,43604,39502,4426,87535,5879,3141,2189,421,11631,16659,1561,29848,1008,297,221,78,1603,2402,339,4352,1600,395,263,104,2352,2770,478,5599,1047,203,116,69,1436,1746,500,3677,70,61,27,4,167,104,15,289,9599,4089,2819,675,17183,23687,2892,43766,146,23,26,0,195,353,10,562,58,9,10,0,81,252,7,336,0,0,0,0,8,5,0,7,98,77,46,5,226,179,45,450,308,110,79,9,505,785,70,1356,245,201,102,12,560,601,85,1252,140061,158483,62496,6500,367534,148641,19869,536048
4RSAU,47064,34340,13361,1139,95902,37876,3077,136865,2253,1072,1616,126,5074,7136,369,12586,191,72,45,7,312,188,19,522,2446,1140,1663,137,5386,7327,391,13105,346,114,180,39,683,2287,97,3059,25,4,4,0,31,71,5,109,13,0,0,0,18,16,0,35,0,0,0,0,4,0,0,3,13,14,3,0,33,18,0,54,398,133,192,42,765,2394,103,3262,180,35,10,0,231,373,46,652,121,17,28,4,172,221,28,423,15,17,6,0,38,29,0,73,76,63,20,4,157,100,7,257,398,132,62,6,601,731,80,1408,196,85,31,0,310,300,22,627,50501,35827,15313,1324,102966,48627,3673,155264
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,163242,236560,69160,6774,475733,111931,17788,605453,17417,11610,8263,1062,38352,37386,3608,79348,8462,5333,2963,520,17278,11481,2224,30979,25877,16944,11225,1583,55625,48866,5836,110325,3919,1679,1229,262,7092,10785,1024,18894,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,203,147,67,11,431,348,20,808,15355,4971,3211,796,24327,31438,3724,59492,226,25,39,4,296,639,22,955,303,16,41,7,372,685,16,1067,25,21,3,0,47,48,0,95,130,68,28,8,227,153,39,419,684,132,112,17,941,1525,75,2537,179,131,65,10,382,411,25,820,205332,258734,83764,9178,557005,194168,27450,778620
5RWAU,51623,50094,17391,1531,120637,38614,4331,163583,2420,1266,1213,146,5045,7376,420,12837,657,383,183,14,1235,925,128,2285,3071,1652,1395,160,6279,8301,539,15123,394,171,144,23,720,1337,84,2147,72,22,20,3,113,175,14,293,48,18,4,0,71,71,4,155,49,9,5,0,64,98,6,169,25,13,10,0,49,42,8,108,587,233,174,28,1022,1733,114,2871,639,118,73,17,842,1072,58,1968,220,30,19,6,281,490,29,799,61,30,8,6,110,122,6,240,101,69,25,3,189,103,15,319,1020,252,121,25,1425,1788,112,3325,311,194,62,15,581,589,41,1207,56620,52421,19143,1758,129939,51026,5146,186111
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,23280,24153,10451,881,58765,19082,2995,80846,571,260,303,37,1169,1898,181,3240,715,316,228,37,1288,1004,233,2530,1280,575,532,72,2456,2901,415,5768,1309,562,553,66,2483,3074,401,5960,252,62,39,15,375,569,91,1030,162,35,43,11,254,276,63,593,14,0,0,0,12,16,0,31,44,22,13,4,83,59,9,147,1774,681,648,94,3204,4000,561,7759,27,9,4,0,37,55,0,97,31,10,6,0,42,56,3,101,5,0,0,0,5,3,0,8,52,34,15,7,104,62,21,194,110,51,26,3,185,180,27,396,47,33,15,0,98,97,6,205,26496,25494,11669,1053,64705,26263,4007,94980
6RTAS,36143,28638,12610,966,78361,29439,2922,110713,1010,336,596,54,1997,4037,188,6231,363,210,154,18,750,565,86,1399,1379,545,747,69,2741,4608,276,7632,617,201,297,25,1143,2142,152,3433,19,15,10,0,44,106,6,154,20,0,3,0,23,51,4,80,6,0,0,0,4,3,0,9,23,16,18,0,65,73,6,145,682,236,329,24,1272,2371,172,3817,101,16,23,0,135,292,10,439,76,14,19,3,116,125,12,250,10,13,4,0,22,24,4,46,69,34,24,8,129,105,23,256,255,76,63,9,402,548,45,994,73,50,10,3,132,140,8,283,38530,29552,13759,1073,82908,37100,3424,123432
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,7628,12546,3803,317,24294,4369,1278,29937,569,446,351,51,1417,1216,123,2755,554,419,294,35,1301,704,184,2187,1128,863,643,91,2718,1922,304,4950,918,702,414,67,2093,1668,273,4037,469,403,131,25,1034,727,162,1919,887,584,271,44,1799,1110,351,3253,881,352,106,24,1374,949,271,2592,5,3,3,0,11,15,0,27,3165,2048,925,168,6308,4466,1055,11824,110,28,7,0,147,142,7,294,24,6,0,0,34,43,0,81,8,3,0,0,13,19,3,40,10,4,0,0,17,3,4,22,152,42,14,5,211,212,11,429,30,13,14,0,59,87,3,151,12102,15507,5403,574,33581,11060,2654,47297
7RNTE,3837,6542,2751,439,13578,3011,691,17274,588,641,349,56,1630,1248,122,2998,237,189,116,12,557,392,69,1019,826,828,462,75,2181,1637,193,4016,168,74,61,13,314,419,30,765,3,0,6,0,11,16,0,24,3,5,4,0,7,5,0,15,0,0,0,0,0,0,0,0,3,6,5,0,6,3,0,12,171,85,65,18,342,445,27,821,151,36,20,4,208,235,11,450,17,16,7,0,41,71,5,114,42,13,9,3,68,69,3,141,17,3,0,0,22,15,0,42,225,66,37,8,336,385,20,745,122,62,33,7,224,267,15,511,5183,7584,3348,538,16660,5754,951,23364
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
8ACTE,28306,44820,11282,983,85385,17682,3365,106433,3065,2265,1618,148,7105,6103,546,13757,4074,3449,1672,240,9435,4431,1301,15164,7138,5716,3294,387,16540,10536,1845,28921,1330,666,432,46,2473,2745,409,5628,2147,882,428,112,3571,3476,697,7745,4037,1181,569,143,5928,5810,904,12642,2047,538,258,88,2929,2697,578,6206,115,62,28,3,214,198,26,442,9675,3330,1726,391,15117,14932,2612,32669,5,3,5,0,10,29,0,45,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,3,5,0,0,8,3,4,7,25,15,14,6,57,92,11,168,47,38,18,3,107,90,15,213,45194,53911,16336,1768,117214,43338,7850,168400
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
