GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
39499,89,412,333,3294,64,4192,8,34,22,684,37,785,145,10,7,9,4,175,20,4,0,7,0,31,116,29,24,39,0,208,1159,341,261,2698,75,4534,58,5,17,12,8,100,93,7,4,29,0,133,180,29,29,387,5,630,19,9,0,9,0,37,15,5,0,13,0,33,66,9,3,4,0,82,276,67,63,862,16,1284,130,32,17,153,0,332,31,0,0,0,0,31,11,3,0,14,0,28,0,0,0,0,0,0,14,6,5,17,0,42,102,19,21,6,6,154,121,27,24,21,5,198,50,12,5,24,0,91,16,0,0,3,0,19,15,4,4,4,0,27,281,100,63,780,9,1233,7,3,0,0,0,10,32,4,6,5,0,47,70,3,5,18,0,96,8,0,0,4,0,12,25,0,3,0,0,28,38,10,5,32,3,88,752,81,73,274,30,1210,64,10,8,94,3434,3610,3155,745,560,6577,3637,14674
39799,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,18,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,128,128,26,7,4,16,130,183
4GADE,15700,50494,38303,311239,3798,419534,263,1465,772,19356,427,22283,51930,962,1939,1695,262,56788,5007,937,515,2266,56,8781,10161,3571,2278,6832,121,22963,124352,49671,38775,293868,4497,511163,14737,438,2024,537,91,17827,3002,590,472,2616,37,6717,16261,6999,4855,64601,621,93337,19048,4045,1854,12526,243,37716,3004,689,336,1318,39,5386,39950,743,545,512,86,41836,21140,8099,5611,70200,664,105714,42084,10811,4577,36932,597,95001,4107,87,287,135,9,4625,2961,836,446,1358,19,5620,973,170,105,452,13,1713,2858,940,559,2683,42,7082,1463,563,311,375,33,2745,2497,1317,942,576,26,5358,10357,1840,1171,4673,126,18167,4420,455,475,990,54,6394,324,122,28,21,0,495,26348,10166,7847,68110,691,113162,5114,591,357,862,28,6952,4070,561,482,223,18,5354,3413,363,307,880,20,4983,2782,206,186,133,12,3319,20181,726,769,544,117,22337,4952,1135,834,3529,45,10495,139173,11317,8874,17216,1250,177830,6489,512,449,4978,46020,58448,518533,99141,72631,639705,57275,1387285
4RSAU,2102,10506,8478,135087,2182,158355,63,502,213,15703,356,16837,1474,53,126,393,16,2062,709,160,63,438,18,1388,3063,883,647,1935,57,6585,25579,10618,8758,116976,2342,164273,2693,58,489,129,40,3409,509,95,75,732,14,1425,3828,1789,1356,34280,433,41686,1389,270,121,1154,43,2977,367,118,35,200,10,730,1482,77,42,118,12,1731,3696,1607,1117,23359,305,30084,2808,1043,395,4437,110,8793,107,6,53,18,0,184,81,43,16,164,3,307,54,8,14,21,0,97,274,108,55,339,6,782,706,178,133,126,17,1160,643,340,238,197,15,1433,928,238,140,891,18,2215,299,41,32,143,8,523,75,5,4,4,0,88,5758,2329,1834,25753,362,36036,227,44,19,73,0,363,692,90,85,52,0,919,424,77,32,261,8,802,152,16,24,27,5,224,431,34,49,20,16,550,902,225,150,1002,18,2297,10096,1600,1266,4256,237,17455,619,154,117,3228,24209,28327,59024,19397,15120,267891,29401,390833
49499,26,90,68,732,20,936,6,18,10,205,12,251,45,3,4,7,7,66,6,0,0,0,0,6,18,13,5,12,0,48,258,110,94,634,23,1119,9,0,0,0,0,9,21,0,0,3,0,24,30,12,13,142,3,200,11,0,0,8,0,19,7,3,0,3,0,13,18,0,0,3,0,21,34,28,9,152,3,226,40,13,6,57,0,116,3,0,0,0,0,3,6,0,0,0,0,6,5,0,0,3,0,8,0,0,5,5,0,10,11,3,4,5,0,23,11,9,4,0,0,24,14,7,5,8,0,34,6,4,0,0,0,10,0,0,0,0,0,0,47,16,18,164,4,249,3,0,0,0,0,3,0,0,0,6,0,6,9,0,0,4,0,13,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,8,0,15,142,21,9,53,7,232,13,0,0,16,772,801,652,202,148,1548,831,3381
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,5,8,0,0,0,5,13
5GPER,29319,95698,78658,385003,4560,593238,599,2851,1808,33096,699,39053,102154,2279,4319,3014,527,112293,9569,2727,1464,7814,148,21722,21543,5949,3993,10774,196,42455,304815,85852,68685,319755,5836,784943,34649,547,2731,604,138,38669,9828,1130,966,2538,72,14534,24378,5401,4484,25445,395,60103,6041,2067,1080,5304,75,14567,3131,566,375,870,34,4976,67443,2325,1649,1768,197,73382,71162,15660,11512,87365,1093,186792,46515,15262,7469,46641,652,116539,7547,117,413,119,16,8212,1920,443,251,531,11,3156,6437,1115,699,2313,60,10624,2022,711,390,1396,30,4549,18917,2601,1698,805,199,24220,13426,5196,3098,1504,119,23343,12041,1931,1589,4260,106,19927,4514,374,619,785,43,6335,2317,318,106,63,20,2824,71908,17927,13884,79086,990,183795,6473,577,358,661,39,8108,23979,2267,1965,600,101,28912,7800,648,569,1793,56,10866,5505,483,316,367,31,6702,20696,515,945,417,70,22643,11979,2075,1468,4285,70,19877,252156,19680,19541,21284,2000,314661,12343,1031,861,5445,96446,116126,985194,169557,134620,716031,111245,2116647
5RWAU,4065,21000,18487,148468,2199,194219,117,1536,719,38420,876,41668,3343,167,279,665,41,4495,716,325,182,1112,29,2364,4781,1499,970,2961,80,10291,51557,20098,16936,122758,2537,213886,7015,93,706,197,53,8064,1586,187,193,728,11,2705,5217,1347,1299,9957,164,17984,464,213,103,732,7,1519,373,111,55,168,6,713,3274,216,139,306,14,3949,10037,3432,2636,29500,404,46009,5328,2367,1079,11575,176,20525,423,8,60,14,5,510,157,27,16,63,0,263,302,83,55,252,5,697,248,134,60,250,0,692,5019,745,600,299,103,6766,3159,1406,885,489,54,5993,1682,395,327,1176,27,3607,503,52,97,208,13,873,424,42,24,24,4,518,12197,4217,3481,27967,380,48242,298,46,28,77,0,449,3470,380,343,150,15,4358,992,101,88,501,9,1691,281,39,50,38,3,411,890,33,69,25,12,1029,1795,462,312,1316,16,3901,21176,3116,3196,6600,398,34486,1348,304,261,2783,51833,56529,119358,37283,30738,289608,57821,534808
59499,38,167,166,1347,24,1742,6,8,6,354,25,399,51,0,0,8,0,59,13,3,0,8,0,24,52,12,9,13,0,86,602,174,149,916,17,1858,34,0,9,0,0,43,44,0,0,5,0,49,104,17,7,95,4,227,7,7,0,4,0,18,7,0,0,3,0,10,23,0,0,0,0,23,146,32,16,278,6,478,79,19,10,60,3,171,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,44,8,5,0,0,57,50,8,9,6,4,77,20,3,0,11,0,34,12,0,0,0,0,12,4,0,0,0,0,4,141,29,34,255,0,459,0,0,0,0,0,0,34,3,9,0,0,46,25,0,0,0,0,25,9,0,0,0,0,9,14,0,0,0,0,14,17,0,5,7,0,29,314,29,24,68,16,451,19,6,0,32,3432,3489,1481,314,268,2478,3512,8053
59799,9,8,4,59,3,83,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,49,11,4,50,0,114,16,0,0,0,0,16,4,0,0,0,0,4,8,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,0,35,7,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,4,0,48,12,0,0,0,218,230,169,17,10,115,221,532
6GHOB,1169,8438,5747,76565,866,92785,36,310,142,9446,118,10052,8301,133,271,349,34,9088,382,131,50,246,11,820,1917,767,484,1768,18,4954,14170,8201,5595,76069,1097,105132,1210,50,295,50,9,1614,502,116,80,408,9,1115,2252,818,537,5437,71,9115,885,242,86,687,14,1914,241,127,30,166,6,570,3515,95,92,132,11,3845,2672,1689,1036,20802,231,26430,1541,649,215,2158,35,4598,554,20,66,37,3,680,117,45,22,87,0,271,38,14,4,19,0,75,113,68,28,156,0,365,198,119,67,114,0,498,510,289,186,207,5,1197,1075,363,167,911,5,2521,329,51,44,142,3,569,40,24,15,4,0,83,3373,2007,1329,16387,136,23232,189,39,17,55,0,300,536,98,87,46,0,767,444,60,39,150,4,697,384,21,8,22,3,438,996,18,20,22,3,1059,618,189,121,634,4,1566,17382,1965,1425,3523,172,24467,678,87,54,1541,9929,12289,55487,15421,10330,153660,12186,247084
6RTAS,1241,8629,6554,113777,1775,131976,46,411,227,15828,245,16757,2497,89,147,478,23,3234,192,92,22,162,3,471,2862,957,708,2311,34,6872,17760,8224,6140,103825,2053,138002,1251,32,394,84,16,1777,517,85,56,496,6,1160,2336,886,505,6886,105,10718,257,115,36,274,8,690,280,107,38,123,0,548,1728,86,71,110,12,2007,3151,1476,1003,24162,293,30085,1057,592,149,1999,36,3833,240,6,29,15,0,290,81,29,10,55,0,175,33,8,3,16,0,60,181,72,38,186,8,485,383,139,102,136,4,764,671,316,217,234,11,1449,717,211,105,553,3,1589,286,36,27,107,3,459,77,23,10,20,0,130,4343,2000,1442,21245,254,29284,93,28,6,35,3,165,520,69,70,40,6,705,347,28,36,190,8,609,231,20,20,25,0,296,366,12,50,5,3,436,749,160,125,634,11,1679,11970,1529,1314,3466,176,18455,521,111,95,2660,14937,18324,46294,15293,11341,217111,19044,309083
69499,8,28,22,380,11,449,0,0,3,113,0,116,12,0,0,0,0,12,0,0,0,5,0,5,9,0,0,6,0,15,70,27,23,313,9,442,0,0,0,0,0,0,0,0,0,3,0,3,7,4,0,38,3,52,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,14,5,0,81,0,100,6,0,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,57,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,10,57,15,0,18,4,94,0,3,0,18,317,338,187,53,37,756,337,1370
69799,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,9,3,20
7GDAR,1488,4303,4480,29818,326,40415,69,691,385,11048,293,12486,4573,202,341,800,45,5961,106,49,26,102,0,283,707,313,215,631,13,1879,8284,3435,3210,23434,371,38734,5885,122,600,232,26,6865,417,58,73,215,0,763,1273,457,403,3570,36,5739,2018,624,294,1059,32,4027,145,33,18,54,3,253,3730,84,54,55,7,3930,2187,841,741,8089,74,11932,1042,389,178,1656,17,3282,337,6,35,6,3,387,65,7,11,48,3,134,32,11,3,24,0,70,83,55,22,185,3,348,631,117,144,106,3,1001,511,254,158,105,16,1044,313,95,55,250,6,719,152,22,33,85,0,292,126,25,12,34,3,200,2015,829,721,6809,59,10433,65,19,3,28,0,115,372,71,38,31,3,515,502,35,32,116,9,694,524,33,27,24,4,612,1292,36,98,26,5,1457,292,63,75,297,0,727,17146,1268,1628,3279,186,23507,702,58,52,561,12393,13766,47785,8402,8040,62044,13635,139906
7RNTE,423,1357,1310,11722,161,14973,28,313,166,42638,620,43765,666,30,48,193,10,947,35,8,5,26,0,74,320,101,79,209,7,716,2999,1219,1047,8928,194,14387,1148,17,156,36,10,1367,179,17,23,62,3,284,636,170,156,1516,14,2492,63,42,8,95,3,211,32,14,5,29,0,80,1183,19,19,19,5,1245,846,338,259,3287,42,4772,340,118,66,505,15,1044,92,5,16,0,0,113,15,8,0,23,0,46,5,4,0,5,0,14,12,23,4,38,4,81,507,83,69,55,9,723,295,76,44,34,5,454,110,22,22,98,0,252,57,4,10,21,0,92,176,15,3,8,3,205,787,323,258,2621,37,4026,19,5,0,7,0,31,163,17,22,11,0,213,148,8,3,29,0,188,113,7,0,10,0,130,234,10,7,12,8,271,78,34,24,113,3,252,4820,426,417,1165,90,6918,257,17,16,453,7712,8455,13533,2751,2404,61625,8785,89098
79499,16,40,51,518,10,635,0,8,9,675,133,825,17,0,4,0,0,21,0,0,0,10,0,10,26,6,7,6,0,45,199,51,49,361,12,672,3,0,4,0,0,7,34,6,0,4,0,44,45,4,0,52,0,101,11,4,0,6,0,21,7,0,0,0,0,7,13,3,0,0,0,16,54,13,8,129,5,209,42,7,4,14,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,14,4,4,5,0,27,4,0,4,0,0,8,0,3,0,0,0,3,6,0,0,0,0,6,40,15,14,102,3,174,0,0,0,0,0,0,6,0,0,0,0,6,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,14,128,8,16,41,5,198,8,0,0,42,1026,1076,561,99,94,1565,1185,3504
79799,0,0,3,16,0,19,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,9,3,28,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,11,0,0,0,0,21,21,24,8,4,34,24,94
8ACTE,4905,18177,15306,104160,619,143167,130,515,309,7573,68,8595,22716,669,1364,1174,108,26031,3180,546,282,1576,33,5617,2828,1274,835,2849,24,7810,25909,15630,12292,90666,647,145144,6054,181,792,227,26,7280,1474,354,276,994,10,3108,5002,1839,1426,10727,81,19075,2546,631,342,1984,23,5526,937,279,193,596,5,2010,19323,396,347,277,26,20369,5863,3971,3047,39525,210,52616,5409,1871,975,6889,68,15212,3101,58,255,62,3,3479,815,268,106,430,0,1619,904,176,85,289,8,1462,634,263,206,850,14,1967,754,245,185,199,8,1391,1271,704,523,372,11,2881,2559,529,491,1442,17,5038,1211,166,189,422,13,2001,767,169,71,39,13,1059,7013,4256,3415,30566,163,45413,1493,246,136,300,12,2187,1377,244,234,123,6,1984,2121,265,216,482,27,3111,1908,138,153,126,8,2333,5301,152,330,141,26,5950,1181,472,311,1659,5,3628,57729,5479,5450,7173,319,76150,2261,171,129,1327,16811,20699,167477,33791,27820,206002,18802,453892
89499,0,24,7,143,0,174,0,0,0,28,0,28,12,3,4,0,0,19,0,0,0,0,0,0,4,0,0,3,0,7,34,13,13,87,0,147,3,4,0,0,0,7,5,0,0,0,0,5,4,4,0,25,0,33,0,0,0,0,0,0,3,0,0,0,0,3,17,0,0,0,0,17,15,0,4,35,0,54,3,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,32,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,5,12,4,87,5,0,0,4,132,141,143,42,27,262,137,611
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,40,141,121,814,4,1120,3,0,4,146,0,153,350,13,10,22,0,395,3,3,0,7,0,13,26,5,9,8,0,48,310,86,88,403,18,905,62,0,9,0,4,75,11,4,4,8,0,27,25,11,8,44,0,88,0,0,0,0,0,0,6,0,0,0,0,6,30,0,4,0,0,34,61,29,16,117,4,227,13,6,3,11,0,33,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,0,9,32,10,6,5,0,53,85,24,37,5,0,151,4,5,0,0,0,9,4,0,3,0,0,7,6,0,0,0,0,6,93,14,16,136,6,265,3,0,0,0,0,3,16,0,0,0,0,16,12,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,9,0,19,409,229,223,699,21,1581,17,7,6,22,850,902,1307,375,371,1828,897,4778
99499,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,3,0,0,0,12,3,15
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
