GCCSA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
39499,0,0,3,0,8,14,16,0,7,48,0,0,7,6,23,63,61,8,5,173,25,165,216,170,181,179,104,6,6,1052,0,0,0,5,10,17,14,8,3,57,21,59,86,87,109,176,115,11,0,664,490,364,652,343,312,422,304,47,0,2934,124,199,380,267,232,217,127,28,5,1579,680,777,1345,885,887,1170,870,160,25,6799,3,7,33,80,160,444,484,117,13,1341,87,109,187,160,137,194,172,25,5,1076,0,6,4,19,45,106,163,45,3,391,0,0,0,0,0,8,11,8,6,33,0,0,20,32,74,163,204,70,6,569,0,5,9,24,49,165,249,80,13,594,0,0,7,7,13,21,40,10,3,101,0,3,11,17,45,116,139,31,3,365,68,248,363,339,327,333,202,25,6,1911,0,0,0,10,18,38,44,18,8,136,65,107,137,162,204,318,253,33,3,1282,990,705,1300,787,642,893,711,136,10,6174
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,13,5,0,0,0,0,0,22,0,9,13,7,0,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,10,0,0,0,0,41
4GADE,128,145,247,355,503,786,1242,1304,1061,5771,151,100,159,409,1145,2693,3964,3277,1613,13511,2332,12540,15645,13201,12780,11533,7467,4075,3111,82684,36,42,101,186,483,919,1444,1786,1464,6461,4302,5134,7894,8928,10466,12138,10694,6472,4587,70615,96196,56152,63866,59348,49610,40103,25537,10416,3094,404322,7338,5188,5394,5288,5230,4857,3878,2717,1696,41586,115534,82583,97097,93732,88828,87163,74658,44835,22535,706965,204,839,2907,6173,14191,27404,37031,28411,14509,131669,15103,14583,18049,17829,15942,15359,13713,7760,2995,121333,238,318,757,1826,4164,8511,13044,9689,4194,42741,15,29,38,63,147,469,1675,4539,6426,13401,416,973,2112,4876,9743,16756,20891,14039,5440,75246,408,436,721,1335,4131,10281,17428,16133,9839,60712,305,315,456,671,1051,1801,2774,2796,1875,12044,385,239,384,763,2036,4984,7515,6311,2928,25545,4686,19117,24718,22024,21916,19616,12884,6608,4290,135859,80,71,176,357,1043,2209,3611,3870,2583,14000,11021,9323,12414,14747,18037,21524,18959,11017,6765,123807,193363,120772,133935,121225,101509,79277,48325,19432,5466,823304
4RSAU,27,37,42,97,166,304,473,470,280,1896,46,37,50,146,481,1130,1594,1195,428,5107,643,2865,3662,3373,3834,4091,2598,1272,713,23051,4,14,38,78,163,331,493,599,352,2072,1086,1040,1587,1962,2710,3562,3056,1691,1028,17722,25269,11579,12107,11983,12965,12584,9545,3962,1045,101039,2997,1631,1672,1667,2078,2273,2045,1364,737,16464,31826,18269,20218,20806,24599,29024,27281,15866,6558,194447,79,252,775,1841,4710,10706,14622,10511,4187,47683,4877,3936,4453,4551,4859,5723,5381,2965,870,37615,63,74,171,444,1130,2771,4768,3631,1162,14214,0,3,6,17,47,167,586,1465,1629,3920,138,265,548,1116,2810,5875,8249,5486,1727,26214,122,126,194,386,1307,3819,6765,6001,2777,21497,69,71,99,190,339,696,1075,1045,509,4093,101,70,115,261,880,2252,3360,2518,870,10427,1357,4496,5666,5495,6497,7082,4939,2221,1013,38766,8,20,59,110,340,805,1328,1365,679,4714,2762,2034,2581,3216,4821,6649,5809,3062,1566,32500,50676,25600,25645,24683,26592,25767,19066,7774,1868,207671
49499,0,0,0,0,0,0,4,0,0,4,0,7,3,5,7,13,14,0,0,49,17,65,77,59,39,34,20,6,0,317,0,0,0,3,8,3,0,0,0,14,5,23,34,17,20,33,21,4,0,157,125,83,123,75,60,79,39,6,5,595,42,37,73,79,46,37,22,3,0,339,197,214,305,245,178,197,141,26,10,1513,0,5,17,21,40,74,81,19,5,262,41,69,65,51,48,31,31,9,0,345,0,0,0,4,7,19,29,4,3,66,0,0,0,0,0,0,0,4,0,4,0,0,8,4,31,37,49,8,0,137,5,0,6,0,9,28,36,9,4,97,0,0,0,0,5,7,8,0,0,20,0,7,3,7,7,24,24,6,0,78,28,104,132,103,92,75,38,6,0,578,0,0,3,4,9,7,11,0,0,34,15,43,48,31,63,76,42,8,0,326,248,170,265,197,167,172,97,21,4,1341
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
5GPER,144,172,288,485,698,1054,1600,1755,1211,7407,205,142,264,502,1385,3302,5140,4265,1806,17011,3731,18691,22789,19298,16624,13560,8031,4004,2501,109229,56,47,119,314,661,1116,1790,2089,1556,7748,6456,7504,10621,12555,13683,15110,12888,7648,4619,91084,163432,85347,103570,102585,82274,60841,37213,13490,3682,652434,13356,9197,11032,9996,9285,7768,5997,4176,2906,73713,195010,125522,154640,155066,138742,123146,99302,55001,25048,1071477,368,1330,3927,8454,18261,33219,44340,32612,14349,156860,22182,19654,23952,24174,21001,18093,15086,8110,2769,155021,380,495,1232,3028,6429,11734,17129,12468,4565,57460,15,39,37,74,156,560,1878,5201,6215,14175,629,1323,2666,6431,12694,20417,25690,16288,5416,91554,495,496,819,1874,5602,13419,22316,19605,9710,74336,360,326,543,988,1435,2338,3569,3903,2277,15739,482,314,527,978,2560,6101,9846,8340,3301,32449,7964,28170,35259,31405,27661,22452,13896,6737,3508,177052,95,109,221,616,1341,2573,4361,4817,2779,16912,16241,13608,16877,20346,23544,26402,23128,13188,7042,160376,330175,182060,210264,207747,166916,121199,70932,26052,6504,1321849
5RWAU,36,20,64,135,262,390,510,462,277,2156,74,38,42,141,422,1074,1508,968,360,4627,903,3524,4667,4620,4528,3976,2270,973,509,25970,11,15,40,84,196,326,555,553,348,2128,1528,1248,1957,2563,3192,3780,2899,1636,892,19695,39418,16918,20448,21052,18928,16081,9690,3493,832,146860,6355,3414,4183,4124,4023,3718,2701,1522,685,30725,50387,26337,33035,35076,35283,35206,27493,14003,5399,262219,115,300,945,2308,5538,10880,13675,8566,3261,45588,6045,4312,5236,5754,5631,5532,4587,2150,642,39889,91,89,261,667,1609,3431,4831,3288,1003,15270,5,9,19,23,63,190,514,1269,1343,3435,174,338,761,1583,3616,6213,7343,4177,1211,25416,168,159,256,509,1611,3997,6241,4874,2184,19999,91,59,161,247,509,821,1127,1032,511,4558,154,84,110,237,779,2108,3218,2154,686,9530,1920,5434,7049,7248,7470,6930,4284,1731,749,42815,18,22,69,146,372,766,1369,1257,606,4625,3731,2474,3081,4157,5435,6781,5582,3014,1373,35628,79576,36702,42348,43430,39942,33508,20208,7059,1582,304355
59499,0,0,0,0,0,3,7,0,3,13,0,0,4,3,10,7,12,3,0,39,4,62,79,88,61,35,20,0,0,349,0,0,0,0,3,0,8,0,0,11,9,25,32,40,33,40,27,3,0,209,269,136,307,193,131,168,91,13,0,1308,93,172,267,281,223,162,87,14,12,1311,380,410,692,613,468,477,316,38,16,3410,0,10,6,35,61,122,136,24,3,397,28,50,72,68,56,40,35,10,0,359,0,0,4,9,16,33,53,10,0,125,0,0,0,0,0,0,0,0,3,3,0,4,9,14,31,54,65,8,3,188,0,0,6,12,22,44,68,24,4,180,0,0,0,7,7,7,13,3,3,40,3,4,3,9,17,20,35,10,0,101,14,104,149,157,133,86,36,9,6,694,0,0,0,0,10,8,19,0,0,37,21,49,59,72,71,89,70,6,0,437,528,305,612,469,315,334,212,26,4,2805
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,5,5,4,0,0,30,0,8,3,3,8,0,0,0,0,22,0,13,14,11,9,3,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,84,56,24,8,0,0,254
6GHOB,11,20,46,78,113,196,290,328,166,1248,30,15,36,73,229,536,839,650,211,2619,585,2914,3461,3019,2843,2314,1499,691,406,17732,3,3,21,62,103,193,334,370,255,1344,730,1025,1467,1675,1919,2091,1847,1085,633,12472,16372,8302,13041,9439,7882,6776,4483,1763,510,68568,1557,1062,1220,1050,989,927,816,565,279,8465,20235,13788,19834,16250,15439,15666,13805,8028,3516,126561,37,202,655,1469,3173,5942,8071,5525,2394,27468,2840,2711,3128,3082,2828,2752,2529,1341,448,21659,33,68,134,376,776,1587,2539,1803,705,8021,0,3,4,8,27,81,358,763,859,2103,94,187,402,682,1357,2474,3206,2103,702,11207,78,75,116,229,664,1707,2979,2738,1431,10017,26,46,74,133,208,386,621,624,297,2415,59,32,76,155,419,987,1499,1200,406,4833,1197,4487,5353,4903,4689,3874,2529,1129,586,28747,5,14,29,90,199,417,740,774,435,2703,1940,1825,2281,2692,3262,3673,3258,1831,995,21757,32878,18281,27716,19408,15855,13373,8637,3383,863,140394
6RTAS,24,38,51,85,177,323,508,521,293,2020,25,14,53,143,486,1082,1552,1045,324,4724,725,2897,3630,3393,3593,3352,2085,841,475,20991,10,3,21,64,200,316,481,472,318,1885,896,984,1446,1794,2503,3054,2598,1368,792,15435,19479,9789,11083,9737,10127,9850,6667,2575,669,79976,2207,1362,1333,1338,1499,1697,1468,957,444,12305,24827,15866,18362,17708,20349,23258,20461,11369,4415,156615,81,235,763,1723,4622,9408,12459,8197,2993,40481,4260,3393,3823,3880,4040,4247,4103,2099,558,30403,39,60,158,373,1048,2334,3651,2573,800,11036,3,8,10,17,51,129,324,853,899,2294,94,215,460,893,2084,3891,5240,3354,910,17141,117,103,136,307,1046,2753,4791,4137,1725,15115,61,64,95,155,338,600,1026,1053,490,3882,52,37,112,267,905,2023,3036,2125,609,9166,1567,4550,5624,5374,6020,5740,3763,1510,670,34818,13,14,37,107,376,678,1218,1111,569,4123,2306,1870,2380,2872,4219,5550,4777,2429,1182,27585,38953,21329,23740,20044,20665,19764,13364,5110,1182,164151
69499,0,0,0,0,0,3,0,0,0,3,0,0,0,3,6,9,7,0,0,25,0,42,21,28,23,19,6,0,0,139,0,0,0,0,0,0,0,0,0,0,0,6,6,11,16,19,9,0,0,67,49,34,49,27,21,28,19,4,0,231,5,19,11,24,18,31,28,4,0,140,61,108,92,97,78,98,72,13,4,623,0,0,8,16,26,38,21,9,3,121,7,22,29,17,18,15,9,0,0,117,0,0,0,3,6,10,6,3,0,28,0,0,0,0,0,4,0,0,0,4,0,0,0,9,18,8,14,0,0,49,0,0,0,0,7,7,17,3,3,37,0,0,0,0,3,8,0,0,0,11,0,0,0,3,4,11,11,0,0,29,4,69,51,51,53,34,16,0,0,278,0,0,0,5,4,3,5,0,0,17,4,12,8,21,32,23,9,0,0,109,102,90,107,64,70,51,40,7,0,531
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7
7GDAR,6,10,26,51,70,94,110,82,23,472,24,13,16,23,109,223,230,157,42,837,181,813,1224,1048,729,547,286,96,39,4963,4,0,5,19,55,69,87,73,27,339,423,373,662,845,784,770,604,265,100,4826,11352,5500,9293,7364,5307,3423,1664,437,61,44401,1444,872,1324,1145,911,704,424,179,66,7069,13861,7879,13199,11286,9043,7139,4513,1776,465,69161,14,79,307,616,1281,1919,1964,1005,264,7449,1254,938,1610,1395,1215,1029,711,262,55,8469,18,23,75,179,416,653,785,410,64,2623,0,3,5,10,11,44,101,185,131,490,27,91,226,485,894,1398,1346,606,125,5198,50,51,89,151,416,824,1034,586,199,3400,35,29,51,117,138,195,245,168,47,1025,66,23,41,65,196,449,482,320,75,1717,388,1221,1805,1645,1327,1022,541,189,54,8192,9,0,9,33,97,174,238,173,49,782,1112,715,1092,1414,1427,1484,1120,503,168,9035,22674,11971,18500,14691,10883,7049,3435,922,129,90254
7RNTE,12,22,52,82,147,165,100,43,27,650,23,8,12,37,76,120,108,52,17,453,50,300,516,379,333,266,108,34,11,1997,7,0,4,20,34,54,41,29,9,198,228,170,363,387,493,500,281,116,43,2581,7887,4743,5926,4192,2927,1846,756,163,29,28469,1097,641,951,721,636,551,293,83,19,4992,9613,6279,8392,6607,5597,4514,2299,722,198,44221,14,42,109,227,465,800,694,311,96,2758,537,404,674,723,756,754,399,135,29,4411,5,9,37,51,149,304,273,132,19,979,0,3,6,7,13,46,100,93,65,333,47,121,298,707,1130,1240,829,291,66,4729,272,367,316,386,590,735,578,261,63,3568,35,40,82,137,259,297,195,88,31,1164,53,26,30,84,139,248,229,106,28,943,145,502,827,686,602,478,227,60,20,3547,7,0,13,36,73,141,105,68,12,455,598,375,600,663,858,898,542,227,64,4825,16235,9831,11589,8449,5917,3872,1631,348,50,57922
79499,0,0,0,9,7,20,8,4,0,48,0,0,0,5,3,10,9,0,0,27,0,6,27,30,15,24,3,5,0,110,0,0,0,0,0,4,0,0,0,4,3,3,14,25,24,17,13,4,0,103,153,88,182,120,84,73,32,4,0,736,32,48,105,71,105,98,33,0,0,492,190,162,364,268,280,279,114,17,4,1678,0,0,0,14,27,60,58,5,0,164,11,7,36,30,34,35,22,0,0,175,0,0,0,8,13,18,28,4,0,71,0,0,0,4,3,0,5,0,0,12,0,0,9,12,43,60,39,4,0,167,0,6,14,19,35,58,36,5,0,173,0,3,0,4,24,31,13,3,0,78,0,0,0,6,10,22,15,0,0,53,6,14,41,55,50,48,22,8,0,244,0,0,0,0,3,9,4,0,0,16,10,11,25,41,56,45,27,3,0,218,355,149,356,269,183,166,91,12,3,1584
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,15,12,8,0,0,0,64
8ACTE,28,35,82,155,238,318,451,516,273,2096,38,35,70,157,295,597,870,765,331,3158,982,5889,6569,5105,4057,2725,1517,765,394,28003,9,8,28,66,141,231,317,425,294,1519,1498,2512,3836,4036,3799,3749,3205,1827,919,25381,33378,18623,25068,21620,15407,10479,6477,2467,600,134119,2317,2158,2165,1777,1471,1174,1033,576,317,12988,40132,30032,38992,35006,28342,23462,19022,10556,4315,229859,88,372,1185,2468,4707,7550,9233,6682,2778,35063,5473,5594,7315,6759,5282,4303,3575,1866,615,40782,65,125,343,748,1463,2501,3504,2538,881,12168,5,7,3,17,33,99,347,961,1154,2626,134,308,711,1536,2689,3931,4491,2793,883,17476,124,163,247,503,1146,2370,3950,3659,1915,14077,74,74,162,292,464,645,1002,969,501,4183,76,83,126,282,553,1080,1679,1496,612,5987,2109,8765,10213,8319,6817,4668,2650,1287,578,45406,18,28,53,134,289,501,780,898,543,3244,3809,4062,5879,6558,6669,6763,5746,3186,1406,44078,67565,40277,52895,45019,32138,21055,12276,4630,1085,276940
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,5,8,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,7,5,6,5,8,0,0,0,31,15,39,33,19,13,11,0,0,0,130,0,3,7,7,4,6,4,0,0,31,21,74,53,33,30,35,10,8,0,264,0,0,0,3,3,20,10,3,4,43,5,12,9,8,3,6,3,0,0,46,0,0,0,0,0,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,0,20,0,0,0,0,3,4,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,40,19,20,14,11,0,0,0,108,0,0,0,0,3,0,0,0,0,3,0,9,12,8,14,14,5,0,0,62,35,75,57,37,28,11,4,0,0,247
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,4,4,8,0,16,7,19,13,21,23,18,9,5,0,115,0,0,0,0,0,7,0,4,3,14,4,8,5,19,25,35,22,11,3,132,295,130,158,196,186,216,126,41,10,1358,62,34,54,58,47,47,29,29,4,364,383,208,240,310,316,382,267,135,34,2275,0,0,4,12,28,64,78,43,20,249,38,31,22,42,43,43,31,21,3,274,3,0,0,8,16,21,31,17,5,101,0,0,0,0,0,0,8,13,4,25,0,0,10,10,28,48,69,25,4,194,0,3,0,0,19,29,66,29,16,162,0,0,0,3,3,15,6,12,6,45,0,0,0,3,0,15,20,8,0,46,9,25,26,38,40,33,17,3,0,191,0,0,0,0,3,8,11,11,3,36,14,18,5,35,47,60,46,28,14,267,634,253,303,359,369,435,263,79,21,2716
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
