GCCSA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
39499,52,43,96,197,155,344,34,35,68,277,229,504,32,44,75,206,177,383,27,25,56,260,249,509,34,33,70,155,143,302,24,27,52,219,207,424,55,43,98,177,205,386,40,40,82,272,291,566,54,65,120,298,331,631,90,89,184,444,493,934,55,50,101,452,528,976,135,187,324,642,762,1404,64,52,113,447,426,876,150,103,250,660,582,1242,63,38,99,408,321,734,146,93,240,617,454,1077,68,44,108,375,291,669,138,93,228,575,425,1005,60,26,85,370,286,656,143,92,232,567,408,976,56,31,85,322,363,690,100,78,178,478,484,959,28,17,44,431,426,851,123,77,204,582,521,1101,27,22,52,599,549,1149,93,75,170,715,652,1367,26,20,42,1348,928,2271,187,113,298,1556,1061,2617,652,533,1188,5783,5132,10917,1428,1141,2567,7861,6807,14670
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,14,4,9,16,0,0,0,5,6,6,13,6,21,15,11,25,0,0,0,6,0,6,16,4,17,17,4,24,0,0,0,5,0,5,21,3,32,33,3,34,0,0,0,8,0,10,14,0,17,26,6,26,0,0,0,10,0,10,20,0,20,26,0,26,0,0,0,5,0,5,7,0,8,16,0,18,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,45,3,52,107,27,133,149,28,183
4GADE,1354,1195,2555,36009,34000,70007,1076,1112,2182,38441,36305,74749,1358,1293,2648,39253,36972,76224,1287,1270,2557,41903,39532,81431,1386,1293,2679,38949,37233,76181,1324,1167,2494,41658,39695,81359,1203,1147,2353,37715,35807,73524,1248,1158,2407,40172,38114,78280,1129,1111,2242,43870,41902,85769,1600,1455,3057,46599,44468,91070,993,1007,1999,46178,45177,91351,1885,1618,3503,49054,47798,96852,791,871,1666,45013,46845,91863,1750,1580,3330,47559,49299,96859,661,711,1375,45390,47391,92782,1791,1521,3320,47838,49624,97466,501,585,1090,40950,42220,83178,1623,1299,2924,43080,44106,87190,526,631,1153,40722,41923,82647,1602,1288,2888,42847,43833,86685,528,635,1164,41299,43127,84428,1559,1232,2792,43389,44995,88386,385,500,886,39908,42429,82339,1469,1206,2678,41765,44139,85906,345,419,767,37818,41435,79255,1313,1165,2476,39480,43024,82505,561,637,1193,112010,136526,248535,3968,4864,8838,116533,142029,258564,11725,12032,23761,645085,672999,1318086,23512,21932,45447,680323,706967,1387290
4RSAU,990,973,1961,8329,8043,16369,519,499,1015,9835,9511,19344,1007,960,1968,9627,9233,18853,686,651,1339,11325,10844,22167,996,1027,2022,10463,9711,20173,757,731,1486,12213,11467,23690,906,812,1714,9292,8381,17674,681,623,1301,10870,9815,20686,707,704,1412,8119,7256,15381,622,487,1109,9450,8451,17897,674,672,1342,8797,8638,17431,671,584,1259,10141,9890,20035,636,642,1275,9234,9093,18323,722,598,1315,10590,10331,20918,554,531,1084,9312,9512,18825,691,630,1315,10557,10678,21228,462,457,920,8952,9069,18030,698,599,1293,10110,10132,20243,437,504,938,10030,10298,20326,789,743,1531,11254,11541,22798,477,509,983,11831,11848,23684,921,704,1625,13229,13063,26292,415,448,862,12768,12823,25585,944,759,1703,14128,14030,28157,377,361,740,13795,13820,27612,906,812,1722,15076,14999,30074,576,612,1186,44278,46232,90511,2757,2857,5618,47617,49705,97324,9205,9213,18415,174822,173962,348784,12359,11276,23640,196384,194455,390843
49499,18,13,29,48,40,91,16,4,21,77,56,140,17,9,23,43,50,94,17,11,27,73,71,147,11,14,24,30,45,77,11,11,25,52,70,119,14,15,30,50,82,135,14,18,30,74,112,186,15,9,24,85,71,154,16,16,28,108,95,206,20,19,37,108,112,217,30,28,54,152,153,309,15,21,32,122,101,223,28,24,56,166,149,318,24,28,51,108,92,194,24,25,48,157,137,295,20,16,33,99,65,161,20,18,39,134,101,237,26,11,37,106,54,159,25,11,36,151,80,229,11,19,28,114,66,181,24,11,36,151,99,246,12,9,24,104,76,177,36,14,48,152,97,241,12,7,17,127,86,213,24,10,38,161,106,265,6,0,7,215,152,361,44,21,65,259,171,433,203,180,384,1342,1095,2433,326,233,557,1873,1506,3377
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,12,0,12
5GPER,2439,2264,4706,62134,58684,120819,2127,1950,4072,66701,62896,129598,2492,2243,4737,65018,61960,126980,2379,2323,4698,69895,66521,136414,2398,2351,4748,64886,61077,125963,2345,2168,4513,69632,65588,135222,2122,2015,4138,58923,56191,115119,2095,1974,4064,63138,60176,123315,1996,1817,3813,62069,60912,122987,3218,2618,5827,67284,65344,132631,1846,1767,3613,65512,67105,132620,4206,3418,7619,71559,72285,143850,1650,1527,3175,71319,77505,148824,4736,3314,8048,77701,82350,160051,1308,1246,2550,74840,78299,153142,4544,3195,7741,80691,82738,163435,1046,1013,2062,66090,68940,135034,4019,2370,6392,71155,72329,143484,1010,1008,2015,63691,66634,130321,3762,2418,6181,68465,70055,138515,839,995,1829,62848,65468,128320,3672,2227,5900,67358,68693,136051,755,838,1590,57782,61056,118844,3200,2087,5287,61737,63977,125717,547,635,1184,52200,56690,108884,2554,1847,4400,55301,59167,114471,847,1078,1924,147290,171090,318378,6409,7176,13584,154543,179344,333883,21295,20787,42083,974609,1011622,1986237,49264,39069,88333,1045169,1071480,2116647
5RWAU,2380,2105,4488,12732,12177,24914,1285,1172,2458,16402,15458,31859,2485,2264,4747,14475,13549,28028,1627,1567,3196,18591,17389,35974,2403,2448,4851,14396,13580,27973,1601,1519,3119,18396,17547,35939,2200,2124,4325,11939,10996,22930,1276,1136,2416,15418,14251,29670,1820,1716,3539,10166,9169,19336,1526,1201,2724,13513,12084,25595,1685,1633,3322,12230,12174,24404,2141,1522,3666,16061,15324,31391,1632,1523,3155,13864,14498,28365,2227,1687,3910,17722,17709,35428,1427,1434,2860,14597,15222,29826,2280,1643,3929,18307,18303,36610,1291,1318,2605,14044,14011,28053,2140,1445,3583,17476,16769,34251,1218,1224,2439,14700,14607,29306,2205,1434,3637,18113,17268,35382,1093,1263,2363,15499,15248,30747,2278,1502,3786,18866,18016,36883,969,1076,2042,15671,15239,30907,2080,1445,3521,18715,17759,36478,810,856,1662,15523,15346,30870,1801,1241,3041,18136,17441,35576,1187,1515,2702,41865,41827,83695,3816,3549,7367,46869,46893,93764,22598,22510,45110,221706,217643,439345,28281,22067,50348,272586,262218,534804
59499,36,37,69,92,91,188,25,16,42,149,153,300,17,30,48,103,86,193,8,11,20,132,127,259,18,14,30,83,76,159,13,7,25,116,101,212,28,42,68,74,91,166,18,13,31,118,147,261,61,61,119,194,145,344,43,51,93,295,256,562,59,59,115,248,244,497,77,59,137,385,358,744,61,66,127,291,226,518,80,43,123,433,339,773,87,72,155,286,210,500,74,37,109,449,315,769,121,79,202,277,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
6GHOB,585,500,1085,5818,5503,11327,225,214,445,6632,6216,12856,593,578,1170,6223,6034,12264,305,306,610,7121,6921,14043,671,638,1315,6613,6191,12803,301,264,565,7591,7091,14682,563,518,1080,6028,5676,11702,280,262,539,6871,6453,13323,489,472,964,6710,6581,13294,274,290,562,7479,7341,14817,399,442,836,9277,9034,18318,365,407,769,10044,9877,19919,367,452,819,9105,9147,18256,404,354,763,9878,9956,19837,331,367,696,7712,8039,15752,334,342,679,8374,8753,17128,257,303,562,6500,6944,13444,271,255,525,7027,7499,14528,253,264,513,6531,7126,13665,282,261,542,7068,7649,14715,250,290,539,6606,7224,13828,294,271,566,7148,7782,14934,216,264,485,6591,7184,13774,272,265,538,7081,7709,14789,210,226,436,6698,7489,14181,282,245,525,7192,7959,15150,346,385,733,19756,23846,43605,911,1121,2032,21014,25353,46367,5530,5690,11216,110181,116028,226211,4812,4848,9656,120521,126562,247086
6RTAS,929,854,1790,6556,6283,12838,386,374,752,7871,7515,15385,1002,978,1984,7287,6956,14238,432,393,829,8722,8331,17057,1087,1067,2157,7938,7457,15396,483,456,939,9514,8977,18493,930,839,1777,7204,6816,14021,470,384,856,8613,8039,16655,734,726,1464,7051,6673,13727,477,418,896,8257,7822,16081,583,647,1236,8387,8156,16538,508,443,949,9471,9243,18716,520,590,1108,7824,8060,15880,491,470,961,8833,9116,17955,463,605,1075,7492,7987,15482,483,453,930,8436,9048,17486,388,521,908,7107,7731,14838,454,408,854,7946,8656,16602,429,517,954,8016,8533,16548,519,397,921,8973,9451,18425,491,588,1079,8981,9783,18761,545,534,1073,10016,10899,20913,386,500,890,9759,10325,20082,610,525,1128,10748,11351,22099,406,445,856,10265,10889,21151,569,572,1147,11245,11910,23156,778,791,1568,31150,33636,64786,1906,1817,3721,33827,36244,70074,9138,9682,18821,134998,139299,274299,8328,7641,15970,152471,156617,309087
69499,0,0,4,14,19,37,0,0,0,21,19,42,0,0,4,21,19,37,6,0,12,29,23,52,3,3,8,13,9,31,0,0,3,23,16,42,15,14,28,24,34,52,6,5,12,43,48,95,9,4,15,54,38,88,10,8,15,71,53,119,6,5,11,51,38,92,4,3,5,64,45,111,9,0,12,51,40,89,9,0,17,72,43,114,5,3,10,33,32,71,0,5,8,47,42,86,8,6,19,42,39,81,9,7,12,52,56,114,9,7,12,44,22,64,8,4,10,53,26,86,8,5,13,54,39,91,5,7,16,75,47,123,0,3,5,39,40,86,12,14,23,57,57,111,0,0,0,38,30,65,9,14,23,54,42,91,4,0,7,62,55,118,40,33,70,109,84,197,93,64,150,548,454,1004,121,101,222,758,616,1377
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,3,0,3,13,0,19
7GDAR,755,709,1470,3827,3620,7444,319,323,639,4900,4653,9555,741,736,1480,3744,3709,7454,381,418,803,4865,4864,9728,782,754,1533,3521,3256,6785,362,329,689,4663,4342,9009,652,675,1329,2976,2784,5754,286,280,568,3914,3735,7651,703,543,1241,3755,3271,7030,446,330,780,4903,4144,9046,685,580,1270,4963,5295,10254,556,504,1061,6207,6377,12582,579,512,1095,5361,5804,11166,601,505,1108,6545,6821,13367,476,447,924,4829,5155,9986,485,456,937,5793,6052,11849,415,428,845,4166,4399,8564,449,401,846,5029,5230,10257,411,414,822,3856,3843,7702,459,360,820,4727,4615,9343,342,402,744,3883,3715,7599,408,307,722,4633,4428,9066,259,336,597,3466,3230,6694,362,274,635,4082,3842,7923,200,255,452,2926,2831,5762,283,217,502,3416,3301,6714,295,445,746,6219,5815,12034,541,497,1039,7063,6754,13816,7299,7243,14539,57497,56724,114218,5949,5201,11150,70739,69161,139902
7RNTE,1991,1830,3826,1265,1067,2332,196,148,345,3457,3048,6503,2238,2013,4255,1173,1117,2290,192,204,398,3606,3331,6941,2306,2140,4442,971,920,1888,209,173,380,3484,3229,6711,2376,2133,4511,801,744,1540,190,182,375,3375,3057,6424,2129,2087,4221,929,924,1848,270,213,486,3326,3225,6550,1927,1976,3908,1608,1809,3419,382,319,700,3924,4104,8025,1793,1918,3709,1811,2056,3867,351,311,665,3950,4287,8236,1537,1764,3307,1672,1663,3338,325,262,594,3536,3696,7233,1427,1438,2866,1284,1228,2511,263,243,505,2971,2910,5885,1206,1336,2540,1230,1162,2387,272,210,480,2705,2711,5411,1109,1347,2450,1275,1312,2589,275,228,505,2655,2888,5546,831,948,1780,1304,1246,2553,292,235,529,2433,2426,4855,615,817,1432,1223,1106,2330,214,162,377,2054,2086,4140,853,1194,2046,2169,1743,3916,386,280,669,3408,3221,6631,22342,22948,45289,18710,18100,36815,3826,3170,6999,44877,44220,89103
79499,43,25,75,33,40,78,13,7,20,89,69,164,34,25,58,58,38,101,8,5,14,93,77,169,20,21,42,43,19,61,6,8,10,70,48,117,17,28,52,3,15,25,6,15,24,30,64,95,36,47,81,26,34,61,24,23,46,84,99,183,40,44,86,66,100,168,27,39,73,137,185,320,48,67,112,73,83,159,30,30,60,158,175,336,65,49,117,62,72,141,30,20,53,155,145,303,58,55,116,70,49,118,23,12,37,149,122,270,79,75,155,51,38,90,29,24,52,156,139,295,80,58,139,52,58,113,23,17,43,151,142,298,73,45,122,62,57,121,24,35,56,154,138,296,29,44,73,88,68,155,33,31,61,146,139,289,33,26,56,167,84,252,43,23,59,243,131,373,658,617,1276,852,767,1616,314,290,607,1826,1675,3500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,6,3,6,0,0,0,6,3,6,3,0,3,4,0,4,0,0,0,3,0,3,0,0,0,13,3,12,4,0,6,14,4,17,0,0,0,9,0,9,0,0,0,10,0,10,0,0,0,4,0,4,3,0,3,11,0,11,0,0,0,8,0,3,6,0,6,14,0,12,0,0,0,3,5,5,0,0,0,10,5,10,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,8,0,8,10,0,10,16,0,16,0,0,0,0,0,0,0,0,0,0,0,5,10,0,9,53,10,63,18,0,24,83,15,99
8ACTE,460,429,883,12912,12106,25017,378,378,754,13746,12907,26660,492,450,944,14062,13277,27337,446,432,877,15000,14154,29156,477,360,838,13125,12320,25446,404,388,795,14007,13077,27079,443,440,887,12392,11912,24304,547,546,1099,13386,12899,26286,466,470,935,15731,15872,31610,844,786,1635,17042,17132,34174,445,401,841,18419,18366,36784,847,748,1591,19704,19514,39217,337,364,704,17816,18426,36240,779,695,1476,18935,19487,38419,279,278,560,17373,18004,35375,637,624,1260,18292,18905,37197,228,277,502,15190,15370,30562,564,459,1025,15984,16102,32085,225,217,445,13738,14164,27902,491,406,897,14457,14789,29240,196,214,410,12686,12964,25646,447,383,832,13331,13559,26885,171,156,329,11035,11770,22801,436,324,762,11645,12249,23892,104,142,244,9777,10770,20545,340,302,643,10224,11212,21438,191,198,386,27013,32482,59492,1064,1214,2277,28270,33891,62161,4519,4391,8908,211263,217791,429055,8244,7686,15925,224022,229869,453890
89499,3,0,4,8,4,11,0,0,0,18,9,19,0,0,0,3,0,6,0,0,0,3,4,9,0,0,0,7,5,12,0,3,3,7,9,14,0,5,10,22,30,53,0,0,0,23,37,58,5,4,5,34,33,66,7,4,8,44,40,82,0,0,3,27,25,58,0,10,10,32,33,63,0,4,0,22,14,35,5,0,6,30,19,45,3,0,3,23,13,32,4,0,7,34,15,45,0,0,4,23,14,39,15,5,13,30,26,54,5,0,5,15,13,28,8,3,8,29,12,40,0,0,0,19,17,29,3,0,5,22,14,40,0,0,4,11,11,20,7,0,7,17,15,32,0,0,3,10,17,32,4,3,9,20,21,45,0,0,0,20,11,34,3,4,9,30,21,46,26,20,44,239,220,462,72,29,100,336,273,605
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,4,7,13,110,87,202,16,13,30,132,109,243,5,12,14,133,120,252,11,13,27,150,141,292,8,14,19,128,99,231,27,18,42,167,130,295,9,4,14,72,80,153,14,14,29,88,103,189,5,11,16,87,81,167,15,18,34,108,108,218,6,5,16,133,90,223,22,20,41,163,113,277,6,5,6,143,91,236,27,29,54,170,126,299,7,0,7,142,148,289,24,24,50,176,166,350,3,3,9,130,112,242,14,21,42,145,140,288,4,10,19,137,119,257,23,15,33,165,140,310,6,10,18,142,138,282,31,21,52,180,171,354,13,5,14,167,165,330,18,27,46,190,193,391,8,7,12,156,168,320,20,20,41,189,187,378,18,26,40,403,366,767,55,44,94,474,429,908,100,120,219,2083,1869,3953,328,278,604,2511,2263,4778
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,5,6,6,3,0,3,6,4,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
