GCCSA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,17785,19008,9879,6069,8172,4935,2953,68794,4319,4504,2739,1875,2545,1322,703,18000,5043,4650,2577,1595,2071,1025,610,17576,34593,34617,20566,13750,17137,7518,3870,132042,207,209,113,86,44,19,10,696,61953,62993,35869,23372,29970,14818,8141,237109,1274,2217,1679,1262,1849,1104,814,10202,946,1456,989,700,1011,433,282,5825,524,923,724,520,694,332,200,3908,6409,9823,7006,5087,5988,2180,1134,37618,334,335,215,173,100,29,16,1194,9478,14753,10614,7744,9649,4074,2445,58751,71434,77737,46489,31112,39620,18895,10582,295860
4RSAU,943,1020,593,375,509,117,39,3603,505,612,412,267,349,75,24,2238,835,764,406,271,298,80,20,2669,12329,13397,8428,5510,6152,1023,286,47124,98,98,64,41,29,6,0,327,14705,15887,9894,6464,7335,1304,370,55964,66,95,83,52,94,31,8,426,158,221,165,124,151,24,3,857,58,171,120,93,138,16,9,606,2768,3978,2677,1969,2144,356,80,13971,112,156,99,66,41,8,0,480,3165,4615,3140,2304,2571,436,111,16338,17869,20503,13039,8768,9906,1738,480,72294
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,40083,42088,23473,14936,19834,10554,6203,157172,12145,11411,6401,4201,5318,2190,1056,42732,12926,12137,6406,4127,4866,1929,993,43388,43379,41634,25212,16483,19680,7166,3338,156896,458,472,283,170,82,24,16,1498,108998,107748,61770,39919,49777,21868,11603,401689,2612,4621,3505,2642,3809,1916,1363,20454,2055,3048,2106,1510,1800,642,356,11521,1370,2303,1573,1223,1481,531,335,8809,7785,11665,7946,5884,6650,1829,1016,42779,506,556,334,175,130,42,21,1769,14323,22197,15465,11432,13869,4962,3085,85332,123315,129941,77236,51348,63645,26832,14694,487015
5RWAU,3164,3335,2045,1295,1590,207,95,11732,1846,1912,1098,692,798,74,29,6445,2555,2551,1334,798,829,80,19,8171,16237,17574,10252,6413,6519,577,150,57722,133,164,83,68,28,0,0,478,23933,25543,14809,9271,9769,937,294,84554,199,310,253,171,282,35,13,1264,309,550,365,258,293,28,12,1812,231,417,313,242,300,28,0,1530,3351,4853,3383,2399,2392,177,42,16594,166,241,121,105,47,0,0,680,4253,6369,4434,3176,3308,269,73,21888,28186,31917,19244,12446,13070,1212,361,106443
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,1973,1417,686,381,550,211,125,5342,616,718,453,311,388,161,73,2725,680,754,448,252,297,126,52,2601,6775,7162,4515,2982,3533,1186,473,26631,29,33,25,15,13,0,0,117,10071,10083,6131,3940,4783,1682,722,37415,113,163,130,92,126,54,44,716,136,215,166,124,185,55,26,905,49,115,85,62,101,45,25,487,1692,2538,1761,1276,1449,439,186,9343,72,79,61,31,24,5,0,276,2068,3107,2205,1591,1883,604,283,11736,12143,13189,8338,5531,6666,2284,1002,49152
6RTAS,988,932,480,275,390,137,59,3262,536,655,392,264,350,75,34,2311,673,682,423,260,307,78,13,2434,9377,9708,6142,4158,4802,1195,310,35686,52,61,53,36,19,10,0,227,11625,12037,7495,4987,5868,1494,415,43923,59,91,76,73,102,38,17,451,122,199,158,124,161,47,11,823,62,146,113,93,103,31,26,565,2298,3343,2298,1691,1847,362,105,11947,110,125,84,63,35,4,0,423,2657,3898,2736,2033,2245,483,156,14212,14285,15935,10227,7022,8114,1973,577,58132
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,2235,2007,1013,621,852,318,139,7188,457,484,282,171,205,33,17,1650,850,728,381,217,260,43,12,2499,3980,3724,2102,1390,1382,213,99,12902,27,40,13,11,6,3,0,102,7559,6990,3796,2412,2714,610,269,24342,135,212,142,119,146,54,37,846,113,147,95,53,71,20,5,505,84,154,113,74,94,10,10,540,728,1203,735,555,526,64,25,3828,81,71,30,23,12,0,0,217,1147,1794,1121,824,841,148,78,5950,8706,8779,4916,3235,3546,759,347,30291
7RNTE,691,593,272,130,174,37,7,1897,180,173,89,45,35,3,0,524,268,208,100,45,46,3,0,677,3459,3606,2190,1204,963,106,14,11545,49,41,24,17,6,0,0,143,4637,4612,2674,1440,1234,147,33,14776,34,60,45,32,28,6,3,204,20,41,26,20,22,0,0,126,20,32,25,18,18,0,0,114,1159,1579,1047,667,408,43,10,4901,57,31,26,19,3,0,0,138,1288,1736,1161,755,476,51,16,5490,5928,6357,3839,2193,1711,204,45,20268
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,7348,7462,3751,2120,2564,1422,685,25338,1810,1936,1148,760,981,418,205,7254,2217,2201,1302,767,961,396,200,8041,11576,12085,6960,4312,5520,2016,935,43406,57,57,39,13,8,11,3,186,23011,23738,13196,7976,10024,4262,2022,84232,434,759,494,325,542,283,170,2998,312,481,298,234,329,110,48,1813,140,289,232,168,232,96,59,1209,1456,2478,1730,1200,1618,512,247,9249,107,72,35,25,21,5,3,254,2451,4078,2774,1954,2736,1015,526,15520,25463,27813,15970,9925,12765,5273,2547,99757
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,20,41,18,9,6,0,0,95,29,40,23,8,11,0,0,111,35,33,18,20,18,0,0,125,100,104,58,34,26,0,0,314,4,0,3,0,0,0,0,9,185,213,120,70,60,3,0,654,3,6,3,3,4,0,0,32,0,4,0,3,0,0,0,12,0,0,0,0,3,0,0,12,13,20,17,10,8,0,0,64,0,8,4,3,0,0,0,16,22,35,33,24,22,0,0,134,202,250,146,94,87,5,3,788
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
