GCCSA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
39499,0,0,..,21,6,27,0,27,..,31,0,31,0,31,..,8,0,8,0,8,..,0,0,0,0,0,..,6,4,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,14,0,14,0,14,..,7,0,7,0,7,..,4,3,4,0,4,..,0,0,0,0,0,..,7,0,6,0,6,..,8,3,13,0,13,..,6,0,6,0,6,..,10,0,10,0,8,..,33,0,34,0,37,..,82,0,82,0,82,..,0,0,0,0,0,..,8,3,14,0,14,..,0,0,0,0,0,..,12,3,20,0,20,..,125,20,143,4,145,..,548,78,623,7,630,..,27,0,29,1383,1411,4768,571,74,653,1392,6807,9972,..,..,..,..,9972,..,11,0,16,0,16,..,24,0,27,0,23,..,40,0,47,0,47,..,15,3,19,0,19,..,82,38,119,0,119
39799,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,24,24,0,3,0,3,24,28,32,..,..,..,..,32,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
4GADE,13,846,..,24477,2838,27317,243,27561,..,10245,1885,12126,101,12233,..,1131,85,1225,9,1227,..,1518,851,2366,14,2383,..,1538,362,1905,9,1917,..,258,40,294,5,301,..,2170,129,2301,18,2321,..,2026,565,2595,17,2611,..,2397,351,2739,21,2758,..,1214,99,1313,14,1322,..,1629,286,1913,14,1925,..,87,6,86,0,91,..,1715,424,2140,10,2145,..,2288,58,2340,14,2363,..,855,71,925,3,928,..,3165,104,3273,19,3292,..,1002,52,1056,12,1066,..,7308,289,7593,53,7644,..,3226,363,3589,25,3611,..,1413,78,1492,13,1501,..,1170,259,1424,5,1433,..,328,40,370,0,374,..,7621,3829,11447,60,11505,..,17642,4693,22328,395,22726,..,126773,24975,151745,1369,153117,..,2719,538,3260,22572,25835,528011,129492,25515,155004,23946,706967,1037870,..,..,..,..,1037870,..,2201,31,2234,17,2245,..,9189,1497,10687,91,10773,..,978,44,1019,12,1030,..,7978,1904,9882,74,9958,..,24601,6176,30777,283,31056
4RSAU,0,23,..,927,124,1052,17,1071,..,521,59,575,7,582,..,91,3,96,0,94,..,33,23,58,0,58,..,48,8,54,0,50,..,14,4,15,0,15,..,48,3,55,0,58,..,34,0,36,0,36,..,74,15,87,4,90,..,46,13,61,0,59,..,69,5,73,0,73,..,6,0,6,0,6,..,33,5,38,0,38,..,487,17,507,4,507,..,90,9,104,0,106,..,551,21,573,5,576,..,249,46,294,4,298,..,1383,90,1476,7,1483,..,172,22,192,0,188,..,72,0,67,0,72,..,214,46,262,0,266,..,42,21,64,0,64,..,206,74,280,0,280,..,2828,491,3316,142,3459,..,9132,1405,10541,228,10770,..,562,46,612,11388,11995,171686,9697,1455,11152,11618,194455,342820,..,..,..,..,342820,..,629,21,650,6,650,..,213,14,225,8,231,..,2922,275,3195,181,3377,..,149,39,187,3,190,..,707,331,1036,23,1061
49499,0,0,..,10,0,10,0,10,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,43,6,50,6,53,..,142,13,153,6,167,..,11,0,8,297,306,1034,155,11,167,301,1506,2261,..,..,..,..,2261,..,4,0,4,0,4,..,15,10,23,0,21,..,28,0,26,10,39,..,18,4,19,0,19,..,19,4,23,0,23
49799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
5GPER,6,1295,..,28289,2687,30973,318,31291,..,10844,1374,12218,97,12318,..,2905,449,3353,21,3376,..,608,263,873,6,882,..,2572,887,3453,23,3476,..,2481,425,2908,18,2930,..,4118,265,4379,44,4421,..,3079,545,3632,24,3657,..,2683,277,2960,19,2981,..,3694,424,4122,39,4160,..,1937,226,2164,11,2171,..,341,17,358,0,361,..,2360,404,2767,11,2778,..,5399,162,5560,41,5598,..,5975,614,6592,59,6654,..,7748,294,8045,41,8085,..,4096,308,4408,35,4440,..,23220,1374,24597,174,24778,..,5730,565,6293,64,6361,..,3828,319,4149,36,4179,..,3857,710,4570,25,4596,..,723,213,939,7,947,..,7859,3848,11704,78,11784,..,32676,5418,38096,674,38765,..,199429,31174,230601,2242,232845,..,5218,779,6003,41840,47844,790789,204646,31954,236604,44084,1071480,1566027,..,..,..,..,1566027,..,11638,166,11805,66,11870,..,13334,2058,15394,110,15502,..,1901,48,1948,31,1978,..,15275,3745,19020,151,19171,..,38548,10592,49142,491,49624
5RWAU,0,59,..,1124,120,1252,13,1262,..,1001,96,1095,21,1117,..,210,24,239,0,241,..,41,4,47,0,47,..,159,40,202,0,200,..,69,10,79,0,79,..,318,25,351,3,352,..,72,12,85,0,85,..,202,11,219,0,222,..,251,22,273,6,281,..,138,18,156,0,156,..,60,3,62,0,61,..,54,3,65,0,65,..,1202,39,1238,21,1255,..,440,33,471,7,475,..,1399,55,1455,10,1468,..,745,113,862,9,874,..,3781,242,4019,50,4069,..,539,24,557,7,567,..,127,7,133,0,133,..,830,157,983,5,996,..,22,4,25,0,25,..,397,191,585,5,593,..,7446,682,8133,184,8311,..,21511,2155,23673,363,24032,..,1134,190,1315,22645,23959,214225,22644,2340,24988,23007,262218,432431,..,..,..,..,432431,..,2772,47,2815,14,2830,..,422,52,473,10,487,..,8647,619,9263,224,9490,..,398,100,499,5,505,..,1594,473,2074,25,2096
59499,0,0,..,8,0,9,0,3,..,13,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,20,0,20,..,29,0,29,0,29,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,48,10,53,3,59,..,215,26,236,7,244,..,30,0,25,1247,1280,1896,241,28,263,1253,3416,4079,..,..,..,..,4079,..,23,0,23,0,23,..,15,4,21,0,21,..,21,3,23,0,24,..,8,0,8,0,8,..,19,8,29,0,29
59799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,19,25,29,7,0,7,19,58,232,..,..,..,..,232,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
6GHOB,0,57,..,3943,364,4307,41,4350,..,283,23,307,0,309,..,190,14,203,0,207,..,30,0,30,0,30,..,193,43,239,0,239,..,6,0,6,0,6,..,186,12,200,0,198,..,98,24,125,5,126,..,213,32,244,0,244,..,189,9,193,0,193,..,117,4,120,3,123,..,9,0,9,0,9,..,49,3,55,6,57,..,196,4,199,4,205,..,142,8,151,0,154,..,259,12,268,0,271,..,95,0,94,0,94,..,693,22,715,4,726,..,478,38,524,3,527,..,125,11,139,0,139,..,206,30,238,3,242,..,27,3,32,0,32,..,518,79,594,6,599,..,1393,300,1694,57,1753,..,14222,1604,15823,187,16015,..,380,52,435,5059,5495,105054,14602,1661,16263,5246,126562,204029,..,..,..,..,204029,..,341,8,346,0,352,..,562,90,653,5,656,..,93,0,92,0,92,..,1003,149,1150,8,1161,..,5553,720,6281,54,6334
6RTAS,0,26,..,1907,348,2258,31,2291,..,141,12,153,3,161,..,116,10,133,0,134,..,14,0,16,0,16,..,98,14,115,0,113,..,0,0,9,0,9,..,112,7,119,0,119,..,84,30,114,0,115,..,99,0,105,0,105,..,49,5,54,0,54,..,84,7,91,0,91,..,14,0,14,0,13,..,19,0,24,0,24,..,199,3,206,4,210,..,69,5,76,3,75,..,268,7,275,4,274,..,132,7,138,0,138,..,669,22,694,14,700,..,273,21,288,4,296,..,69,3,74,0,74,..,172,34,207,0,207,..,15,3,19,0,19,..,186,41,225,0,229,..,1305,240,1552,44,1590,..,7445,997,8441,119,8567,..,388,39,427,7924,8359,139698,7830,1034,8872,8049,156617,274855,..,..,..,..,274855,..,291,9,298,0,298,..,274,28,302,13,317,..,98,3,103,0,103,..,306,61,369,6,375,..,1552,225,1785,9,1791
69499,0,0,..,4,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,10,0,15,..,37,3,37,0,41,..,0,0,0,115,122,459,35,3,44,118,616,978,..,..,..,..,978,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,3,0,3,0,3
69799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,11,..,..,..,..,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
7GDAR,0,67,..,3068,188,3255,29,3289,..,241,11,262,8,267,..,92,6,93,0,94,..,85,36,122,0,122,..,126,31,159,0,159,..,8,0,8,0,8,..,481,37,516,0,516,..,25,5,28,0,31,..,46,0,50,0,53,..,265,33,294,3,299,..,65,0,71,0,71,..,23,0,22,0,22,..,20,0,20,0,20,..,970,44,1010,3,1021,..,604,92,689,7,700,..,1388,46,1436,17,1451,..,473,49,524,0,523,..,3436,231,3660,35,3694,..,268,15,282,0,286,..,210,22,233,0,241,..,495,129,618,5,622,..,13,0,13,0,13,..,556,191,745,0,744,..,2235,285,2523,66,2591,..,15294,1859,17149,189,17339,..,426,74,503,5467,5967,45853,15716,1935,17655,5660,69161,93277,..,..,..,..,93277,..,205,3,211,5,212,..,242,20,265,4,265,..,1244,102,1350,41,1391,..,551,149,695,4,705,..,1719,364,2082,14,2095
7RNTE,0,13,..,634,54,689,9,702,..,60,5,63,6,61,..,32,0,39,0,39,..,15,8,13,0,13,..,34,3,34,0,34,..,3,0,3,0,3,..,238,29,266,4,268,..,12,4,10,0,10,..,12,0,12,0,12,..,31,4,37,0,38,..,13,0,15,0,21,..,42,10,49,0,49,..,0,0,0,0,0,..,173,12,175,4,182,..,60,3,62,0,60,..,279,5,281,0,281,..,67,0,72,0,72,..,572,19,593,3,595,..,107,0,105,0,105,..,18,0,19,0,19,..,89,15,96,0,96,..,6,0,6,0,6,..,81,43,128,0,128,..,15555,2303,17858,432,18286,..,18384,2602,20984,478,21465,..,385,79,460,3428,3891,18864,18773,2679,21450,3912,44220,38314,..,..,..,..,38314,..,115,0,119,0,119,..,147,8,157,3,154,..,28868,4697,33560,831,34396,..,76,21,94,0,94,..,353,63,417,5,420
79499,0,0,..,8,4,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,0,0,0,..,11,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,176,14,193,19,216,..,253,23,279,22,298,..,60,0,66,572,636,745,316,24,341,590,1675,1605,..,..,..,..,1605,..,0,0,0,0,0,..,5,0,9,0,9,..,236,28,261,33,293,..,0,0,0,0,0,..,12,0,12,0,12
79799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,5,0,0,0,0,15,63,..,..,..,..,63,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
8ACTE,8,478,..,11899,752,12651,108,12756,..,1329,157,1485,13,1495,..,630,47,677,7,682,..,170,47,215,0,223,..,1119,349,1467,13,1482,..,360,39,403,0,403,..,1281,87,1371,15,1390,..,519,74,594,0,601,..,522,40,556,0,558,..,453,28,483,3,488,..,463,53,512,5,522,..,263,15,274,5,277,..,548,68,612,3,618,..,957,12,971,14,989,..,641,35,676,0,676,..,1306,24,1331,12,1343,..,379,14,388,3,393,..,3278,86,3365,21,3392,..,1895,243,2136,22,2157,..,1122,66,1187,15,1202,..,703,144,856,3,859,..,163,20,180,3,186,..,2225,586,2809,31,2835,..,7162,919,8089,158,8240,..,51042,5978,57020,573,57592,..,935,144,1076,7970,9046,163226,51983,6119,58101,8541,229869,323454,..,..,..,..,323454,..,702,9,711,8,719,..,3336,501,3836,26,3865,..,286,8,293,0,291,..,3528,670,4192,26,4225,..,11792,2485,14275,111,14391
89499,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,13,0,13,..,37,5,43,0,43,..,0,0,0,34,34,196,37,5,43,34,273,400,..,..,..,..,400,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8
89799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
9OTER,0,3,..,5,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,7,0,7,0,7,..,8,7,12,0,12,..,16,0,16,0,15,..,240,89,332,4,340,..,270,100,366,7,374,..,9,0,9,0,9,..,6,0,3,0,3,..,5,6,11,0,11,..,0,0,0,0,0,..,3,4,6,0,6,..,352,15,364,6,369,..,777,170,947,19,966,..,8,6,15,302,318,980,786,175,958,324,2263,1948,..,..,..,..,1948,..,8,0,8,0,8,..,0,0,0,0,0,..,12,0,17,0,12,..,47,17,63,0,62,..,137,98,236,4,242
99499,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,0,3,0,3,0,4,5,..,..,..,..,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
99799,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
