GCCSA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
39499,0,0,0,4,8,3,16,5,5,3,4,5,0,0,9,61,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,9,30,0,0,0,0,0,3,22,0,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,6,16,4,3,3,45,0,0,0,0,0,0,6,11,0,0,0,6,0,3,0,17,7,40,168,110,75,29,93,44,13,3,23,52,35,15,42,764,0,0,7,6,5,9,8,8,0,0,3,10,8,0,6,62,0,0,0,0,3,0,4,3,0,0,0,4,3,0,0,24,0,4,29,21,37,35,56,41,16,11,39,143,87,35,57,619,15,83,260,264,286,210,365,223,69,47,138,371,213,124,230,2917
39799,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
4GADE,3,5,22,277,1652,1527,3391,2722,551,534,597,889,313,74,284,12826,204,218,310,305,2005,712,413,159,41,24,27,29,15,3,88,4561,4,30,103,265,292,257,642,379,132,140,132,168,82,24,36,2680,9,38,174,407,464,769,2441,917,248,212,409,489,256,52,89,6983,6,30,64,179,252,265,1095,1185,219,331,436,525,271,23,98,4993,0,0,0,11,99,176,326,436,94,103,121,110,57,8,33,1573,0,4,3,79,562,406,821,467,114,84,119,149,71,29,94,3003,1463,8623,29384,15114,8024,5091,13784,5403,621,594,618,729,427,193,2414,92485,13,46,248,484,484,560,1015,672,163,151,175,159,185,58,101,4499,0,7,33,1898,4660,2426,2312,1817,526,525,645,729,415,66,524,16564,1201,2370,3633,3470,5435,7145,12589,8167,2796,2195,2545,2968,1245,252,1197,57204,5391,26861,47688,29788,33036,28845,77331,52413,13238,13778,16247,19584,8482,1735,8405,382824
4RSAU,0,0,3,60,249,191,556,750,136,187,140,192,61,34,97,2667,12,8,31,29,75,24,19,4,0,0,0,0,0,0,6,220,0,3,21,14,13,10,14,6,0,3,5,5,7,0,6,110,4,13,47,69,50,109,416,210,41,33,69,72,55,11,29,1227,0,4,4,22,10,10,47,76,29,43,34,32,7,0,8,318,0,0,0,0,0,7,19,52,14,13,14,33,12,5,3,163,0,0,0,13,22,37,178,144,29,43,35,39,22,8,30,600,425,2452,8137,3331,1317,689,1408,556,71,64,59,66,34,12,910,19539,0,15,57,99,95,99,157,83,16,8,25,23,16,3,27,720,0,0,6,25,42,36,76,99,40,38,11,26,14,0,54,468,153,436,654,486,305,268,716,537,130,130,182,302,213,121,299,4933,1012,5322,10634,5353,3323,2345,5565,4021,910,1075,1102,1471,684,253,2077,45144
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,28,12,14,13,10,4,6,0,8,4,7,10,176,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,5,7,16,11,3,4,9,12,3,8,12,110,6,30,72,43,36,37,66,47,11,14,25,56,22,34,36,530
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
5GPER,7,5,52,407,2107,1808,9202,10349,1739,1246,1190,1503,533,168,502,30806,199,93,168,372,2253,661,568,515,60,61,62,54,29,5,106,5215,69,143,446,1472,2399,2328,4604,1790,348,383,378,418,317,52,256,15387,19,86,424,1606,3591,5134,16452,6799,907,730,855,969,515,270,437,38793,48,79,187,375,831,830,2367,2000,257,248,286,681,298,26,114,8630,0,0,3,17,244,358,676,1166,153,149,202,289,59,15,74,3400,4,4,37,199,742,832,2755,1765,428,346,363,383,199,71,239,8372,2215,6566,36170,28653,30011,19495,45092,23136,2172,1769,1764,1917,1102,396,4171,204621,29,82,462,800,988,1084,2000,1415,288,273,310,414,334,135,223,8837,5,0,25,1643,4653,2739,2828,2151,506,518,438,588,313,78,683,17174,851,1419,6812,7528,11333,14358,32588,18314,4024,3799,4235,5572,2360,535,2271,115998,6476,20320,60209,60061,91558,79678,198297,128557,20401,18439,20537,25645,11910,3403,15564,761054
5RWAU,0,3,0,76,324,295,1813,2139,445,335,391,466,167,51,160,6657,38,19,19,27,130,30,47,34,6,9,9,0,3,0,12,380,7,17,55,101,84,73,141,52,10,3,14,16,3,0,18,592,6,20,96,211,415,589,2651,1123,103,157,143,230,130,53,91,6032,4,12,9,10,30,31,140,115,28,23,25,46,9,9,21,522,0,0,0,7,4,5,69,185,25,22,94,138,33,0,9,591,0,0,3,28,63,140,483,362,119,84,89,109,51,16,70,1618,649,1850,8408,5424,3852,2212,4385,2010,203,153,215,305,131,44,1191,31021,6,15,121,238,174,171,295,188,38,32,46,66,31,19,26,1472,0,0,0,35,119,109,155,184,41,45,36,41,30,10,87,893,147,260,935,817,1027,862,2802,1703,347,371,447,754,374,333,555,11726,1519,4061,11574,9716,10361,7860,20287,13589,2134,2024,2452,3437,1496,810,3691,95015
59499,0,0,0,0,0,0,6,12,0,0,0,0,0,0,8,35,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,18,3,0,4,0,0,0,9,6,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,7,80,51,48,38,43,27,8,4,14,31,16,12,53,431,0,4,0,0,3,4,4,4,0,0,0,10,5,3,4,43,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,11,0,0,8,8,20,8,30,13,12,10,16,57,23,12,44,258,7,25,109,106,143,110,179,110,28,22,56,166,79,92,210,1431
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,3,0,0,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,3,0,0,25,0,0,4,7,14,19,46,20,0,5,6,8,3,0,16,148
6GHOB,0,0,3,29,150,103,234,234,83,67,89,71,54,9,31,1165,23,34,33,37,108,45,34,20,4,3,0,5,0,0,9,353,7,8,15,24,26,26,72,57,18,28,25,19,12,0,7,354,3,21,44,108,127,145,322,108,28,30,52,56,27,16,9,1108,0,3,7,9,30,19,97,315,122,78,67,57,21,0,11,840,0,0,0,0,7,12,45,195,29,34,36,21,3,0,10,392,0,0,0,10,28,39,181,108,32,22,18,24,12,4,10,487,324,1133,2589,1708,995,610,1082,490,85,64,86,90,45,25,325,9649,0,10,64,118,110,150,265,171,32,25,40,50,21,13,25,1093,0,0,3,20,23,24,112,360,95,92,73,110,49,4,41,1015,118,237,358,437,453,479,1117,1010,365,355,357,299,122,24,112,5849,741,2510,4144,3446,3296,2698,6862,9282,3178,3016,2817,2516,899,193,1102,46696
6RTAS,0,0,4,36,182,161,262,251,75,49,90,64,21,0,65,1275,15,11,19,15,83,29,24,9,3,0,3,3,0,0,3,230,4,16,24,19,23,20,33,40,6,11,13,9,6,0,3,226,0,14,45,88,122,146,328,78,22,9,37,37,16,15,15,976,0,0,6,4,28,10,54,114,71,71,64,46,23,10,10,518,0,0,0,0,5,6,29,94,12,34,56,46,13,0,10,307,0,0,0,7,22,40,110,69,29,22,21,14,14,0,23,372,383,1627,4039,2584,1452,691,1070,350,66,63,46,79,30,13,515,13003,5,18,71,147,124,116,236,118,23,19,26,24,20,0,20,966,0,0,0,14,16,11,43,125,46,14,23,46,18,0,18,371,80,256,522,435,438,306,824,684,217,204,223,403,214,69,151,5025,726,3160,5784,4564,3935,2613,4978,4548,1557,1600,1562,1651,679,186,1274,38805
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,8,9,4,6,4,0,0,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,8,0,0,9,39,4,6,14,23,13,8,26,11,5,9,8,9,0,0,18,161
