LGA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
LGA16950,0,0,6,32,13,0,3,0,0,58,0,0,0,7,10,21,29,27,10,97,0,0,0,8,5,0,3,0,0,18,6,22,21,147,100,128,183,113,43,771,148,357,319,737,383,508,476,390,200,3525,2638,5799,4845,11087,6302,8370,8709,4975,2085,54813,0,0,0,0,0,0,0,0,0,0,5079,10743,9092,18107,9862,12423,12537,6564,2374,86782,0,3,0,21,0,4,0,0,0,32,0,0,0,4,4,9,3,4,0,19,0,0,0,32,7,4,6,0,0,46,0,0,0,12,0,0,4,0,0,19,7,9,4,53,27,32,36,21,6,183,0,0,0,17,15,22,29,13,3,92,0,14,15,87,59,49,28,15,7,280,0,0,0,10,9,26,64,46,13,171,0,0,0,7,0,16,32,4,3,70,9,65,79,348,434,1066,1347,1104,356,4807,0,0,6,27,15,19,8,11,4,94,4,3,0,20,10,22,22,12,7,94
LGA17000,0,5,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,12,0,6,5,27,12,14,10,4,0,75,23,81,76,158,94,79,62,44,15,638,743,1734,1390,3085,1695,1474,1068,511,214,11918,0,0,0,0,0,0,0,0,0,0,1454,3302,2874,5253,2746,2531,1747,791,293,20996,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,20,17,7,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,9,15,62,72,91,79,56,18,401,0,0,4,25,7,3,0,0,0,39,0,0,0,5,0,0,0,0,0,11
LGA17040,0,0,0,4,4,0,0,0,0,9,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,11,0,3,3,53,19,32,40,29,18,193,25,65,78,203,108,118,86,59,26,767,508,1167,1130,2572,1488,1538,1144,665,279,10500,0,0,0,0,0,0,0,0,0,0,933,2305,2072,4036,2378,2449,1746,878,297,17088,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,4,6,19,9,7,9,0,0,50,0,0,0,12,0,0,0,0,0,16,0,0,6,52,7,9,9,9,0,88,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,4,0,4,0,9,24,100,92,161,144,94,34,656,0,0,0,5,5,3,0,0,0,7,0,0,7,17,0,6,6,0,0,39
LGA17080,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,5,0,11,8,11,13,14,8,72,29,70,46,139,71,84,76,75,17,618,448,919,719,1591,912,1057,950,548,251,7391,0,0,0,0,0,0,0,0,0,0,767,1684,1334,2524,1481,1772,1552,835,321,12275,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,16,0,0,0,0,0,0,6,0,0,5,0,0,0,15,16,6,0,0,0,35,0,0,0,0,0,9,3,0,0,8,0,0,0,5,0,0,4,0,0,4,0,3,0,25,26,68,55,66,9,253,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,9
LGA17100,4,8,59,173,138,114,82,29,9,626,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,10,4,42,54,288,92,107,83,65,31,763,60,90,144,410,102,72,47,50,22,997,1151,2182,3064,8198,2395,2258,1567,923,492,22229,0,0,0,17,3,0,0,0,0,22,2039,3214,3269,4499,1238,1038,611,392,220,16518,0,14,32,156,40,11,8,0,0,260,0,0,0,0,3,0,0,8,0,22,0,0,6,45,0,9,0,0,0,63,0,0,0,17,19,11,6,7,0,66,0,4,3,16,10,6,0,0,0,40,0,0,6,26,20,19,9,4,0,75,7,87,276,1831,630,864,449,216,115,4473,0,0,0,4,8,10,24,32,13,97,0,9,5,46,27,67,45,27,10,227,0,25,28,85,41,41,22,21,12,275,5,0,6,51,26,40,35,7,9,178,0,0,4,15,0,4,5,4,0,31
LGA17150,0,5,20,120,89,66,39,13,0,356,0,4,4,37,25,18,21,20,4,135,0,0,3,22,13,6,6,0,0,60,12,103,134,1180,620,537,435,301,98,3419,157,298,251,870,391,289,344,363,230,3188,6495,14046,13087,29395,16455,14680,11975,7533,3989,117649,0,0,0,7,0,0,0,0,0,7,12781,27060,24502,42332,23440,20104,15683,9006,4452,179363,0,0,10,60,20,12,6,0,0,109,0,0,3,61,42,66,38,19,5,237,7,24,26,539,68,34,20,12,0,721,0,5,8,36,12,18,15,6,0,100,13,15,24,225,115,77,40,18,0,532,0,7,8,95,100,73,66,46,3,395,4,83,125,1272,544,763,489,154,76,3514,0,0,0,45,42,94,104,110,31,426,3,16,23,161,104,177,252,161,47,944,53,360,364,1858,1458,1547,1231,1033,398,8294,0,8,5,108,94,88,59,26,9,397,3,19,11,132,60,44,23,18,10,315
LGA17200,0,15,267,540,161,179,143,46,15,1368,0,0,5,77,21,11,10,4,0,133,0,0,10,47,7,11,7,0,0,77,32,114,490,3867,538,457,440,294,129,6351,155,271,968,3163,604,499,366,231,124,6385,3603,4208,14044,50980,9916,8117,5981,2970,1193,101018,6,11,5,45,4,3,4,0,0,72,6690,6761,12254,40791,10753,8463,5593,2396,778,94475,0,0,73,222,26,11,7,0,0,344,0,0,4,90,19,31,19,8,4,166,5,22,138,1916,119,44,16,10,6,2271,0,0,38,83,15,15,9,7,0,162,20,7,63,753,137,101,50,17,5,1161,0,3,30,443,63,50,37,32,5,653,41,189,4280,8146,1019,1296,897,485,217,16583,0,0,6,74,31,45,30,36,10,226,0,0,11,97,21,36,47,24,11,245,45,113,631,5450,1422,1243,723,374,95,10101,0,0,21,194,75,65,53,25,3,438,3,26,90,1230,144,58,31,26,16,1626
LGA17310,0,39,15,109,4,10,0,0,0,178,0,0,0,0,4,5,0,0,0,12,0,0,0,7,3,5,0,0,0,27,5,15,8,70,20,20,22,14,10,177,98,307,255,553,254,263,235,224,130,2323,1764,4291,3594,7967,3794,4044,3451,2276,978,32166,0,0,0,4,0,0,0,0,0,3,3572,7922,6549,11963,6299,6505,5720,3400,1244,53174,0,4,0,27,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,5,0,6,0,0,0,0,0,10,0,6,0,20,6,9,5,3,0,52,0,0,0,0,0,3,0,0,0,5,4,13,6,165,24,24,20,0,0,264,0,0,0,0,3,4,6,0,4,9,0,8,0,20,0,0,3,0,0,40,4,17,15,73,97,176,194,161,48,788,0,6,11,79,6,3,0,0,0,113,0,7,7,9,0,0,3,0,0,24
LGA17350,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,19,3,20,18,25,18,29,24,29,12,180,158,380,295,556,374,453,442,279,152,3085,0,0,0,0,0,0,0,0,0,0,315,729,596,959,641,749,749,438,192,5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,15,22,24,15,5,88,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,7
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,0,4,20,14,32,27,60,57,64,72,32,11,375,127,356,288,558,432,617,660,308,123,3482,0,0,0,0,0,0,0,0,0,0,241,617,483,841,674,928,1058,482,168,5497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,8,38,54,33,10,156,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
LGA17420,0,9,15,142,111,93,53,16,0,433,0,3,6,8,10,17,12,5,7,71,0,0,24,55,47,27,7,0,0,171,23,208,179,851,509,448,342,198,91,2848,87,276,193,649,262,221,178,144,66,2069,5393,14296,11760,26159,13887,10759,8830,4486,1651,97221,0,6,12,208,114,98,55,14,5,517,10468,24349,19122,21450,13041,8962,7180,4409,1386,110358,0,22,22,318,132,106,60,11,0,680,0,0,0,27,37,37,8,9,0,113,5,13,24,121,28,21,7,4,0,225,0,4,4,27,37,20,9,0,4,101,0,33,42,120,57,40,23,9,0,316,3,6,16,58,80,72,51,27,6,320,36,540,395,5630,1805,1828,1533,373,177,12304,0,0,5,26,57,92,98,91,28,389,4,170,48,365,124,137,161,68,28,1119,22,310,390,868,954,962,851,569,192,5122,0,0,22,315,271,210,115,55,12,1003,0,8,4,53,24,23,17,5,0,131
LGA17550,0,8,0,24,10,5,0,0,0,49,0,0,0,6,6,18,22,10,11,73,0,0,0,8,8,10,4,0,0,32,4,22,29,223,102,124,119,77,34,728,125,337,275,750,424,467,440,358,243,3407,2269,5496,4516,10602,6297,7509,7061,4518,2319,50586,0,0,0,0,0,0,0,0,0,0,4307,10265,8021,15033,9133,10626,10009,5700,2545,75640,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,3,6,4,0,19,0,19,18,303,39,0,0,0,0,394,0,0,0,6,0,0,0,0,0,9,4,21,7,95,53,51,25,17,0,268,0,0,0,16,8,0,6,0,0,25,0,10,10,68,44,32,19,5,7,193,0,0,0,5,5,3,10,9,4,29,0,0,0,0,0,8,10,5,6,20,19,99,125,478,517,809,966,1006,441,4454,0,5,6,22,18,15,15,11,4,90,0,5,0,65,21,20,12,10,7,153
LGA17620,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,3,25,3,3,9,0,0,49,22,45,36,113,54,68,63,35,40,476,371,891,751,1718,891,965,787,492,244,7119,0,0,0,0,0,0,0,0,0,0,707,1746,1338,2608,1516,1584,1352,771,316,11947,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,16,0,0,0,0,5,0,0,0,0,3,0,0,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,4,66,4,10,0,0,3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,21,64,56,37,19,273,0,0,0,7,3,0,0,0,0,6,0,0,0,14,0,0,0,0,0,17
LGA17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,5,0,0,25,17,28,23,71,48,56,73,36,12,354,227,440,394,815,557,723,595,313,132,4198,0,0,0,0,0,0,0,0,0,0,429,861,716,1321,929,1216,944,497,184,7105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,28,26,57,59,41,12,221,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA17650,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,0,0,0,25,11,14,21,44,38,40,32,17,6,223,142,378,320,616,435,500,421,204,81,3086,0,0,0,0,0,0,0,0,0,0,279,699,553,993,670,791,677,339,94,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,19,26,40,15,10,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA17750,0,0,4,25,0,0,0,0,0,34,0,0,3,3,0,3,0,5,0,12,0,4,3,17,10,12,3,0,0,42,7,34,34,174,43,35,40,26,16,405,82,212,249,446,189,209,196,160,135,1878,2271,4484,4929,9183,3885,3879,3178,1926,993,34728,0,3,9,19,8,6,0,0,0,44,4298,8004,8386,13849,6200,6238,5104,2846,1215,56132,3,13,5,59,5,0,0,0,0,87,0,0,0,0,0,5,0,0,0,4,0,0,4,13,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,3,0,3,3,21,8,9,5,5,0,60,0,0,0,11,3,5,5,0,0,25,6,35,21,193,31,38,22,0,0,346,0,0,0,0,3,4,0,4,8,15,0,19,16,46,19,15,10,0,0,127,4,32,37,118,98,163,164,128,52,799,0,0,14,116,10,12,0,0,0,156,0,0,0,7,7,5,0,0,0,24
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,9,12,19,27,23,30,15,14,0,157,85,165,125,279,181,223,232,165,51,1502,0,0,0,0,0,0,0,0,0,0,143,308,230,450,300,375,392,253,76,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,8,13,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,17,11,0,52,42,100,69,162,97,107,79,45,8,717,171,324,254,596,349,398,304,155,40,2592,0,0,0,0,0,0,0,0,0,0,242,443,348,740,434,551,428,188,40,3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,14,0,0,0,0,0,0,6,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,16,11,4,58,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,8,15,5,28,22,18,25,23,28,163,79,172,123,266,157,184,138,107,64,1279,0,0,0,0,0,0,0,0,0,0,155,289,230,418,245,333,243,158,46,2104,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,5,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
LGA18020,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,5,8,3,0,25,22,59,52,126,84,95,110,68,41,664,227,515,398,887,565,703,700,414,203,4612,0,0,0,0,0,0,0,0,0,0,413,946,708,1336,884,1111,1082,637,243,7365,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,38,42,38,12,156,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6
LGA18050,0,7,7,29,26,4,8,3,0,81,0,3,3,64,11,0,0,0,3,89,0,0,0,13,12,14,5,6,4,55,13,55,125,1489,349,309,412,285,162,3192,77,148,155,857,185,138,136,125,69,1888,1843,3417,3286,14435,4421,3059,2423,1589,864,35334,0,0,0,5,0,0,0,0,0,9,3461,5932,4599,11391,4502,3004,1944,1004,492,36322,0,0,0,14,4,0,0,0,0,24,0,0,0,13,0,4,0,5,0,25,0,8,88,1049,46,24,7,0,0,1236,0,0,0,0,0,0,0,0,0,4,4,14,14,274,66,39,9,10,0,432,4,3,11,329,17,11,11,17,0,409,0,51,58,285,120,116,85,50,33,797,0,0,0,14,10,7,12,11,10,61,0,0,0,17,3,7,37,37,22,130,40,187,277,3332,773,427,274,205,75,5593,0,0,0,24,15,15,8,9,0,70,0,17,56,663,66,31,37,16,10,895
LGA18100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,3,0,3,0,0,0,0,9,0,14,14,20,21,28,28,16,8,152,75,201,148,292,228,286,283,172,75,1762,0,0,0,0,0,0,0,0,0,0,153,364,292,547,370,488,481,286,117,3094,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,18,19,12,4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,20,4,5,0,0,0,38,30,48,48,114,60,58,60,33,15,468,234,440,364,817,474,524,427,210,84,3584,0,0,0,0,0,0,0,0,0,0,421,836,638,1224,768,890,734,356,103,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,31,16,15,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6
LGA18250,0,3,24,127,55,26,23,5,3,273,0,0,0,5,11,4,7,6,3,32,0,0,0,3,3,15,4,0,0,24,7,81,47,467,196,151,163,104,80,1292,51,126,100,378,154,107,109,86,100,1194,1894,5102,3973,11573,5679,4239,3537,1971,1240,39215,0,4,0,11,0,6,0,0,0,19,3564,7846,5576,8151,4612,3515,2568,1474,874,38174,0,3,7,60,6,12,4,0,0,85,0,0,0,13,0,4,0,5,0,25,0,11,12,167,25,9,6,0,0,227,0,0,3,13,8,6,4,0,0,39,3,21,16,86,71,41,8,13,0,263,0,0,0,30,10,16,6,9,0,73,43,437,575,3403,1267,1156,861,394,172,8311,0,3,5,9,21,43,78,80,40,279,0,11,5,26,4,21,33,45,22,165,26,200,208,556,590,473,354,193,93,2685,0,0,4,32,32,17,21,9,3,125,4,15,18,90,37,18,13,13,6,215
LGA18350,0,0,8,19,3,4,5,0,0,31,0,0,0,0,8,6,11,14,0,40,0,0,6,3,6,4,4,0,0,24,4,10,12,89,73,85,121,73,27,483,45,126,113,237,168,189,196,197,165,1437,1272,3061,2535,5174,3539,3829,4220,2746,1014,27397,0,0,0,0,0,0,0,0,0,3,2436,5693,4534,7591,5182,5276,5290,3390,1054,40452,0,0,0,21,3,0,0,0,0,27,0,0,0,0,0,9,4,0,0,14,0,0,0,12,0,3,4,0,0,24,0,0,3,6,0,0,0,0,0,13,0,6,9,26,28,28,24,14,3,148,0,0,0,7,8,18,4,4,0,43,0,10,29,46,21,35,17,7,5,176,0,0,0,4,4,14,15,4,4,54,0,0,0,0,0,8,7,9,0,31,3,54,62,257,356,569,817,593,223,2941,0,0,3,21,16,6,16,3,0,62,0,3,5,22,9,11,20,8,0,88
LGA18400,0,0,0,13,10,6,0,0,0,29,0,0,0,5,5,7,10,0,3,35,0,0,0,8,6,7,0,0,0,26,0,7,17,73,66,68,79,39,17,367,51,144,122,293,155,125,141,128,131,1295,1803,3821,3300,6875,3664,3245,2534,1242,449,26931,0,0,0,3,0,0,0,0,0,3,3656,7588,6447,11739,5965,4748,3378,1510,383,45413,0,0,4,7,3,0,0,0,0,17,0,0,0,14,0,7,0,0,0,23,0,0,0,3,0,0,0,0,0,10,0,0,0,15,7,0,6,5,0,32,0,0,4,16,16,11,4,0,0,47,0,0,0,15,15,15,11,0,0,66,0,8,11,35,37,30,13,9,0,137,0,0,0,5,4,34,32,15,7,98,0,0,0,8,3,5,9,10,0,39,0,15,31,179,295,464,430,297,70,1777,0,0,0,19,14,7,5,6,0,55,0,0,0,4,10,7,8,4,0,33
LGA18450,5,21,79,177,89,83,60,20,6,545,0,4,4,27,22,51,48,31,12,203,0,3,10,29,8,13,8,0,0,68,21,190,257,887,479,522,528,398,238,3520,192,477,577,1153,454,432,474,411,223,4393,5864,12475,14177,27773,13668,13278,10913,7218,3581,108948,0,3,8,16,3,5,4,0,0,51,11475,23041,24615,41528,19846,17703,12439,7033,2967,160648,0,6,34,148,9,12,3,0,0,217,0,0,6,106,43,85,45,34,13,332,0,7,16,120,32,11,9,0,0,208,0,4,6,12,11,6,4,0,0,44,9,38,36,217,100,64,34,9,4,507,0,0,12,68,122,88,127,93,17,525,4,61,227,947,229,209,113,51,28,1878,0,0,0,105,93,142,156,183,78,750,7,16,12,35,18,17,38,19,19,172,10,234,310,1000,1114,1891,1637,1345,463,8003,0,5,7,83,39,43,29,18,7,233,0,8,10,68,34,39,34,16,6,216
