LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA12870,8,0,14,22,29,69,182,173,114,611,0,0,4,3,0,6,12,8,3,38,37,52,101,84,112,145,199,155,80,961,307,531,1135,1153,1525,1956,2165,1284,468,10522
LGA12900,8,0,9,18,24,65,122,105,54,405,0,0,0,0,0,9,7,3,5,30,46,47,88,89,88,117,108,122,50,752,267,480,1003,1003,1074,1215,1126,748,284,7196
LGA12930,10,22,93,129,274,602,1320,1378,797,4626,9,33,176,149,177,283,407,397,294,1927,279,565,1387,937,729,741,721,784,871,7016,3327,11545,23628,20665,19031,18601,13868,8201,4227,123097
LGA12950,0,0,5,7,12,29,67,62,34,221,0,0,0,0,4,0,8,3,0,10,28,21,63,60,65,73,64,55,25,464,107,160,444,435,531,650,555,353,129,3358
LGA13010,0,0,13,11,26,77,127,143,69,472,0,0,8,0,9,5,3,8,3,32,57,50,137,115,135,146,159,118,55,961,247,355,849,840,1072,1416,1375,855,303,7314
LGA13310,16,3,46,64,85,171,353,310,164,1213,0,3,13,16,16,23,12,26,9,120,126,154,434,367,343,317,307,253,190,2491,897,1701,4093,3738,3982,4281,3741,2116,825,25371
LGA13340,0,0,13,23,26,66,130,105,53,410,0,0,0,0,0,0,0,5,0,13,62,37,54,116,138,161,154,103,40,862,322,430,934,1253,1376,1669,1479,743,229,8432
LGA13450,7,12,53,77,129,196,347,344,197,1359,0,7,41,25,50,45,47,57,46,318,112,132,328,257,288,266,254,213,174,2024,785,1553,4005,3389,3415,3214,2370,1431,692,20855
LGA13550,10,7,17,10,29,81,128,125,63,482,0,0,3,5,8,5,7,7,4,42,55,68,178,135,113,137,142,114,77,1024,345,686,1742,1509,1394,1575,1264,851,332,9705
LGA13660,0,0,4,7,21,42,92,97,49,308,0,0,0,0,0,0,3,3,3,23,15,15,38,55,55,69,78,65,27,417,82,169,393,501,616,758,742,477,173,3917
LGA13800,15,24,77,69,123,301,527,412,253,1803,0,10,19,15,17,29,44,52,32,214,186,192,420,378,391,396,367,377,245,2960,2147,4245,8834,7912,9180,8646,6361,3560,1215,52098
LGA13850,3,0,0,5,5,23,36,43,30,155,0,0,0,0,0,4,9,3,0,17,18,24,40,43,38,62,49,39,21,323,70,168,310,261,333,520,331,255,90,2343
LGA13910,6,5,27,39,63,124,244,202,133,834,0,0,3,11,10,14,18,19,4,79,66,62,171,154,199,253,245,184,75,1407,517,878,1969,1974,2290,2743,2583,1504,541,14995
LGA14000,11,4,48,40,122,236,428,448,340,1672,5,3,76,102,118,128,142,142,101,812,186,206,472,600,527,458,569,721,845,4579,3452,8341,14394,22229,21989,18716,14215,8887,4307,116533
LGA14100,6,0,3,3,0,25,38,51,59,188,0,0,4,0,4,3,6,7,5,31,29,25,54,70,75,63,82,153,276,825,339,704,996,1536,2020,1710,1498,1009,735,10547
LGA14170,8,17,74,120,209,501,1173,1720,1055,4872,3,16,118,99,140,250,378,560,400,1962,252,587,1784,1282,1031,947,903,817,630,8243,2848,11266,35221,30511,26092,19817,14201,7894,3567,151422
LGA14220,11,9,31,43,65,130,264,226,120,897,0,0,3,5,6,20,18,14,0,71,97,76,208,200,248,225,234,192,82,1560,555,910,1971,1828,2167,2362,2168,1424,471,13863
LGA14300,0,3,12,17,16,37,63,60,30,239,0,0,11,0,0,0,0,0,0,20,30,115,284,263,189,120,87,60,11,1161,156,371,890,840,844,868,719,391,125,5204
LGA14350,22,11,43,46,96,239,477,367,190,1499,3,5,0,5,16,20,12,26,10,85,162,224,570,501,364,402,367,300,192,3085,829,1445,3054,3010,3560,4767,4740,2445,863,24724
LGA14400,0,0,0,4,20,41,106,135,100,413,4,0,0,5,0,10,9,3,3,33,37,44,92,84,115,133,209,183,98,996,552,954,1992,2485,2763,3433,3594,1988,777,18537
LGA14500,3,7,12,22,42,89,207,216,193,778,0,7,36,65,52,67,73,51,59,414,154,155,274,361,384,358,404,458,498,3043,2795,6957,9322,16437,18824,15219,11698,8142,4143,93539
LGA14550,3,0,9,19,24,58,98,100,67,384,0,0,0,0,0,6,3,3,5,26,45,28,76,99,104,195,133,74,27,784,230,312,713,906,1167,1804,1588,672,228,7618
LGA14600,4,0,9,8,11,36,85,66,37,250,0,0,0,0,4,0,11,11,4,34,29,36,96,94,97,105,80,61,39,629,159,267,710,678,708,818,687,412,199,4636
LGA14650,82,62,198,273,388,916,1573,1394,1028,5915,11,10,52,49,82,110,120,80,59,575,397,445,1035,996,929,1051,1301,1483,989,8636,5559,11645,24157,25794,26757,27270,25142,15611,6298,168236
LGA14700,3,0,5,12,18,26,58,76,45,236,0,0,0,16,12,16,22,25,21,114,42,58,283,277,134,120,132,120,152,1323,638,1960,6433,6953,5239,3989,3103,1820,721,30860
LGA14750,9,4,18,16,31,91,111,114,76,462,4,0,9,16,6,11,6,8,9,70,51,68,136,120,126,125,105,90,56,873,359,619,1359,1252,1383,1447,1058,707,284,8477
LGA14850,16,18,45,75,108,176,315,337,240,1325,4,11,6,11,21,20,20,6,14,112,204,190,404,414,422,451,421,265,180,2945,1239,2286,4752,5199,5976,6637,5537,2619,1079,35318
LGA14870,4,5,19,31,61,152,256,192,107,836,0,0,3,5,7,9,8,11,0,48,79,103,287,237,229,216,285,211,78,1728,560,1010,2269,2145,2611,3162,2910,1666,534,16871
LGA14900,71,84,449,864,1174,1801,2391,1752,793,9382,22,99,477,637,862,1329,1129,750,367,5660,876,1011,2353,2283,1662,1594,1230,1012,652,12678,7213,16382,33374,33908,29534,25105,15944,8038,2935,172433
LGA14920,4,0,10,8,24,75,117,78,47,369,0,0,0,0,4,3,4,3,0,18,51,39,85,93,121,123,143,102,39,793,219,328,707,786,961,1136,1070,600,187,5985
LGA14950,0,0,0,0,7,29,54,25,28,147,0,0,0,0,0,0,0,4,0,11,18,13,15,30,36,45,45,33,22,253,104,136,265,309,388,527,433,248,125,2538
LGA15050,42,34,104,108,205,412,679,535,332,2457,0,6,22,28,47,50,45,29,16,242,192,219,574,516,383,400,411,379,238,3318,2603,5466,12938,12036,10983,9928,8172,4332,1491,67950
LGA15240,40,30,111,159,252,647,1239,1034,672,4183,0,5,17,13,25,33,42,45,38,216,334,288,626,669,762,1041,1412,1274,785,7182,2286,3442,7594,8377,10909,15417,17644,10528,3886,80082
LGA15270,12,4,22,34,58,151,305,219,130,936,0,0,4,5,0,8,13,23,6,59,103,75,208,254,256,285,272,226,89,1774,696,1092,2943,2981,3332,3497,2935,1782,598,19847
LGA15300,15,5,16,12,49,81,139,109,34,455,0,4,5,3,9,7,15,12,0,54,147,193,359,369,352,366,266,154,48,2253,415,795,1699,1499,1606,1723,1233,690,199,9854
LGA15350,0,0,7,4,8,9,18,39,40,121,0,0,8,7,9,12,5,7,10,51,51,43,103,125,136,141,111,159,108,984,530,1341,2935,3644,4237,3727,3073,2213,917,22617
LGA15520,7,3,21,25,33,70,174,209,101,630,0,0,3,4,3,3,4,8,6,37,38,32,120,106,112,159,157,171,86,985,265,449,1188,1277,1533,1926,2034,1223,401,10296
LGA15560,0,0,4,7,10,34,39,36,24,159,0,0,0,0,3,0,0,0,4,9,12,18,41,33,43,50,63,37,15,312,88,171,406,353,418,545,436,214,76,2700
LGA15650,9,8,35,56,50,111,169,140,76,653,0,0,0,0,4,8,9,7,0,38,74,75,247,213,188,138,136,89,42,1198,498,870,2309,2111,2116,1977,1451,742,256,12335
LGA15700,9,6,20,20,52,141,261,208,148,873,0,0,5,0,9,7,8,13,9,52,97,79,173,163,184,296,280,187,85,1536,492,703,1671,1825,2311,3461,3469,1953,714,16604
LGA15750,0,3,15,25,52,97,168,119,63,544,0,0,0,4,3,13,11,0,10,40,71,81,161,151,202,246,168,105,62,1241,334,710,1562,1388,1547,1822,1345,787,304,9803
LGA15800,0,3,4,16,17,48,91,75,69,320,0,0,0,0,0,0,3,0,0,10,38,26,55,78,64,65,83,56,28,497,146,252,549,615,670,822,685,437,203,4378
LGA15850,7,0,4,12,16,39,97,61,20,259,0,0,4,5,4,0,7,11,3,26,41,36,100,107,80,105,93,87,61,719,177,301,715,687,700,849,749,473,173,4811
LGA15900,36,60,167,203,286,572,929,956,820,4028,4,16,73,101,102,135,99,102,90,725,522,832,1304,971,878,892,943,1030,1014,8389,4738,14411,26920,21831,20653,19260,15260,8961,4415,136449
LGA15950,0,0,20,28,15,30,82,80,57,323,0,8,18,14,18,29,30,17,18,153,76,127,629,517,344,350,337,314,194,2889,786,3360,14651,12331,8796,7436,6410,3845,1228,58837
LGA15990,16,23,64,141,168,338,687,907,645,2995,6,15,53,111,161,142,138,156,139,923,396,435,1224,1215,1204,1024,1054,1279,1186,9015,5712,13721,28865,35488,39979,32464,24193,16486,7238,204156
LGA16100,0,0,3,12,15,38,67,64,15,206,0,0,0,4,0,0,8,3,0,24,33,50,83,105,82,76,115,77,10,644,147,254,536,609,734,828,846,429,107,4501
LGA16150,27,19,62,82,122,213,368,303,208,1401,0,0,18,26,30,21,44,25,10,179,128,156,359,313,277,281,322,256,185,2276,1108,2409,5892,5466,5103,4778,4255,2510,1048,32563
LGA16200,7,6,16,25,46,112,192,140,105,633,0,0,0,4,5,5,6,10,6,40,83,58,138,135,119,162,115,123,90,1034,407,788,1631,1562,1672,1915,1545,991,438,10953
LGA16260,17,33,189,276,423,659,1143,997,577,4315,7,57,329,313,258,416,416,312,218,2324,420,1063,3512,2670,1403,1154,989,789,520,12525,4524,16952,49888,45489,29060,24723,18130,9926,4061,202761
