LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA11720,6372,12814,132,737,526,2484,323,1517,3679,14343,4665,19075,289,1236,340,1112,1433,4629,2063,6973,6727,26045,76,366,250,912,190,712,1672,4710,2181,6697,105,349,205,455,1281,2849,1596,3649,3775,10350,240,501,17108,49707
LGA11730,7172,14358,88,494,437,2011,200,953,2333,9267,3051,12734,153,627,281,921,1041,3217,1477,4767,4532,17494,27,135,153,559,126,441,1090,3089,1399,4228,79,246,163,342,970,2057,1207,2644,2604,6871,234,501,14550,39227
LGA11750,385,753,7,40,35,179,17,77,215,830,282,1127,7,34,16,49,64,215,94,294,373,1419,0,19,3,20,8,36,67,201,91,266,0,4,9,15,52,109,62,131,148,400,16,38,925,2610
LGA11800,9277,18605,124,716,758,3548,265,1245,4213,16751,5368,22264,281,1193,544,1781,1504,4751,2330,7728,7698,29992,46,206,265,914,170,594,1622,4341,2096,6059,107,348,315,691,1454,3136,1870,4169,3967,10227,271,578,21216,59402
LGA12000,565,1121,21,99,51,242,22,97,223,932,313,1371,32,123,24,72,85,249,136,452,444,1815,0,3,13,48,11,61,62,186,91,297,0,9,8,27,44,90,59,125,151,425,11,16,1170,3388
LGA12150,349,697,3,23,26,122,15,58,158,656,199,846,10,42,21,70,48,156,83,267,279,1112,5,14,8,48,18,68,106,329,139,454,0,5,6,12,72,172,85,184,222,639,15,34,868,2489
LGA12160,1520,3041,27,154,115,513,32,154,555,2233,732,3053,42,171,53,162,192,590,288,930,1021,3986,5,18,42,171,15,56,169,494,231,749,14,34,38,75,162,351,213,462,442,1210,40,83,3026,8320
LGA12350,1608,3189,42,218,129,565,58,253,529,2110,747,3143,41,147,89,279,251,772,378,1204,1129,4349,3,26,39,128,36,134,262,760,342,1046,9,26,37,78,195,424,242,530,584,1578,61,131,3376,9248
LGA12380,16062,33053,751,4678,2819,14236,698,3554,16319,64949,20586,87415,1688,7778,2110,7629,5707,19717,9507,35121,30097,122534,201,1077,554,2189,281,1158,2592,7398,3630,11815,475,1703,875,2118,4129,9751,5480,13566,9106,25383,1424,3163,56688,184126
LGA12390,5425,10867,102,535,539,2555,180,821,3258,12871,4073,16787,192,776,331,1048,927,2906,1449,4735,5527,21517,38,166,150,546,130,470,1236,3539,1552,4724,56,185,154,332,811,1785,1026,2296,2576,7026,225,469,13749,39876
