LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA58260,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,18,0,16,0,16,..,0,0,0,89,89,467,18,0,16,89,575
LGA58330,0,0,0,0,..,7,0,8,0,8,..,0,0,0,0,0,..,0,0,0,4,4,..,38,9,41,0,42,..,134,15,145,0,155,..,11,0,13,502,515,3932,145,17,160,507,4601
LGA58400,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,9,0,9,..,0,0,0,37,39,251,9,0,9,37,298
LGA58470,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,23,..,22,0,22,0,22,..,0,0,0,13,13,133,22,0,22,13,170
LGA58510,10,96,0,96,..,161,20,178,4,180,..,28,14,38,4,44,..,266,59,332,0,332,..,1127,149,1276,23,1297,..,7946,919,8867,114,8984,..,240,19,261,2373,2629,25273,8187,940,9121,2487,36889
LGA58540,0,0,0,0,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,24,3,26,0,26,..,5,0,5,98,94,679,24,3,32,98,802
LGA58570,0,52,0,54,..,88,17,108,0,108,..,23,0,23,0,23,..,480,150,629,0,639,..,712,65,780,24,805,..,6202,960,7161,73,7236,..,159,14,170,1761,1933,27361,6364,969,7332,1840,36537
LGA58610,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,4,0,4,..,19,0,21,0,21,..,66,4,72,0,72,..,5,0,5,185,187,1502,66,4,71,185,1761
LGA58680,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,0,0,0,97,96,428,11,0,13,97,535
LGA58760,15,314,3,319,..,534,71,609,6,611,..,82,7,89,0,89,..,3430,1921,5349,40,5394,..,7764,1536,9294,154,9446,..,36715,6184,42899,388,43288,..,1114,207,1329,8208,9535,156289,37836,6394,44231,8593,209111
