LGA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA35670,16,67,44,11,137,23,0,155,3,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,8,4,7,3,0,16,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,9,8,0,18,11,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,77,48,14,163,39,0,199
LGA35740,6582,5108,1753,99,13537,3243,581,17361,282,32,46,0,363,567,17,949,574,167,156,9,911,649,105,1660,855,208,206,9,1273,1215,116,2615,238,75,113,6,443,570,57,1066,151,30,36,3,226,160,29,420,103,13,13,0,129,37,0,168,0,0,0,0,0,0,0,0,15,3,10,0,26,12,0,43,510,133,168,15,823,782,86,1696,14,4,3,0,22,18,0,45,8,0,0,0,8,11,0,14,0,8,0,0,5,4,0,14,0,0,0,0,0,4,0,3,18,8,5,0,35,37,3,72,22,12,9,0,49,44,3,97,7994,5460,2140,122,15722,5328,799,21847
LGA35760,1266,805,317,42,2429,1102,129,3656,7,3,6,0,19,38,0,56,0,0,0,0,4,3,0,6,7,3,8,0,23,43,0,63,13,3,8,0,20,35,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,8,0,19,35,4,64,14,3,0,3,24,29,6,57,6,0,0,0,8,8,4,19,5,0,0,0,6,3,0,9,3,0,3,0,8,0,0,6,26,6,8,3,43,43,4,95,8,4,0,0,16,10,0,25,1319,823,335,48,2525,1227,143,3903
LGA35780,53,212,152,17,435,85,4,530,7,24,21,0,50,14,0,63,0,7,5,0,7,3,0,8,9,24,21,0,55,17,0,78,4,4,6,0,14,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,14,7,0,18,3,0,3,0,6,5,0,8,0,0,0,0,8,9,0,11,4,0,0,0,4,9,0,12,0,0,0,0,0,5,0,3,10,0,6,0,21,24,0,37,8,0,4,0,14,5,5,22,86,238,186,16,532,138,7,678
LGA35790,45,129,143,29,353,65,12,427,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,3,6,4,5,4,11,23,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,4,11,23,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,8,0,0,0,0,0,0,0,3,4,0,0,0,3,11,3,17,4,0,0,0,4,7,0,3,55,136,148,32,375,105,18,491
LGA35800,173,129,82,8,391,217,19,628,0,0,0,0,0,27,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,9,6,0,17,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,9,5,0,9,13,3,0,0,17,11,0,30,7,3,0,0,3,3,0,5,186,136,84,13,416,258,23,694
LGA36070,28,39,31,12,113,18,0,131,4,5,0,0,8,0,0,14,0,0,0,0,0,0,0,0,4,5,0,0,8,0,0,14,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,3,32,45,37,12,128,21,0,153
LGA36150,72,76,15,0,160,83,3,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,6,0,3,0,0,3,3,0,13,77,79,15,0,173,99,6,279
LGA36250,15545,18506,5481,442,39968,8169,1139,49276,869,198,288,22,1374,2020,58,3452,677,378,769,33,1856,1246,129,3231,1540,576,1054,57,3231,3264,188,6680,248,102,228,16,597,889,38,1522,122,17,38,4,184,152,4,347,243,41,45,0,334,256,31,619,0,0,0,0,0,0,0,0,31,11,7,0,48,28,0,75,646,177,315,17,1163,1329,77,2559,29,5,8,0,44,80,3,125,6,5,0,0,10,17,0,27,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,9,39,8,14,0,60,105,3,170,22,14,3,0,40,27,0,73,17791,19282,6867,525,44457,12889,1410,58756
LGA36300,70,62,17,0,151,55,3,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,0,19,10,0,29,83,75,16,0,176,61,4,243
LGA36370,7095,7952,3842,350,19232,6300,837,26363,240,124,175,22,558,802,81,1446,69,40,51,4,168,345,31,545,307,169,227,28,728,1152,110,1987,168,71,125,21,392,729,58,1184,5,3,0,0,6,9,3,20,8,0,0,0,11,9,0,22,40,10,4,0,56,45,3,101,7,4,3,0,17,10,0,27,230,87,139,21,482,806,66,1348,23,3,4,0,35,35,4,75,8,5,0,0,10,30,0,38,0,0,0,0,0,4,0,7,5,9,0,0,13,4,0,17,36,13,7,0,55,71,5,135,12,14,0,0,29,37,3,72,7679,8231,4210,404,20523,8368,1021,29911
LGA36510,5016,4390,1572,110,11094,2759,356,14212,117,36,86,10,245,432,17,699,42,24,50,3,122,111,8,238,161,56,132,17,365,543,30,938,4,7,11,0,14,16,3,28,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,0,11,8,9,13,0,22,28,3,51,22,6,8,0,37,56,0,91,11,3,6,0,18,21,0,40,6,4,4,0,18,12,0,28,8,9,0,0,17,6,0,26,50,18,15,0,89,96,0,187,20,11,0,0,30,15,0,45,5256,4477,1737,125,11597,3440,384,15430
LGA36580,2946,2482,1041,79,6548,1953,276,8778,29,16,25,0,76,65,3,145,9,0,0,0,10,0,0,6,28,20,25,0,82,64,10,154,0,4,4,0,10,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,9,6,0,19,15,3,0,0,15,27,0,41,19,0,0,0,27,22,0,53,0,0,0,0,6,7,0,7,0,0,0,0,3,0,0,4,32,4,5,0,40,53,0,99,0,0,5,0,10,9,0,19,3020,2523,1074,86,6692,2089,283,9066
LGA36630,3970,2643,1357,140,8115,3203,405,11722,32,7,26,0,72,175,11,254,0,0,0,0,5,8,0,14,35,10,26,0,77,176,11,267,72,22,37,4,138,353,22,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,22,37,4,137,353,22,517,26,3,4,3,35,64,0,102,0,0,0,0,0,7,0,6,0,0,3,0,9,5,0,17,8,6,0,0,11,9,0,14,34,12,6,4,62,79,4,144,15,11,3,0,28,16,0,48,4141,2695,1434,156,8419,3828,440,12685
LGA36660,4526,3119,1428,117,9192,3324,288,12807,131,18,77,7,239,576,19,836,5,10,6,0,22,23,10,56,142,31,87,7,264,598,26,889,14,3,12,0,30,120,10,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,12,0,32,120,10,158,11,0,7,0,16,31,0,46,3,3,0,0,10,22,0,26,5,5,0,0,5,5,0,12,4,12,0,0,13,9,0,22,26,19,10,0,44,60,3,110,19,16,3,0,41,25,0,67,4731,3180,1537,129,9579,4122,331,14031
LGA36720,30484,33499,10328,726,75037,15316,3148,93500,2732,600,854,64,4252,4309,295,8855,2270,1096,1204,86,4650,2617,509,7784,5000,1693,2054,153,8904,6933,804,16635,1080,482,715,57,2334,2859,349,5539,894,239,339,31,1500,1249,221,2965,2028,455,527,59,3063,2107,371,5546,967,104,85,15,1170,712,80,1954,110,54,28,0,194,162,7,361,5074,1331,1693,165,8265,7086,1024,16371,182,24,27,0,235,331,11,583,93,25,37,0,160,211,9,376,3,7,5,0,18,18,5,39,18,5,3,0,32,18,3,54,297,68,71,0,444,582,30,1055,117,57,25,0,209,143,13,362,40971,36657,14167,1047,92845,30061,5021,127927
LGA36820,3194,2116,1028,91,6425,2354,286,9073,55,8,33,4,95,190,11,297,3,0,4,0,13,30,0,44,54,14,36,3,112,219,11,339,47,9,26,5,92,206,6,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,26,5,92,202,6,301,38,8,4,0,48,57,12,117,16,0,0,0,18,29,0,49,3,0,5,0,10,6,0,15,0,3,0,0,7,9,0,15,64,9,10,0,78,105,10,194,21,17,4,0,44,34,3,82,3381,2158,1098,97,6750,2923,318,9986
LGA36910,16957,16737,6268,564,40533,11414,1514,53465,1257,563,650,83,2559,3855,264,6684,331,174,221,29,749,877,111,1733,1593,734,870,113,3309,4733,376,8420,338,209,239,38,827,1289,113,2226,9,0,9,0,14,46,0,63,8,0,0,0,17,26,0,44,16,0,0,0,16,19,0,31,5,0,0,0,5,14,0,21,378,218,247,41,881,1390,116,2388,32,6,5,0,42,61,3,111,17,3,3,0,28,41,0,66,11,3,3,0,21,17,3,37,19,4,5,0,28,8,4,36,83,17,17,0,115,128,6,253,45,23,9,0,73,49,4,131,19047,17732,7416,717,44912,17717,2019,64650
LGA36950,82,213,107,22,426,121,17,565,28,41,30,5,103,46,0,149,19,31,17,0,63,27,3,104,48,69,44,6,169,72,5,250,19,20,11,0,49,17,0,71,7,0,0,0,6,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,13,0,61,26,0,83,0,0,0,0,0,3,0,7,0,0,0,0,4,7,0,5,0,0,0,0,0,8,0,8,0,0,0,0,7,6,0,11,0,4,0,0,11,17,0,29,5,4,0,0,12,7,0,18,162,319,165,25,674,242,33,950
LGA36960,105,357,279,22,762,194,8,955,4,5,5,0,10,10,0,25,0,0,3,0,3,4,0,9,0,5,6,0,13,10,5,32,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,6,0,0,5,0,3,0,0,9,6,0,16,111,367,284,22,791,215,8,1013
LGA37010,16532,18753,7612,676,43571,10820,2285,56674,717,229,547,67,1552,2804,204,4565,522,252,390,67,1232,1674,189,3085,1236,485,936,126,2786,4477,389,7654,287,93,199,19,604,1097,99,1804,319,80,99,28,529,745,156,1433,334,96,62,19,506,466,85,1058,207,42,28,9,281,262,46,592,7,5,0,0,13,7,0,21,1162,317,383,73,1932,2579,390,4905,84,14,4,3,104,125,7,237,65,8,8,4,86,77,5,164,5,0,0,0,4,29,0,34,9,6,0,0,17,7,5,29,163,26,15,8,209,240,14,467,28,14,14,8,63,121,10,193,19123,19597,8963,888,48562,18235,3087,69892
LGA37300,185,419,62,3,671,94,19,779,39,47,13,0,105,60,11,170,77,49,10,3,139,53,15,211,119,98,27,3,241,112,30,383,8,7,3,0,14,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,0,14,9,0,23,11,0,0,0,6,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,15,0,0,0,0,0,0,0,0,8,0,0,0,12,19,0,36,7,0,0,0,7,8,0,11,329,524,91,10,945,240,50,1233
LGA37310,3231,3230,1260,122,7844,2557,325,10732,143,62,73,10,282,491,28,797,15,10,17,0,41,35,10,92,151,73,87,11,329,525,37,887,15,8,12,0,34,58,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,10,10,0,36,61,3,101,23,5,0,0,30,37,0,67,4,3,0,0,8,9,0,15,6,3,0,0,11,11,0,23,9,4,0,0,10,13,0,23,31,17,0,0,53,69,4,125,17,5,3,0,31,23,0,55,3452,3332,1363,137,8291,3238,371,11901
LGA37340,3264,3004,959,87,7323,2108,376,9806,91,46,58,4,199,350,31,581,131,53,79,0,270,235,43,547,221,99,144,3,468,588,69,1122,167,73,112,4,354,423,59,839,77,32,22,0,136,105,25,262,20,6,3,0,25,28,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,259,104,142,12,519,551,97,1167,78,10,9,0,93,80,5,181,48,9,0,0,54,50,6,105,7,0,0,0,14,9,0,22,4,0,0,0,12,5,6,21,137,26,11,0,176,143,15,336,64,18,10,0,91,83,16,183,3952,3255,1260,111,8574,3465,571,12614
LGA37400,108,89,28,3,226,145,8,374,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,9,9,0,0,0,9,7,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,4,20,15,7,0,0,21,5,0,26,127,94,29,3,254,167,11,438
LGA37550,15,34,105,12,167,45,5,213,0,0,0,0,8,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,10,4,7,15,0,26,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,0,26,17,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,125,9,198,69,5,273
LGA37570,7,22,19,7,53,7,0,63,0,0,0,4,6,6,0,12,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,22,8,60,17,0,79
LGA37600,27,141,142,16,324,26,0,345,0,4,10,0,17,0,0,27,0,0,0,0,0,0,0,0,0,4,10,0,17,0,0,27,9,16,14,0,40,14,0,52,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,14,6,40,13,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,0,36,16,3,52,0,0,0,0,0,0,0,0,11,12,12,0,35,16,3,55,0,0,0,0,0,0,0,0,48,174,176,18,417,54,9,486
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA40070,353,208,68,10,634,258,76,968,293,112,68,16,486,485,105,1078,813,302,153,37,1307,946,310,2557,1105,414,222,51,1789,1430,419,3631,131,36,18,11,191,332,42,565,223,55,42,22,337,536,91,959,512,116,101,46,767,996,264,2026,751,141,85,54,1027,1281,457,2771,0,0,0,0,0,0,0,5,1611,336,245,126,2324,3150,852,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,34,23,11,66,23,8,0,0,34,28,11,66,16,6,7,0,27,68,21,120,3102,974,540,192,4802,4936,1376,11116
LGA40120,4632,5414,1148,83,11276,2446,214,13939,77,19,15,0,115,188,8,304,10,21,10,0,42,17,6,60,93,33,28,0,150,203,11,364,14,14,14,0,39,69,9,112,3,0,0,0,3,19,0,20,9,5,0,0,12,28,0,44,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,22,18,13,0,60,113,4,178,0,4,0,0,3,10,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,5,3,5,0,0,10,16,0,24,8,7,0,0,15,8,0,30,4758,5474,1188,88,11513,2791,229,14537
LGA40150,980,1231,322,37,2568,664,91,3326,0,0,3,0,6,9,0,12,0,0,0,0,0,0,0,0,0,0,3,0,6,9,0,12,0,0,0,0,3,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,5,7,0,11,4,0,0,0,9,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,17,27,3,0,0,0,5,6,0,10,991,1236,326,37,2586,686,116,3391
LGA40220,4270,2557,949,73,7852,2843,223,10918,139,6,25,0,176,285,3,464,22,8,4,0,38,23,3,66,166,16,30,0,213,312,9,535,8,3,13,0,22,97,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,13,0,26,97,0,125,12,0,0,0,14,30,4,52,11,0,0,0,11,31,0,42,0,0,0,0,0,0,0,0,5,4,0,0,7,9,0,13,27,4,0,0,32,70,3,112,19,3,0,0,26,15,5,39,4490,2587,991,81,8148,3339,239,11724
LGA40250,75,180,107,31,389,70,11,469,15,4,0,0,13,23,3,42,0,0,0,0,0,0,0,0,15,4,0,0,13,23,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,89,181,104,31,411,90,15,514
LGA40310,3128,2850,812,45,6838,2092,147,9077,95,19,55,0,169,296,10,482,0,10,3,0,9,0,0,16,99,28,59,0,181,304,10,491,7,0,0,0,10,70,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,12,69,3,84,4,5,5,0,9,27,0,35,0,0,0,0,7,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,12,0,7,0,19,39,0,60,3,4,0,0,11,8,4,20,3252,2894,871,49,7065,2513,162,9739
LGA40430,395,210,71,3,678,348,20,1045,27,0,0,0,26,20,0,44,0,0,0,0,0,0,0,0,27,0,0,0,26,20,0,44,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,11,0,0,0,0,0,0,0,4,426,213,72,3,710,387,20,1118
LGA40520,1201,884,491,34,2609,981,97,3682,80,24,53,3,154,308,14,477,0,0,0,0,4,8,0,14,81,23,52,3,158,317,12,490,11,10,4,0,21,55,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,7,0,19,55,3,83,4,5,0,0,3,10,0,14,7,0,0,0,9,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,4,0,19,21,0,41,0,0,0,0,3,5,0,3,1302,923,547,38,2809,1381,110,4301
LGA40700,3531,5038,953,92,9616,1992,231,11840,569,524,236,21,1349,1270,84,2701,304,314,113,12,752,402,43,1196,878,838,346,34,2102,1677,125,3900,281,189,115,16,597,769,56,1426,44,7,4,4,54,157,9,220,43,7,3,0,54,68,3,121,42,10,10,0,60,81,0,134,0,3,0,0,5,3,0,9,405,216,127,15,768,1076,67,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,3,15,4,0,0,0,4,4,3,15,10,5,6,0,22,14,6,37,4829,6102,1429,145,12506,4762,430,17704
LGA40910,4249,5747,1745,174,11911,3288,462,15664,577,645,319,39,1576,1141,73,2786,204,246,97,19,559,214,75,854,775,885,413,56,2137,1355,152,3638,399,253,147,31,828,1065,84,1975,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,9,401,258,143,31,832,1072,83,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,4,0,4,0,0,3,8,4,0,0,13,13,3,37,5432,6895,2313,259,14896,5734,704,21332
