LGA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA10800,1063,496,545,608,612,758,644,389,164,5276,10,4,3,0,4,4,0,0,3,26,12,65,79,53,79,57,25,4,4,392,0,0,5,5,4,5,15,3,0,35,0,0,15,5,4,3,0,0,0,29,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,13,69,101,62,96,77,44,9,4,478,25,76,106,62,98,79,48,12,11,506,1089,566,647,671,711,835,685,395,178,5783
LGA10850,1491,727,759,743,951,1039,829,459,149,7153,0,0,0,0,4,3,0,3,0,15,29,35,35,25,16,31,25,21,7,228,0,0,0,0,0,0,5,0,0,5,0,4,0,3,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,43,37,35,22,40,28,18,7,251,29,40,37,34,26,40,29,26,7,266,1521,774,797,771,975,1080,858,482,160,7416
LGA10900,13332,7814,6847,9318,10706,10840,10197,5078,1674,75800,3,6,12,8,4,8,8,6,7,66,273,239,240,218,233,288,241,123,64,1922,0,3,0,0,0,5,3,0,0,12,4,4,3,0,9,9,11,7,0,50,0,0,0,0,0,3,0,4,0,10,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,272,244,254,224,248,317,262,140,64,2035,280,256,264,234,254,325,273,144,70,2103,13613,8070,7111,9547,10956,11162,10465,5225,1747,77907
LGA10950,470,264,307,206,325,296,216,193,67,2330,0,0,4,0,0,0,0,5,0,12,17,23,37,23,36,36,29,6,0,207,0,5,0,0,3,3,0,0,0,12,0,4,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,25,40,24,43,44,29,6,3,232,17,25,46,27,43,43,34,13,4,245,489,290,350,231,369,335,246,197,72,2573
LGA11150,510,236,298,253,275,278,201,104,36,2183,0,3,3,0,3,3,0,0,0,20,7,29,27,18,26,80,51,16,5,254,0,0,0,4,0,0,6,0,0,18,0,3,5,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,37,28,30,28,92,64,17,5,304,10,42,33,27,35,98,62,19,5,323,518,278,331,279,305,378,262,119,38,2501
LGA11200,262,150,193,126,157,195,124,52,17,1273,0,0,0,0,5,0,0,0,0,5,7,17,8,10,14,28,27,4,0,118,0,0,0,0,0,0,4,4,0,7,0,6,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,13,11,18,25,32,11,0,148,7,28,13,14,20,25,32,11,0,151,269,178,207,140,178,226,158,58,16,1428
LGA11250,2890,1752,2055,1769,1909,2411,2068,1207,572,16632,5,5,3,12,0,8,19,13,0,65,92,85,100,86,91,154,114,34,11,768,0,14,6,5,5,10,18,0,0,57,0,0,3,7,0,11,9,0,0,22,3,25,18,18,23,32,44,12,0,175,0,0,0,0,0,0,7,0,0,11,0,0,0,3,0,0,3,0,0,14,0,0,6,0,0,0,0,0,0,10,0,0,3,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,95,133,135,113,125,210,198,52,11,1070,100,140,144,126,127,215,215,60,16,1131,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
LGA11300,4726,6688,8583,4906,4376,4018,2971,1906,1139,39303,0,6,3,0,0,0,3,0,0,18,81,124,187,109,78,64,46,32,16,736,0,7,6,0,0,0,0,0,0,18,5,4,5,0,4,0,0,0,0,14,0,0,0,4,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,80,138,203,119,78,67,50,30,20,790,86,141,203,122,83,73,53,35,20,807,4807,6828,8791,5017,4457,4088,3024,1939,1156,40111
LGA11350,5686,2992,4614,4876,4950,4869,4195,1555,560,34297,4,7,10,4,10,11,15,6,4,78,180,187,253,208,212,272,177,68,15,1568,14,27,45,23,32,65,78,41,3,321,10,26,41,29,19,31,14,0,0,186,0,9,4,0,0,9,9,4,4,33,0,0,3,7,0,0,8,5,0,24,0,0,0,3,0,0,9,0,0,19,0,0,0,0,0,0,0,0,0,6,0,4,0,0,3,12,10,0,0,28,0,0,0,0,0,0,0,0,0,0,202,254,355,270,273,388,307,125,15,2194,205,261,362,276,282,403,321,136,20,2271,5892,3254,4977,5151,5231,5270,4515,1692,582,36569
LGA11400,2723,1364,1080,1485,1761,1905,1610,926,318,13174,8,3,8,4,3,3,4,7,0,44,68,98,43,45,50,63,49,23,17,470,0,0,0,3,0,0,6,0,0,15,0,0,0,0,0,3,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,70,98,45,48,55,66,60,25,17,495,75,104,52,51,59,74,63,31,21,534,2801,1470,1135,1534,1819,1979,1672,959,343,13713
LGA11450,29679,14115,19046,18611,14058,10142,6984,3342,1172,117156,10,9,4,9,4,0,8,11,4,53,272,273,298,184,159,119,138,87,39,1578,0,0,0,0,5,11,3,3,0,23,0,5,5,5,4,10,8,0,0,45,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,11,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,279,294,308,199,165,137,154,92,43,1676,288,295,307,204,175,142,161,97,45,1734,29967,14412,19359,18819,14235,10279,7148,3445,1216,118890
LGA11500,38267,21655,24934,26142,19890,19054,14427,6466,1855,172679,17,27,23,23,21,27,39,23,5,195,531,492,611,378,306,248,242,172,77,3047,4,3,8,3,5,6,7,0,0,36,15,12,16,10,7,14,15,0,0,89,0,3,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,14,0,0,0,0,0,0,0,0,0,0,548,518,641,391,320,268,268,175,79,3214,570,541,661,412,345,293,307,197,85,3407,38828,22196,25590,26558,20233,19348,14738,6655,1935,176083
LGA11520,13869,9170,14484,13397,11542,9974,7869,4633,2093,87020,5,0,6,6,8,9,17,29,55,127,211,172,310,202,191,202,205,200,153,1839,0,3,9,0,0,9,3,4,0,29,0,6,6,3,3,11,13,7,0,48,0,0,3,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,211,192,336,212,201,220,229,206,153,1957,218,192,343,218,205,229,244,236,204,2085,14083,9361,14822,13612,11751,10200,8106,4872,2295,89107
LGA11570,72428,46819,53984,50073,44841,41084,29042,16952,7913,363142,53,24,68,51,46,47,68,81,76,524,734,663,990,628,601,575,394,272,239,5089,5,8,17,10,7,22,13,4,0,82,3,17,14,10,5,25,21,3,0,106,0,3,6,0,3,3,3,0,0,22,4,5,0,4,4,0,0,0,0,26,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,6,9,0,5,4,6,6,0,34,0,0,0,0,0,0,0,0,0,0,751,712,1046,657,627,628,439,283,239,5378,800,735,1111,709,675,680,506,364,315,5899,73225,47559,55096,50789,45515,41765,29549,17319,8225,369038
LGA11600,540,268,438,327,351,369,231,123,57,2698,0,5,0,7,6,0,0,0,0,15,26,45,58,27,25,31,24,9,0,247,0,8,13,0,4,4,4,0,0,33,0,0,3,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,54,72,29,35,41,35,9,0,293,28,57,78,32,36,39,36,9,0,312,567,321,517,362,384,414,265,132,57,3011
LGA11650,61113,37360,36888,40333,42984,43420,39204,24914,10092,336294,44,46,26,38,42,68,106,78,52,504,1270,1346,1113,899,1021,1028,927,531,345,8477,4,10,8,13,8,20,18,11,0,100,21,40,34,18,31,42,48,13,3,244,0,0,0,3,0,5,8,0,0,19,0,9,9,0,6,5,0,7,0,38,0,3,0,3,4,10,8,4,0,31,0,0,3,4,0,0,0,0,0,8,3,12,5,5,3,9,4,0,0,36,0,0,0,0,0,0,0,0,0,0,1304,1413,1175,944,1074,1117,1012,561,351,8954,1342,1455,1204,982,1117,1185,1117,647,404,9456,62456,38816,38087,41310,44102,44601,40322,25556,10498,345747
LGA11700,298,182,208,170,204,226,212,98,24,1612,4,0,0,0,9,0,0,0,0,19,14,28,32,20,47,64,52,20,3,276,0,3,6,7,11,3,9,0,0,43,0,0,0,0,0,6,0,0,0,8,0,0,4,4,5,3,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,11,0,0,0,0,0,0,0,0,0,0,16,35,40,28,58,84,73,19,3,363,20,40,43,32,67,84,73,21,3,379,316,222,251,203,266,302,283,120,24,1989
LGA11720,12489,7247,8785,7662,7495,7281,6258,2980,1118,61312,12,16,9,8,16,25,27,12,3,117,365,296,299,236,238,221,179,84,36,1954,0,0,0,0,0,6,3,0,0,15,3,0,10,4,9,12,4,3,0,40,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,308,311,243,246,241,192,86,36,2029,375,317,322,247,265,255,222,101,42,2149,12867,7562,9106,7917,7757,7539,6477,3078,1159,63463
