LGA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,8,12,0,10,7,0,0,0,0,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,12,15,24,14,7,3,0,0,0,0,0,0,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10900,0,0,0,0,0,0,0,35,0,0,3,3,0,15,3,3,0,0,0,0,0,0,0,27,0,12,52,55,72,41,50,19,0,3,0,0,0,0,5,310,8,42,48,6,7,3,17,6,4,0,0,0,0,0,10,160,0,3,3,7,31,18,33,15,0,0,0,0,0,0,0,119,0,0,0,4,17,17,29,3,9,0,0,0,0,0,5,81,0,3,19,16,8,8,3,3,0,0,0,0,0,0,0,65,0,4,20,40,35,28,18,6,5,3,0,3,0,0,0,170,0,0,0,0,0,3,3,4,7,15,12,7,0,0,0,48,17,140,39,25,37,21,21,12,0,0,0,0,5,6,9,330,8,20,117,240,297,228,143,56,3,6,4,6,0,9,25,1168,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,8,4,3,7,8,3,0,0,0,5,0,0,0,37
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,5,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,4,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,9,3,4,0,0,0,0,0,0,0,3,0,0,0,18,0,0,4,9,13,9,10,4,0,5,0,0,5,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA11300,3,0,4,0,0,0,0,55,0,0,0,5,3,8,8,7,0,0,0,0,0,0,0,34,0,0,13,15,30,15,34,14,0,0,5,0,0,0,0,128,20,272,385,86,6,14,20,32,7,7,4,5,3,0,29,902,0,0,0,0,6,20,30,21,9,3,14,8,6,0,0,126,0,0,0,50,168,138,263,154,36,45,49,45,14,0,32,985,0,36,146,151,83,55,47,26,0,10,10,9,8,3,25,610,0,3,10,28,67,39,88,106,84,101,99,98,14,0,29,771,0,0,0,0,0,15,142,178,135,428,1072,801,197,5,91,3060,0,7,3,3,0,0,4,0,0,0,0,0,0,0,0,22,3,6,11,33,70,84,70,40,6,10,0,10,6,11,11,363,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,11,11,10,21,0,0,3,5,0,0,3,80
LGA11350,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,20,7,25,9,0,0,0,6,5,0,5,114,0,14,12,3,11,10,40,68,9,17,20,22,11,0,14,239,0,4,0,0,5,28,64,39,9,8,10,11,7,0,9,196,0,0,0,0,7,4,3,5,0,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,7,8,9,4,3,3,0,3,3,0,0,0,0,44,0,0,0,0,0,0,4,9,0,0,3,4,0,0,0,17,5,26,20,11,18,14,28,5,6,11,5,12,9,0,8,176,4,17,54,133,159,140,158,83,14,7,24,10,9,0,33,850,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA11400,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,0,0,0,0,0,0,0,0,12,5,3,7,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,19,21,24,18,11,0,0,0,0,0,0,8,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
LGA11450,9,3,10,3,0,0,5,204,0,0,14,27,28,407,507,194,21,30,22,22,4,5,17,1289,0,7,29,43,73,26,82,94,8,14,13,4,0,0,11,397,29,193,282,90,50,14,7,28,9,5,0,3,0,0,43,751,0,3,0,0,0,3,12,7,0,3,4,0,0,0,0,39,0,0,0,0,9,15,36,16,0,0,3,0,0,0,4,84,0,5,59,94,98,46,70,24,0,5,5,4,0,6,18,438,0,0,12,14,63,25,42,25,6,10,8,11,0,3,4,214,0,0,0,0,0,18,424,207,23,33,22,37,21,0,12,800,4,69,18,14,11,13,6,5,0,0,0,0,0,0,9,149,5,3,37,157,273,370,392,251,35,60,53,40,21,9,54,1763,0,4,34,43,27,27,18,7,4,4,0,0,0,0,3,170,0,0,3,6,37,76,220,191,37,40,27,28,6,7,10,678
LGA11500,4,12,0,17,0,5,7,293,0,0,12,13,13,338,521,323,44,31,30,13,12,0,22,1373,0,12,48,53,56,14,39,39,4,0,4,0,0,0,11,287,21,129,156,66,19,17,23,30,6,0,3,0,0,0,26,498,0,8,0,0,9,20,33,22,4,9,0,5,0,0,0,107,0,0,0,8,27,39,79,19,4,5,0,3,5,0,10,192,0,14,148,287,287,210,253,103,14,24,18,13,5,0,55,1431,0,4,30,57,108,59,104,34,9,20,8,8,5,0,21,470,0,0,0,6,4,112,1836,898,137,157,197,212,74,9,31,3667,3,99,30,17,23,10,6,7,0,0,4,0,0,0,4,199,3,23,59,307,621,1020,1018,590,113,93,96,90,31,33,201,4299,0,0,48,54,46,44,39,14,0,0,9,3,0,0,3,249,0,0,5,12,94,257,459,487,109,114,82,50,37,8,28,1740
LGA11520,26,25,15,26,9,3,5,460,0,0,8,13,5,27,17,12,0,0,0,3,0,0,0,73,0,8,24,37,84,90,136,130,17,11,8,18,4,0,3,580,75,1054,1346,279,67,63,80,179,27,40,16,30,15,3,169,3435,0,0,0,11,24,40,62,33,4,8,9,14,5,7,4,222,0,0,0,105,319,448,795,396,84,78,88,104,38,16,58,2532,3,28,129,141,99,36,44,20,4,5,13,14,3,3,9,543,4,12,40,107,183,88,147,96,28,27,28,28,14,0,22,803,0,0,0,0,0,14,63,98,67,188,317,256,78,0,30,1107,5,25,4,7,6,12,17,23,0,0,4,0,0,0,0,103,7,11,63,153,184,232,251,121,14,12,19,24,12,15,25,1146,0,3,8,25,12,12,3,3,0,0,0,0,0,0,0,64,0,0,0,9,18,17,23,37,18,18,22,27,5,10,0,212
