SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL10011,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,8,0,8,..,12,0,14,0,14,..,0,0,0,10,10,296,12,0,14,10,317
SAL10012,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,10,10,20,0,0,0,10,29
SAL10013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,14,14,28,0,0,0,14,30
SAL10014,0,96,0,96,..,0,0,6,0,6,..,15,0,15,0,15,..,12,3,16,0,16,..,170,16,187,4,192,..,1564,152,1718,16,1733,..,14,4,17,26,45,1888,1579,162,1736,40,3668
SAL10015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,15,0,16,..,0,0,0,50,54,278,11,4,14,51,339
SAL10016,0,3,0,3,..,13,0,13,0,13,..,0,5,5,0,5,..,11,7,16,0,16,..,60,3,66,0,66,..,469,51,522,3,528,..,13,3,17,210,229,5580,484,52,537,222,6335
SAL10017,0,0,0,0,..,12,11,24,0,24,..,0,0,0,0,0,..,8,0,8,0,8,..,41,3,41,0,45,..,422,62,489,3,490,..,15,3,22,85,108,5023,443,69,511,89,5621
SAL10018,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,30,0,32,..,0,0,0,46,47,860,32,0,31,48,938
SAL10019,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,26,28,71,4,0,4,26,101
SAL10020,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,33,0,0,0,0,32
SAL10021,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,27,0,29,..,78,7,85,0,86,..,5,0,5,33,36,874,78,7,86,37,996
SAL10022,0,0,0,5,..,14,3,15,0,15,..,3,3,4,0,4,..,14,9,20,0,20,..,122,15,139,3,134,..,728,102,823,12,839,..,35,10,51,388,433,1989,766,107,876,400,3265
SAL10023,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,8,0,8,..,8,0,9,9,18,..,0,0,0,8,8,135,8,0,9,18,165
SAL10024,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,9,9,65,0,0,0,9,77
SAL10025,0,3,0,3,..,17,0,14,0,14,..,19,0,14,0,14,..,9,0,12,0,12,..,98,16,117,7,114,..,703,65,775,5,780,..,45,6,46,497,547,12501,748,71,823,505,13826
SAL10026,0,0,0,0,..,4,0,4,0,4,..,16,0,16,0,16,..,13,8,19,0,19,..,72,9,84,3,87,..,367,57,422,3,426,..,28,0,29,300,327,6161,391,59,451,305,6920
SAL10027,0,0,0,0,..,14,5,20,0,20,..,0,0,0,0,0,..,8,0,7,0,7,..,31,4,38,0,34,..,390,36,422,4,423,..,7,0,7,218,221,4305,397,36,431,221,4955
SAL10028,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,18,0,18,..,0,0,0,786,790,637,12,0,17,786,1443
SAL10029,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,10,15,142,9,0,9,10,151
SAL10030,0,24,0,24,..,61,6,72,0,72,..,17,0,22,0,22,..,69,5,72,0,70,..,178,22,198,10,201,..,1841,157,1996,19,2015,..,30,5,32,457,488,7149,1871,163,2033,479,9649
SAL10031,0,3,0,3,..,4,0,4,0,4,..,15,0,20,0,20,..,22,11,31,0,31,..,41,0,48,6,44,..,775,86,858,3,861,..,15,0,12,32,49,2221,787,88,868,43,3131
SAL10032,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,80,0,0,0,0,80
SAL10033,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,7,0,0,0,0,4
SAL10034,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,85,0,0,0,0,85
SAL10035,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,5,89,0,0,0,5,99
SAL10036,0,0,0,0,..,9,0,9,0,9,..,6,0,7,0,7,..,7,5,14,0,14,..,115,13,125,3,127,..,820,119,933,17,949,..,26,8,30,131,165,6207,840,123,966,148,7317
SAL10037,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,69,0,0,0,0,68
SAL10038,0,17,0,19,..,30,12,40,0,40,..,8,0,8,0,8,..,35,3,40,0,40,..,133,23,156,6,157,..,2894,706,3599,34,3630,..,41,10,43,194,239,1478,2930,711,3644,226,5351
SAL10039,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,6,53,5,0,5,3,60
SAL10040,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,5,5,131,3,0,3,5,139
SAL10041,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,20,20,169,0,0,0,20,190
SAL10042,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,51,0,0,0,0,54
SAL10043,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,9,9,52,0,0,0,9,58
SAL10044,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,3,3,132,3,0,4,3,141
SAL10045,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,23,23,409,9,0,9,23,431
SAL10046,0,0,0,0,..,9,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,46,6,51,0,51,..,198,13,212,0,216,..,12,0,7,258,269,5438,204,12,218,258,5912
SAL10047,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,83,0,0,0,0,86
SAL10048,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,11,11,36,0,0,0,11,44
SAL10049,0,12,0,12,..,18,6,28,0,28,..,6,0,9,0,9,..,35,12,45,0,45,..,201,53,255,3,254,..,1396,235,1637,7,1648,..,47,9,57,528,584,5020,1447,242,1691,539,7254
SAL10050,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,26,0,0,0,8,40
SAL10051,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,6,0,0,0,0,6
SAL10052,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,41,0,0,0,0,41
SAL10053,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,5,0,4,0,4,..,0,0,0,7,7,49,5,0,4,7,64
SAL10054,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,48,0,0,0,0,49
SAL10055,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,10,10,59,3,0,3,10,72
SAL10056,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,4,0,4,..,0,0,0,12,12,152,4,0,4,12,167
SAL10057,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,29,0,0,0,3,34
SAL10058,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,12,0,12,..,0,0,0,13,13,53,14,0,12,13,78
SAL10059,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,7,181,9,0,9,0,192
SAL10060,0,3,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,31,4,29,0,29,..,38,6,46,0,47,..,0,0,0,36,36,298,41,6,49,35,384
SAL10061,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,5,0,5,..,17,0,16,0,16,..,114,4,115,0,118,..,7,0,7,221,232,3867,120,4,126,220,4221
SAL10062,0,11,5,9,..,39,8,46,0,46,..,17,0,17,0,17,..,47,6,53,0,53,..,123,11,131,3,133,..,1146,140,1290,15,1305,..,30,8,42,467,508,7675,1181,154,1334,482,9487
SAL10063,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,14,0,14,..,140,10,151,0,148,..,4,0,4,41,46,1276,140,10,153,41,1472
SAL10064,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,33,5,34,0,34,..,173,21,196,0,199,..,11,0,11,108,114,2900,185,16,206,107,3213
SAL10065,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,39,0,0,0,8,46
SAL10066,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,31,0,0,0,0,35
SAL10067,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,16,0,0,0,0,16
SAL10068,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,15,15,102,0,0,0,15,116
SAL10069,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,5,18,0,0,0,5,21
SAL10070,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,23,23,416,4,0,4,23,445
SAL10071,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,10,8,194,5,0,5,10,209
SAL10072,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,4
SAL10073,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,15,0,15,..,106,7,117,0,117,..,4,0,4,56,61,1300,111,7,121,56,1475
SAL10074,0,0,0,0,..,7,5,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,36,5,37,0,37,..,0,0,0,44,40,1355,35,5,40,44,1431
SAL10075,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,16,16,37,0,0,0,16,50
SAL10076,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,6,6,175,5,0,5,6,182
SAL10077,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,9,0,8,0,10,..,9,3,12,0,12,..,0,0,0,30,29,425,11,3,14,31,472
SAL10078,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,19,0,0,0,0,16
SAL10079,0,0,0,0,..,4,3,6,0,6,..,0,0,0,0,0,..,0,3,6,0,6,..,13,7,22,3,25,..,81,24,110,3,113,..,7,0,11,46,57,1181,87,30,115,54,1352
SAL10080,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,27,27,180,4,0,4,27,207
SAL10081,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,13,0,0,0,3,16
SAL10082,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,31,31,409,3,0,3,31,439
SAL10083,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,6,6,32,0,0,0,6,36
SAL10084,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,15,0,0,0,8,24
SAL10085,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,32,32,134,0,0,0,32,164
SAL10086,0,23,0,25,..,23,0,31,0,29,..,7,0,12,0,12,..,74,18,91,0,91,..,626,258,884,9,892,..,2384,389,2771,29,2802,..,105,31,139,2199,2341,18828,2491,421,2913,2231,23967
SAL10087,0,18,0,18,..,89,28,115,0,115,..,13,3,20,0,20,..,184,43,230,4,231,..,438,189,623,8,633,..,5413,1091,6502,52,6559,..,70,54,125,1030,1152,4309,5482,1151,6630,1081,12023
SAL10088,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,6,0,0,0,3,6
SAL10089,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,74,5,76,3,80,..,81,7,93,3,97,..,3,0,3,29,36,459,92,7,97,39,591
SAL10090,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,9,0,9,0,9,..,41,14,52,0,52,..,0,0,0,17,12,548,43,14,53,17,615
SAL10091,0,78,0,78,..,97,42,144,0,148,..,19,0,19,0,19,..,40,4,41,0,41,..,224,24,249,9,257,..,3691,551,4240,39,4281,..,36,7,44,326,370,4764,3724,558,4284,369,9417
SAL10092,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,42,0,0,0,3,47
SAL10093,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,5,33,0,0,0,5,40
SAL10094,0,12,0,12,..,3,0,3,0,3,..,0,4,10,0,10,..,13,5,20,0,20,..,26,5,35,0,34,..,994,185,1181,6,1180,..,3,0,3,84,93,2081,997,183,1178,96,3353
SAL10095,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,37,32,276,4,0,4,37,316
SAL10096,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,30,28,252,8,0,8,30,292
SAL10097,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,20,0,0,0,0,18
SAL10098,0,0,0,0,..,0,0,0,0,0,..,11,6,15,0,15,..,269,184,451,3,459,..,126,24,149,3,153,..,1445,485,1930,20,1950,..,22,9,35,373,409,1275,1466,496,1966,394,3634
SAL10099,14,140,0,140,..,225,121,343,6,353,..,91,18,110,7,113,..,270,65,334,0,334,..,497,69,565,22,584,..,9004,2267,11266,95,11360,..,160,43,204,849,1054,10593,9166,2309,11469,945,23012
SAL10100,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,17,0,17,0,17,..,0,0,0,57,57,587,17,0,17,57,659
SAL10101,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,50,50,296,0,0,0,50,351
SAL10102,0,4,0,4,..,0,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,67,18,84,5,84,..,145,23,164,5,172,..,12,0,12,361,380,3194,163,23,180,363,3747
SAL10103,0,9,0,9,..,4,0,3,0,3,..,6,0,10,0,10,..,5,0,3,0,3,..,40,3,46,0,48,..,340,57,397,4,399,..,14,0,14,117,129,4063,351,57,407,122,4589
SAL10104,0,83,0,83,..,32,8,39,0,39,..,5,0,5,0,5,..,24,13,34,0,34,..,142,3,143,5,152,..,2330,345,2674,34,2710,..,46,0,40,154,197,3253,2375,341,2719,187,6160
SAL10105,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,3,0,3,..,0,0,0,5,5,60,6,0,3,5,68
SAL10106,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,12,..,0,0,0,29,29,493,16,0,16,26,542
SAL10107,120,776,9,783,..,47,21,65,0,70,..,2115,819,2935,20,2957,..,294,132,426,0,429,..,2379,918,3296,47,3342,..,21851,8853,30703,245,30942,..,445,166,613,2968,3578,4811,22297,9018,31314,3211,39333
SAL10108,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,119,9,0,9,0,127
SAL10109,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,9,0,9,..,31,0,35,0,35,..,111,5,121,0,120,..,9,0,9,41,49,2553,118,5,130,43,2725
SAL10110,4,43,0,44,..,8,3,14,0,14,..,39,8,44,0,48,..,124,54,179,0,180,..,529,84,619,11,630,..,3113,450,3563,45,3610,..,68,17,82,558,642,2589,3180,466,3651,607,6847
SAL10111,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,13,13,137,0,0,0,13,145
SAL10112,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,18,0,18,..,148,11,158,5,162,..,617,26,650,10,657,..,39,0,41,238,277,9447,663,29,689,247,10379
SAL10113,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,45,0,0,0,3,45
SAL10114,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,11,0,11,..,0,0,0,11,11,185,9,0,11,11,208
SAL10115,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,29,0,29,0,29,..,195,8,204,0,202,..,3,0,5,164,168,4336,198,14,207,159,4708
SAL10116,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,12,0,10,0,10,..,105,17,122,0,122,..,4,0,4,71,77,1500,106,17,122,71,1695
SAL10118,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,9,9,144,3,0,3,9,157
SAL10119,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,15,15,414,5,0,3,15,430
SAL10120,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,15,0,15,..,0,0,0,7,7,175,13,0,15,7,195
SAL10121,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,24,24,140,0,0,0,24,166
SAL10122,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,10,0,0,0,0,14
SAL10123,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,0,4
SAL10124,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,4,47,0,0,0,4,54
SAL10125,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,20,0,0,0,0,20
SAL10126,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,5,5,19,0,0,0,5,20
