SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL31516,4,0,4,42,23,3,70,177,5,254
SAL31517,96,6,99,1035,280,42,1362,3368,296,5024
SAL31518,0,0,0,4,0,0,4,10,0,12
SAL31519,4,0,4,64,17,0,84,218,10,313
SAL31520,0,0,0,6,0,0,10,37,11,50
SAL31521,3,0,3,33,3,5,40,112,24,174
SAL31522,0,0,0,14,8,0,27,120,24,169
SAL31523,0,0,0,46,10,0,54,85,27,169
SAL31524,0,0,0,14,0,0,16,77,16,110
SAL31525,4,3,7,151,32,5,190,370,11,568
SAL31526,0,0,0,12,7,3,17,42,3,56
SAL31527,51,13,57,281,69,4,356,1056,210,1616
SAL31528,0,0,0,49,6,0,55,91,20,170
SAL31529,15,4,20,71,20,3,100,436,53,582
SAL31530,5,0,5,12,5,0,22,83,10,108
SAL31531,38,9,49,75,38,8,115,608,84,808
SAL31532,0,0,0,3,0,0,3,10,3,15
SAL31533,0,0,0,0,0,0,0,21,11,28
SAL31534,11,0,8,124,52,0,182,441,80,698
SAL31535,9,0,17,433,150,19,600,1157,116,1876
SAL31536,0,0,0,7,3,0,7,23,5,30
SAL31537,0,0,0,26,5,4,37,69,37,134
SAL31538,0,0,0,10,0,0,10,36,4,52
SAL31539,0,0,0,5,0,0,5,8,0,13
SAL31540,0,0,0,72,20,0,97,165,15,277
SAL31541,0,0,0,0,0,0,0,11,7,18
SAL31542,272,40,317,1496,454,86,2034,5574,604,8219
SAL31543,51,0,52,260,189,8,443,2178,190,2819
SAL31544,0,0,0,10,0,0,16,28,0,38
SAL31545,0,0,0,4,0,0,6,3,0,15
SAL31546,8,0,8,199,50,6,258,287,11,560
SAL31547,16,0,22,403,100,21,524,1009,97,1634
SAL31548,63,8,66,1386,499,73,1955,5133,1051,8138
