SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL13010,99,799,912,268,136,2204,20,2228
SAL13011,725,2365,1139,231,128,4590,68,4663
SAL13012,86,787,924,332,201,2344,15,2356
SAL13013,74,898,1415,426,190,3004,19,3021
SAL13014,10,229,422,127,59,846,10,855
SAL13015,578,2168,1554,456,195,4948,64,5011
SAL13016,0,44,60,23,12,138,4,143
SAL13017,171,581,362,120,69,1298,33,1333
SAL13018,0,12,21,10,8,51,9,61
SAL13019,186,773,499,102,42,1603,18,1622
SAL13020,1254,2338,559,56,31,4234,43,4275
SAL13021,243,1035,840,208,108,2432,40,2467
SAL13022,0,12,29,23,13,79,0,79
SAL13023,81,571,588,171,102,1510,18,1524
SAL13024,12,71,77,47,38,240,0,247
SAL13025,15,157,341,107,50,665,3,667
SAL13026,142,668,518,116,37,1477,18,1495
SAL13027,124,485,270,73,36,984,6,997
SAL13028,0,12,19,13,0,45,3,48
SAL13029,0,3,4,12,5,20,0,20
SAL13030,0,10,11,3,9,32,0,35
SAL13031,0,3,10,5,0,21,0,19
SAL13032,84,742,918,268,114,2130,14,2142
SAL13033,370,1857,1532,382,157,4303,52,4351
SAL13034,3,47,162,45,26,289,0,289
SAL13035,0,7,8,13,0,29,0,29
SAL13036,98,851,666,112,37,1763,18,1780
SAL13037,0,11,21,9,5,46,0,46
SAL13038,0,0,6,4,3,11,3,12
SAL13039,456,1688,1137,319,149,3741,105,3843
SAL13040,5,64,126,68,117,373,5,376
SAL13041,0,9,11,5,9,27,0,36
SAL13042,4,38,88,46,46,225,5,233
SAL13043,0,11,27,10,10,58,3,62
SAL13044,0,0,0,0,3,10,0,10
SAL13045,0,0,0,4,0,10,0,10
SAL13046,0,7,18,0,3,40,3,40
SAL13047,0,0,6,0,0,8,0,8
SAL13048,0,4,8,0,5,17,0,17
SAL13049,0,18,13,13,6,49,0,49
SAL13050,3,28,34,15,21,94,4,96
SAL13051,0,13,10,6,5,34,0,34
SAL13052,0,14,30,14,13,73,4,79
SAL13053,0,52,103,50,33,241,0,240
